Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	c1uv				0	# १ पत्रुसको परिचय\n\n## भाग १: सामान्य परिचय\n\n### १ पत्रुसको रूपरेखा\n\n१. परिचय (१:१-२)\n१. विश्‍वासीहरूलाई परमेश्‍वरको उद्धारको लागि प्रशंसा (१:३-२:१०)\n१. ख्रीष्‍टिएन जीवन (२:११-४:११)\n१. कष्‍टभोगको बेलामा डटिरहनलाई हौसला ४:१२-५:११)\nसमापन (५:१२-१४)\n\n\n### १ पत्रुसको पुस्तक कसले लेखे ?\n\n१ पत्रुसको पुस्‍तक प्रेरित पत्रुसद्वारा लेखिएको थियो । एसियाको दक्षिणी प्रायद्वीपभरि छरपष्‍ट भएका अन्‍यजाति ख्रीष्‍टिएनहरूका लागि उनले यो पत्र लेखे ।\n\n### १ पत्रुसको पुस्तक केको बारेमा हो ?\n\nपत्रुसले यो पत्र लेख्‍नुको उद्देश्‍य तिनले यसरी उल्‍लेख गरेका छन्, “यो परमेश्‍वरको साँचो अनुग्रह हो भनेर तिमीहरूलाई उत्साह र साक्षी दिने” (५:१२) ।\nख्रीष्‍टिएनहरूले दुःखकष्‍टको सामना गर्नुपर्दा पनि तिनीहरूले निरन्‍तर रूपमा परमेश्‍वरको आज्ञा पालन गर्नुपर्छ भनी तिनले उत्‍साह दिए । येशूको दोस्रो आगमन चाँडै नै हुने छ भनेर तिनले तिनीहरूलाई यसो गर्न भने । अधिकारको स्‍थानमा रहेका व्‍यक्तिहरूप्रति ख्रीष्‍टिएनहरू समर्पित हुनुपर्छ भनेर उत्साह दिने कार्यसमेत तिनले गरे ।\n\n### यस पुस्तकको शीर्षकको अनुवाद कसरी हुनुपर्छ ?\n\nअनुवादकहरूले यस पुस्तकलाई यसको पारम्परिक शीर्षक “१ पत्रुस” वा “पहिलो पत्रुस” भनेर बोलाउनलाई छान्‍न सक्छन् । अथवा तिनीहरूले अझ बढी स्‍पष्‍ट शीर्षक छान्‍न सक्छन्, जस्तै, “पत्रुसबाटको पहिलो पत्र” वा “पत्रुसले लेखेको पहिलो पत्र” । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-names]])\n\n## भाग २: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू\n\n### ख्रीष्‍टिएनहरूलाई रोममा कस्तो व्यवहार गरिन्थ्यो ?\n\nपत्रुसले यो पत्र लेख्‍दा शायद तिनी रोममा थिए । तिनले रोमलाई “बेबिलोन” भनेर साङ्केतिक नाउँ दिए (५:१३) । पत्रुसले यो पत्र लेखेको समयमा रोमीहरूले ख्रीष्‍टिएनहरूलाई नराम्रो ढङ्गले सतावट गरिरहेको जस्‍तो लाग्छ ।\n\n## भाग ३: अनुवादका महत्त्वपूर्ण विषयहरू\n\n### “तिमी”को एकवचन र बहुवचन रूपहरू\nयस पुस्‍तकमा दुई ठाउँहरूमा बाहेक, जुन हुन्ः [१ पत्रुस १:१६](../01/16.md) र [१ पत्रुस २:६](../02/06.md), अरू ठाउँहरूमा “म” शब्‍दले पत्रुसलाई जनाउँछ । “तिमीहरू” शब्‍द सधैँ बहुवचन हो र यसले पत्रुसका श्रोताहरूलाई जनाउँछ । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-you]])\n\n### १ पत्रुसको पुस्तकको पाठ्यसामग्रीमा भएका प्रमुख विषयहरू के-के हुन् ?\n\n* “सत्‍यको आज्ञाकारिताद्वारा तिमीहरूले आफ्‍नो प्राणलाई शुद्ध पार्‍यौ । साँचो भातृप्रेमको उद्देश्‍य प्राप्‍तिका लागि यो कुरा भयो । यसैले एकअर्कालाई हृदयबाट प्रेम गर्नू” (१:२२) । यूएलटी, यूएसटी र अरू धेरै आधुनिक अनुवादले यसरी लेखेका छन् । कुनै पुरानो अनुवादमा लेखिएको छ, “साँचो भातृप्रेमको उद्देश्‍य प्राप्‍तिका लागि तिमीहरूले पवित्र आत्मामा सत्‍यको आज्ञाकारिताद्वारा आफ्‍नो प्राणलाई शुद्ध पार्‍यौ, यसैले एकअर्कालाई हृदयबाट प्रेम गर्नू ।”\n\nअनुवादकहरू भएका ठाउँमा बाइबलको अनुवाद छँदै छ भने, तिनीहरूले तिनै अनुवादहरूका पाठलाई प्रयोग गर्ने कुरालाई विचार गर्न सक्‍छन् । यदि छैन भने, आधुनिक अनुवादका पाठलाई प्रयोग गर्ने सुझाव अनुवादकहरूलाई दिइन्‍छ ।\n\n(हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-textvariants]])
1:intro	ql4i				0	# १ पत्रुस ०१ सामान्य टिपोटहरू\n\n## संरचना र ढाँचा\n\nपत्रुसले पद १-२ मा यो पत्रलाई औपचारिक रूपमा परिचित गराउँछन् । प्राचीन मध्‍यपूर्वमा पत्र लेख्‍नेहरूले पत्रहरू लेख्‍न यसरी सुरु गर्दथे ।\n\nकेही अनुवादहरूले पढ्नलाई सजिलो बनाउनलाई कविताको हरेक पङ्क्तिलाई बाँकीको खण्‍डभन्दा दायाँतिर केही पर सार्छन् । यूएलटीले १:२४-२५ मा पुरानो करारबाट उद्‌धृत गरेर ल्याइएको कवितासँग यसै गर्छ ।\n\n## यस अध्यायमा भएका विशेष अवधारणाहरू\n\n### परमेश्‍वरले के प्रकट गर्नुहुन्छ\n\nजब येशू दोस्रोपल्ट आउनुहुन्‍छ, तब परमेश्‍वरका मानिसहरूले येशूमाथि विश्‍वास राख्‍नू कति असल कुरा रहेछ भनी हरेक व्‍यक्तिले थाहा पाउने छन् । अनि परमेश्‍वरका मानिसहरूप्रति उहाँ कति धेरै अनुग्रही हुनुभएको छ भनेर तिनीहरूले थाहा पाउने छन् र सबै मानिसहरूले परमेश्‍वर र उहाँका मानिसहरूको प्रशंसा गर्ने छन् ।\n\n### पवित्रता\n\nपरमेश्‍वरले उहाँका मानिसहरू पवित्र होउन् भन्‍ने इच्‍छा गर्नुहुन्‍छ किनभने परमेश्‍वर पवित्र हुनुहुन्‍छ । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/holy]])\n\n### अनन्‍तता\n\nअनन्‍त रहने थोकहरूका लागि जिउन र अन्‍त्‍य हुने यस संसारका थोकहरूका लागि नजिउन पत्रुसले ख्रीष्‍टिएनहरूलाई आग्रह गर्छन् । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/eternity]])\n\n## यस अध्यायमा भएका अनुवादका अन्य सम्भाव्य कठिनाइहरू\n\n### विरोधाभास\n\nविरोधाभासको वाक्‍य एउटा साँचो वाक्‍य हो, जसले कुनै असम्‍भव कुरालाई स्पष्‍ट पार्दछ । पत्रुसले आफ्‍ना पाठकहरू एकै समयमा खुशी र दुःखी भएका कुरा लेख्दछन् ([१ पत्रुस १:६](./06.md)) । तिनीहरूले कष्‍ट भोगिरहेका हुनाले तिनीहरू दुःखी भएका छन्, तर “अन्‍तिम समयमा” परमेश्‍वरले तिनीहरूलाई बचाउनुहुनेछ भन्‍ने कुरा तिनीहरूले थाहा भएको हुनाले तिनीहरू खुशी छन् ([१ पत्रुस १:५](./05.md)) ।
1:1	g6b4			सामान्य जानकारीः	0	पत्रुसले आफैँलाई लेखकको रूपमा परिचित गराउँछन् र उनले लेख्दै गरेका विश्‍वासीहरूको परिचय दिँदै उनीहरूलाई अभिवादन गर्छन् ।
1:1	u3zc		rc://*/ta/man/translate/figs-metaphor	παρεπιδήμοις διασπορᾶς	1	पत्रुसका पाठकहरू आफ्‍नो मुलुकदेखि बाहिर धेरै मुलुकमा छरपष्‍ट भएर बसेका कुरा तिनले गर्दछन् । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-metaphor]])
1:1	qkl8			Καππαδοκίας & Βιθυνίας	1	पत्रुसले उल्‍लेख गरेका अन्य ठाउँहरूसँगै, कापाडोकिया र बिथिनिया अहिलेको टर्की रहेको ठाउँमा रहेका रोमी प्रान्तहरू थिए ।
1:1	cf7b			ἐκλεκτοῖς	1	“परमेश्‍वर पिताले चुन्‍नुभएकाहरू ।” परमेश्‍वरले तिनीहरूलाई उहाँको आफ्नो पूर्वज्ञान अनुसार चुन्‍नुभएको छ ।
1:2	a3gd			κατὰ πρόγνωσιν Θεοῦ Πατρός	1	“उहाँको आफ्नै पूर्वज्ञान अनुसार”
1:2	ba1h		rc://*/ta/man/translate/figs-abstractnouns	πρόγνωσιν Θεοῦ Πατρός	1	भाववाचक नाउँ “पूर्वज्ञान” शब्दलाई क्रियापदको रूपमा अनुवाद गर्न सकिन्‍छ । सम्‍भावित अर्थहरू हुन् १) के हुने छ भनेर परमेश्‍वरले अगिदेखि नै निर्धारण गर्नुभयो । वैकल्पिक अनुवादः “पिता परमेश्‍वरले पहिलेदेखि नै जे निर्णय गर्नुभयो” वा २) के हुने छ भनेर परमेश्‍वरलाई समयभन्‍दा अगि नै थाहा थियो । वैकल्पिक अनुवादः “जे परमेश्‍वर पितालाई पहिलेबाट नै थाहा थियो” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-abstractnouns]])
1:2	i9kf		rc://*/ta/man/translate/figs-metonymy	ῥαντισμὸν αἵματος Ἰησοῦ Χριστοῦ	1	यहाँ “रगत”ले येशूको मृत्युलाई जनाउँछ । जसरी मोशाले परमेश्‍वरसँग इस्राएलको मानिसहरूको करारको चिन्हस्वरूप तिनीहरूमाथि रगत छर्के, त्यसरी नै विश्‍वासीहरू पनि येशूको मृत्युद्वारा परमेश्‍वरसँगको करारमा छन् । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-metonymy]] अनि [[rc://ne/ta/man/translate/figs-metaphor]])
1:2	z7df		rc://*/ta/man/translate/figs-abstractnouns	χάρις ὑμῖν καὶ εἰρήνη πληθυνθείη	1	यो खण्डले अनुग्रहलाई विश्‍वासीहरूले प्राप्‍त गर्न सक्‍ने कुनै वस्तुको रूपमा र शान्तिलाई परिमाणमा बढ्न सक्‍ने केही कुराको रूपमा व्यक्त गर्दछ । अवश्‍य पनि,अनुग्रह भनेको वास्तवमा विश्‍वासीहरूप्रति परमेश्‍वरले गर्ने नरम व्यवहार हो, र शान्ति चाहिँ विश्‍वासीहरू परमेश्‍वरसँग सुरक्षा र आनन्दमा कसरी बस्‍छन् भन्‍ने कुरा हो । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-abstractnouns]])
