Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	jp2y				0	"# 1 थेसलोनिकीको परिचय \n\n## भाग 1: साधारण परिचय \n\n### 1 थेसलोनिकीको पुस्तकको रूपरेखा \n\n यो पत्रमा, प्रेरित पावल, सिल्भानस र तिमोथीसँगै, थेसलोनिकीको मण्डलीलाई उत्साह साथै आग्रह गर्दछन्। (हेर्नुहोस्: rc://*/tw/bible/names/thessalonica.md)। समुहलाई जनाउँदा “हामी” प्रयोग गर्दै, पावल तिनीहरू सबैको लागि प्रवक्ता हुन्, तर निश्चित स्थानहरूमा पावल आफ्नै लागि “म” प्रयोग गरी बोल्छन् (हेर्नुहोस् [2:18](../02/18.md); [3:5](../03/05.md); [5:27](../05/27.md))।थेसलोनिकीमा प्रेरितका क्रियाकलापका पृष्ठभूमिको कथा प्रेरित 17:1-10मा पाइन्छ।\n\n1. थेसलोनिकी मण्डलीका प्रेरितिय सम्झनाहरू (1:1-10)\n * अभिवादन(1:1)\n *थेसलोनिकीका ख्रीष्टियनहरूलाई धन्यवाद ज्ञापन(1:2-4)\n *थेसलोनिकेको दु:खका उदाहरणहरू(1:6-10) \n2. प्रेरितिय अधिकार (2:1-16)\n *मण्डलीलाई सतावट(2:1-13)\n *मण्डलीलाई विरोध (2:14-16)\n3. तिमोथीको थेसलोनिकी भ्रमण (3:1-13)\n *भ्रमणको कारण (3:1-5) \n *भ्रमणको बारे प्रतिवेदन (3:6-13) \n4. प्रेरितिय शिक्षाहरू (4:1-18) \n *पवित्रता (4:1-8) \n *ख्रीष्टियन प्रेम (4:9-12) \n *ख्रीष्टको दोस्रो आगमनको तरिका (4:13-18) \n5. अन्तिम शिक्षाहरू (5:1-28) \n. *ख्रीष्टको दोस्रो आगमनको समय (5:1-10) \n. *अन्तिम आग्रह र शिक्षाहरू (5:11-28) \n\n### 1 थेसलोनिकी कसले लेखे? \n\n सिल्भानस र तिमोथीको सहमतिसँग लेख्दै, पावलले 1 थेसलोनिकी लेखे। पावल टार्सस शहरबाट थिए। उनी आफ्नो प्रारम्भिक जीवनमा शाऊल भनेर चिनिन्थे। ख्रीष्टियन बन्नुअघि शाऊल एक फरिसी थिए। उनले ख्रीष्टियनहरूलाई सताए। तिनी ख्रीष्टियन बनेपछि, मानिसहरूलाई येशूको बारेमा बताउँदै, पावलले रोमी साम्राज्यभरि धेरै पटक यात्रा गरे। कोरिन्थ सहरमा बस्दा पावलले यो पत्र लेखेका थिए। धेरै विद्वानहरू विश्वास गर्छन् कि 1 थेसलोनिकी बाइबलमा भएका पावलका सबै पत्रहरूमध्ये पावलले लेखेका पहिलो पत्र थियो।\n\n 2 कोरिन्थी 1:19; 2 थेसलोनिकी 1:1; 1 पत्रुस 5:12 मा पनि सिल्भानस उल्लेख गरिएको छ। “सिलास,” प्रेरितको पुस्तकका प्रयोग गरिएको नाम, सिल्भानसको छोट्याइएको नाम हो; सिलास र सिल्भानस एकै व्यक्ति मानिन्छन्। तिमोथी एफिससको मण्डलीका अगुवा थिए (हेर्नुहोस् 1 तिमोथी 1:1-4)। पावलले यो पत्र कोरिन्थ सहरमा यी दुई मानिसहरूसँग बस्दा लेखेका थिए। 1:1 मा ती तीन जना पुरुषहरूको उल्लेखले संकेत गर्छ कि तिनीहरू कुनै समय थेसलोनिकीमा सँगै थिए।\n\n### 1 थेसलोनिकीको पुस्तक के को बारेमा हो?\n\nसहरका यहूदीहरूले उनलाई छोड्न बाध्य गरेपछि पावलले थेसलोनिकी सहरको मण्डलीलाई यो पत्र लेखेका थिए। प्राचीन थेसलोनिकी प्राचिन म्याकेडोनियाको दक्षिणपूर्वी तटमा अवस्थित थियो, र अहिले उत्तरपूर्वी ग्रीसमा अवस्थित छ, र थेसालोनिकी भनिन्छ। (हेर्नुहोस्:rc://*/ta/man/translate/writing-background) यस पत्रमा पावलले भने कि उनले आफ्नो भ्रमण सफल भएको ठाने, यद्यपि उनी छोड्न बाध्य भए (हेर्नुहोस् प्रेरित 17:1-10). \n\n थेसलोनिकीका विश्वासीहरूको बारेमा तिमोथीको समाचारलाई पावलले जवाफ दिए। त्यहाँका विश्वासीहरूलाई सताइएको थियो। उनले तिनीहरूलाई परमेश्वरलाई प्रसन्न तुल्याउने तरिकामा जीवन बिताउन प्रोत्साहन दिए। ख्रीष्ट फर्कनुअघि मर्नेहरूलाई के हुन्छ भनेर व्याख्या गरेर उनले तिनीहरूलाई सान्त्वना पनि दिए।\n\n### यस पुस्तकको शिर्षक कसरी अनुवाद गर्नुपर्छ? \n\n अनुवादकले यस पुस्तकलाई यसको पारम्पारिक शिर्षकले, “1 थेसलोनिकी” वा “पहिलो थेसलोनिकी” भनी बोलाउन रोज्न सक्छन्। त्यसको सट्टामा तिनीहरूले स्पष्ट शिर्षक “थेसलोनिकीको मण्डलीलाई पावलको पहिलो पत्र,” वा “थेसलोनिकीको मण्डलीलाई पहिलो पत्र” रोज्न रुचाउँन सक्छन्। (हेर्नुहोस्: [[rc://*/ta/man/translate/translate-names]])\n\n## भाग 2: महत्वपूर्ण धार्मिक र सांस्कृतिक विचारहरू\n\n### त्रिएक\n\n यस पत्रमा, पवित्र त्रिएकको सिद्धान्तले ठोस समर्थन पाउँछ। शब्दहरू: परमेश्वर, पिता, पुत्र, प्रभु, येशू, र पवित्र आत्मा धेरै पटक देखा पर्दछ। (हेर्नुहोस्:[[rc://*/tw/bible/kt/god]]) \n\n### सुसमाचार\n\n यस पत्रमा, पावलले बारम्बार प्रेरितहरूको सुसमाचारको सेवकाईलाई संकेत गर्दछ र येशू ख्रीष्टको बारेमा परमेश्वरको सुसमाचारको विचारलाई संवाद गर्न विभिन्न वाक्यांशहरू प्रयोग गर्दछ। (हेर्नुहोस्:[[rc://*/tw/bible/kt/goodnews]]) \n\n### प्रार्थना\n\n पावलले थेसलोनिकीहरूलाई आश्वासन दिन्छन् कि उनका प्रेरितहरूको समूहले तिनीहरूको लागि बारम्बार प्रार्थना गर्दछन्।(हेर्नुहोस् [1:2](../01/02.md))। उनले प्रार्थनाको बारेमा निर्देशनहरू पनि दिन्छन्(हेर्नुहोस् [5:2](../05/02.md)), र थेसलोनिकीहरूलाई तिनीहरूका लागि प्रार्थना गर्न आग्रह गर्छन्(हेर्नुहोस् [5:25](../05/25.md))। (हेर्नुहोस्: [[rc://*/tw/bible/kt/pray]])\n\n### विश्वास र विश्वासयोग्यता\n\n पत्र मार्फत थेसलोनिकीहरूलाई परमेश्वरप्रतिको तिनीहरूको विश्वासयोग्यताको लागि प्रशंसा गरिएको छ। उनीहरूलाई परमेश्वरमा भरोसा राख्न र सुसमाचार जीवित राख्न विश्वासयोग्य रहन सम्झाइन्छ। (हेर्नुहोस्: [[rc://*/tw/bible/kt/faithful]], [[rc://*/tw/bible/kt/faith]])\n\n### प्रेरितिय अधिकार \n\n प्रेरितहरूको शिक्षा र जीवनमा आधारित यस पत्रको धेरै जसो भाग तिनीहरूको अधिकारको सुरक्षा हो । ""प्रेरितहरू"" शब्द पावल, सिल्भानस र तिमोथीलाई परमेश्वरले पठाउनुभएको हो भनी पुष्टि गर्न [2:6](../02/06.md)) मा प्रयोग गरिएको छ। (हेर्नुहोस्: [[rc://*/tw/bible/kt/apostle]])\n\n### ख्रीष्टको दोस्रो आगमन\n\n येशूको पृथ्वीमा पुनरागमनको बारेमा पावलले यस पत्रमा धेरै लेखे। जब येशू फर्कनुहुन्छ, उहाँले सबै मानिसजातिको न्याय गर्नुहुनेछ। उहाँले सृष्टिमाथि पनि शासन गर्नुहुन्छ, र जताततै शान्ति हुनेछ।\n\n### सुतिगएका ख्रीष्टियनहरूको भवितव्यता\n\n ख्रीष्टको पुनरागमन अघि मर्नेहरू फेरि जीवित हुनेछन् र येशूसँगै हुनेछन् भनी पावलले स्पष्ट गरे। तिनीहरू सधैंभरि मर्नेछैनन्। पावलले थेसलोनिकीहरूलाई प्रोत्साहन दिन यो लेखेका थिए, किनभने तिनीहरूमध्ये कोही-कोही मरेका ख्रीष्टियनहरूले येशू फर्कनुहुँदा “प्रभुको महान् दिन” गुमाउनेछन् भनेर चिन्तित थिए।\n\n### मुर्तिपूजा\n\n थेसलोनिकेको ग्रीक र रोमी सांस्कृतिक पृष्ठभूमिको मतलब मण्डलीका धेरै सदस्यहरू पहिलेका मूर्तिपूजकहरू थिए जसले कुनै प्रकारको मूर्तिपूजा गर्थे।(हेर्नुहोस् [1:9](../01/09.md)(हेर्नुहोस्: [[rc://*/tw/bible/other/image]]).\n\n### कष्ट \n\n यस पत्रको धेरै जसो भाग सुसमाचारप्रति इमान्दारिताको लागि प्रेरितहरू र थेसलोनिकी मण्डली दुवैको कष्टलाई सम्बोधन गरिएको छ।(हेर्नुहोस्: [[rc://*/tw/bible/other/afflict]], [[rc://*/tw/bible/other/persecute]], [[rc://*/tw/bible/other/suffer]])\n\n### शुद्धिकरण \n\n यस पत्रमा पवित्रताको धारणा प्रचलित छ। अध्याय चारले ख्रीष्टियनले कसरी पवित्र जीवन अभ्यास गर्नुपर्छ भनेर छलफल गर्छ।(हेर्नुहोस्: [[rc://*/tw/bible/kt/sanctify]])\n\n## भाग 3: महत्वपूर्ण अनुवाद मुद्दाहरू\n\n### ""ख्रीष्टमा"" र ""ख्रीष्ट येशूमा"" र ""प्रभु येशू ख्रीष्टमा"" र ""परमेश्वर पितामा"" र ""पवित्र आत्मामा"" जस्ता अभिव्यक्तिहरूद्वारा पावलको अर्थ के थियो? \n\n पावलले परमेश्वर र ख्रीष्टियानहरू बीचको एकताको विचार व्यक्त गर्न खोजेका थिए जसमा त्रिएकका तीनवटै व्यक्तिहरू समावेश छन्। यस प्रकारका अभिव्यक्तिहरूको बारेमा थप विवरणहरूको लागि कृपया रोमीको पुस्तकको परिचय हेर्नुहोस्।\n\n### ""उहाँको आगमन"" र ""प्रभु येशूको आगमन"" र ""प्रभु येशू ख्रीष्टको आगमन"" जस्ता अभिव्यक्तिहरूद्वारा पावलले के भन्न खोजेका थिए?\n\n पावलले येशू ख्रीष्टको सम्बन्धमा जब उहाँ पृथ्वीमा फेरि आउनुहुनेछ त्यस समयलाई उल्लेख गर्न ""आउने"" शब्दलाई विशेष तरिकामा प्रयोग गरे, यस पटक उहाँको महिमा र शक्ति प्रदर्शन गर्दै र उहाँका मानिसहरूलाई आफैंमा जम्मा गर्नुहुनेछ। तपाईंको भाषाको भिन्नतामा निर्भर गर्दै, तपाईंले यसलाई विशेष अवधारणा वा शब्दको साथ अनुवाद गर्न आवश्यक पर्दछ।\n\n### “परमेश्वरको वचन” वा “प्रभुको वचन” जस्ता अभिव्यक्तिहरूद्वारा पावलले के भन्न खोजेका थिए? \n\n यस पत्रभरि, पावलले सुसमाचार सन्देशलाई सन्दर्भ गर्न यी प्रसिद्ध वाक्यांशहरू वा संक्षिप्त रूपहरू प्रयोग गर्छन्।\n\n### “भाइहरू” जस्ता अभिव्यक्तिहरूद्वारा पावलले के भन्न खोजेका थिए? \n\n यस पत्रभरि, ""भाइहरू"" एक रूपक हो जसले महिलाहरू सहित सबै विश्वासीहरूलाई बुझाउँछ।(हेर्नुहोस् [1:4](../01/04.md); 2:1,9, 14,17; 3:7; 4:1, 6, 10, 13; 5:1, 4, 12, 14, 26, 27)\n\n### ""हामी"" र ""तिमी""\n\nयो पत्रमा, अन्यथा उल्लेख नगरिएसम्, ""हामी र ""हाम्रो"" शब्दहरूले पावल, सिल्भानस र तिमोथीलाई जनाउँछ। थप रूपमा, ""हामी"", र ""हाम्रो"" सबै तीन प्रेरितहरू पत्रसँग सहमत छन् भनी बुझाउन प्रयोग गरिन्छ।\n\n### पहिलो थेसलोनिकीको पुस्तकको पाठमा प्रमुख शाब्दिक मुद्दाहरू\n\nजब बाइबलको पुरातन पाण्डुलिपिहरू फरक हुन्छन्, ULT ले आफ्नो पाठमा विद्वानहरूले सबैभन्दा सही मान्ने पढाइ राख्छ, तर यसले अन्य सम्भावित सही पढाइहरूलाई पदटिप्पणीमा राख्छ। प्रत्येक अध्यायको परिचयले ती ठाउँहरू छलफल गर्नेछ जहाँ पुरातन पाण्डुलिपिहरू महत्त्वपूर्ण तरिकामा भिन्न छन्, टिप्पणीहरूले ती ठाउँहरूलाई पुन: सम्बोधन गर्नेछन् जहाँ तिनीहरू पुस्तकमा हुन्छन्। यदि तपाईंको क्षेत्रमा पहिले नै बाइबलको अनुवाद अवस्थित छ भने, त्यस संस्करणमा पाइने पढाइहरू प्रयोग गर्ने विचार गर्नुहोस्। यदि होइन भने, हामी तपाईंलाई ULT पाठमा पढाइहरू पालना गर्न सिफारिस गर्छौं।
(हेर्नुहोस: rc://*/ta/man/translate/translate-textvariants)\n* “तपाईलाई अनुग्रह र शान्ति” (हेर्नुहोस् [1:1](../01/01.md)). अरू केही पाण्डुलिपिहरू यसो भन्छन्: “परमेश्वर हाम्रा पिता र प्रभु येशू ख्रीष्टबाट तिमीहरूलाई अनुग्रह र शान्ति।”\n* “तर आमाले आफ्ना छोराछोरीहरूलाई सान्त्वना दिनुभएझैँ हामी तिमीहरूका बीचमा साना बच्चाहरू भयौं” (See [2:7](../02/07.md))। अरू केही पाण्डुलिपिहरू यसो भन्छन्, ""बरु, हामी तपाईंहरूका बीचमा आफ्ना छोराछोरीलाई सान्त्वना दिने आमा जस्तै कोमल थियौं।”\n* “तिमोथी, हाम्रो भाइ र परमेश्वरको सेवक” (See [3:2](../03/02.md)). अरू केही पाण्डुलिपिहरू यसो भन्छन्: “तिमोथी, हाम्रा भाइ र परमेश्‍वरको लागि सहकर्मी”\n\n(See: [[rc://*/ta/man/translate/translate-textvariants]])"
1:intro	y8c5				0	"# 1 थेसलोनिकी 1 सामान्य नोटहरू\n\n## 1 थेसलोनिकी 1 को रूपरेखा\n\n1। अभिवादन (1:1)\n2. थेसलोनिकी मण्डलीको लागि धन्यवादको प्रार्थना (1:2-10)\n* थेसलोनिकीहरूको सम्झना (1:2-5)\n * प्रेरित प्रार्थनाहरू (1:2)\n * थेसलोनिकीहरूको काम (1:2- 3)\n * थेसलोनिकीहरूको परमेश्वरको चुनाव (1:4-5)\n* थेसलोनिकीहरूको उदाहरण (1:6-10)\n * प्रेरितहरूको शिक्षाको स्वागत (1:6)\n * म्यासेडोनिया र अखैयाका उदाहरणहरू (1:7-10)\n * दुःखको उदाहरण (1:7)\n * सुसमाचारको प्रचार (1:8)\n * मूर्तिपूजाबाट परमेश्वरतर्फ फर्कियो (1:9)\n * ख्रीष्टको दोस्रो आगमनको प्रतीक्षा (1:10)\n\n## संरचना र ढाँचा\n\nपद 1 ले औपचारिक रूपमा यो पत्रको परिचय गर्दछ। प्राचीन निकट पूर्वका पत्रहरूमा सामान्यतया यस प्रकारको परिचयहरू थिए।\nपद 2-4 ले थेसलोनिकीका मण्डलीलाई सामान्य धन्यवाद र प्रोत्साहन दिन्छ।\n\n## यस अध्यायमा विशेष अवधारणाहरू\n\n### त्रिएक\n \nपरमेश्वर पिता, परमेश्वर पुत्र, र परमेश्वर पवित्र आत्मा यस अध्यायमा धेरै पटक उल्लेख गरिएको छ। यीहरू उहाँहरूको पहिचान, गतिविधि, र उहाँहरूमा ख्रीष्टुयनहरूको एकतामा वर्णन गरिएको छ।\n\n### कठिनाइ\n\nतिनीहरू अघिका प्रेरितहरूले जस्तै, थेसलोनिकीको मण्डलीले सुसमाचारको खातिर सतावट सह्यो। तिनीहरूले दु:खमा पनि सुसमाचार सन्देशमा विश्वासका साथ प्रतिक्रिया दिए र त्यसपछि अरूलाई सुसमाचार प्रचार गरे जसले तिनीहरूलाई माकेडोनिया र अखियाका क्षेत्रहरूमा मण्डलीहरूमा उदाहरण बनाइदियो।\n\n### विश्वासयोग्यता\n\n यस अध्यायभरि पावलले थेसलोनिकीको मण्डलीको विश्वासयोग्यता उल्लेख गरे । उदाहरणका लागि, 1:3 मा ""विश्वासको काम"", 1:7 मा ""विश्वास गर्ने सबैका लागि उदाहरण"" र 1:8 मा ""परमेश्वरप्रतिको विश्वास"" हेर्नुहोस्।"
1:1	ms5e		rc://*/ta/man/translate/figs-ellipsis	Παῦλος, καὶ Σιλουανὸς, καὶ Τιμόθεος; τῇ ἐκκλησίᾳ	1	"यहाँ केही शब्दहरू हटाइएको छ जुन धेरै भाषाहरूमा एक वाक्यलाई पूर्ण हुन आवश्यक छ। वैकल्पिक अनुवाद: “हामी पावल, सिल्भानस र तिमोथी, मण्डलीलाई लेख्दैछौ” 
(हेर्नुहोस् rc://*/ta/man/translate/figs-ellipsis)"
1:1	zivb		rc://*/ta/man/translate/figs-explicit	Παῦλος, καὶ Σιλουανὸς, καὶ Τιμόθεος	1	यस पत्रको लेखक पावल हुन भनि बुझिन्छ। जसै उनी लेख्छन् सिल्भानस र तिमोथी उनीसगँ छन् र उनले लेखेका कुरामा सहमत छन् । यदि त्यो तपाईको भाषामा बुझ्न सकिदैन भने, यस जानकारीलाई तपाईको अनुवादमा समावेश गर्न सक्नुहुन्छ। वैकल्पिक अनुवाद: “म, पावल,सिल्भानस र तिमोथीसँगै, लेख्छु” (हेर्नुहोस्:[[rc://*/ta/man/translate/figs-explicit]])
1:1	r7n0		rc://*/ta/man/translate/translate-names	Σιλουανὸς	1	**सिल्भानस** नाम **सिलास** नामको लामो प्रकार हो, प्रेरितको पुस्तकमा यहि मानिसको लागी यो नाम प्रयोग गरिएको छ। तपाई यहाँ छोटो नाम पनि प्रयोग गर्न छान्न सक्नुहुन्छ, वा तपाई यहाँ लामो नाम प्रयोग गर्न छान्न सक्नुहुन्छ र तिनीहरू एउटै नाम हुन् भनि व्याख्या गर्दै पादटिप्पणी समावेश गर्नुहोस्। (हेर्नुहोस्:[[rc://*/ta/man/translate/translate-names]])
1:1	z7wu		rc://*/ta/man/translate/figs-metaphor	ἐν Θεῷ Πατρὶ καὶ Κυρίῳ Ἰησοῦ Χριστῷ	1	"यहाँ पावलले विश्वासीहरूको प्रतीकात्मक रूपमा बोल्छन् मानौं तिनीहरूले परमेश्वर र येशूको भित्र ठाउँ ओगटेका छन्। यो रूपकले विश्वासीहरू परमेश्वर र येशूसँग आत्मिक रूपमा एकताबद्ध छन् भनी विचार व्यक्त गर्दछ। यदि यो तपाईंको भाषामा गलत बुझिएको हुन सक्छ भने, तपाईंले अप्रतीकात्मक तरिकामा अर्थ व्यक्त गर्न सक्नुहुन्छ। वैकल्पिक अनुवाद: ""परमेश्वर पिता र प्रभु येशू ख्रीष्टमा एकताबद्ध"" वा ""परमेश्वर पिता र प्रभु येशू ख्रीष्टसँग जीवन बाँड्ने"" (हेर्नुहोस्:[[rc://*/ta/man/translate/figs-metaphor]])"
1:1	vlb3		rc://*/ta/man/translate/guidelines-sonofgodprinciples	Θεῷ Πατρὶ καὶ Κυρίῳ Ἰησοῦ Χριστῷ	1	जब **परमेश्वर** लाई **पिता** भनी बोलाइयो (हेर्नुहोस् [1:3](../01/03.md)), उहाँको **येशू** सँगको सम्बन्ध “छोरा” को रूपमा जोड दिन हो (हेर्नुहोस् [1:10](../01/10.md))। यहाँ, पुरानो करारको नाम **परमेश्वर**, **परमप्रभु**, **परमेश्वर**सँग बराबर गर्दै **येशू**मा प्रयोग गरिएको छ। तपाईको अनुवादमा यी नामहरूलाई सही रूपमा अनुवाद गर्न निश्चित हुनुहोस् । (हेर्नुहोस्:[[rc://*/ta/man/translate/guidelines-sonofgodprinciples]])
1:1	luw5		rc://*/ta/man/translate/translate-blessing	χάρις ὑμῖν καὶ εἰρήνη	1	"यो वाक्यांश एक साझा बाइबलीय आशीर्वाद सूत्र र अभिवादन हो (हेर्नुहोस् रोमी 1:7; 1 कोरिन्थी 1:3; 2 कोरिन्थी 1:2; गलाती 1:3; एफिसी 1:2; फिलिप्पी. 1:2; कलस्सी 1:2; 2 थेसलोनिकी. 1:2; फिलेमोन 1:3; 1 पत्रुस 1:2; 2 पत्रुस 1:1; प्रकाश 1:4)। एक शैली प्रयोग गर्नुहोस् जुन मानिसहरूले आशिषको रूपमा चिन्छन् जुन तपाईंको भाषामा अभिवादनको रूपमा प्रयोग गर्न सकिन्छ। वैकल्पिक अनुवाद: ""परमेश्वरले तिमीहरूलाई उहाँको अनुग्रह र शान्ति दिनुहुन्छ"" वा ""म प्रार्थना गर्दछु कि परमेश्वरले तिमीहरूलाई अनुग्रह देखाउनुहुन्छ र तिमीहरूलाई सुरक्षित राख्नुहुन्छ"" (हेर्नुहोस्: [[rc://*/ta/man/translate/translate-blessing]])"
1:1	qx70		rc://*/ta/man/translate/figs-abstractnouns	χάρις ὑμῖν καὶ εἰρήνη	1	"शब्दहरू **कृपा** र **शान्ति** भाववाचक नाम हुन्। तपाईंको भाषामा यी अवधारणाहरू व्यक्त गर्ने विशेष तरिका हुन सक्छ, जस्तै क्रिया वा विशेषण शब्दहरू। यदि त्यसो हो भने, तपाईंले तिनीहरूलाई आफ्नो अनुवादमा प्रयोग गर्न सक्नुहुन्छ। वैकल्पिक अनुवाद: ""हामी प्रार्थना गर्छौं कि परमेश्वरले तपाईलाई दयालु व्यवहार गरून् र तपाईलाई शान्तिमय सम्बन्ध दिउन्।"" (हेर्नुहोस्: rc://*/ta/man/translate/figs-abstractnouns)"
1:1	nn67		rc://*/ta/man/translate/figs-you	ὑμῖν	1	यस पत्र भरि **तिमी** शब्द बहुवचन हो र अन्यथा उल्लेख नभएसम्म थेसलोनिकीको मण्डलीलाई जनाउँछ।(हेर्नुहोस्: rc://*/ta/man/translate/figs-you)
