Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	wy83				0	# १ तिमोथीको परिचय\n\n## भाग १: सामान्य परिचय\n\n### १ तिमोथीको पुस्तकको रूपरेखा\n\nयो पत्रमा, पावलले तिमोथीलाई व्यक्त्तिगत आदेशहरू दिएका छन जसले उनलाई उनको प्रतिनिधिको रूपमा र आफ्नो अधिकारको रूपमा काम गर्न शसक्त्त बनाउँछ, र येशूका अनुयायीहरूले समुदायमा कसरी बस्‍नुपर्छ भनेर निर्देशन दिदछ।\n\n१. अभिवादनहरू (१:१- २) \n\n२. पावलले तिमोथीलाई मानिसहरूलाई झुटो शि्द्दान्तहरू नसिकाउन भनि भन्‍ने कुरामा आज्ञा दिए (१ः३-२०)\n\n३. पावल कसरी मण्डलीमा पुन व्यवस्थापनको कुरा र डिकनहरू योग्य छन भन्‍ने कुरालाई पक्का गर्नलाई निर्देशन दिन्छन (२:१-१५)\n\n४. पावल कसरी  एलडर र डिकनहरू योग्य भएको कुराको पक्का गर्ने भन्‍ने कुरामा निर्देशन गर्छन (३ः१४-५ः२)।\n\n५. पावलले  तिमोथीलाई उनको व्यक्तिगत आचरणको बारेमा आज्ञा दिन्छन (३ः१४-५ः२)।\n\n६. पावलले योग्य विधवाहरू (५ः३-१६) र एडरहरूलाई (५ः१७-२०) मण्डलीले सहायता गर्नेकुरामा पक्का हुने कुरा बारेमा निर्देशन दिन्छन।\n\n७. पावलले तिमोथीलाई निष्पक्ष हुनुपर्छ भनि आज्ञा दिन्छन (५ः२१-२५)\n\n८. पावलले मालिक - सेवक सम्बन्धमा सुव्यवस्था सुनिश्‍चित गर्न निर्देशन दिन्छन (६ः१-२क) \n\n९.  पावलले तिमोथीलाई आफूलाई कसरी सिकाउने र आचरण गर्ने भन्‍ने कुरामा आज्ञा गर्छन (६ः२ख-१६)\n\n१०. धनी ंमानिसहरु कसरी जीउने भन्‍ने सम्बन्धि कुरामा पावलले निर्देशन दिन्छन (६ः१७-१९)\n\n११. पावलले तिमोथीलाई उनको हरेचाहमा सुम्पिएको कुरामा रक्षा गर्ने भन्‍ने कुरामा आज्ञा दिन्छन (६ः२०-२१क)\n\n१२. सम्पूर्ण मण्डलीलाई समापनको आशीर्वाद (६ः२१ख)\n\n**१ तिमोथीको पुस्तक कसले लेखे?**\n\nपावल नाम गरेको व्यक्त्तिले १ तिमोथी लेखे। पावल टार्सस शहरबाट थिए। अघिल्लो जीवनमा उनी शाउल भनि चिनिन्थे। ख्रीष्टियन हुनुभन्दा पहिले पावल एक फरिसी थिए। उनले ख्रीष्टियनहरूलाई सताए।ख्रीष्टियन भइसकेपछि, उनले रोमी साम्राज्यभरि  मानिसहरूलाई येशूको बारेमा सुनाउँदै थुप्रै यात्राहरू यात्रा गरेका थिए। \n\nपावलले तिमोथीलाई अन्य पत्रहरूपनि लेखेका थिए होलान तर यो चाहिँ पहिलो हो जुन हामीसँग अझैँ छ। यसैले यसलाई १ तिमोथी वा पहिलो तिमोथी भनिन्छ। तिमोथी पावलको पहिलो चेला र नजिकको साथी थिए। पावलले सायद यो पत्र उनको जीवनको अन्तिमतिर लेखेका थिए। \n\n**१ तिमोथीको पुस्तक केको बारेमा हो?**\n\nपावलले एफिसस शहरका विश्‍वासीहरूलाई सहायता गर्नको निम्ति तिमोथीलाई त्यहाँ छोडेका थिए। पावलले तिमोथीलाई विभिन्‍न विषयहरूमा निर्देशन गर्नका निम्ति यो पत्र लेखेका थिए। उनले उल्लेख गरेका विषयहरुमा मण्डलीको आराधना, मण्डली अगुवाहरूको योग्यताहरू र झुटा शिक्षा विरूद्द चेतावनी पर्दछन। यो पत्रले पावलले तिमोथीलाई मण्डलीहरूमाझँ कसरी तालिम दिदै थिए भन्‍ने कुरा बताउछ र तिमोथीले पनि अन्य अगुवाहरूलाई तालिम दिएका थिए।\n\n**यस पुस्तकको शीर्षकको अनुवाद कसरी हुनुपर्छ?**\n\nअनुवादकहरू यस पुस्तकलाई यसको चलनअनुसारको शिर्षक "१ तिमोथी" वा "पहिलो तिमोथी" भनि भन्‍न सक्छन। अथवा तिनिहरू फरक शिर्षक पनि छान्‍न सक्छन, जस्तै "पावलको पहिलो पत्र तिमोथीलाई" (हेर्नुहोस [[rc://*/ta/man/translate/translate-names]]) \n\n**भाग २: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू**\n\n### चेलापन के हो?\n\nचेलापन भनेको मानिसहरूलाई ख्रीष्टको चेलाहरू बनाउने कामको प्रक्रिया हो। चेलापनको लक्ष्य भनेको अरू ख्रीष्टियनहरूलाई अझ बढी ख्रीष्ट जस्तै हुनलाई प्रोत्साहित गर्नु हो। एक अगुवाले कम परिपक्क ख्रीष्टियनहरूलाई कसरी तालिम दिनुपर्छ भन्‍ने बारेमा यस पत्रले थुप्रै निर्देशनहरू दिन्छ। (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/disciple]])\n\n## भाग ३: अनुवादका महत्त्वपूर्ण विषयहरु\n\n**पावलको "ख्रीष्टमा" भन्‍ने अभिव्यक्तिको अर्थ के हो?**\n\nपावलले व्यक्त गर्न खोजेको विचार ख्रीष्ट र विश्‍वासीहरूबिचको एक नजिकको सम्बन्ध भन्‍ने बुझिन्छ। यस्ता प्रकारका अभिव्यक्तिहरूको अझै धेरै जानकारीको निम्ति कृपया रोमीको पुस्तको परिचय हेर्नुहोला। \n\n**१ तिमोथी पुस्तकको मुख्य खण्डिय मुद्दाहरू के - के हुन?**\n\n६ः५ मा, पुरात्तन पाण्डुलिपिहरू पछिल्ला पण्डुलिपिहरूभन्दा फरक छन। आधुनिक अनुवादहरू फरक हुनको कारण तिनिहरूले कुन ग्रिक पाण्डुलिपिहरू प्रयोग गरे भन्‍ने कुराले गर्दा हुन सक्छ। युएलटि खण्डले सबैभन्दा पुरानो पाण्डुलिपिबाट अनुवाद गर्छ र पछिल्ला पाण्डुलिपिहरूलाई फुटनोटमा राखि भिन्‍नता देखाउँछ। यदि बाइबलको अनुवाद सामान्य क्षेत्रमा अवस्थित छ भने, अनुवादकहरूले त्यो अनुवादको निर्णयलाई त्यो अनुवादको निर्णयलाई पछ्याउने कुरामा विचार गर्नुपर्छ। नत्रभने, अनुवादहरूलाई पुरात्तन ग्रिक पाण्डुलिपिहरू पछ्याउन सल्लाह दिइन्छ जसै उदाहरण युएलटि खण्डमा देख्‍न सकिन्छ। (हेर्नुहोसः  [[rc://*/ta/man/translate/translate-textvariants]])
1:intro	a4v2				0	# १ तिमोथी १ सामान्य नोटहरू\n\n## संरचना र ढाँचा\n\nपावल औपचारिक रूपमा यो पत्रलाई १-२ पदहरूमा परिचय गराउँछन्। प्राचिन समयमा लेखकहरूले प्राय यहि पत्र लेखन शैलीलाई पछ्याउथे। \n\nयस अध्यायमा भएका विशेष अवधारणाहरू\n\n### आत्मिक सन्तान\n\nयस अध्यायमा, पावल तिमोथीलाई एक "छोरा" र उनको "बालक" भनि भन्छन। पावलले तिमोथीलाई एक ख्रीष्टियन र मण्डलीको अगुवाको रूपमा चेलापनको तालिम दिएका थिए। पावलले उनलाई ख्रीष्टमा विश्‍वास गर्न पनि डोर्याएका हुनसक्छन। यसकारण पावल तिमोथीलाई उनको "विश्‍वासको छोरा" भनि भन्छन। (हेर्नुहोसः [[rc://*/tw/dict/bible/kt/disciple]], [[rc://*/tw/dict/bible/kt/faith]] and [[rc://*/tw/dict/bible/kt/spirit]] and [[rc://*/ta/man/translate/figs-metaphor]]))\n\n## रूपक\n\nयो अध्यायमा पावल ति मानिसहरूलाई बुझाँउन सङ्केतिक रूपमा बोल्दछन जो तिनिहरूको विश्‍वासको उद्देश्य पुरा गर्दैनन्। जसै तिनिहरूले लक्ष्य राखिएको "निशाना गुमाएका छन" "तिनिहरू फर्किएका छन" गलत बाटोमा लागेका छन, र मानौं  कि तिनिहरूको जहाज डुबेको छ। उनले सङ्केतिक रूपमा बोल्दै येशूका अनुयायीहरूलाई विश्‍वासयोग्य भई "उत्तम लडाई लडन" भनि भनेका छन।
1:1	u1g9		rc://*/ta/man/translate/figs-inclusive	सामान्य जानकारीः	0	
1:1	i3zz			Παῦλος, ἀπόστολος	1	यो समयको चलनअुसार अनुसार, पत्र लेखकहरूले पहिला आफ्नो नाम उल्लेख गर्दथे। तपाईहरूको आफ्नो भाषामा पनि यो प्रकारको पत्रको लेखकलाई परिचय गराउने चलन छ होला। यसले श्रोताहरूलाई सहज बनाउँदछ। अन्य कुराहरू तपाई यहाँ उल्लेख गर्न सक्नुहुन्छ। लेखकको परिचय पछि लगत्तै तपाई कसलाई लेखिएको हो भनि उल्लेख गर्न सक्नुहुन्छ। वकैल्पिक अनुवादः "म, पावल, जसले यो पत्र तिमोथीलाई लेख्दै छु।"
1:1	xl6d			κατ’ ἐπιταγὴν Θεοῦ	1	वकैल्पिक अनुवादः “परमेश्‍वरको अधिकारद्वारा"
1:1	wb8j			Θεοῦ Σωτῆρος ἡμῶν	1	वकैल्पिक अनुवादः “परमेश्‍वर, जसले हामीलाई बचाउनुहुन्छ”
1:1	sw77		rc://*/ta/man/translate/figs-metonymy	Κυρίου Ἰησοῦ Χριστοῦ τῆς ἐλπίδος ἡμῶν	1	यहाँ, **हाम्रो आशा**ले साङ्केति तवरले त्यस व्यक्तिलाई जनाउँछ जसमा हामीले आशा राखेका छौँ। वैकल्पिक अनुवादः “ख्रीष्ट येशू, जसमा हामी ढुक्क छौ" वा "ख्रीष्ट येशू, जसमा हामी भरोसा गर्छौं। (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-metonymy]])
1:2	pyi6		rc://*/ta/man/translate/figs-metaphor	γνησίῳ τέκνῳ ἐν πίστει	1	पावल तिमोथीसँगको एक नजिकको सम्बन्धको कुरा गर्छन मानौ कि तिनिहरु बाबु र छोरा थिए। यसले पावलको तिमोथीप्रतिको निष्कपट प्रेम र अनुमोदनलाई देखाउँछ। यो कुरा पनि हुन सक्ने देखिन्छ कि पावलले व्यक्त्तिगत रूपले तिमोथीलाई ख्रीष्टमा भरोसा गर्ने कुरामा डोर्याएका थिए। यो अर्को कारण हुन सक्छ कि पावल उनलाई आफ्नो बालकजस्तै ठान्दछन त्यो समयदेखि जब पावलको कारण तिमोथी येशूको अनुयायीभई नयाँ जीवनमा प्रवेश गर्छन। वैकल्पिक अनुवादः “जो मेरो लागि साँच्‍चै एक छोरा झैँ छन्” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-metaphor]])
1:2	rd5v			χάρις, ἔλεος, εἰρήνη	1	यो चलनअनुसार, पत्र लेखकहरू कुनैपनि पत्रको मुख्य विषय उठान गर्नुभन्दा पहिले श्रोतालाई राम्रो कामना प्रदान गर्ने गर्दथे। वैकल्पिक अनुवादः "म आशा गर्दछु कि तिमीहरु परमेश्‍वरको दया, कृपा र शान्तिको अनुभव गर्दै छौ।"
1:2	p4lz		rc://*/ta/man/translate/guidelines-sonofgodprinciples	Θεοῦ Πατρὸς	1	यहाँ, परमेश्‍वरको निम्ति **पिता** एक महत्वपुर्ण शिर्षक हो। वैकल्पिक अनुवादः "परमेश्‍वर, जो हाम्रो पिता हुनुहुन्छ" (हेर्नुहोस्ः [[rc://ne/ta/man/translate/guidelines-sonofgodprinciples]])
