Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	kwv9				0	# ३ यूहन्‍नाको परिचय\n\n## भाग १: सामान्य परिचय\n\n### ३ यूहन्‍नाको पुस्तकको रूपरेखा\n\n१. परिचय (१:१) \n\n२. अतिथि-सत्कार देखाउन उत्साह र निर्देशनहरू (१:२-८) \n\n३. डियोत्रिफस र डेमेत्रियस (१:९-१२) \n\n१. निष्कर्ष (१:१३-१४)\n\n### ३ यूहन्‍नाको पुस्तक कसले लेखे ?\n\nपत्रमा लेखकको नाम दिइएको छैन। लेखकले आफूलाई एल्डर (१:१) भनेर चिनाएका छन्। यो पत्र सायद प्रेरित यूहन्‍नाले आफ्नो जीवनको अन्ततिर लेखेका हुन सक्छन्।\n\n### ३ यूहन्‍नाको पुस्तक केको बारेमा छ ?\n\nयूहन्‍नाले यो पत्र गायस नाम गरेका विश्‍वासीलाई लेखेका थिए। तिनले गायसलाई आफ्नो इलाका हुँदै यात्रा गरिरहेका सँगी विश्‍वासीहरूलाई अतिथि सत्कार गर्न निर्देशन दिए।\n\n### यस पुस्तकको शीर्षकको कसरी अनुवाद हुनुपर्छ ?\n\nअनुवादकहरूले यस पुस्तकलाई यसको परम्परागत शीर्षक, "३ यूहन्‍ना" वा "तेस्रो यूहन्‍ना" रोज्‍न सक्छन्। वा तिनीहरूले "यूहन्‍नाबाट तेस्रो पत्र" वा "यूहन्‍नाले लेखेका तेस्रो पत्र" जस्ता स्पष्‍ट शीर्षक छनौट गर्न सक्छन्। (See: [[rc://*/ta/man/translate/translate-names]])\n\n## भाग २: महत्त्‍वपूर्ण धार्मिक र साँस्कृतिक अवधारणाहरू\n\n### अतिथि-सत्कार भनेको के हो ?\n\nप्राचीन पूर्व नजिक क्षेत्रमा अतिथि-सत्कार एउटा महत्त्वपूर्ण अवधारणा थियो । विदेशीहरू वा परदेशीहरूतर्फ मैत्रीपूर्ण हुन र उनीहरूलाई खाँचो परेको खण्डमा सहयोग जुटाउन यो महत्त्वपूर्ण थियो । २ यूहन्‍नामा, यूहन्‍नाले झुटा शिक्षकहरूलाई अतिथि-सत्कार देखाउन निरुत्साहित गरे । ३ यूहन्‍नामा, यूहन्‍नाले ख्रीष्‍टियानहरूलाई विश्‍वासीलो शिक्षकहरूलाई अतिथि-सत्कार देखाउन उत्साहित गरे ।\n\n## भाग ३: महत्त्वपूर्ण अनुवादका विषयहरू\n\n### लेखकले कसरी उनको पत्रमा पारिवारिक सम्बन्धहरूलाई प्रयोग गर्छन् ?\n\nलेखकले **भाइ** र **बालकहरू** जस्ता शब्दहरू यस्तो किसिमले चलाएका छन् जुन अलमल्याउने हुनसक्छ । धर्मशास्‍त्रले धेरैपटक **भाइहरू** भन्‍ने शब्द यहूदीहरूलाई जनाउन प्रयोग गरेको छ । तर यस पत्रमा, यूहन्‍नाले यो शब्द ख्रीष्‍टियानहरूलाई जनाउन प्रयोग गरेका छन् । साथै, यूहन्‍नाले केहि विश्‍वासीहरूलाई उनका **बालकहरू** भनेका छन् । यी ती विश्‍वासीहरू हुन् जसलाई उनले ख्रीष्‍टको आज्ञापालन गर्न सिकाए ।\n\nयूहन्‍नाले **अन्यजाति** भन्‍ने शब्द पनि यस्तो किसिमले प्रयोग गरेका छन् जुन अलमल्याउने हुन सक्छ । धर्मशास्‍त्रले धेरैपटक **अन्यजाति** भन्‍ने शब्द ती मानिसहरूलाई जनाउन प्रयोग गरेको छ जो यहूदी होइनन् । तर यस पत्रमा, यूहन्‍नाले यो शब्द तिनीहरूलाई जनाउन प्रयोग गरेका छन् जसले येशूमा विश्‍वास गर्दैनन् ।
1:1	rni7		rc://*/ta/man/translate/figs-you	सामान्य जानकारीः	0	यो यूहन्‍नाले गायसलाई लेखेको व्यक्तिगत पत्र हो। सबै **तिमी** र **तिम्रो** ले गायसलाई जनाउँछ र यी एकवचन हुन्। (हेर्नुहोस्ः [[rc://*/ta/man/translate/figs-you]])
1:1	w99t		rc://*/ta/man/translate/figs-explicit	ὁ πρεσβύτερος	1	यसले प्रेरित र येशूका चेला यूहन्‍नालाई जनाउँछ। तिनको उमेरको कारणले वा तिनी मण्डलीका अगुवा भएका कारणले आफैँलाई **एल्डर** भनी तिनले उल्लेख गर्छन्। लेखकको नाउँलाई स्पष्‍ट पार्न सकिन्छः “म, एल्डर यूहन्‍नाले लेखिरहेको छु” (हेर्नुहोस्ः [[rc://*/ta/man/translate/figs-explicit]])
1:1	lls6		rc://*/ta/man/translate/translate-names	Γαΐῳ	1	यूहन्‍नाले यी नै सङ्गी विश्‍वासीलाई यो पत्र लेख्‍दै छन् । (हेर्नुहोस्ः [[rc://*/ta/man/translate/translate-names]])
1:1	mp9w			ὃν ἐγὼ ἀγαπῶ ἐν ἀληθείᾳ	1	वैकल्पिक अनुवाद: “जसलाई म साँचो रूपमा प्रेम गर्दछु”
1:2	v6dv			περὶ πάντων & σε εὐοδοῦσθαι καὶ ὑγιαίνειν	1	वैकल्पिक अनुवाद: “म यो प्रार्थना गर्दछु कि तिमीले सबै कुरामा असल गर र स्वस्थ रहो”
1:2	i269			καθὼς εὐοδοῦταί σου ἡ ψυχή	1	वैकल्पिक अनुवाद: “जसरी तिमीले आत्मिक रूपमा राम्रो गरिरहेका छौ”
1:3	b4zh			ἐρχομένων ἀδελφῶν	1	“जब सङ्गी विश्‍वासीहरू आए।” यी मानिसहरू सम्भवतः सबै पुरुषहरू थिए ।
1:3	y7q3		rc://*/ta/man/translate/figs-metaphor	σὺ ἐν ἀληθείᾳ περιπατεῖς	1	यहाँ, कुनै मार्गमा **हिँड्नु** भनेको कुनै व्यक्तिले आफ्नो जीवन कसरी जिउँछ भनि जनाउने अलङ्‍कार हो । वैकल्पिक अनुवादः “तिमी परमेश्‍वरको सत्यताअनुसार जिइरहेका छौ” (हेर्नुहोस्ः [[rc://*/ta/man/translate/figs-metaphor]]
1:4	w79m		rc://*/ta/man/translate/figs-metaphor	τὰ ἐμὰ τέκνα	1	यूहन्‍नाले येशूमा विश्‍वास गर्न सिकाएकाहरूलाई तिनका आफ्नै छोराछोरीहरू हुन् जस्तो गरी बताउँछन् । यसले तिनीहरूप्रति तिनको प्रेम र चासो भएको कुरालाई जोड दिन्छ । तिनी आफैँले नै तिनीहरूलाई प्रभुमा डोर्‍याएको पनि हुन सक्छ । वैकल्पिक अनुवादः “मेरा आत्मिक छोराछोरीहरू” (हेर्नुहोस्ः [[rc://*/ta/man/translate/figs-metaphor]])
