Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	mw28				0	# प्रेरितहरूको परिचय\n\n## भाग १: सामान्य परिचय\n\n### प्रेरितहरूको पुस्तकको रूपरेखा\n\n१. मण्‍डली र त्यसको कार्यलक्ष्यको सुरुवात (१:१-२:४१)\n१. यरूशलेममा भएको सुरुको मण्‍डली (२:४२-६:७)\n१. बढ्‍दो विरोध र स्तिफनस शहीद भएको (६:८-७:६०)\n१. मण्‍डलीको सतावट र फिलिपको सेवकाइ (८:१-४०)\n१. पावल एक प्रेरित हुन्छन् (९:१-३१)\n१. पत्रुसको सेवकाइ र विश्‍वासमा आएका पहिलो अन्यजातिहरू (९:३२-१२:२४)\n१. पावल, अन्यजातिहरूको लागि प्रेरित, यहूदी व्यवस्था, र यरूशलेममा मण्‍डली अगुवाहरूको परिषद् (१२:२५-१६:५)\n१. भूमध्य क्षेत्रको मध्य भाग र दक्षिण-पश्‍चिमी एसियामा भएको द्वीपमा मण्‍डलीको विस्तार (१६:६-१९:२०)\n१. पावल यरूशलेमतर्फ यात्रा गर्छन् र रोममा एक कैदी बन्छन् (१९:२१-२८:३१)\n\n### प्रेरितको पुस्तक केको बारेमा के हो ?\n\nप्रेरितहरूको पुस्तकले धेरै सङ्ख्‍यामा मानिसहरू विश्‍वासीहरू भइरहेको सुरुको मण्‍डलीको वर्णन गर्दछ । यसले पवित्र आत्‍माको शक्तिले सुरुका ख्रीष्‍टिएनहरूलाई सहायता पुर्‍याउनुभएको कुरालाई दर्शाउँछ । येशू स्‍वर्गमा फर्केर जानुभएपछि यस पुस्‍तकका घटनाहरू सुरु हुन्‍छन् र करिब तीस वर्षपछि अन्त्‍य हुन्‍छन् ।\n\n### यस पुस्तकको शीर्षकको अनुवाद कसरी हुनुपर्छ ?\n\nअनुवादकहरूले यस पुस्तकलाई यसको पारम्परिक शीर्षक “प्रेरितहरूको कार्यहरू” भनेर बोलाउनलाई छान्‍न सक्छन् । अथवा तिनीहरूले अझ बढी स्‍पष्‍ट हुने शीर्षकलाई छान्‍न सक्छन्, उदाहरणको लागि, “प्रेरितहरूद्वारा भएको पवित्र आत्माको कार्यहरू ।”\n\n### प्रेरितहरूको पुस्तक कसले लेखे ?\n\nयस पुस्तकले लेखकको नाम उल्‍लेख गरेको छैन । तापनि, यो थियोफिलसलाई सम्‍बोधन गरेर लेखिएको छ । उनै थियोफिलसलाई लूकाको ससमाचारले पनि सम्‍बोधन गरेको छ । साथै, यस पुस्‍तकका केही भागमा लेखकले “हामी” शब्‍द प्रयोग गरेका छन् । यस कुराले लेखकले पावलसँगै यात्रा गरेका थिए भन्ने जनाउँछ । पावलका साथमा यात्रा गर्ने यी व्‍यक्ति लूका नै थिए भन्ने धेरैजसो विद्वानहरूको विचार रहेको छ । यसकारण, ख्रीष्‍टिएनहरूको सुरुको समयदेखि नै धेरैजसो ख्रीष्‍टिएनहरूले लूकाले नै प्रेरितहरूका काम र लूकाको सुसमाचार लेखेका हुन् भनेर विचार गरेका छन् ।\n\nलूका चिकित्साविज्ञानका डाक्टर थिए । तिनले लेखेका तरिकाले तिनी शिक्षित मानिस थिए भन्‍ने दर्शाउँछ । शायद तिनी एक अन्‍यजाति थिए । प्रेरितहरूका पुस्तकमा वर्णन भएका धेरैजसो घटना तिनका आफ्‍नै आँखाले देखेका थिए ।\n\n## भाग २: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू\n\n### मण्‍डली भनेको के हो ?\n\nमण्‍डली ख्रीष्‍टलाई विश्‍वास गर्ने मानिसहरूको समूह हो । मण्‍डलीले यहूदी र अन्‍यजाति दुवै विश्‍वासीहरूलाई समावेश गरेको हुन्‍छ । यस पुस्‍तकमा भएका घटनाहरूले परमेश्‍वरले मण्‍डलीलाई सहायता पुर्‍याउँदै हुनुहुन्‍छ भनी दर्शाउँछन् । धर्मी जीवन बिताउन उहाँले विश्‍वासीहरूलाई पवित्र आत्‍माद्वारा सशक्त तुल्‍याउनुभयो ।\n\n## भाग ३: महत्त्वपूर्ण अनुवादका विषयहरू\n\n### प्रेरितहरूको पुस्तकको पाठ्यसामग्रीमा भएका प्रमुख विषयहरू के-के हुन् ?\n\nप्रेरितको पुस्‍तकका पाठसम्‍बन्‍धी महत्त्वपूर्ण पक्षहरू यी नै हुन्ः\n\nतलका पदहरू बाइबलका पुराना अनुवादहरूमा छन्, तर उत्तम प्राचीन प्रतिलिपिमा छैनन् । कुनै आधुनिक अनुवादले पुराना पदहरूलाई ठूला कोष्‍ठकहरूमा ([]) राख्‍छन् । यूएलटी र यूएसटीले तिनलाई पादटिप्‍पणीमा समावेश गर्छन् ।\n\n* “फिलिपले भने, ‘यदि तिमीले तिम्रो सारा हृदयले विश्‍वास गर्छौ भने, तिमीले बप्‍तिस्मा लिन सक्छौ ।’ इथियोपियालीले जवाफ दिए, ‘म विश्‍वास गर्छु कि येशू ख्रीष्‍ट परमेश्‍वरको पुत्र हुनुहुन्छ’” (प्रेरितहरू ८:३७) ।\n* “तर सिलासलाई त्यहाँ रहन उचित लाग्‍यो ।” (प्रेरितहरू १५:३४)\n* “र हामी उसलाई हाम्रो व्यवस्थाअनुसार इन्साफ गर्न चाहन्थ्यौँ । तर सेनापति लुसियस, आए र उसलाई हाम्रा हातहरूबाट जबरजस्ती लिएर तपाईंकहाँ पठाए ।” (प्रेरितहरू २४:६ख-८क)\n* “जब उनले यी कुराहरू भनिसकेका थिए, यहूदीहरू आपसमा ठूलो विवाद गर्दै बिदा भए ।” (प्रेरितहरू २८:२९)\n\nतलका पदहरूमा, मौलिक लेखले के भनेको छ भन्‍ने पक्‍का छैन । अनुवादकहरूले कुन लेख अनुवाद गर्ने भनी रोज्नुपर्छ । यूएलटीले पहिलो पाठ समावेश गर्छ तर दोस्रो पाठलाई पादटिप्‍पणीमा समावेश गर्छ ।\n* “तिनीहरू यरूशलेमबाट फर्के” (प्रेरितहरू १२:२५) । केही संस्करणहरूमा यसरी भनिएको छ, “तिनीहरू यरूशलेममा (अथवा त्यहाँ) फर्के” ।\n* “उहाँले तिनीहरूलाई सहनुभयो” (प्रेरितहरू १३:१८) । केही संस्करणहरूमा यसरी भनिएको छ, “उहाँले तिनीहरूको वास्ता गर्नुभयो” ।\n* “प्रभुले यसो भन्‍नुहुन्छ, जसले ती कुराहरू गर्नुभएको छ जुन प्राचीन कालहरूदेखि जानिएका छन् ।” (प्रेरितहरू १५:१७-१८) । केही पुराना संस्करणहरूमा यसरी भनिएको छ, “प्रभुले यसो भन्‍नुहुन्छ, जसलाई प्राचीन कालहरूदेखिका उहाँका सबै कार्यहरू थाहा छ ।”\n\n(हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-textvariants]])
1:intro	vyg9				0	# प्रेरितहरू ०१ सामान्य टिपोटहरू\n\n## संरचना र ढाँचा\n\nयस अध्‍यायमा लेखेको कुरालाई सामान्‍य रूपमा “स्‍वर्गारोहण” भनेर जानिन्‍छ । येशूको पुनरुत्थान भएपछि उहाँ फर्केर स्‍वर्गमा जानुभयो । उहाँको “दोस्रो आगमनमा” उहाँ फर्केर नआउञ्‍जेलसम्‍म उहाँ फेरि आउनुहुन्‍न । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/heaven]] अनि [[rc://ne/tw/dict/bible/kt/resurrection]])\n\nयूएसटीले “प्रिय थियोफिलस” शब्‍दलाई अरू शब्‍दहरूबाट अलग राखेको छ । अङ्ग्रेजी भाषा बोल्‍नेहरूले पत्र लेख्‍न यसरी नै सुरु गर्दछन् । तपाईंले आफ्‍नो संस्‍कृतिका मानिसहरूले पत्र लेख्‍न सुरु गरे झैँ गरी यो पुस्‍तक सुरु गर्न सक्‍नुहुन्‍छ ।\n\nकेही अनुवादहरूले पुरानो करारबाटका उद्धरणहरूलाई पृष्‍ठमा बाँकीको खण्‍डभन्दा दायाँतिर पर सार्छन् । यूएलटीले १:२० मा भजनसङ्ग्रहको पुस्तकबाट लिइएको दुईवटा उद्धरणहरूसँग यसै गर्छ ।\n\n## यस अध्यायमा भएका विशेष अवधारणाहरू\n\n### बप्‍तिस्मा दिनु\n\nयस अध्‍यायमा “बप्‍तिस्‍मा” शब्दका दुई अर्थ रहेका छन् । यसले युहन्‍नाले दिएको पानीको बप्‍तिस्मा र पवित्र आत्‍माको बप्‍तिस्मालाई जनाउँछ (प्रेरितहरू १:५(../../act/01/05.md)) । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/baptize]])\n\n### “उहाँले परमेश्‍वरको राज्यको बारेमा बोल्‍नुभयो”\n\nकेही विद्वानहरू विश्‍वास गर्दछन्, येशूले “परमेश्‍वरको राज्‍यको बारेमा भन्‍नुहुँदा” उहाँको मृत्‍यु हुनुभन्‍दा पहिला परमेश्‍वरको राज्‍य किन आएन भनी उहाँले चेलाहरूलाई स्‍पष्‍ट पार्नुभयो । अरूको विश्‍वास छ, येशू जीवित हुनुहुँदा नै परमेश्‍वरको राज्‍य सुरु भयो । अनि यहाँ परमेश्‍वरको राज्‍य नयाँ स्‍वरूपमा सुरु हुने कुरालाई उहाँले स्‍पष्‍ट पार्दै हुनुहुन्‍छ ।\n\n## यस अध्यायमा भएका अनुवादका अन्य सम्भाव्य कठिनाइहरू\n\n### बाह्र चेलाहरू\n\nबाह्र चेलाहरूको सूची निम्‍नानुसार छः\n\nमत्तीमाः\n\nसिमोन (पत्रुस), अन्द्रियास, जब्दियाका छोरा याकूब, जब्दियाका छोरा यूहन्‍ना, फिलिप, बारथोलोमाइ, थोमा, मत्ती, अल्‍फयसका छोरा याकूब, थेदियस, सिमोन उग्रपन्थी र यहूदा इस्‍करियोत ।\n\nमर्कुसमाः\n\nसिमोन (पत्रुस), अन्द्रियास, जब्दियाका छोरा याकूब र जब्दियाका छोरा यूहन्‍ना (जसलाई उहाँले बोअनर्गेस नाम दिनुभयो, जसको अर्थ हो , गर्जनका पुत्रहरू), फिलिप, बारथोलोमाइ, मत्ती, थोमा, अल्‍फयसका छोरा याकूब, थेदियस, सिमोन उग्रपन्थी, र यहूदा इस्‍करियोत ।\n\nलूकामाः\n\nसिमोन (पत्रुस), अन्द्रियास, याकूब, यूहन्‍ना, फिलिप, बारथोलोमाइ, मत्ती, थोमा, अल्‍फयसका छोरा याकूब, सिमोन (जसलाई उग्रपन्थी भनिन्‍थ्यो), याकूबका छोरा यहूदा, र यहूदा इस्‍करियोत ।\n\nसम्भवतः थेदियस र याकूबका छोरा, यहूदा एउटै व्यक्ति हुन् ।\n\n### आखेल्दामा\n\nयो हिब्रु वा आरमेइक वाक्‍यांश हो । लूकाले यो ग्रीक अक्षरमा लेखे, र यसरी यो कस्‍तो सुन्‍न सकिन्‍छ भनेर तिनका पाठकहरूले थाहा पाऊन् । अनि तिनले यसको अर्थ बताए । तपाईंले यसलाई आफ्‍नो भाषाको अक्षरले लेखेर अर्थ स्‍पष्‍ट पार्नुपर्छ । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-transliterate]])
1:1	q9ep			τὸν μὲν πρῶτον λόγον ἐποιησάμην	1	पहिलो पुस्तक लूकाको सुसमाचार हो ।
1:1	ryj5		rc://*/ta/man/translate/translate-names	ὦ Θεόφιλε	1	लूकाले यो पुस्तक थियोफिलस नाम गरेका मानिसलाई लेखेका हुन् । कतिपय अनुवादहरूले तिनीहरूको पत्रमा सम्बोधन गर्ने तरिकालाई आफ्नै संस्कृतिअनुसार गर्ने गर्छन्, र पत्रको वाक्यको सुरुमा “प्रिय थियोफिलस” भनेर लेख्छन् । थियोफिलसको अर्थ हुन्छ, “परमेश्‍वरका मित्र” । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-names]])
1:2	n435		rc://*/ta/man/translate/figs-activepassive	ἄχρι ἧς ἡμέρας & ἀνελήμφθη	1	यसले येशू स्वर्गारोहण हुनुभएको कुरालाई देखाउँछ । वैकल्‍पिक अनुवादः “परमेश्‍वरले उहाँलाई माथि स्‍वर्गमा लाने दिनसम्‍म” वा “उहाँ माथि स्‍वर्गमा उक्‍लेर जानुभएको दिनसम्‍म” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-activepassive]])
1:2	a394			ἐντειλάμενος & διὰ Πνεύματος Ἁγίου	1	पवित्र आत्माले निश्‍चित कुराहरूमा प्रेरितहरूलाई निर्देशन गर्न येशूलाई अगुवाइ गर्नुभयो ।
1:3	dup3			μετὰ τὸ παθεῖν αὐτὸν	1	यसले येशूको दुःख र क्रूसमा भएको मृत्युलाई जनाउँछ ।
1:3	yc16			οἷς & παρέστησεν ἑαυτὸν ζῶντα	1	येशू प्रेरितहरूकहाँ र अरू धेरै जना चेलाहरूकहाँ देखा पर्नुभयो ।
1:4	d3kr		rc://*/ta/man/translate/figs-you	सामान्य जानकारीः	0	यहाँ “उहाँ” शब्दले येशूलाई जनाउँछ । अन्य किसिमले नबताइएसम्‍म, प्रेरितको पुस्तकमा भएको “तिमीहरू” शब्द बहुवचनमा छ । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-you]])
1:4	lw3e			जोड्ने कथनः	0	यो येशू मृतकहरूबाट जीवित भएर तिनीहरूकहाँ देखा परेको ४० दिनको समयमा भएको घटना हो ।
