Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	d9hy				0	# कलस्‍सीहरूको परिचय\n\n## भाग १: सामान्य परिचय\n\n### कलस्‍सीहरूको पुस्तकको रूपरेखा\n\n१. अभिवादन, धन्यवादज्ञापन, र प्रार्थना (१:१-१२)\n१. ख्रीष्‍टको व्यक्तित्व र काम\n- छुटकारा र उद्धार (१:१३-१४)\n- ख्रीष्‍टः अदृश्‍य परमेश्‍वर, र सारा सृष्‍टिमाथि हुनुहुनेको प्रतिरूप (१:१५-१७)\n- ख्रीष्‍ट मण्‍डलीको शिर हुनुहुन्छ, र मण्‍डलीले उहाँमा भरोसा गर्छ (१:१८-२:७)\n१. विश्‍वासयोग्‍यताका जाँचहरू\n- झूटा शिक्षकहरूको विरुद्धमा चेतावनीहरू (२:८-१९)\n- साँचो ईश्‍वरीयता चाहिँ कठोर नियमहरू र अलचिलो परम्पराहरू होइन (२:२०-२३)\n१. शिक्षा र जीवनी\n- ख्रीष्‍टमा भएको जीवन (३:१-४)\n- पुरानो र नयाँ जीवन (३:५-१७)\n- ख्रीष्‍टिएन परिवार (३:१८-४:१)\n१. ख्रीष्‍टिएन व्यवहार (४:२-६)\n१. समापन र अभिवादनहरू\n- पावलले तुखिकस र ओनेसिमसलाई धन्यवाद दिन्छन् (४:७-९)\n- पावलले उनका सङ्गीहरूबाटको अभिवादनहरू पठाउँछन् (४:१०-१४)\n- पावलले अर्खिप्‍पस र लाउडिकियामा भएका ख्रीष्‍टिएनहरूलाई निर्देशनहरू दिन्छन् (४:१५-१७)\n- पावलको व्यक्तिगत अभिवादन (४:१८)\n\n### कलस्‍सीहरूको पुस्तक कसले लेखे ?\n\nपावलले कलस्‍सीहरूको पुस्तक लेखे । पावल टार्सस सहरबाटका थिए । उनलाई उनको पहिलेको जीवनमा शाऊल भनेर चिनिएको थियो । ख्रीष्‍टिएन हुनभन्दा अगाडि, पावल एक फरिसी थिए । उनले ख्रीष्‍टिएनहरूलाई सताए । उनी ख्रीष्‍टिएन भइसकेपछि, उनी थुप्रै पटक रोमी साम्राज्यभरी मानिसहरूलाई येशूको बारेमा बताउँदै यात्रा गरे ।\n\nपावलले यो पत्र उनी झ्‍यालखानामा हुँदा लेखे ।\n\n### कलस्‍सीहरूको पुस्तक केको बारेमा हो ?\n\nपावलले यो पत्र एसियाको दक्षिण-पश्‍चिमी भागको कलस्‍से नामक सहरमा भएका विश्‍वासीहरूलाई लेखे । यो पत्र लेख्‍नुको मुख्‍य उद्देश्‍य चाहिँ झूटा शिक्षकहरूबाट सुसमाचारको बचाउ गर्नु थियो । परमेश्‍वरको प्रतिरूप, सारा थोकहरूको पालनकर्ता, र मण्‍डलीको शिरको रूपमा येशूलाई प्रशंसा गरेर उनले त्यसो गरे । परमेश्‍वरले तिनीहरूलाई स्‍वीकार गर्नुहुनको लागि केवल ख्रीष्‍टको मात्र खाँचो छ भनेर तिनीहरूले बुझेका पावल चाहन्थे ।\n\n### यस पुस्तकको शीर्षकको अनुवाद कसरी हुनुपर्छ ?\n\nअनुवादकहरूले यस पुस्तकलाई यसको पारम्परिक शीर्षक “कलस्‍सीहरू” भनेर बोलाउनलाई छान्‍न सक्छन् । अथवा तिनीहरूले अझ बढी स्‍पष्‍ट शीर्षक छान्‍न सक्छन्, जस्तै, “कलस्‍सेमा भएको मण्‍डलीलाई पावलको पत्र” वा “कलस्‍सेमा भएको ख्रीष्‍टिएनहरूलाई एक पत्र” । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-names]])\n\n## भाग २: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू\n\n### कलस्‍सेमा भएको मण्‍डलीले सङ्घर्ष गरिरहेको धार्मिक विषयहरू के थिए ?\n\nकलस्‍सेमा भएको मण्‍डलीमा, त्यहाँ झूटा शिक्षकहरू थिए । तिनीहरूको खास शिक्षा जानिएको छैन । तर तिनीहरूले तिनीहरूका अनुयायीहरूलाई शायद स्‍वर्गदूतहरूको आराधना गर्न र धार्मिक चाडपर्वहरूको विषयमा भएका कडा नियमहरूलाई पालना गर्नलाई सिकाए । तिनीहरूले शायद कोही व्यक्तिको खतना हुनैपर्छ र केही निश्‍चित प्रकारका खानेकुरा मात्रै खान हुन्छ भनेर पनि सिकाए । पावलले बताए कि यी झूटा शिक्षाहरू मानिसहरूका मनबाट आएका हुन् र परमेश्‍वरबाट होइन ।\n\n### पावलले स्वर्ग र पृथ्‍वीको चित्रणलाई कसरी प्रयोग गरे ?\n\nयस पत्रमा, पावलले बारम्बार स्‍वर्गलाई “माथि” रहेको भनेर बताउँछन् । उनले यसलाई पृथ्‍वीबाट अलग देखाउँछन्, जसलाई धर्मशास्‍त्रले “तल” रहेको भनेर बताउँछ । यो चित्रणको उद्देश्‍य चाहिँ माथि स्वर्गमा बस्‍नुहुने परमेश्‍वरलाई सम्‍मान गर्ने तरिकाले जिउनलाई ख्रीष्‍टिएनहरूलाई सिकाउनु हो । पृथ्‍वी वा भौतिक संसार दुष्‍ट छ भनेर पावलले सिकाइरहेका छैनन् । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/evil]])\n\n## भाग ३: अनुवादका महत्त्वपूर्ण विषयहरू\n\n### कलस्‍सीहरूको यूएलटीमा “पवित्र” र “शुद्ध पार्नु” जस्ता अवधारणाहरूलाई कसरी प्रतिनिधित्व गरिएको छ ?\n\nविभिन्‍न अवधारणाहरूमध्ये कुनै एकलाई सङ्केत गर्न धर्मशास्‍त्रले यस्ता शब्दहरूको प्रयोग गर्छ । यसैकारण, अनुवादकलाई कतिपटक यिनीहरूलाई तिनीहरूका संस्करणहरूमा राम्ररी प्रतिनिधित्व गर्न कठिन हुन जान्छ । कलस्‍सीहरूमा, यी शब्दहरूले ख्रीष्‍टिएनहरूले निभाएका कुनै खास भूमिकाको अर्थ नदिइकन विशेषगरी तिनीहरूको साधारण उल्‍लेखलाई सङ्केत गर्छन् । त्यसैले यूएलटीमा भएको कलस्‍सीहरूको पुस्तकले “विश्‍वासीहरू” वा “तिनीहरू जसले उहाँमा विश्‍वास गर्छन्” भन्‍ने शब्दहरूलाई प्रयोग गर्छ । (हेर्नुहोस्ः १:२, १२, २६)\n\n### के येशूको सृष्‍टि भएको थियो, कि उहाँ अनन्त हुनुहुन्छ ?\n\nयेशुको सृष्‍टि भएको थिएन तर उहाँ सधैँ परमेश्‍वरको रूपमा अस्तित्वमा रहनुभएको छ । येशू मानव प्राणी पनि हुनुभयो । कलस्‍सी १:१५ मा अलमल हुने सम्भाव्यता छ, जहाँ भनिएको छ कि “येशू सारा सृष्‍टिमाथि ज्येष्‍ठ हुनुहुन्छ” । यो भनाइको अर्थ हो कि येशू सारा सृष्‍टिमाथि प्रबल हुनुहुन्छ । यो भनाइको अर्थ यो होइन कि उहाँ परमेश्‍वरले सृष्‍टि गर्नुभएको पहिलो थोक हो । अनुवादकहरू होशियार हुनुपर्छ कि येशू सृष्‍टि गरिनुभएको प्राणी हुनुहुन्छ भनेर अर्थ नलागोस् ।\n\n### पावलले “ख्रीष्‍टमा”, “प्रभुमा”, आदि अभिव्यक्तिहरूले के अर्थ दिन खोजेका हुन् ?\n\nपावलले ख्रीष्‍ट र विश्‍वासीहरूसँगको धेरै नजिकको एकताको विचारलाई व्यक्त गर्न खोजेका हुन् । कृपया यस प्रकारको अभिव्यक्तिको थप विस्तृत जानकारीको लागि रोमीहरूको पुस्तकको परिचयलाई हेर्नुहोस् ।\n\n### कलस्‍सीहरूको पुस्तकको पाठ्यसामग्रीमा भएका प्रमुख विषयहरू के-के हुन् ?\n\nनिम्‍न दिइएका पदहरूको लागि बाइबलका केही नयाँ संस्करणहरू पुराना संस्करणहरूसँग मेल खाँदैनन् । यूएलटीमा भएको खण्‍डमा नयाँ भनाइलाई राखिएको छ र पुरानो भनाइलाई पादटिप्‍पणीमा राखिएको छ । यदि सामान्य क्षेत्रमा बाइबलको कुनै अनुवाद पाइन्छ भने, अनुवादकहरूले ती संस्करणहरूमा पाइने भनाइलाई प्रयोग गर्ने बारेमा विचार गर्नुपर्छ । यदि पाइँदैन भने, अनुवादकहरूलाई नयाँ भनाइलाई प्रयोग गर्नलाई सुझाव दिइन्छ ।\n\n* “तिमीहरूलाई अनुग्रह होस् र परमेश्‍वर हाम्रा पिताबाट शान्ति” (१:२) । केही पुराना संस्करणहरूमा अझ लामो भनाइ छः “तिमीहरूलाई अनुग्रह होस् र परमेश्‍वर हाम्रा पिता र प्रभु येशू ख्रीष्‍टबाट शान्ति ।”\n* “इपाफ्रास, हाम्रा प्रिय सङ्गी सेवक, जो हाम्रो पक्षमा ख्रीष्‍टका एक विश्‍वासयोग्‍य सेवक हुन्” (१:७) । केही पुराना संस्करणहरूमा “तिमीहरूको लागि” भनेर राखिएको छः “इपाफ्रास, हाम्रा प्रिय सङ्गी सेवक, तिमीहरूको लागि ख्रीष्‍टको एक विश्‍वासयोग्‍य सेवक ।”\n* “पिता, जसले तिमीहरूलाई ज्योतिमा भएको विश्‍वासीहरूको उत्तराधिकारमा एउटा अंश पाउनलाई योग्‍य बनाउनुभएको छ” (१:१२) । केही पुराना संस्करणहरूमा यसरी भनिएको छ, “पिता, जसले हामीलाई ज्योतिमा भएको उत्तराधिकारमा एउटा अंश पाउनलाई योग्‍य बनाउनुभएको छ ।”\n* “उहाँको पुत्रमा, हाम्रो उद्धार छ ।” (१:१४) केही पुराना संस्करणहरूमा यसरी भनिएको छ, “उहाँको पुत्रमा उहाँको रगतद्वारा हामीले उद्धार पाएका छौँ ।”\n* “र हामीलाई हाम्रा सबै अपराधहरू क्षमा गर्नुभयो” (२:१३) । केही पुराना संस्करणहरूमा यसरी भनिएको छः “र तिमीहरूलाई तिमीहरूका सबै अपराधहरू क्षमा गर्नुभयो ।”\n* “जब ख्रीष्‍ट देखा पर्नुहुन्छ, जो तिमीहरूको जीवन हुनुहुन्छ” (३:४) । केही पुराना संस्करणहरूमा यसरी भनिएको छ, “जब ख्रीष्‍ट देखा पर्नुहुन्छ, जो हाम्रो जीवन हुनुहुन्छ ।”\n* “यो यी नै कुराहरूको लागि हो कि परमेश्‍वरको क्रोध अनाज्ञापालनका छोराहरूमाथि आउँदै छ” (३:६) । यूएलटी, यूएसटी, र धेरै अरू नयाँ संस्करणहरूमा यसरी भनिएको छ । तापनि, केही नयाँ र पुराना संस्करणहरूमा यसरी भनिएको छ, “यो यी नै कुराहरूको लागि हो कि परमेश्‍वरको क्रोध आउँदै छ ।”\n* “मैले यसको लागि तिनलाई तिमीहरूकहाँ पठाएँ, कि हाम्रो बारेमा भएका विषयहरू तिमीहरूलाई थाहा होस्” (४:८) । केही पुराना संस्करणहरूमा यसरी भनिएको छ, “मैले यसको लागि तिनलाई तिमीहरूकहाँ पठाएँ, कि तिमीहरूका बारेमा भएका विषयहरू तिनलाई थाहा होस् ।”\n\n(हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-textvariants]])
1:intro	gtm3				0	# कलस्‍सीहरू ०१ सामान्य टिपोटहरू\n\n## संरचना र ढाँचा\n\nकुनै पत्रमा जस्तै, पावलले उनको पत्रलाई पदहरू १-२ मा कलस्‍सेमा भएका ख्रीष्‍टिएनहरूको सामु तिमोथी र आफैँलाई परिचय गराउँदै सुरु गर्छन् ।\n\nपावलले यस अध्यायको धेरैजसो भाग दुई विषयहरूको वरिपरि रहेर लेख्‍छन्ः ख्रीष्‍ट को हुनुहुन्छ, र ख्रीष्‍टले एक ख्रीष्‍टिएनको लागि के गर्नुभएको छ ।\n\n## यस अध्यायमा भएका विशेष अवधारणाहरू\n\n### गोप्‍य सत्यता\n\nयस अध्यायमा पावलले एउटा “गोप्‍य सत्यता”लाई जनाउँछन् । परमेश्‍वरका योजनाहरूमा मण्‍डलीको भूमिकाको बारेमा एक समयमा जानिएको थिएन । तर अब परमेश्‍वरले त्यो प्रकट गर्नुभएको छ । परमेश्‍वरका योजनाहरूमा अन्यजातिहरूको यहूदीहरूसँगको बरारबर उभ्याइलाई यस सत्यताको एउटा हिस्‍साले समावेश गर्छ । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/reveal]])\n\n## यस अध्यायमा भएका महत्त्वपूर्ण भाषाका अलङ्कारहरू\n\n### ख्रीष्‍टिएन जीवनको लागि चित्रणहरू\nख्रीष्‍टिएन जीवनलाई वर्णन गर्नको लागि पावलले थुप्रै विभिन्‍न चित्रणहरूको प्रयोग गर्छन् । यस अध्यायमा, उनले “हिँड्नु” र “फल फलाउनु”को चित्रणहरूलाई प्रयोग गर्छन् । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/other/fruit]])\n\n## यस अध्यायमा भएका अनुवादका अन्य सम्भाव्य कठिनाइहरू\n\n### विरोधाभासी कथन\n\nविरोधाभासी कथन चाहिँ एउटा सत्य भनाइ हो जसले केही असम्भव कुरालाई वर्णन गरेको जस्तो देखिन्छ । पद २४ एउटा विरोधाभासी कथन होः “अब म तिमीहरूको लागि भएको मेरो दुःखभोगमा आनन्द मनाउँछु ।” मानिसहरूले सामान्यतया तिनीहरूले दुःखभोग गर्दा आनन्द मनाउँदैनन् । तर पदहरू २५-२९ मा पावलले उनको दुःखभोग किन असल छ भनेर व्याख्या गर्छन् । ([कलस्‍सीहरू १:२४](../../col/01/24.md))
1:1	h5gl		rc://*/ta/man/translate/figs-inclusive	सामान्य जानकारीः	0	हुन त यो पत्र पावल र तिमोथीबाट कलस्‍सी विश्‍वासीहरूलाई लेखिएको हो, पछि पत्रमा पावलले स्‍पष्‍ट पार्दछन् कि उनी चाहिँ लेखक हुन् । यो धेरै सम्भाव्य छ कि तिमोथी उनीसँगै थिए र पावलले बोल्दै गर्दा उनले ती शब्‍दहरूलाई लेखे । यो पत्रभर अरू किसिमले नबताइएसम्म “हामी”, “हाम्रो” र “हामीहरूका” जस्ता शब्दहरूले कलस्सीहरूलाई समावेश गर्छ । अरू किसिमले नबताइएसम्म “तिमी”, “तिम्रो” र “तिमीहरूका” जस्ता शब्दहरूले कलस्सी विश्‍वासीहरूलाई जनाउँछ र त्यसैले ती बहुवचन हुन् । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-inclusive]] अनि [[rc://ne/ta/man/translate/figs-you]])
1:1	fny3			ἀπόστολος Χριστοῦ Ἰησοῦ διὰ θελήματος Θεοῦ	1	“जसलाई परमेश्‍वरले ख्रीष्‍ट येशूको एक प्रेरित हुनलाई चुन्‍नुभयो”
1:3	q1su		rc://*/ta/man/translate/figs-exclusive	εὐχαριστοῦμεν & τοῦ Κυρίου ἡμῶν & πάντοτε	1	यी शब्दहरूले कलस्सीहरूलाई समावेश गर्दैनन् । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-exclusive]])
1:4	km8w		rc://*/ta/man/translate/figs-exclusive	ἀκούσαντες	1	पावलले उनका पाठकगणलाई समेटिरहेका छैनन् । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-exclusive]])
1:4	z6eb			τὴν πίστιν ὑμῶν ἐν Χριστῷ Ἰησοῦ	1	“ख्रीष्‍ट येशूमा तिमीहरूको विश्‍वास”
1:5	n1qz		rc://*/ta/man/translate/figs-metonymy	διὰ τὴν ἐλπίδα τὴν ἀποκειμένην ὑμῖν ἐν τοῖς οὐρανοῖς	1	यहाँ “निश्‍चित आशा”को अर्थ विश्‍वासीले निश्‍चित भएर अपेक्षा गर्न सक्‍ने कुरा हुन्छ, त्यो भनेको ती कुराहरू हुन् जुन परमेश्‍वरले सारा विश्‍वासीहरूको लागि गर्ने प्रतिज्ञा गर्नुभएको छ । यी कुराहरूको विषयमा यसरी बताइएको छ कि मानौँ ती भौतिक वस्तुहरू थिए जसलाई विश्‍वासीहरूले पछि प्राप्‍त गर्नको लागि परमेश्‍वरले स्वर्गमा राखिरहनुभएको थियो । वैकल्पिक अनुवादः “किनकि तिमीहरू निश्‍चित छौ कि परमेश्‍वरले, जो स्वर्गमा हुनुहुन्छ, थुप्रै असल कुराहरू गर्नुहुनेछ जुन उहाँले तिमीहरूलाई प्रतिज्ञा गर्नुभएको छ” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-metonymy]])
1:5	xn8s			τῷ λόγῳ τῆς ἀληθείας, τοῦ εὐαγγελίου	1	सम्भावित अर्थहरू हुन् १) “सत्यताको बारेमा भएको सन्देश, सुसमाचार” वा २) “साँचो सन्देश, सुसमाचार ।”
1:6	wk21		rc://*/ta/man/translate/figs-metaphor	ἐστὶν καρποφορούμενον καὶ αὐξανόμενον	1	यहाँ “फल” भनेको “परिणाम” वा “उपज”को लागि एउटा अलङ्कार हो । वैकल्पिक अनुवादः “सुसमाचारले धेरैभन्दा धेरै असल परिणामहरू ल्याउँदै छ” वा “सुसमाचारले बढ्दो परिणामहरू ल्याउँदै छ” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-metaphor]])
