Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	e3di				0	# एफिसीको परिचय\n\n## भाग १: सामान्य परिचय\n\n### एफिसीको रूपरेखा\n\n१. ख्रीष्‍टमा अभिवादन र आत्मिक आशिष्‌हरूको लागि प्रार्थना (१:१-२३) \n\n२. पाप र उद्धार (२:१-१०) \n\n३. एकता र शान्ति (२:११-२२) \n\n४. तिमीहरूमा ख्रीष्‍टको रहस्य, थाहा गराइएको (३:१-१३) \n\n५. तिनीहरूलाई बलिया बनाउन उहाँको महिमाको सम्पत्तिहरूको लागि प्रार्थना (३:१४-२१) \n\n६. आत्माको एकता, ख्रीष्‍टको शरीरको निर्माण (४:१-१६) \n\n७. नयाँ जीवन (४:१७-३२) \n\n८. परमेश्‍वरको देखासिकी गर्नेहरू (५:१-२१) \n\n९. पत्‍नीहरू र पतिहरू; छोराछोरीहरू र बाबुआमाहरू; दासहरू र मालिकहरू (५:२२-६:९) \n\n१०. परमेश्‍वरको हातहतियार (६:१०-२०) \n\n११. अन्तिम अभिवादन (६:२१-२४)\n\n### एफिसीको पुस्तक कसले लेखे?\n\nपावलले एफिसीको पत्र लेखे। पावल टार्सस सहरबाट थिए। उनको पहिलाको जीवनमा उनलाई शाऊल भनेर चिनिन्थ्यो। ख्रीष्‍टियन हुनुभन्दा अगाडि, पावल एक फरिसी थिए। उनले ख्रीष्‍टियनहरूलाई सताए। उनी ख्रीष्‍टियन भइसकेपछि, उनले रोमी साम्राज्यभर मानिसहरूलाई येशूको बारेमा बताउँदै धेरैपटक यात्रा गरे।\n\nउनका यिनै यात्राहरूमध्ये कुनै एउटामा प्रेरित पावलले एफिससको मण्‍डली सुरु गर्नलाई सहयोग गरेका थिए। साथै उनी एफिससमा साँढे एक वर्ष पनि बसे र त्यहाँ भएका विश्‍वासीहरूलाई सहायता गरे। पावलले यो पत्र सम्भवतः उनी रोममा झ्‍यालखानामा हुँदा लेखेका हुन्।\n\n### एफिसीको पुस्तक केको बारेमा हो?\n\nपावलले यो पत्र एफिससमा भएका ख्रीष्‍टियनहरूलाई तिनीहरूको लागि ख्रीष्‍ट येशूमा भएको परमेश्‍वरको प्रेमलाई व्याख्या गर्नका लागि ‍लेखे। तिनीहरू अब ख्रीष्‍टसँग एक भएका कारण परमेश्‍वरले तिनीहरूलाई दिइरहनुभएको आशिष्‌लाई उनले वर्णन गरे। उनले व्याख्या गरे कि सबै विश्‍वाीहरू एकसाथ जोडिएका छन्, चाहे ती यहूदी होऊन् वा अन्यजाति। परमेश्‍वरलाई खुशी बनाउने तवरमा जीवन जिउनका लागि तिनीहरूलाई प्रोत्साहन दिन पनि पावल चाहन्थे।\n\n### यस पुस्तकको शीर्षकको अनुवाद कसरी हुनुपर्छ?\n\nअनुवादकहरूले यस पुस्तकलाई यसको पारम्परिक शीर्षक “एफिसी” भनेर बोलाउनलाई छान्‍न सक्छन्। अथवा तिनीहरूले अझ बढी प्रस्‍ट शीर्षक छान्‍न सक्छन् जस्तै, “एफिससमा भएको मण्‍डलीलाई पावलको पत्र” वा “एफिससमा भएका ख्रीष्‍टियनहरूलाई एक पत्र”। (हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-names]])\n\n## भाग २: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू\n\n### एफिसीको पुस्तकमा भएको “रहस्यको कुरा” के थियो?\n\nयूएलटीमा “रहस्यको कुरा” वा “लुकेको” भनेर अनुवाद गरिएको अभिव्यक्तिलाई छ पटक प्रयोग गरिएको छ। यसद्वारा पावलले सधैँ अर्थ दिन खोजेका कुरा चाहिँ केही त्यस्तो कुरा हो जुन परमेश्‍वरले मानिसहरूलाई प्रकट गर्नुपर्थ्यो किनभने तिनीहरूले त्यो आफैँ जान्‍न सक्दैनथे। त्यसले सधैँ परमेश्‍वरले मानवजातिलाई कसरी बचाउन चाहनुभयो भन्‍ने कुरालाई जनाउँथ्यो। कहिलेकाहीँ त्यो कुरा उहाँ आफू र मानवजातिको बीचमा कसरी शान्ति स्थापना गर्ने भन्‍ने सम्बन्धमा भएको उहाँको योजनाको बारेमा हुन्थ्यो। कहिलेकाहीँ चाहिँ त्यो कुरा ख्रीष्‍टद्वारा यहूदीहरू र अन्यजातिहरूलाई एकीकृत गर्ने सम्बन्धमा भएको उहाँको योजनाको बारेमा हुन्थ्यो। अब अन्यजातिहरू पनि यहूदीहरूसँग बराबर रूपमा भएर ख्रीष्‍टका प्रतिज्ञाहरूबाट लाभ लिन सक्छन्।\n\n### पावलले उद्धार र धर्मी जीवनको विषयमा के भने?\n\nपावलले यस पत्रमा र उनका थुप्रै पत्रहरूमा उद्धार र धर्मी जीवनको विषयमा धेरै कुरा भने। उनले भने कि परमेश्‍वर धेरै दयालु हुनुभएको छ ख्रीष्‍टियनहरूलाई बचाउनुभएको छ किनभने तिनीहरूले येशूमा विश्‍वास गर्छन्। त्यसैकारण, तिनीहरू ख्रीष्‍टियन भएपश्‍चात, तिनीहरूले आफूहरूसँग ख्रीष्‍टमा विश्‍वास छ भनेर देखाउनका लागि धर्मी तवरले जिउनुपर्छ। (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/righteous]])\n\n## भाग ३: अनुवादका महत्त्वपूर्ण विषयहरू\n\n### “तिमी”को एकवचन र बहुवचन रूपहरू\n\nयस पुस्तकमा, “म” शब्दले पावललाई जनाउँछ। साथै, “तिमी” शब्दले प्राय सधैँ बहुवचनमा छ र यस पत्रलाई पढ्न सक्‍ने विश्‍वासीहरूलाई जनाउँछ। यसका तीन अपवादहरू हुन्ः ५:१४, ६:२, र ६:३। (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-you]])\n\n### पावलले “नयाँ व्यक्ति” वा “नयाँ मानिस” भनेर के भन्‍न खोजेका हुन् ?\n\nजब पावलले “नयाँ व्यक्ति” वा “नयाँ मानिस”को विषयमा कुरा गरे, उनले एक विश्‍वासीले पवित्र आत्माबाट प्राप्‍त गर्ने नयाँ स्वभाव भन्‍न खोजेका हुन्। यो नयाँ स्वभाव परमेश्‍वरको स्वरूपमा सृजिएको थियो (हेर्नुहोस्ः ४:२४)। “नयाँ मानिस” भन्‍ने वाक्यांशलाई परमेश्‍वरले यहूदीहरू र अन्यजातिहरूको बीचमा शान्ति ल्याउनुभएको कुरालाई जनाउन पनि प्रयोग गरिएको छ। परमेश्‍वरले तिनीहरूलाई एउटै मानिसहरूको रूपमा ल्याउनुभयो जो उहाँका हुन् (हेर्नुहोस्ः २:१५)।\n\n### एफिसीको यूएलटीमा “पवित्र” र “शुद्ध पार्नु” जस्ता अवधारणाहरूलाई कसरी प्रतिनिधित्व गरिएको छ?\n\nविभिन्‍न अवधारणाहरूमध्ये कुनै एकलाई सङ्केत गर्न धर्मशास्‍त्रले यस्ता शब्दहरूको प्रयोग गर्छ। यसैकारण, अनुवादकलाई कतिपटक यिनीहरूलाई तिनीहरूका संस्करणहरूमा राम्ररी प्रतिनिधित्व गर्न कठिन हुन जान्छ। अङ्ग्रेजीमा अनुवाद गर्दा, यूएलटीले निम्‍न सिद्धान्तहरूको प्रयोग गर्छः\n\n* कहिलेकाहीँ खण्‍डमा भएको अर्थले केवल नैतिक पवित्रताको अर्थ दिएको हुन्छ। सुसमाचार बुझ्‍नलाई विशेषगरी महत्त्वपूर्ण कुरा चाहिँ परमेश्‍वरले विश्‍वासीहरूलाई येशू ख्रीष्‍टसँग एकीकृत भएका कारण पापरहित देख्‍नुहुन्छ भन्‍ने तथ्यलाई व्यक्त गर्नलाई भएको “पवित्र” शब्दको प्रयोग हो। “पवित्र” शब्दको अर्को प्रयोग चाहिँ परमेश्‍वर सिद्ध र खोटरहित हुनुहुन्छ भन्‍ने अवधारणालाई व्यक्त गर्नलाई हो। एउटा तेस्रो प्रयोग चाहिँ ख्रीष्‍टियनहरूले आफूहरूलाई जीवनमा दोषरहित, खोटरहित ढङ्गमा चलाउनुपर्छ भन्‍ने अवधारणालाई व्यक्त गर्नलाई हो। यस्ता खण्‍डहरूमा, यूएलटीले “पवित्र”, “पवित्र परमेश्‍वर”, “पवित्र जनहरू” वा “पवित्र मानिसहरू” जस्ता शब्दहरूको प्रयोग गर्छ। (हेर्नुहोस्ः १:१, ४)\n* कहिलेकाहीँ सन्दर्भले ख्रीष्‍टियनहरूले निभाएका कुनै खास भूमिकाको अर्थ नदिइकन विशेषगरी तिनीहरूको साधारण उल्‍लेखलाई सङ्केत गरेको हुन्छ। यस्ता खण्‍डहरूमा, यूएलबीले “विश्‍वासी” वा “विश्‍वासीहरू”को प्रयोग गर्छ।\n* कहिलेकाहीँ सन्दर्भले मुख्यगरी कोही व्यक्ति वा केही कुरा केवल परमेश्‍वरको लागि अलग भएको कुराको अर्थ दिएको हुन्छ। यी खण्‍डहरूमा, यूएलटीले “अलग राखिएको”, “ … लाई समर्पित गरिएको” वा “ … का लागि संरक्षित गरिएको” जस्ता शब्दहरूको प्रयोग गर्छ। (हेर्नुहोस्ः ३:५)\n\nजसै अनुवादकहरूले यी अवधारणाहरूलाई तिनीहरूका आफ्नै संस्करणहरूमा कसरी प्रतिनिधित्व गर्ने भनेर सोच्‍छन्, यूएसटीमा गरिएका छनोटहरूद्वारा तिनीहरूलाई धेरैपटक सहयोग हुन सक्छ।\n\n### पावलले “ख्रीष्‍टमा”, “प्रभुमा”, आदि अभिव्यक्तिहरूले के अर्थ दिन खोजेका हुन्?\n\nयस प्रकारको अभिव्यक्ति १:१, ३, ४, ६, ७, ९, १०, ११, १२, १३, १५, २०; २:६, ७, १०, १३, १५, १६, १८, २१, २२; ३:५, ६, ९, ११, १२, २१; ४:१, १७, २१, ३२; ५:८, १८, १९; ६:१, १०, १८, २१ मा आउँछ। पावलले ख्रीष्‍ट र विश्‍वासीहरूसँगको धेरै नजिकको एकताको विचारलाई व्यक्त गर्न खोजेका हुन्। कृपया यस प्रकारको अभिव्यक्तिको थप विस्तृत जानकारीको लागि रोमीको पुस्तकको परिचयलाई हेर्नुहोस्।\n\n### एफिसीको पुस्तकको पाठ्यसामग्रीमा भएका प्रमुख विषयहरू के-के हुन्?\n\n* “एफिससमा” (१:१)। केही सुरुका पाण्‍डुलिपिहरूले यस अभिव्यक्तिलाई समावेश गर्दैनन्, तर यो सम्भवतः सुरुको खास पत्रमा छ। यूएलटी, यूएसटी, र धेरै नयाँ संस्करणहरूले यसलाई समावेश गर्छन्।\n* “किनभने हामी उहाँको शरीरका सदस्यहरू हौँ” (५:३०)। यूएलटी र यूएसटी गरेर, अधिकांश नयाँ संस्करणहरूमा यसरी नै लेखिएको छ। केही पुराना संस्करणहरूमा यसरी भनिएको छ, “किनभने हामी उहाँको शरीर र उहाँका हाडहरूका सदस्यहरू हौँ।” यदि अनुवादकहरूको क्षेत्रमा भएका संस्करणहरूमा त्यसरी नै लेखिएको छ भने तिनीहरूले यस दोस्रो भनाइलाई छान्‍ने निर्णय गर्न सक्छन्। यदि अनुवादकहरूले दोस्रो भनाइलाई छान्छन् भने, तिनीहरूले थपिएका अतिरिक्त शब्दहरू सम्भवतः एफिसीको वास्तविक पुस्तकमा भएकै कुरा नहुन सक्छ भनेर सङ्केत गर्नका लागि तिनीहरूलाई ठूला कोष्‍ठकहरूभित्र राख्‍नुपर्छ।\n\n(हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-textvariants]])
1:intro	fg42				0	# एफिसी १ सामान्य टिपोटहरू\n\n## संरचना र ढाँचा\n\n### “म प्रार्थना गर्छु”\n\nपावलले यस अध्यायको केही भागलाई परमेश्‍वरलाई प्रशंसा गरेको प्रार्थनाको जस्तो संरचना दिन्छन्। तर पावल केवल परमेश्‍वरसँग मात्र कुरा गरिरहेका छैनन्। उनले एफिससमा भएको मण्‍डलीलाई सिकाइरहेका छन्। उनले एफिसीहरूको लागि कसरी प्रार्थना गरिरहेका छन् भनेर पनि उनले तिनीहरूलाई बताउँछन्।\n\n## यस अध्यायमा भएका विशेष अवधारणाहरू\n\n### पूर्वनिर्धारण\n\nधेरै विद्वानहरू विश्‍वास गर्छन् कि यो अध्याय "पूर्वनिर्धारित" भनेर चिनिने विषयमा सिकाउँछ। १:५, ११ मा "पूर्वनिश्‍चित" शब्दको प्रयोग हेर्नुहोस्। केही विद्वानहरूले यसलाई संसारको सृष्टि हुनुभन्दा अघिदेखि नै बचाउनका लागि केही मानिसहरूलाई चुन्‍नुभएको छ भनी सङ्केत गर्नका लागि लिन्छन्। यस विषयमा बाइबलले के सिकाउँछ भन्‍ने बारे ख्रीष्टियनहरूको फरक-फरक विचारहरू छन्, त्यसैले अनुवादकहरूले यस अध्यायलाई अनुवाद गर्दा थप ध्यान दिनु आवश्यक छ। (हेर्नुहोस्: [[rc://*/tw/dict/bible/kt/predestine]])
1:1	kx1g		rc://*/ta/man/translate/figs-you	सामान्य जानकारीः	0	एफिससको मण्डलीमा भएका विश्‍वासीहरूका निम्ति लेखिएको यस पत्रको लेखकको रूपमा पावलले आफैँलाई नाम दिन्छन्। छुट्टै गरी बताइएको ठाउँमा बाहेक, प्रयोग भएका सबै “तिमीहरू” र “तिमीहरूका” भन्‍ने शब्दहरूले एफिससका विश्‍वासीहरू र सबै विश्‍वासीहरूलाई जनाउँछन्, यसैकारण, यी बहुवचनको रूपमा प्रयोग भएका छन्। (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-you]])
1:1	ilf2			Παῦλος, ἀπόστολος Χριστοῦ Ἰησοῦ & τοῖς ἁγίοις τοῖς οὖσιν ἐν Ἐφέσῳ	1	तपाईको भाषामा कुनै पत्रका लेखक र त्यस पत्रका लक्षित पाठकहरूलाई परिचित गर्ने कुनै विशेष तरिका हुन सक्छ। वैकल्पिक अनुवादः म पावल, एक प्रेरित, … परमेश्‍वरका निम्ति अलग गरिएका एफिससमा भएकाहरूलाई यो पत्र लेख्दछु”
1:1	u73p		rc://*/ta/man/translate/figs-metaphor	ἐν Χριστῷ Ἰησοῦ	1	**ख्रीष्ट येशूमा** वाक्यांश र यस्तै अभिव्यक्तिहरू नयाँ नियमका अक्षरहरूमा बारम्बार देखा पर्ने रूपकहरू हुन्। तिनीहरूले ख्रीष्ट र उहाँमा विश्‍वास गर्नेहरू बीचको सम्भावित बलियो प्रकारको सम्बन्धलाई व्यक्त गर्दछ, विश्‍वासीहरूलाई ख्रीष्टले घेरेको रूपमा चित्रण गर्दछ। वैकल्पिक अनुवाद: "ख्रीष्ट येशूको नजिकको सम्बन्धमा" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-metaphor]])
1:2	x9ey			χάρις ὑμῖν καὶ εἰρήνη	1	यो एक साझा अभिवादन र आशीर्वाद हो जुन पावलले प्रायः आफ्नो पत्रको सुरुमा प्रयोग गर्दछ। तपाईको भाषामा एउटा फारम प्रयोग गर्नुहोस् जसले यो अभिवादन र आशीर्वाद हो भनेर स्पष्ट पार्छ।
1:3	lm67		rc://*/ta/man/translate/figs-inclusive	सामान्य जानकारीः	0	अन्य किसिमले व्यक्त नगरिएसम्म, यस पुस्तकमा शब्दहरू “हाम्रो” र “हामी” ले पावल, एफिससका विश्‍वासीहरू र सबै विश्‍वासीहरूलाई जनाउँछन् । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-inclusive]])
1:3	zdh3			जोड्ने कथनः	0	पावलले उनको पत्रलाई परमेश्‍वरको सामु भएको विश्‍वासीहरूको स्थान र तिनीहरूको सुरक्षाको विषयमा कुरा गरेर थालनी गर्छन्।
1:3	g6sj		rc://*/ta/man/translate/figs-activepassive	εὐλογητὸς ὁ Θεὸς καὶ Πατὴρ τοῦ Κυρίου ἡμῶν, Ἰησοῦ Χριστοῦ	1	यसलाई कर्तृ वाच्यमा व्यक्त गर्न सकिन्छ। वैकल्पिक अनुवादः “हामी परमेश्‍वर र हाम्रा प्रभु येशू ख्रीष्‍टका पिताको प्रशंसा गरौँ” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-activepassive]])
1:3	cr9h			ὁ εὐλογήσας ἡμᾶς	1	वैकल्पिक अनुवाद:“किनकि परमेश्‍वरले हामीलाई आशिष् दिनुभएको छ”
