Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	i6u9				0	"# गलाटियनहरूको परिचय\n\n## भाग १: सामान्य परिचय\n\n### गलाटियनहरूको पुस्तकको रूपरेखा\n\n1. पावलले येशू ख्रीष्टको प्रेरितको रूपमा आफ्नो अधिकार घोषणा गर्छन्; उनी भन्छन् कि गलातियाका क्रिस्चियनहरूले अन्य मानिसहरूबाट स्वीकार गरेका झूटा शिक्षाहरू देखेर उनी छक्क परेका छन् (1:1-10)।\n1। पावल भन्छन् कि मानिसहरूले मोशाको व्यवस्था पालन गरेर होइन ख्रीष्टमा मात्र भरोसा गरेर मुक्ति पाउँछन् (1:11-2:21)।\n1। ख्रीष्टमा भरोसा गर्दा मात्र परमेश्वरले मानिसहरूलाई आफूसँग ठीक राख्नुहुन्छ। अब्राहामको उदाहरण; श्राप जुन व्यवस्थाले ल्याउँछ (र मुक्तिको माध्यम होइन); दासत्व र स्वतन्त्रता तुलना र हागार र सारा द्वारा चित्रण (3:1-4:31)।\n1। जब मानिसहरू ख्रीष्टमा जोडिएका हुन्छन्, तिनीहरू मोशाको व्यवस्था पालन गर्नबाट मुक्त हुन्छन्। तिनीहरू पनि पवित्र आत्माले तिनीहरूलाई डोऱ्याउनुभएको रूपमा बाँच्न स्वतन्त्र छन्। तिनीहरू पापका मागहरू अस्वीकार गर्न स्वतन्त्र छन्। तिनीहरू एकअर्काको भार वहन गर्न स्वतन्त्र छन् (5:1-6:10)।\n1. खतना भएको र मोशाको व्यवस्था पालन गर्ने कुरामा विश्वास नगर्न पावलले इसाईहरूलाई चेतावनी दिन्छन्। बरु, तिनीहरूले ख्रीष्टमा भरोसा गर्नुपर्छ (6:11-18)।\n\n### गलातीहरूको पुस्तक कसले लेखे?\n\nपलले गलातीहरूको पुस्तक लेखे। उहाँ आफ्नो प्रारम्भिक जीवनमा शाऊल भनेर चिनिनुहुन्थ्यो। क्रिस्चियन बन्नु अघि, पावल फरिसी थिए। उसले क्रिस्चियनहरूलाई सतायो। येशू ख्रीष्टमा विश्वास गरेपछि, उहाँले रोमन साम्राज्यभरि धेरै पटक यात्रा गर्नुभयो, मानिसहरूलाई येशूको बारेमा बताउनुभयो र चर्चहरू स्थापना गर्नुभयो।\n\nपलले यो पत्र कहिले लेखेका थिए र उनले यो लेख्दा उनी कहाँ थिए भन्ने अनिश्चित छ। केही बाइबल विद्वानहरूले पावल एफिसस सहरमा थिए र येशूको बारेमा मानिसहरूलाई बताउन र चर्चहरू स्थापना गर्न दोस्रो पटक यात्रा गरेपछि यो पत्र लेखेका थिए। अन्य विद्वानहरू विश्वास गर्छन् कि पावल सिरियाको एन्टिओक शहरमा थिए र उनले पहिलो पटक यात्रा गरेलगत्तै पत्र लेखेका थिए।\n\n### गलातीहरूको पुस्तक के हो?\n\nपलले यो पत्र यहूदी र दुवैलाई लेखेका थिए। गलातियाको क्षेत्रमा गैर-यहूदी ईसाईहरू। उसले झूटा शिक्षकहरू विरुद्ध लेख्न चाहन्थे जसले क्रिस्चियनहरूले मोशाको व्यवस्था पालन गर्नुपर्छ भनेर भने। पावलले व्याख्या गरेर सुसमाचारको रक्षा गरे
ईसाईहरूले केवल येशू ख्रीष्टमा विश्वास गर्न आवश्यक छ, र तिनीहरूले मोशाको व्यवस्था अभ्यास गर्न front: बताउँछन् कि मानिसहरूले येशूमा विश्वास गरेको कारणले मुक्ति पाएका छन् न कि मोशाको व्यवस्था पालन गर्ने परिणामको रूपमा, र उहाँले यो सत्यलाई चित्रण गर्न पुरानो नियमका विभिन्न खण्डहरू प्रयोग गरेर प्रमाणित गर्नुहुन्छ। (हेर्नुहोस्: [[rc://*/tw/dict/bible/kt/goodnews]], [[rc://*/tw/dict/bible/kt/save]], [[rc://*/tw/dict/bible/kt/faith]] र [[rc://*/tw/dict/bible/kt/lawofmoses]] र [[rc://*/tw/dict/bible/kt/works]])\n\n### यस पुस्तकको शीर्षक कसरी अनुवाद गर्नुपर्छ?\n\nअनुवादकहरूले यस पुस्तकलाई यसको परम्परागत शीर्षक, ""गलाटियनहरू"" द्वारा कल गर्न रोज्न सक्छन्। वा तिनीहरूले “गलातियाको मण्डलीलाई पावलको पत्र” जस्ता स्पष्ट शीर्षक रोज्न सक्छन्। (हेर्नुहोस्: [[rc://*/ta/man/translate/translate-names]])\n\n## भाग 2: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू\n\n### ""यहूदीहरू जस्तै बाँच्नु"" (2:14) को अर्थ के हो?\n\n""यहूदीहरू जस्तै बाँच्नु"" ""को अर्थ ख्रीष्टमा भरोसा गरे तापनि मोशाको व्यवस्था पालन गर्नु हो। येशूमा विश्वास गर्नुका साथै मोशाको व्यवस्था पालन गर्न आवश्यक छ भनी सिकाउने मानिसहरूलाई ""यहूदीहरू"" भनिन्थ्यो।\n\n## भाग ३: महत्त्वपूर्ण अनुवाद मुद्दाहरू\n\n### पावलले कसरी प्रयोग गरे? गलाटियनहरूको पुस्तकमा ""कानून"" र ""अनुग्रह"" शब्दहरू?\n\nयी शब्दहरू गलाटियनहरूमा एक अद्वितीय तरिकामा प्रयोग गरिन्छ। ईसाई जीवनको बारेमा गलातीहरूमा महत्त्वपूर्ण शिक्षा छ। मोशाको व्यवस्था अन्तर्गत, धर्मी वा पवित्र जीवनको लागि एक व्यक्तिले नियम र नियमहरूको सेट पालना गर्न आवश्यक थियो। ईसाईहरूको रूपमा, पवित्र जीवन अब अनुग्रहद्वारा प्रेरित र पवित्र आत्माद्वारा सशक्त छ। यसको मतलब ख्रीष्टमा ख्रीष्टियनहरूलाई स्वतन्त्रता छ र उनीहरूलाई नियमहरूको निश्चित सेट पालना गर्न आवश्यक छैन। बरु, ख्रीष्टियनहरूले पवित्र जीवन बिताउनुपर्दछ किनभने तिनीहरू धन्यवादी छन् कि परमेश्वरले उनीहरूप्रति दयालु हुनुहुन्छ। यसलाई ""ख्रीष्टको व्यवस्था"" भनिन्छ। (हेर्नुहोस्: [[rc://*/tw/dict/bible/kt/righteous]] र [[rc://*/tw/dict/bible/kt/holy]])\n\n### ""ख्रीष्टमा"" र ""ख्रीष्ट येशूमा"" भन्ने अभिव्यक्तिहरूबाट पावलले के भन्न खोजेका थिए?\n\nपलले ""ख्रीष्टमा"" वा सम्बन्धित वाक्यांश प्रयोग गर्दछ। ख्रीष्ट येशू” यस पत्रमा धेरै पटक उल्लेख गरिएको छ। यी अभिव्यक्तिहरू 1:22; 2:4,17; 3:14, 26, 28; र 5:6। पावलले ख्रीष्ट र उहाँमा विश्वास गर्ने मानिसहरूको बीचमा एकदमै घनिष्ठ मिलनको विचार व्यक्त गर्न खोजेका थिए। यो रूपकले विश्वासीहरू ख्रीष्टसँग त्यति नै घनिष्ठ रूपमा एकताबद्ध छन् मानौं तिनीहरू उहाँभित्र छन् भनेर जोड दिन्छ। पावल विश्वास गर्छन् कि यो सबै विश्वासीहरूको लागि सत्य हो। कहिलेकाहीँ उहाँले ""ख्रीष्टमा"" प्रयोग गर्नुहुन्छ कि उहाँले के बोल्दै हुनुहुन्छ येशूमा विश्वास गर्नेहरूका लागि सत्य हो भनेर पहिचान गर्न। अन्य समयमा, उसले ख्रीष्टसँगको एकतालाई कुनै कथन वा आग्रहको माध्यम वा आधारको रूपमा जोड दिन्छ। कहिलेकाहीं जब पावलले ""ख्रीष्टमा"" वाक्यांश प्रयोग गर्दछ, उसले फरक अर्थ राख्छ। उदाहरणका लागि, [2:16](../02/16.md) हेर्नुहोस्, जहाँ पावल भन्छन्, ""हामीले पनि ख्रीष्ट येशूमा विश्वास गर्यौं, ताकि हामीले
ख्रीष्टमा विश्वासद्वारा धर्मी ठहरिन सकिन्छ"" र हेर्नुहोस् [2:17](../02/17.md) जहाँ पावलले ख्रीष्टलाई विश्वासको वस्तु भएको कुरा बताउनुभएको थियो जब उनले ""ख्रीष्टमा धर्मी ठहरिन खोज्दै"" भने। ""ख्रीष्टमा"" को प्रासंगिक अर्थ र सम्बन्धित वाक्यांशहरू बुझ्न मद्दतको लागि विशेष पदहरूमा नोटहरू हेर्नुहोस्। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-metaphor]])\n\nयस प्रकारको अभिव्यक्तिको बारेमा थप विवरणहरूको लागि कृपया रोमीको पुस्तकको परिचय हेर्नुहोस्।\n\n### गलाटियनहरूको पुस्तकको पाठमा प्रमुख मुद्दाहरू के के हुन्?\n* “मूर्ख गलातीहरू, कसको दुष्ट आँखाले तिमीहरूलाई हानि गरेको छ? के येशू ख्रीष्टलाई तपाईंको आँखाको अगाडि क्रूसमा टाँगिएको रूपमा चित्रण गरिएको थिएन"" (3:1)? ULT, UST, र अन्य आधुनिक संस्करणहरूमा यो पढाइ छ। तथापि, बाइबलका पुराना संस्करणहरूले थप्छन्, “[यसो] कि तिमीहरूले सत्यलाई नमान्‍नू।” अनुवादकहरूलाई यो अभिव्यक्ति समावेश नगर्न सल्लाह दिइन्छ। यद्यपि, यदि अनुवादकहरूको क्षेत्रमा त्यहाँ पुरानो बाइबल संस्करणहरू छन् जसमा अंश छ भने, अनुवादकहरूले यसलाई समावेश गर्न सक्छन्। यदि यो अनुवाद गरिएको छ भने, यसलाई वर्गाकार कोष्ठक ([]) भित्र राख्नु पर्छ कि यो सम्भवतः गलाटियनहरूको लागि मौलिक होइन भनेर संकेत गर्न। (हेर्नुहोस्: [[rc://*/ta/man/translate/translate-textvariants]])
पावलले ""ख्रीष्टमा"" भन्ने वाक्यांश प्रयोग गर्दछ, उसले फरक अर्थ राख्छ। उदाहरणका लागि, [2:16](../02/16.md) हेर्नुहोस्, जहाँ पावल भन्छन् ""हामीले पनि ख्रीष्ट येशूमा विश्वास गर्यौं, ताकि हामी ख्रीष्टमा विश्वासद्वारा धर्मी ठहरिन सकौं"" र हेर्नुहोस् [2:17] (../02/17.md) जहाँ पावलले ""ख्रीष्टमा धर्मी बन्न खोज्दै"" भनेपछि ख्रीष्ट विश्वासको वस्तु भएको कुरा गर्नुभयो। ""ख्रीष्टमा"" को प्रासंगिक अर्थ र सम्बन्धित वाक्यांशहरू बुझ्न मद्दतको लागि विशेष पदहरूमा नोटहरू हेर्नुहोस्। (हेर्नुहोस्: @)\n\nकृपया यस प्रकारको अभिव्यक्तिको बारेमा थप विवरणहरूको लागि रोमीको पुस्तकको परिचय हेर्नुहोस्।\n\n### गलाटियनहरूको पुस्तकको पाठमा प्रमुख मुद्दाहरू के के हुन्?\n* “मूर्ख गलातीहरू, कसको दुष्ट आँखाले तिमीहरूलाई हानि गरेको छ? के येशू ख्रीष्टलाई तपाईंको आँखाको अगाडि क्रूसमा टाँगिएको रूपमा चित्रण गरिएको थिएन"" (3:1)? ULT, UST, र अन्य आधुनिक संस्करणहरूमा यो पढाइ छ। तथापि, बाइबलका पुराना संस्करणहरूले थप्छन्, “[यसो] कि तिमीहरूले सत्यलाई नमान्‍नू।” अनुवादकहरूलाई यो अभिव्यक्ति समावेश नगर्न सल्लाह दिइन्छ। यद्यपि, यदि अनुवादकहरूको क्षेत्रमा त्यहाँ पुरानो बाइबल संस्करणहरू छन् जसमा अंश छ भने, अनुवादकहरूले यसलाई समावेश गर्न सक्छन्। यदि यो अनुवाद गरिएको छ भने, यसलाई वर्गाकार कोष्ठक ([]) भित्र राख्नु पर्छ कि यो सम्भवतः गलाटियनहरूको लागि मौलिक होइन भनेर संकेत गर्न। (हेर्नुहोस्: @)"
1:intro	f3n5				0	"# गलाति1 सामान्य नोटहरू\n\n## संरचना र ढाँचा\n\nपलले यो पत्र आफ्नो अन्य अक्षरहरू भन्दा फरक रूपमा सुरु गरे। तिनी थप्छन्‌ कि उहाँ “मानिसहरूबाट न त मानिसद्वारा, तर उहाँलाई मरेकाहरूबाट जीवित पार्नुहुने येशू ख्रीष्ट र परमेश्‍वर पिताद्वारा” प्रेरित हुनुहुन्थ्यो। पावलले सायद यी शब्दहरू समावेश गरेका थिए किनभने झूटा शिक्षकहरूले उहाँको विरोध गर्दै थिए र उहाँको अख्तियारलाई कमजोर पार्न खोजिरहेका थिए।\n\n## यस अध्यायमा विशेष अवधारणाहरू\n\n### पाखण्डी\n\nपरमेश्वरले अनन्तसम्म मानिसहरूलाई सत्य, बाइबलीय माध्यमबाट मात्र बचाउनु हुन्छ। सुसमाचार। परमेश्वरले सुसमाचारको कुनै पनि अन्य संस्करणको निन्दा गर्नुहुन्छ। झूटा सुसमाचार सिकाउनेहरूलाई श्राप दिनुहोस् भनी पावलले परमेश्‍वरलाई आग्रह गर्छन्। (हेर्नुहोस्: [[rc://*/tw/dict/bible/kt/save]], [[rc://*/tw/dict/bible/kt/eternity]], [[rc://*/tw/dict/bible/kt/goodnews]] र [[rc://*/tw/dict/bible/kt/condemn]] र [[rc://*/tw/dict/bible/kt/curse]])\n\n### पावलको योग्यता\n\n\nप्रारम्भिक चर्चका केही मानिसहरूले अन्यजातिहरूलाई मोशाको व्यवस्था पालन गर्न आवश्यक छ भनी सिकाउँदै थिए। यस शिक्षालाई खण्डन गर्न, पद 13-16 मा पावलले वर्णन गर्दछ कि उहाँ पहिले एक जोसिलो यहूदी हुनुहुन्थ्यो, तर उहाँलाई येशूमा विश्वास गरेर उहाँलाई बचाउनको लागि परमेश्वरको आवश्यकता थियो। एक यहूदीको रूपमा, र अन्यजाति मानिसहरूका लागि प्रेरितको रूपमा, पावल यस मुद्दालाई सम्बोधन गर्न अद्वितीय रूपमा योग्य थिए। (हेर्नुहोस्: [[rc://*/tw/dict/bible/kt/lawofmoses]])\n\n## यस अध्यायमा अन्य सम्भावित अनुवाद कठिनाइहरू\n\n### “तिमी यति चाँडै फरक सुसमाचारमा फर्कदैछौ”\n\nगलाटियनहरूको पुस्तक पावलको प्रारम्भिक पत्रहरू मध्ये एक हो। धर्मशास्त्र। यसले देखाउँछ कि पाखण्डहरूले प्रारम्भिक मण्डलीलाई पनि समस्यामा पारेको थियो। 
पाखण्डीहरूले प्रारम्भिक चर्चलाई पनि समस्यामा पारे। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-explicit]])"
1:1	o4ns			Παῦλος	1	"यहाँ, पावलले यस पत्रको लेखकको रूपमा आफ्नो परिचय दिइरहेका छन्। तपाईको भाषामा पत्रको लेखक परिचय गराउने एउटा विशेष तरिका हुन सक्छ। यसलाई यहाँ प्रयोग गर्नुहोस्। वैकल्पिक अनुवाद: ""यो पत्र मेरो तर्फबाट हो, पावल"""
1:1	uhhp		rc://*/ta/man/translate/figs-123person	Παῦλος	1	"यहाँ, पावलले यस पत्रको लेखकको रूपमा आफ्नो परिचय दिइरहेका छन्। तपाईको भाषामा पत्रको लेखक परिचय गराउने एउटा विशेष तरिका हुन सक्छ। यसलाई यहाँ प्रयोग गर्नुहोस्। वैकल्पिक अनुवाद: ""यो पत्र मेरो तर्फबाट हो, पावल"""
1:1	m4ss		rc://*/ta/man/translate/figs-doublenegatives	οὐκ ἀπ’ ἀνθρώπων, οὐδὲ δι’ ἀνθρώπου	1	"यदि तपाइँका पाठकहरूले यो दोहोरो नकारात्मकलाई गलत बुझ्नुहुन्छ भने, तपाइँ केवल एक नकारात्मक शब्द प्रयोग गरेर यो वाक्यांश अनुवाद गर्न सक्नुहुन्छ। वैकल्पिक अनुवाद: ""पुरुषहरूबाट वा मानिसहरूबाट होइन"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-doublenegatives]])"
1:1	rcnw		rc://*/ta/man/translate/figs-explicit	οὐκ ἀπ’ ἀνθρώπων	1	"यहाँ, **बाट** शब्दले स्रोतलाई जनाउँछ। **मानिसहरूबाट होइन** भन्ने वाक्यांशको अर्थ मानिसहरू पावलको प्रेरितको स्रोत होइनन् र उहाँलाई मानव जातिद्वारा प्रेरितको रूपमा नियुक्त वा नियुक्त गरिएको थिएन। यदि यसले तपाइँका पाठकहरूलाई मद्दत गर्दछ भने, तपाइँ यसलाई स्पष्ट रूपमा व्यक्त गर्न सक्नुहुन्छ। वैकल्पिक अनुवाद: ""मानिसहरूले पठाएको होइन"" वा ""किनभने मलाई मानिसहरूको समूहद्वारा नियुक्त र पठाइएको होइन"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-explicit]])
यद्यपि **पुरुष** र **पुरुष** शब्दहरू पुल्लिंगी हुन्, तर पावलले यहाँ सामान्य अर्थमा मानिसहरूलाई जनाउन प्रयोग गरेका छन्। वैकल्पिक अनुवाद: ""मानव ... मानव"" वा ""मानिस ... एक व्यक्ति"""
1:1	yqma		rc://*/ta/man/translate/figs-gendernotations	ἀνθρώπων & ἀνθρώπου	1	"यद्यपि **पुरुष** र **पुरुष** शब्दहरू पुल्लिंगी हुन्, तर पावलले यहाँ सामान्य अर्थमा मानिसहरूलाई जनाउन प्रयोग गरेका छन्। वैकल्पिक अनुवाद: ""मानव ... मानव"" वा ""मानिस ... एक व्यक्ति"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-gendernotations]])"
1:1	k2dw			δι’ ἀνθρώπου, ἀλλὰ διὰ Ἰησοῦ Χριστοῦ, καὶ Θεοῦ Πατρὸς	1	"यस पदमा **मार्फत** शब्द प्रयोग भएको दुबै पटक यसले एजेन्सी वा माध्यमलाई जनाउँछ र एजेन्सी वा माध्यमलाई जनाउँछ जसद्वारा पावललाई प्रेरितको रूपमा नियुक्त गरिएको थियो। यहाँ **मार्फत** शब्दको अर्थ संकेत गर्न आफ्नो भाषामा सबैभन्दा राम्रो शब्द छनोट गर्नुहोस्। वैकल्पिक अनुवाद: ""मानिसको एजेन्सी मार्फत, तर येशू ख्रीष्ट र परमेश्वर पिताको एजेन्सी मार्फत"""
1:1	pvdp		rc://*/ta/man/translate/grammar-connect-logic-contrast	ἀλλὰ	1	"**तर** शब्दले कन्ट्रास्टको परिचय दिन्छ। यहाँ, **तर** शब्दले विभिन्न सम्भावित एजेन्टहरू वा पावलको कमिशनको माध्यमहरू बीचको भिन्नता प्रस्तुत गर्दछ। पावलको प्रेषितत्व ** मानिस मार्फत होइन ** बरु **येशू ख्रीष्ट र परमेश्वर पिता ** बीचको भिन्नता हो। कन्ट्रास्टको परिचय दिनको लागि आफ्नो भाषामा प्राकृतिक तरिका प्रयोग गर्नुहोस्। वैकल्पिक अनुवाद: ""तर बरु"" (हेर्नुहोस्: [[rc://*/ta/man/translate/grammar-connect-logic-contrast]])
बुबा**। कन्ट्रास्टको परिचय दिनको लागि आफ्नो भाषामा प्राकृतिक तरिका प्रयोग गर्नुहोस्। वैकल्पिक अनुवाद: ""तर बरु"""
1:1	fyu8		rc://*/ta/man/translate/figs-distinguish	Θεοῦ Πατρὸς τοῦ ἐγείραντος αὐτὸν ἐκ νεκρῶν	1	"**उहाँलाई मृत्युबाट ब्यूँताउनुहुने** वाक्यांशले **परमेश्वर पिता** बारे थप जानकारी दिन्छ। यसले **परमेश्वर पिता** र **उहाँलाई मृत्युबाट ब्यूँताउनुहुने** बीचको भिन्नता गर्दैन जस्तो कि तिनीहरू दुई अलग-अलग संस्था हुन्। यदि यो तपाईंको भाषामा उपयोगी हुन्छ भने, तपाईंले यी वाक्यांशहरू बीचको सम्बन्धलाई अझ स्पष्ट बनाउन सक्नुहुन्छ। वैकल्पिक अनुवाद: ""परमेश्वर पिता, जसले येशू ख्रीष्टलाई मर्नुभएपछि फेरि जीवित पार्नुहुने उही हुनुहुन्छ"" वा ""परमेश्वर पिता, जसले येशू ख्रीष्टलाई उहाँको मृत्यु पछि फेरि जीवित तुल्याउनुभयो"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-distinguish]])"
