Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	xy4n				0	# हिब्रूहरूको परिचय\n\n## भाग १: सामान्य परिचय\n\n### हिब्रूहरूको पुस्तकको रूपरेखा\n\n१. येशू परमेश्‍वरका अगमवक्ताहरू र स्वर्गदूतहरूभन्दा श्रेष्‍ठ हुनुहुन्छ (१:१-४:१३)\n१. येशू येरूशलेममा भएको मन्दिरमा सेवा गर्ने पूरोहितहरूभन्दा श्रेष्‍ठ हुनुहुन्छ (४:१४-७:२८)\n१. येशूको सेवकाइ पुरानो करारभन्दा महान् छ जुन परमेश्‍वरले उहाँका मानिसहरूसँग बनाउनुभयो (८:१-१०:३९)\n१. विश्‍वास के जस्तो छ (११:१-४०)\n१. परमेश्‍वरप्रति विश्‍वासयोग्‍य रहन प्रोत्साहन (१२:१-२९)\n१. आखिरी हौसलाहरू र अभिवादनहरू (१३:१-२५)\n\n### हिब्रूहरूको पुस्तक कसले लेखे ?\n\nहिब्रूहरूलाई कसले लेखे भनेर कसैले पनि जान्दैन । सम्भवतः यी नै मानिसहरूले लेखे होलान् भन्‍दै विद्वानहरूले धेरै जनाको नाउँ उल्‍लेख गरेका छन् । यस्‍ता सम्‍भावित लेखकहरूमध्‍ये पावल, लूका र बारनाबास हुन् । यो लेखेको मिति पनि अज्ञात छ । धेरै विद्वानहरूले यो सन् ७० भन्‍दा पहिले लेखिएको थियो भनी विचार गर्दछन् । सन् ७० मा यरूशलेमलाई नष्‍ट पारियो, तर यरूशलेमको नष्‍ट भएको थिएन झैँ गरी यस पत्रका लेखकले कुरा गरेका छन् ।\n\n### हिब्रूहरूको पुस्तक केको बारेमा हो ?\n\nयेशूले पुरानो करारका भविष्‍यवाणीहरू पूरा गर्नुभयो भनी हिब्रुको पुस्‍तकका लेखकले दर्शाउँछन् । यहूदी ख्रीष्‍टिएनहरूलाई उत्‍साह दिन र पुरानो करारले दिन सक्‍ने कुनै पनि कुराभन्‍दा येशू झन् असल हुनुहुन्‍छ भनी स्‍पष्‍ट पार्नका लागि लेखकले यसो गरे । येशूले सिद्ध प्रधान पूजाहारी हुनुहुन्‍छ । येशूले सिद्ध बलिदान पनि हुनुहुन्‍थ्यो । येशूको बलिदान एकचोटी र सधैँका लागि भएको हुनाले जनावरहरूका बलिदान व्‍यर्थ भए । यसकारण, परमेश्‍वरले मानिसहरू ग्रहण गर्नका लागि येशू नै एक मात्र बाटो हुनुहुन्‍छ ।\n\n### यस पुस्तकको शीर्षकको अनुवाद कसरी हुनुपर्छ ?\n\nअनुवादकहरूले यस पुस्तकलाई यसको पारम्परिक शीर्षक “हिब्रूहरू” भनेर बोलाउनलाई छान्‍न सक्छन् । अथवा तिनीहरूले अझ बढी स्‍पष्‍ट शीर्षक छान्‍न सक्छन्, जस्तै, “हिब्रूहरूलाई पत्र” वा “यहूदी ख्रीष्‍टिएनहरूलाई एक पत्र” । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-names]])\n\n## भाग २: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू\n\n### के पाठकहरूले यस पुस्तकलाई पुरानो करारमा आवश्‍यक परेका बलिहरू र पूरोहितहरूको कामको बारेमा नजानिकन बुझ्‍न सक्छन् ?\n\nयी कुरा नबझिकन पाठकहरूलाई यो पुस्‍तक बुझ्‍न धेरै कठिन पर्नेछ । अनुवादकहरूले कतै टिप्‍पणीहरूमा वा यस पुस्‍तकको परिचयमा पुरानो करारका यस्‍ता केही विचारहरूका बारेमा स्‍पष्‍ट पार्नुपर्दछ ।\n\n### हिब्रूहरूको पुस्तकमा रगतको अवधारणालाई कसरी प्रयोग गरिएको छ ?\n\n[हिब्रूहरू ९:७](../../heb/09/06.md).md) मा सुरु गरेर, रगतको अवधारणालाई धेरैपटक परमेश्‍वरको इस्राएलसँगको करारअनुसार बलिदान गरिएको कुनै पशुको मृत्युलाई जनाउन एउटा प्रतिस्थापनको रूपमा प्रयोग गरिएको छ । लेखकले येशू ख्रीष्‍टको मृत्युलाई प्रतिनिधित्व गर्न पनि रगतको प्रयोग गरे । येशू सिद्ध बलिदान हुनुभयो ताकि परमेश्‍वरले मानिसहरूलाई उहाँको विरुद्धमा पाप गरेकोमा क्षमा गर्नुभएको होस् । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-metonymy]])\n\n[हिब्रूहरू ९:१९](../09/06.md) मा सुरु गरेर, लेखकले छर्कने कुराको अवधारणालाई प्रतीकात्मक कार्यको रूपमा प्रयोग गरे । पुरानो करारका पूजाहारीहरूले जनावर बलिदानको रगतलाई छर्कने कार्य गर्दथे । यो मानिसहरू वा कुनै वस्‍तुमाथि जनावरको मृत्‍युको लाभलाई लागु गरिएको कुराको सङ्केत थियो । यसले मानिसहरू वा वस्‍तु परमेश्‍वरमा ग्रहणयोग्‍य भएको कुरालाई दर्शाउँथ्‍यो । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-symaction]])\n\n## भाग ३: अनुवादका महत्त्वपूर्ण विषयहरू\n\n### हिब्रूहरूको यूएलटीमा “पवित्र” र “शुद्ध बनाउनु”का अवधारणाहरूलाई कसरी प्रतिनिधित्व गरिएको छ ?\n\nधर्मशास्‍त्रले धेरै विचारहरूमध्‍ये कुनै एकलाई जनाउनका लागि यस्‍ता शब्‍दहरूको प्रयोग गर्दछ । यसकारण, अनुवादकहरूलाई आफ्‍नो अनुवादमा ती शब्‍दलाई राम्रोसँग बुझ्ने गरी लेख्‍न प्रायः कठिनाइ पर्न सक्‍छ । अङ्ग्रेजीमा अनुवाद गर्दा यूएलटीले निम्‍नलिखित सिद्धान्‍तहरूको उपयोग गर्दछः\n\n* कुनै बेला कुनै खण्‍डको अर्थले नैतिक रूपमा पवित्र हुने कुरालाई जनाउँछ । सुसमाचार बुझ्‍नका लागि विशेष महत्त्वपूर्ण भनेको ख्रीष्‍टिएनहरू येशू ख्रीष्‍टसँग मिलापमा हुने हुनाले परमेश्‍वरले तिनीहरूलाई पापरहित देख्‍नुहुन्‍छ भन्‍ने तथ्य हो । परमेश्‍वर सिद्ध र त्रुटिरहित हुनुहुन्‍छ भन्‍ने कुरा जनाउने अर्को सान्‍दर्भिक तथ्‍य हो । तेस्रो तथ्‍य, ख्रीष्‍टिएनहरूले आफैँमा जीवनमा दोषरहित र त्रुटिरहित किसिमले जिउनुपर्दछ भन्‍ने हो । यी सन्‍दर्भमा यूएलटीले, “पवित्र”, “पवित्र परमेश्‍वर”, “पवित्र जन” र “पवित्र मानिसहरू” शब्‍दहरूको प्रयोग गर्दछ ।\n* कुनै बेला यसको ख्रीष्‍टिएनहरूलाई जनाउने सामान्‍य अर्थ हुन्‍छ, र तिनीहरूद्वारा कुनै विशेष भूमिका निर्वाह गर्नुपर्ने अर्थ लाग्‍दैन । यी सन्‍दर्भमा यूएलटीले, “विश्‍वासी” वा “विश्‍वासीहरू” शब्‍दहरूको प्रयोग गर्दछ । (हेर्नुहोस्ः 6:10; 13:24)\n* कुनै बेला परमेश्‍वरको लागि कुनै मानिस वा कुनै थोक अलग गरिएको भन्‍ने अर्थ लाग्‍छ । यी सन्‍दर्भमा यूएलटीले, “शुद्ध गर्नु”, “अलग गर्नु”, “अर्पण गर्नु” वा “सुरक्षित गर्नु” शब्‍दहरूको प्रयोग गर्दछ । (हेर्नुहोस्ः २:११; ९:१३; १०:१०, १४, २९; १३:१२)\n\nअनुवादकहरूले यी विचारलाई आफ्‍नो भाषामा कसरी लेख्‍ने भनी विचार गरिरहँदा प्रायः यूएसटीले सहायता पुर्‍याउन सक्‍दछ \n\n### हिब्रूहरूको पुस्तकमा पाठ्यसामग्रीसँग सम्बन्धित भएका प्रमुख विषयहरू के-के हुन् ?\n\nतल दिइएका पदहरूका लागि, बाइबलका नयाँ संस्करणहरू पुरानो संस्करणहरूभन्‍दा फरक छन् । यूएलटीले आधुनिक पाठलाई समावेश गर्दछ, र पुरानो पाठलाई पादटिप्‍पणीमा राख्‍दछ । यदि कुनै क्षेत्रका भाषामा बाइबलको अनुवाद भइसकेको छ भने, अनुवादकहरूले ती अनुवादहरूमा भएका पाठलाई प्रयोग गर्नुपर्दछ । यदि छैन भने, अनुवादकहरूले आधुनिक पाठको अनुसरण गर्नुपर्दछ ।\n\n* “तपाईंले तिनलाई महिमा र आदर पहिराउनुभएको छ” (२:७) । केही पुराना संस्करणहरूमा यसरी छ, “तपाईंले तिनलाई महिमा र आदर पहिराउनुभएको छ र तपाईंले तिनलाई आफ्‍ना हातका कामहरूभन्दा माथि राख्‍नुभएको छ ।”\n* “तिनीहरू जो आज्ञापालन गर्नेहरूसँग विश्‍वासमा जोडिएनन्” (४:२) । केही पुराना संस्करणहरूमा यसरी छ, “तिनीहरू जसले त्यसमा विश्‍वास नजोडिकन त्यसलाई सुने ।”\n* “ख्रीष्‍ट आएका असल थोकहरूका लागि एक प्रमुख पूजाहारीको रूपमा आउनुभयो” (९:११) । केही नयाँ र पुराना संस्करणहरूमा यसरी छ, “ख्रीष्‍ट आउनुपर्ने असल थोकहरूका लागि एक प्रमुख पूजाहारीको रूपमा आउनुभयो ।”\n* “तिनीहरूमाथि जो कैदीहरू थिए” (१०:३४) । केही पुराना संस्करणहरूमा यसरी छ, “मेरा साङ्लाहरूमा मेरो ... ।”\n* “तिनीहरूलाई ढुङ्गाले हानियो । तिनीहरूलाई दुई भाग गरेर चिरियो । तिनीहरू तरवारले मारिए” (११:३७) । केही पुराना संस्करणहरूमा यसरी छ, “तिनीहरूलाई ढुङ्गा हानियो । तिनीहरूलाई दुई भागमा चिरियो । तिनीहरूको परीक्षा लिइयो । तिनीहरूलाई तरवारले मारियो ।”\n* “यदि कुनै पशुले मात्र पनि पर्वतलाई छुन्छ भने, त्यसलाई ढुङ्गा हानिनुपर्छ” (१२:२०) । केही पुराना संस्करणहरूमा यसरी छ, “यदि कुनै पशुले मात्र पनि पर्वतलाई छुन्छ भने, त्यसलाई ढुङ्गाले हान्‍नुपर्छ वा वाणले हान्‍नुपर्छ ।”\n\n(हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-textvariants]])
1:intro	aaf9				0	# हिब्रूहरू ०१ सामान्य टिपोटहरू\n\n## संरचना र ढाँचा\n\nयेशू हाम्रो लागि स्‍वर्गदूतहरूभन्‍दा कसरी बढी महत्त्वपूर्ण हुनुहुन्‍छ भनेर यस अध्‍यायले वर्णन गर्दछ ।\n\nकेही अनुवादहरूले पढ्नलाई सजिलो बनाउनलाई कविताको हरेक पङ्क्तिलाई बाँकीको खण्‍डभन्दा दायाँतिर केही पर सार्छन् । १:५, ७-१३ मा भएका कवितासँग यूएलटीले यसै गर्छ, जुन पुरानो करारबाट लिइएका शब्दहरू हुन् ।\n\n### “हाम्रा पूर्खाहरू”\n\nलेखकले यो पत्र त्‍यस्‍ता ख्रीष्‍टिएनहरूलाई लेखे, जो यहूदी धर्म मानेर हुर्केका थिए । यसकारण, यो पत्रलाई “हिब्रुहरू” भनियो ।\n\n## यस अध्यायमा भएका महत्त्वपूर्ण भाषाका अलङ्कारहरू\n\n### आलङ्कारिक प्रश्‍नहरू\n\nयेशू स्‍वर्गदूतहरूभन्‍दा महान् भनी प्रमाणित गर्न लेखकले अलङ्कारको प्रश्‍नहरू प्रयोग गर्दछन् । यी प्रश्‍नका जवाफ लेखक तथा पाठकहरू दुवैलाई थाहा छ, र पाठकहरूले यी प्रश्‍नका जवाफका बारेमा विचार गर्दा कुनै पनि स्‍वर्गदूतहरूभन्‍दा परमेश्‍वरका पुत्र महान् हुनुहुन्‍छ भनी तिनीहरूले विचार गर्न सक्‍ने छन् भन्‍ने महसुस लेखकलाई भएको छ ।\n\n### कविता\n\nयहूदी शिक्षकहरू, जस्‍तै पुरानो करारका अगमवक्ताहरूले सबैभन्‍दा महत्त्वपूर्ण शिक्षालाई कविताको रूपमा लेख्‍ने गर्थे, र यसरी श्रोताहरूले ती सिक्‍न र सम्‍झन सक्‍दथे ।
1:1	c5f3			सामान्य जानकारीः	0	यो पत्र कसलाई पठाइयो भनी यो प्राप्‍त गर्ने मानिसहरूका बारेमा यसले उल्‍लेख गर्दैन । तापनि, लेखकले विशेष गरेर हिब्रुहरू (यहूदीहरू)लाई लेखेका थिए, जसले पुरानो करारका धेरै खण्‍डहरू बुझ्‍न सक्दथे ।
1:1	c5f3			सामान्य जानकारीः	0	यस भूमिकाले सम्‍पूर्ण पुस्‍तकका लागि पृष्‍ठभूमि प्रदान गर्दछः पुत्रभन्‍दा महान् कोही छैन - पुत्र नै सबैभन्‍दा महान् हुनुहुन्‍छ । पुत्र चाहिँ अगमवक्ताहरू र स्‍वर्गदूतहरूभन्‍दा महान् हुनुहुन्‍छ भन्‍ने कुरामा जोड दिँदै यो पुस्‍तक सुरु भएको छ ।
1:2	scr8			ἐπ’ ἐσχάτου τῶν ἡμερῶν τούτων	1	“यी आखिरी दिनहरूमा ।” यो वाक्‍यांशले येशूले उहाँको सेवाकार्य सुरु गर्नुभएको समयदेखि लिएर परमेश्‍वरले आफ्‍नो सृष्‍टिमाथि पूर्ण रूपमा उहाँको शासन स्‍थापित नगरुञ्‍जेलको समयलाई जनाउँछ ।
1:2	d386		rc://*/ta/man/translate/guidelines-sonofgodprinciples	ἐν Υἱῷ	1	यहाँ “पुत्र” भनेको येशू, परमेश्‍वरको पुत्रको महत्त्वपूर्ण नाउँ हो । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/guidelines-sonofgodprinciples]])
1:2	i93z		rc://*/ta/man/translate/figs-metaphor	ἔθηκεν κληρονόμον πάντων	1	पुत्रले पिताबाट धनसम्‍पत्तिको अधिकार पाउनुहुन्छ भनेजस्‍तै गरी लेखकले कुरा गर्दछन् । वैकल्‍पिक अनुवादः “सबै थोकको अधिकार गर्न” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-metaphor]])
1:2	gqj8			δι’ οὗ καὶ ἐποίησεν τοὺς αἰῶνας;	1	“पुत्रद्वारा नै परमेश्‍वरले सबै थोक बनाउनु पनि भयो”
1:3	hn4q			ἀπαύγασμα τῆς δόξης	1	“उहाँको महिमाको ज्‍योति ।” परमेश्‍वरको महिमालाई धेरै उज्‍यालो ज्‍योतिसँग सम्बन्‍धित गरेर हेरिन्‍छ । लेखक भन्‍दछन्, पुत्र त्‍यो ज्‍योतिको स्‍वरूप हुनुहुन्‍छ र परमेश्‍वरको महिमालाई पूर्ण रूपले प्रतिनिधित्व गर्नुहुन्‍छ ।
1:3	b7jc			τῆς δόξης καὶ χαρακτὴρ τῆς ὑποστάσεως αὐτοῦ	1	“महिमा ... , परमेश्‍वरको अस्‍तित्वको स्‍वरूप धारण ।” “उहाँको स्‍वभावकै विशेषता भएको” भन्‍नाले “परमेश्‍वरको महिमाको चमक” भन्‍ने कुरासँग मिल्‍दो अर्थ हो । पुत्रले परमेश्‍वरको स्‍वभाव र विशेषता धारण गर्नुहुन्‍छ र परमेश्‍वरका कुनै पनि कुराको पूर्ण रूपले प्रतिनिधित्व गर्नुहुन्‍छ । वैकल्‍पिक अनुवादः “महिमित र परमेश्‍वरजस्‍तै हुनुहुन्‍छ” वा “महिमा, र परमेश्‍वरको बारेमा जे सत्‍य हो, सो पुत्रका बारेमा पनि सत्‍य हो”
