Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	exs3				0	# याकूबको परिचय\n\n## भाग १: सामान्य परिचय\n\n### याकूबको पुस्तकको रूपरेखा\n\n१. अभिवादनहरू (१:१)\n१. जाँच र परिपक्वता (१:२-१८)\n१. परमेश्‍वरको वचन सुन्‍ने र गर्ने (१:१९-२७)\n१. कामहरूमा देखिएको साँचो विश्‍वास\n- परमेश्‍वरको वचन (१:१९-२७)\n- प्रेमको राजकीय नियम (२:१-१३)\n- कामहरू (२:१४-२६)\n१. समुदायमा भएका कठिनाइहरू\n- जिब्रोका खतराहरू (३:१-१२)\n- माथिबाटको बुद्धि (३:१३-१८)\n- सांसारिक इच्‍छाहरू (४:१-१२)\n१. तपाईंका निर्णयहरूमा परमेश्‍वरको दृष्‍टिकोण\n- भोलिको बारेमा घमण्‍ड गर्ने (४:१३-१७)\n- धनहरूका बारेमा चेतावनी (५:१-६)\n- धीरजका साथ कष्‍ट भोग्‍ने (५:७-११)\n१. अन्तिम सल्‍लाहहरू\n- शपथहरू (५:१२)\n- प्रार्थना र चङ्गाइ (५:१३-१८)\n- एक अर्काको लागि वास्ता (५:१९-२०)\n\n### याकूबको पुस्तक कसले लेखे ?\n\nलेखकले आफैँलाई याकूबको रूपमा परिचय गराउँछन् । यिनी सम्भवतः येशूका सौतेनी भाइ याकूब थिए । याकूब प्राचीन मण्‍डलीमा एक अगुवा थिए र यरूशलेमको परिषदको एक हिस्‍सा थिए । प्रेरित पावलले पनि उनलाई मण्‍डलीको “एक खाँबो” भनी बोलाए ।\n\nयिनी प्रेरित याकूब चाहिँ होइनन् । प्रेरित याकूब यो पत्र लेखिनुभन्दा अगाडि मारिएका थिए ।\n\n### याकूबको पुस्तक केको बारेमा हो ?\n\nयस पत्रमा, याकूबले दुःखभोग गरिरहेका विश्‍वासीहरूलाई उत्साह दिए । तिनीहरूलाई अझ बढी परिपक्व ख्रीष्‍टिएनहरू हुन सहायता गर्नलाई परमेश्‍वरले तिनीहरूको कष्‍टलाई प्रयोग गर्नुहुन्छ भनेर उनले तिनीहरूलाई भने । विश्‍वासीहरूले असल कामहरू गर्नुपर्ने आवश्‍यकताको विषयमा पनि याकूबले तिनीहरूलाई बताए । विश्‍वासीहरू कसरी जिउनुपर्छ र एक अर्कालाई कस्तो व्यवहार गर्नुपर्छ भन्‍ने विषयमा उनले यस पत्रमा धेरै लेखे । उदाहरणको लागि, एक अर्कालाई उचित ढङ्गले व्यवहार गर्न, र एक अर्कासँग नलड्न, र आफ्‍ना धनहरूलाई बुद्धमानीपूर्वक रीतिले प्रयोग गर्नलाई उनले तिनीहरूलाई आज्ञा गरे ।\n\n१:६, ११ र ३:१-१२ मा जस्तै गरी प्रकृतिबाटका धेरै उदाहरणहरू प्रयोग गरेर याकूबले उनका पाठकहरूलाई सिकाए । साथै, यस पत्रका थुप्रै अंशहरू येशूले डाँडाको उपदेशमा भन्‍नुभएका कुराहरूसँग समान छ (मत्ती ५-७) ।\n\n### “छरिएका बाह्र कुलहरू” को थिए ?\n\nयाकूबले भने कि उनले “छरिएका बाह्र कुलहरू”लाई लेखिरहेका थिए (१:१) । केही विद्वानहरूले विचार गर्छन् कि याकूबले यहूदी ख्रीष्‍टिएनहरूलाई लेखिरहेका थिए । अन्य विद्वानहरूले विचार गर्छन् कि याकूबले सामान्य रूपमा सारा ख्रीष्‍टिएनहरूलाई लेखिरहेका थिए । “सामान्य पत्रहरू”मध्येमा भएको एक पत्रको रूपमा यस पत्रलाई चिनिन्छ किनकि यो पत्र कुनै खास मण्‍डली वा व्यक्तिलाई लेखिएको थिएन ।\n\n### यस पुस्तकको शीर्षकको अनुवाद कसरी हुनुपर्छ ?\n\nअनुवादकहरूले यस पुस्तकलाई यसको पारम्परिक शीर्षक “याकूब” भनेर बोलाउनलाई छान्‍न सक्छन् । अथवा तिनीहरूले अझ बढी स्‍पष्‍ट शीर्षक छान्‍न सक्छन्, जस्तै, “याकूबबाटको एउटा पत्र” वा “याकूबले लेखेको पत्र” । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-names]])\n\n## भाग २: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू\n\n### एक व्यक्ति परमेश्‍वरको सामु कसरी धर्मी ठहरिन्छ भन्‍ने विषयमा के याकूब पावलसँग असहमत भए ?\n\nपावलले रोमीहरूमा सिकाउँछन् कि ख्रीष्‍टिएनहरू विश्‍वासद्वारा धर्मी ठहरिन्छन् र कामहरूद्वारा होइन, जबकि याकूबले ख्रीष्‍टिएन कामहरूद्वारा धर्मी ठहिरिन्छन् भनी सिकाएको जस्तो देखिन्छ । त्यहाँ कुनै विरोध छैन । यस विषयको एउटा समाधान भनेको “धर्मी ठहरिनु” भन्‍ने कुरालाई दुई फरक तरिकमा प्रयोग गरिएको छ भनेर बुझ्‍ने कुरा पर्छ । पावलले सिकाउँछन् कि ख्रीष्‍टिएनहरू परमेश्‍वरको सम्‍मुखमा धर्मी ठहरिन्छन् जबकि याकूबले सिकाउँछन् कि कोही मानिस अरू मानिसहरूको सम्‍मुखमा उसका कामहरूद्वारा धर्मी ठहरिन्छ ।पावलले रोमीहरूमा सिकाए कि ख्रीष्‍टिएनहरू विश्‍वासद्वारा धर्मी ठहरिन्छन् र कामहरूद्वारा होइन । ख्रीष्‍टिएनहरू कामहरूद्वारा धर्मी ठहरिन्छन् भनेर याकूबले सिकाएको जस्तो देखिन्छ । यो अल्मल्याउने हुन सक्छ । तर पावल र याकूबले सिकाएका कुराहरूको अझ राम्रो बुझाइले देखाउँछ कि तिनीहरू एक आपसमा सहमत हुन्छन् । तिनीहरू दुवैले सिकाए कि धर्मी ठहरिनलाई एक व्यक्तिसँग विश्‍वास हुन जरुरी छ । साथै तिनीहरू दुवैले सिकाए कि सच्‍चा विश्‍वासले एक व्यक्तिलाई असल कामहरू गर्न लगाउँछ । यी कुराहरूको विषयमा पावल र याकूबले फरक तरिकाहरूमा सिकाए किनभने तिनीहरूका फरक पाठकहरू थिए जसलाई धर्मी ठहरिने कुराको विषयमा विभिन्‍न कुराहरू जान्‍न खाँचो थियो । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/justice]] अनि [[rc://ne/tw/dict/bible/kt/faith]] अनि [[rc://ne/tw/dict/bible/kt/works]])\n\n## भाग ३: अनुवादका महत्त्वपूर्ण विषयहरू\n\n### अनुवादकले याकूबको पुस्तकमा भएका विषयहरूको फेरबदल भएको कुराको कसरी सङ्केत गर्नुपर्छ ?\n\nपत्र छिटो-छिटो गरेर एक विषयदेखि अर्को विषयमा सर्छ । कहिलेकाहीँ याकूबले पाठकहरूलाई बताउँदैनन् कि उनले विषय बदल्‍न लागेका छन् । पदहरूलाई एक अर्कासँग सम्बन्धित नभइ आउन दिनु स्वीकार्य छ । नयाँ पङ्क्तिबाट सुरु गरेर वा विषयहरूको बीचमा ठाउँ छोडेर खण्‍डहरूलाई अलग राख्‍दा अर्थ ल्याउन सक्छ ।\n\n### याकूबको पुस्तकको पाठ्यसामग्रीमा भएका प्रमुख विषयहरू के-के हुन् ?\n\n* “के तिमी जान्‍न चाहन्छौ, मूर्ख मानिस, काम बिनाको विश्‍वास कसरी बेकार छ ?” (२:२०) । यूएलटी, यूएसटी, र नयाँ संस्करणहरूमा यसरी भनिएको छ । केही पुराना संस्करणहरूमा यस्तो छ, “के तिमी जान्‍न चाहन्छौ, मूर्ख मानिस, कि काम बिनाको विश्‍वास मृत छ ?” यदि सामान्य क्षेत्रमा बाइबलको कुनै अनुवाद पाइन्छ भने, अनुवादकहरूले ती संस्करणहरूमा पाइने भनाइहरूलाई प्रयोग गर्ने बारेमा विचार गर्नुपर्छ । यदि पाइँदैन भने, अनुवादकहरूलाई नयाँ भनाइलाई प्रयोग गर्नलाई सुझाव दिइन्छ ।\n\n(हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-textvariants]])
1:intro	pz2q				0	# याकूब ०१ सामान्य टिपोटहरू\n\n## संरचना र ढाँचा\n\nयाकूबले पद १ मा यस पत्रलाई औपचारिक रूपमा परिचय गराउँछन् । प्राचीन मध्यपूर्व क्षेत्रमा लेखकहरूले पत्रहरूलाई यसरी नै सुरु गर्थे ।\n\n## यस अध्यायमा भएका विशेष अवधारणाहरू\n\n### परीक्षा र जाँच\n\nयी शब्दहरूको अर्थ धेरै मिल्दोजुल्दो छ । अनुवादक यो कुरामा सचेत हुनुपर्छ कि यहाँ “परीक्षा”को ([याकूब १:१३](./12.md)) अर्थ र परमेश्‍वरले मानिसको “जाँच” गर्नुहुने कुराको ([हिब्रूहरू ११:१७](../../heb/11/17.md)) अर्थमा केही महत्त्वपूर्ण भिन्‍नताहरू छन् ।यी दुई शब्दहरू मा एकसाथ आउँछन् । दुवै शब्दहरूले कोही एउटा व्यक्तिको विषयमा कुरा गर्छन् जसले केही असल गर्ने र केही खराब गर्ने बीचमा छान्‍न सक्छन् । तिनीहरूको बीचमा भएको भिन्‍नता महत्त्वपूर्ण छ । परमेश्‍वरले त्यस व्यक्तिको जाँच गरिरहनुभएको छ र जे असल छ सो गरेको चाहनुहुन्छ । शैतानले त्यस व्यक्तिलाई परीक्षा गरिरहेको छ र जे दुष्‍ट छ सो गरेको त्यसले चाहन्छ ।\n\n### मुकुटहरू\n\nजाँच उतीर्ण हुने मानिसले प्राप्‍त गर्ने मुकुट चाहिँ एक इनाम हो, केही त्यस्तो कुरा जुन खास रूपमा केही असल गर्ने मानिसहरूले प्राप्‍त गर्छन् । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/other/reward]])\n\n## यस अध्यायमा भएका महत्त्वपूर्ण भाषाका अलङ्कारहरू\n\n### अलङ्कारहरू\n\nयाकूबले यस अध्यायमा थुप्रै अलङ्कारहरूको प्रयोग गर्छन्, तपाईंले तिनीहरूलाई राम्ररी अनुवाद गर्नसक्‍नुभन्दा अगाडि अलङ्कारको विषयमा भएको पृष्‍ठमा रहेको सामग्रीलाई तपाईंले बुझ्‍न जरुरी छ । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-metaphor]])\n\n## यस अध्यायमा भएका अनुवादका अन्य सम्भाव्य कठिनाइहरू\n\n### “छरपष्‍ट भएर रहेका बाह्र कुलहरूलाई”\n\nयाकूबले यस पत्र कसलाई लेखे भनेर प्रस्‍ट छैन । उनले आफैँलाई प्रभु येशू ख्रीष्‍टको एक सेवक भनी भन्छन्, त्यसैले सम्भवतः उनले ख्रीष्‍टिएनहरूलाई लेखिरहेका थिए । तर उनले आफ्‍ना पाठकहरूलाई “छरपष्‍ट भएर रहेका बाह्र कुलहरू” भनी भन्छन्, ती शब्दहरू जसले सामान्यतया यहूदीहरूलाई जनाउँछन् । यो सम्भव छ कि उनले यी शब्दहरूलाई “परमेश्‍वरले चुन्‍नुभएका सारा मानिसहरू”को लागि एक अलङ्कारको रूपमा प्रयोग गरिरहेका छन् अथवा उनले यो पत्र तब लेखे जब अधिकांश ख्रीष्‍टिएनहरू यहूदीहरूको रूपमा हुर्किएका थिए ।
1:1	ssc8			सामान्य जानकारीः	0	प्रेरित याकूबले यो पत्र सारा विश्‍वाीहरूलाई लेख्छन् । तिनीहरूमध्ये धेरैजना यहूदीहरू थिए, र तिनीहरू विभिन्न ठाउँहरूमा बस्थे ।
1:1	pkt2		rc://*/ta/man/translate/figs-explicit	Ἰάκωβος, Θεοῦ καὶ Κυρίου Ἰησοῦ Χριστοῦ, δοῦλος	1	“यो पत्र ... बाट हो” भन्‍ने वाक्यांश स्वतः बुझिएको छ । वैकल्पिक अनुवादः “यो पत्र याकूब, परमेश्‍वरको र प्रभु येशू ख्रीष्‍टको सेवकबाट हो” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-explicit]])
1:1	l4i7		rc://*/ta/man/translate/figs-synecdoche	ταῖς δώδεκα φυλαῖς	1	सम्भावित अर्थहरू हुन् १) यो यहूदी ख्रीष्‍टिएनहरूको लागि प्रतिस्थापकीय शब्द हो, वा २) यो सबै ख्रीष्‍टिएनहरूको लागि एउटा अलङ्कार हो । वैकल्पिक अनुवादः “परमेश्‍वरका विश्‍वासयोग्‍य मानिसहरूलाई” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-synecdoche]] अनि [[rc://ne/ta/man/translate/figs-metaphor]])
1:1	vza9		rc://*/ta/man/translate/figs-abstractnouns	ἐν τῇ διασπορᾷ	1	“छरपष्‍ट भएर रहेका” शब्दहरूले सामान्यतया ती यहूदीहरूलाई जनाउँथ्यो जो आफ्‍नो स्वदेश इस्राएलबाट अन्य देशहरूमा छरिएका थिए । यो भाववाचक नामपद शब्दलाई “छरिएका” क्रियापद प्रयोग गरेको एउटा वाक्यांशसँग व्यक्त गर्न सकिन्छ । वैकल्पिक अनुवादः “जो संसारभर छरिएका छन्” वा “जो अन्य देशहरूमा बस्छन्” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-abstractnouns]])
1:1	huk9			χαίρειν	1	एउटा सामान्य अभिवादन, जस्तै “जय मसिह !” अथवा “शुभ दिन !”
1:2	knw6			πᾶσαν χαρὰν ἡγήσασθε, ἀδελφοί μου, ὅταν πειρασμοῖς περιπέσητε ποικίλοις	1	“मेरा सङ्गी विश्‍वासीहरू हो, तिमीहरूका विभिन्‍न किसिमका दुःख-कष्‍टहरूलाई उत्सव मनाउने विषय झैँ सम्झ”
1:3	xud2		rc://*/ta/man/translate/figs-abstractnouns	τὸ δοκίμιον ὑμῶν τῆς πίστεως κατεργάζεται ὑπομονήν	1	“जाँच”, “तिमीहरूको विश्‍वास”, र “धैर्यता” जस्ता अभिव्यक्तिहरू भनेका नामपद शब्दहरू हुन् जसले अर्थ कामहरू हुन्छ । परमेश्‍वरले जाँच गर्नुहुन्छ, अर्थात, विश्‍वासीहरूले उहाँलाई कति भरोसा गर्छन् र उहाँको आज्ञापालन गर्छन् भनेर उहाँले निधो गर्नुहुन्छ । विश्‍वासीहरूले (तपाईंले) उहाँलाई विश्‍वास गर्छन् र दुःख-भोगलाई सहन्छन् । वैकल्पिक अनुवादः “जब तिमीहरूले कठिनाइहरू सहन्छौ, तिमीहरूले कति धेरै उहाँलाई भरोसा गर्छौ भनेर परमेश्‍वरले हेर्दै हुनुहुन्छ । फलस्वरूप, तिमीहरू अझ धेरै कठिनाइहरू सहन सक्षम हुनेछौ” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-abstractnouns]])
1:4	j2p4		rc://*/ta/man/translate/figs-personification	ἡ & ὑπομονὴ ἔργον τέλειον ἐχέτω	1	यहाँ धैर्यको विषयमा यसरी बताइएको छ मानौँ त्यो कुनै काममा लागेको व्यक्ति हो । वैकल्‍पिक अनुवादः “कुनै पनि कठिनाइलाई सहन सिक” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-personification]])
