Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	t6za				0	# यूहन्‍नाको सुसमाचारको परिचय\n\n## भाग १: सामान्य परिचय\n\n### यूहन्‍नाको सुसमाचारको रूपरेखा\n\n१. येशू को हुनुहुन्छ भन्‍ने बारेमा परिचय(१:१-१८)\n१. येशूको बप्‍तिस्मा हुन्छ, र उहाँले बाह्र चेलाहरू चुन्‍नुहुन्छ (१:१९-५१)\n१. येशूले प्रचार गर्नुहुन्छ, सिकाउनुहुन्छ, र मानिसहरूलाई निको पार्नुहुन्छ (२-११)\n१. येशूको मृत्युअघिका सात दिनहरू (१२-१९)\n- मरियमले येशूको पाउलाई अभिषेक गर्छिन् (१२:१-११)\n- येशू यरूशलेममा गधामा चढेर जानुहुन्छ (१२:१२-१९)\n- केही ग्रीक मानिसहरू येशूलाई भेट्न चाहन्छन् (१२:२०-३६)\n- यहूदी अगुवाहरूले येशूलाई इन्कार गर्छन् (१२:३७-५०)\n- येशूले उहाँका चेलाहरूलाई सिकाउनुहुन्छ (१३-१७)\n- येशू गिरफ्तार हुनुहुन्छ र उहाँलाई केरकार गरिन्छ (१८:१-१९:१५)\n- येशू क्रूसमा टङ्ग्‍याइनुहुन्छ र गाडिनुहुन्छ (१९:१६-४२)\n१. येशू मृतकहरूबाट बौह्रिउठ्नुहुन्छ (२०:१-२९)\n१. यूहन्‍नाले उनको सुसमाचार किन लेखे भनेर बताउँछन् (२०:३०-३१)\n१. येशू चेलाहरूसँग भेट्नुहुन्छ (२१)\n\n### यूहन्‍नाको सुसमाचार केको बारेमा हो ?\n\nयूहन्‍नाको सुसमाचार नयाँ करारमा भएका चार पुस्तकहरूमध्येको एक हो जसले येशू ख्रीष्‍टको जीवनको केही भागलाई वर्णन गर्छ । सुसमाचारका लेखकहरूले येशू को हुनुहुन्थ्यो र उहाँले के गर्नुभयो भन्‍ने कुराको विभिन्‍न पक्षहरूका बारेमा लेखे । यूहन्‍नाले भने कि उनले उनको सुसमाचार लेखे “ताकि मानिसहरूले विश्‍वास गरून् कि येशू नै ख्रीष्‍ट, जीवित परमेश्‍वरको पुत्र हुनुहुन्छ” (२०:३१) ।\n\nयूहन्‍नाको सुसमाचार अरू तीन सुसमाचारहरूबाट धेरै भिन्‍न छ । यूहन्‍नाले अरू लेखकहरूले तिनीहरूका सुसमाचारहरूमा उल्‍लेख गरेका केही शिक्षाहरू र घटनाहरू समावेश गर्दैनन् । साथै, यूहन्‍नाले अरू सुसमाचारहरूमा नभएका केही शिक्षाहरू र घटनाहरूका बारेमा लेखे ।\n\nयेशूले जे भन्‍नुभयो सो सत्य थियो भनी प्रमाणित गर्न येशूले गर्नुभएका चिन्हहरूका बारेमा यूहन्‍नाले धेरै लेखे । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/sign]])\n\n### यो पुस्तकको शीर्षकको कसरी अनुवाद हुनुपर्छ ?\n\nअनुवादकहरूले यस पुस्तकलाई यसको पारम्परिक शीर्षक, “यूहन्‍नाको सुसमाचार” वा “यूहन्‍नाले बताएका सुसमाचार” भनेर बोलाउन रोज्‍न सक्छन् । अथवा तिनीहरूले बढी स्‍पष्‍ट हुने किसिमको शीर्षक रोज्‍न सक्छन्, जस्तै, “येशूको बारेमा भएको सुसमाचार जुन यूहन्‍नाले लेखे” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-names]])\n\n### यूहन्‍नाको सुसमाचार कसले लेख्‍यो ?\n\nयस पुस्तकले लेखकको नाम दिँदैन । तापनि, ख्रीष्‍टिएन समयको सुरुदेखि, अधिकांश ख्रीष्‍टिएनहरूले प्रेरित यूहन्‍ना नै लेखक थिए भनेर सोचेका छन् ।\n\n## भाग २: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू\n\n### यूहन्‍नाले येशूको जीवनको अन्तिम हप्‍ताको बारेमा किन त्यति धेरै लेख्‍छन् ?\n\nयूहन्‍नाले येशूको अन्तिम हप्‍ताको बारेमा धेरै लेखे । उनका पाठकहरूले येशूको अन्तिम हप्‍ता र क्रूसमा भएको उहाँको मृत्युको बारेमा गहिरिएर सोचेको उनी चाहन्थे । उनी मानिसहरूले यो बुझेको चाहन्थे कि येशू स्वइच्‍छाले क्रूसमा मर्नुभयो ताकि परमेश्‍वरले तिनीहरूलाई उहाँको विरुद्धमा पाप गरेको लागि क्षमा दिन सक्‍नुभएको होस् ।\n\n## भाग ३: अनुवादका महत्त्वपूर्ण विषयहरू\n\n### यूहन्‍नाको सुसमाचारमा “रहनु”, “बस्‍नु” र “वास गर्नु” जस्ता शब्दहरूले के अर्थ दिन्छन् ?\n\nयूहन्‍नाले धेरैपटक “रहनु”, “बस्नु”, र “वास गर्नु” जस्ता शब्दहरूलाई अलङ्कारहरूको रूपमा प्रयोग गरे । कुनै विश्‍वासी येशूप्रति अझ विश्‍वासयोग्य हुने र त्यस विश्‍वासीले येशूलाई अझ राम्ररी चिन्‍ने कुरालाई यूहन्‍नाले येशूको वचन त्यस विश्‍वासीमा “रहेको” भने जसरी बताए । साथै, यूहन्‍नाले कोही व्यक्ति कोही अन्य व्यक्तिसँग आत्मिक रूपमा जोडिने कुरालाई त्यो व्यक्ति अर्को व्यक्तिमा “रहेको” भने जसरी बताए । ख्रीष्‍टिएनहरू ख्रीष्‍टमा र परमेश्‍वरमा “रहन्छन्” भनी भनिन्छ । पिता पुत्रमा “रहनुहुन्छ” र पुत्र पितामा “रहनुहुन्छ” भनी भनिन्छ । पुत्र विश्‍वासीहरूमा “रहनुहुन्छ” भनी बताइएको छ । पवित्र आत्मा विश्‍वासीहरूमा “रहनुहुन्छ” भनी भनिन्छ ।\n\nधेरै अनुवादकहरूले यी अवधारणाहरूलाई तिनीहरूका भाषाहरूमा ठ्याक्‍कै त्यही तरिकामा प्रस्तुत गर्न असम्भव भएको पाउनेछन् । उदाहरणको लागि, जब उहाँले भन्‍नुभयो, “जसले मेरो देह खान्छ र मेरो रगत पिउँछ, त्यो ममा रहन्छ, र म त्यसमा रहन्छु” (यूहन्‍ना ६:५६), कुनै ख्रीष्‍टिएन येशूसँग आत्मिक रूपले एकैसाथ हुने अवधारणालाई उनले व्यक्त गर्न चाहे । यूएसटीले “मसँग जोडिनेछ, र म उससँग जोडिनेछु” भन्‍ने अवधारणालाई प्रयोग गर्छ । तर अनुवादकहरूले यस अवधारणालाई व्यक्त गर्न अन्य तरिकाहरू खोज्‍नेपर्ने हुन सक्छ ।\n\n“यदि मेरा वचनहरू तिमीहरूमा रहे भने” (यूहन्‍ना १५:७) भन्‍ने पाठ्यांशमा, यूएसटीले यो अवधारणालाई यसरी व्यक्त गर्छ, “यदि तिमीहरू मेरो सन्देशद्वारा जियौ भने” अनुवादकहरूले यो अनुवादलाई नमुनाको रूपमा प्रयोग गर्न सम्भव भएको पाउन सक्छन् ।\n\n### यूहन्‍नाको सुसमाचारको पाठ्यखण्‍डमा भएका प्रमुख विषयहरू के-के हुन् ?\n\nबाइबलका पूराना संस्करणहरूमा पाइने निम्‍न पदहरू अधिकांश नयाँ संस्करणहरूमा समावेश गरिएका छैनन् । अनुवादकहरूलाई यी पदहरू अनुवाद नगर्नलाई सुझाव दिइन्छ । तापनि, यदि अनुवादकको क्षेत्रमा, यी पदहरूलाई उल्‍लेख गर्ने बाइबलका पूराना संस्करणहरू छन् भने, अनुवादकहरूले तिनीहरूलाई समावेश गर्न सक्छन् । तिनीहरूको अनुवाद गरिएको खण्‍डमा, तिनीहरू यूहन्‍नाको सुसमाचारमा भएका मौलिक कुराहरू थिएनन् भनी सङ्केत गर्नको लागि, तिनीहरूलाई ठूला कोष्‍ठकहरूमा([]) राखिनुपर्छ ।\n\n* “पानीको चलहललाई पर्खिरहेको । किनकि परमप्रभुका एकजना दूत बेलाबेलामा जलकुण्‍डमा ओर्लिन्थे र पानीलाई चलाइदिन्थे र पानीलाई चलाइदिएपछि जो पनि पहिला जान्थ्यो, तिनीहरूसँग भएका रोगबाट तिनीहरू निको हुन्थे” (५:३-४)\n* “तिनीहरूको बीचबाट हुँदै जानुभएर, निस्किजानुभयो” (८:५९)\n\nनिम्‍न खण्‍ड अधिकांश पूराना र नयाँ संस्करणहरूमा समावेश गरिएका छन् । तर यो बाइबलको सुरुका प्रतिलिपीहरूमा छैनन् । अनुवादकहरूलाई यो पाठ्यांशलाई अनुवाद गर्नको लागि सुझाव दिइन्छ । तिनीहरू यूहन्‍नाको सुसमाचारमा भएका मौलिक कुराहरू थिएनन् भनी सङ्केत गर्नको लागि, तिनीहरूलाई ठूला कोष्‍ठकहरूमा([]) राखिनुपर्छ ।\n\n* व्यभिचारी स्‍त्रीको कथा(७:५३-८:११)\n\n(हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-textvariants]])
1:intro	k29b				0	# यूहन्‍ना ०१ सामान्य टिपोटहरू\n\n## संरचना र ढाँचा\n\nकेही अनुवादहरूले पढ्नलाई सजिलो बनाउनको लागि कविताको हरेक पङ्क्तिलाई बाँकीको पाठ्यखण्‍डलाई भन्दा दायाँतर्फ राख्‍छन् । यूएलटीले १:२३ मा भएको कवितासँग यसो गर्छ, जुन पूरानो करारबाटका शब्दहरू हुन् ।\n\n## यो अध्यायमा भएका विशेष अवधारणाहरू\n\n### “वचन”\n\nयूहन्‍नाले येशूलाई जनाउन “वचन” भन्‍ने पदावलीको प्रयोग गर्छन् ([यूहन्‍ना १:१, १४](./01.md)) । सारा मानिसहरूलाई परमेश्‍वरको सबैभन्दा महत्त्वपूर्ण सन्देश भनेको येशू हुनुहुन्छ, जससँग एउटा भौतिक शरीर छ ।\n\n### ज्योति र अन्धकार\n\nबाइबलले धेरैपटक अधर्मी मानिसहरू, ती मानिसहरू जसले परमेश्‍वरलाई खुशी बनाउने कुराहरू गर्दैनन्, तिनीहरूलाई अन्धकारमा रुमल्‍लिरहेको भए जसरी कुरा गर्छ । यसले ज्योतिको बारेमा त्यसरी कुरा गर्छ मानौँ यो नै त्यो चीज हो जसले ती मानिसहरूलाई धर्मी बन्‍न, तिनीहरूले के गल्ती गरिरहेका छन् भनेर बुझ्‍न र परमेश्‍वरको आज्ञापालन गर्न थाल्‍नको लागि सामर्थी बनाउँछ । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/righteous]])\n\n### “परमेश्‍वरका सन्तान”\n\nजब मानिसहरूले येशूमा विश्‍वास गर्छन्, तिनीहरू “क्रोधका सन्तान” हुनेबाट “परमेश्‍वरका सन्तान” हुने कुरामा जान्छन् । तिनीहरूलाई “परमेश्‍वरको परिवारमा” अपनाइन्छ । यो एउटा महत्त्वपूर्ण चित्रण हो जुन नयाँ करारमा खोलिनेछ ।\n\n## यस अध्यायमा भएका भाषाका महत्त्वपूर्ण अलङ्कारहरू\n\n### अलङ्कारहरू\n\nयूहन्‍नाले पाठकलाई उनले असल र खराबको बारेमा र परमेश्‍वरले मानिसहरूलाई येशूद्वारा के बताउन चाहनुहुन्छ भन्‍ने बारेमा धेरै भन्‍दा धेरै लेखिरहेका हुनेछन् भनेर बताउन ज्योति र अन्धकार अनि वचनको अलङ्कारहरूलाई प्रयोग गर्छन् ।\n\n## यस अध्यायमा भएका अनुवादका अन्य सम्भाव्य कठिनाइहरू\n\n### “आदिमा”\n\nकेही भाषाहरू र संस्कृतिहरूले संसारलाई त्यो सधैँ अस्तित्वमा भइरहेको र मानौँ त्यसको कुनै सुरुवात नै नभएको जसरी कुरा गर्छन् । तर “निकै लामो समय अगाडि” भन्‍ने कुरा “आदिमा” भन्‍ने कुराबाट फरक छ, र तपाईंको अनुवादले त्यस कुरालाई ठीक तरिकाले प्रवाह गर्छ भन्‍ने कुरामा तपाईं निश्‍चित हुन जरुरी छ ।\n\n### “मानिसको पुत्र”\n\nयेशूले आफैँलाई “मानिसको पुत्र”को रूपमा जनाउनुहुन्छ ([यूहन्‍ना १:५१](../../jhn/01/51.md)) । तपाईंको भाषाले मानिसहरूलाई तिनीहरूका आफ्‍नै बारेमा कुरा गर्न कोही अरूको बारेमा कुरा गरेको जसरी बताउन नदिन सक्छ । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/sonofman]] अनि [[rc://ne/ta/man/translate/figs-123person]])
1:1	er9g			ἐν ἀρχῇ	1	यसले परमेश्‍वरले स्वर्ग र पृथ्वी सृजनुभन्दा धेरै अगिको समयलाई जनाउँछ ।
1:1	z59q			ὁ λόγος	1	यसले येशूलाई जनाउँछ । सम्भव भएसम्‍म “वचन” भनेर नै अनुवाद गर्नुहोस् । यदि तपार्इंको भाषामा “वचन” शब्दले स्‍त्रीलाई जनाउँछ भने यसलाई “उहाँ जसलाई वचन भनिन्छ” भनेर अनुवाद गर्न सकिन्छ ।
1:3	gm5g		rc://*/ta/man/translate/figs-activepassive	πάντα δι’ αὐτοῦ ἐγένετο	1	यसलाई सक्रिय क्रियापदसँग अनुवाद गर्न सकिन्छ । वैकल्पिक अनुवादः “परमेश्‍वरले सबै थोक उहाँद्वारा बनाउनुभयो” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-activepassive]])
1:3	aqs1		rc://*/ta/man/translate/figs-activepassive	χωρὶς αὐτοῦ ἐγένετο οὐδὲ ἕν ὃ γέγονεν	1	यसलाई सक्रिय क्रियापदसँग अनुवाद गर्न सकिन्छ । यदि तपाईंको भाषाले युगल अकरणहरूको प्रयोगलाई स्वीकृति दिँदैन भने, यी शब्दहरूले “सबैकुराहरू उहाँद्वारा बनाइएका थिए” भन्‍ने कुराको विपरीत चाहिँ गलत हो भन्‍ने सन्देश प्रवाह गर्नुपर्छ । वैकल्पिक अनुवादः “परमेश्‍वरले उहाँ बिना कुनै पनि थोक बनाउनुभएन” वा “बनाइएका सबै थोक उहाँद्वारा बनाइएका थिए” वा “परमेश्‍वरले बनाउनुभएको सबै थोक परमेश्‍वरले उहाँसँग बनाउनुभयो” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-activepassive]] अनि [[rc://ne/ta/man/translate/figs-doublenegatives]])
1:4	pz5c		rc://*/ta/man/translate/figs-metonymy	ἐν αὐτῷ ζωὴ ἦν, καὶ ἡ ζωὴ ἦν τὸ φῶς τῶν ἀνθρώπων	1	“उहाँमा जीवन थियो” भनेको सबै थोकलाई जिउँदो तुल्याउने कुराको लागि एक प्रतिस्थापन शब्द हो । अनि, “ज्योति” यहाँ “सत्यता”को लागि एउटा अलङ्कार हो । वैकल्‍पिक अनुवादः “सबैकुरालाई जीवित हुन लगाउनुहुने उहाँ नै हुनुहुन्छ । र उहाँले नै परमेश्‍वरको बारेमा के सत्य हो भनी प्रकट गर्नुभयो” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-metonymy]] अनि [[rc://ne/ta/man/translate/figs-metaphor]])
1:4	dv2f			ἐν αὐτῷ	1	यहाँ “उहाँ”ले त्यो व्यक्तिलाई जनाउँछ जसलाई वचन भनिन्छ ।
1:4	wxn4			ζωὴ	1	यहाँ “जीवन” को निम्ति सामान्य शब्द प्रयोग गर्नुहोस् । यदि तपार्इंले अझ बढी निर्दिष्‍ट रूपमा बताउनुपर्छ भने, “आत्मिक जीवन” भनेर अनुवाद गर्नुहोस् ।
1:5	y5ry		rc://*/ta/man/translate/figs-metaphor	τὸ φῶς ἐν τῇ σκοτίᾳ φαίνει, καὶ ἡ σκοτία αὐτὸ οὐ κατέλαβεν	1	यहाँ “ज्योति” जुन सत्य र असल छ त्यसको अलङ्कार हो । यहाँ “अन्धकार” चाहिँ गलत र दुष्‍टताको लागि एउटा अलङ्कार हो । वैकल्‍पिक अनुवादः “सत्य चाहिँ अँध्यारो ठाउँमा चम्किरहेको ज्योति   झैँ हो, र अँध्यारो ठाउँमा भएको कसैले पनि त्यो ज्योतिलाई निभाउन सक्दैन” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-metaphor]])
