Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	hk4p				0	# योनाको परिचय\n\n## भाग १: सामान्य परिचय\n\n### योनाको पुस्तकको रूपरेखा\n\n१. योनाले यहोवाबाट भाग्न खोज्छन्। (१:१-२:१०)\n* योनाले निनवे जानको लागि यहोवाको पहिलो आह्वानलाई अवज्ञा गरे। (१:१–३)\n* योना र अन्यजाति नाविकहरू। (१:४-१६)\n* योनालाई निल्नको लागि यहोवाले एउटा ठूलो माछा उपलब्ध गराउनुभयो र उहाँ प्रार्थना गर्नुहुन्छ र उद्धार गर्नुहुन्छ। (१:१७–२:१०)\n२. निनवेमा योना (३:१-४:११)\n* यहोवाले योनालाई निनवेमा जान बोलाउनुहुन्छ र योनाले यहोवाको सन्देश घोषणा गर्नुहुन्छ। (३:१-४)\n* निनवे पश्चात्ताप। (३:५-९)\n* यहोवाले निनवेलाई नाश नगर्ने निर्णय गर्नुहुन्छ। (३:१०)\n* योना यहोवासित असाध्यै रिसाए। (४:१–३)\n* यहोवाले योनालाई अनुग्रह र दयाको बारेमा सिकाउनुहुन्छ। (४:४-११)\n\n### योनाको पुस्तक के बारे मा छ?\n\nअमितैका छोरा योना, गथ हेफेरका अगमवक्ता थिए (२ राजा १४:२५)। योनालाई के भयो भनेर यो पुस्तकले बताउँछ। यसले कसरी यहोवाले अन्यजातिहरूलाई कृपा र अनुग्रह देखाउनुहुन्छ भनेर बताउँछ। यसले निनवेवासीहरूले कसरी पश्चात्ताप गरे र यहोवालाई कृपाको लागि पुकारे भनेर पनि बताउँछ।(हेर्नुहोस्: [[rc://*/tw/dict/bible/kt/mercy]], [[rc://*/tw/dict/bible/kt/grace]] and [[rc://*/tw/dict/bible/kt/repent]])\n\nनिनवेका मानिसहरूलाई उहाँ दण्ड दिन तयार हुनुहुन्छ भनी चेतावनी दिन यहोवाले योनालाई पठाउनुभयो। यदि तिनीहरूले पश्चात्ताप गरे भने उहाँले तिनीहरूलाई हानि गर्नुहुनेछैन भनेर यहोवाले भन्नुभयो। जे होस्, योना एक इस्राएली थिए र निनवेवासीहरूले पश्चात्ताप गरेको चाहँदैनन्। त्यसैले योनाले यहोवाले उहाँलाई भन्नुभएका कुराहरू गर्नुको सट्टा विपरीत दिशामा जान खोजे। तर परमप्रभुले उसलाई निल्नको लागि आँधी र एउटा ठूलो माछा पठाएर रोकिदिनुभयो।\n\nयोनाले पश्चात्ताप गरे र निनवेवासीहरूलाई चेतावनी दिए। नतिजाको रूपमा, यहोवाले तिनलाई सिकाउनुभयो कि उहाँ इस्राएलीहरू मात्र होइन, सबै मानिसहरूको चिन्ता गर्नुहुन्छ।### How should the title of this book be translated?\n\nयस पुस्तकलाई परम्परागत रूपमा "जोनाहको पुस्तक" वा केवल "जोनाह" शीर्षक दिइएको छ। अनुवादकहरूले "जोनाको बारेमा पुस्तक" जस्ता स्पष्ट शीर्षक प्रयोग गर्ने निर्णय गर्न सक्छन्। (हेर्नुहोस्: [[rc://*/ta/man/translate/translate-names]])\n\n### योनाको पुस्तक कसले लेखेका थिए?\n\nयोना यस पुस्तकको लेखनमा संलग्न थिए। यद्यपि, विद्वानहरूलाई यो वास्तवमा कसले लेखेको थाहा छैन।\n\nयोना इस्राएलको उत्तरी राज्यमा बस्थे। उनले राजा यारोबाम द्वितीयको शासनकालमा 800 र 750 ईसापूर्वको बीचमा भविष्यवाणी गरे।\n\n## भाग २: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू\n\n### अश्शूर राष्ट्र के थियो?\n\nयोनाको समयमा, अश्शूर पुरातन पूर्वमा सबैभन्दा शक्तिशाली राज्य थियो। निनवे अश्शूरको राजधानी थियो।\n\nअश्शूर आफ्ना शत्रुहरूप्रति क्रूर थियो। अन्ततः, यहोवाले अश्शूरीहरूलाई तिनीहरूले गरेका दुष्ट कामहरूको लागि दण्ड दिनुभयो।\n\n### के अश्शूरले यहूदी धर्म ग्रहण गरे?\n\nअश्शूरीहरूले मात्र यहोवाको आराधना गर्न थालेका छन् भनी केही विद्वानहरूको विचार छ। यद्यपि, धेरैजसो विद्वानहरूले उनीहरूले अन्य झूटा देवताहरूको पूजा गर्न जारी राखेका छन् भनी सोच्छन्। (हेर्नुहोस्: [[rc://*/tw/dict/bible/kt/falsegod]])
1:intro	xvp2				0	# योना १ सामान्य नोटहरू\n\n## संरचना र ढाँचा\n\nयस अध्यायको कथा अचानक सुरु हुन्छ। यसले अनुवादकको लागि कठिनाई निम्त्याउन सक्छ। बिल्कुल आवश्यक नभएसम्म अनुवादकले यो परिचयलाई सहज बनाउने प्रयास गर्नु हुँदैन।\n\n## यस अध्यायमा विशेष अवधारणाहरू\n\n### चमत्कार\n\nपद [योना 17] (./17.md), त्यहाँ "एउटा ठूलो माछा" को उल्लेख छ। मानिसलाई निल्न सक्ने ठूलो समुद्री प्राणी कल्पना गर्न गाह्रो हुन सक्छ; त्यसपछि उहाँ तीन दिन र रात भित्र बाँच्नुहुन्छ। अनुवादकहरूले चमत्कारी घटनाहरूलाई बुझ्न सजिलो बनाउनको लागि व्याख्या गर्ने प्रयास गर्नु हुँदैन। (हेर्नुहोस्: [[rc://*/tw/dict/bible/kt/miracle]])\n\n## यस अध्यायमा भाषणका महत्त्वपूर्ण तथ्याङ्कहरू\n\n### स्थिति विडंबना\n\nयस अध्यायमा विडम्बनापूर्ण अवस्था छ। यसको मतलब यो हो कि मानिसहरूले उनीहरूले गर्ने अपेक्षाको विपरीत चीजहरू गर्छन् वा भन्छन्। योना परमेश्वरको अगमवक्ता हो र परमेश्वरको इच्छा पूरा गर्न प्रयास गर्नुपर्छ। बरु, ऊ परमेश्वरबाट टाढा भाग्छ। यद्यपि अन्यजाति नाविकहरू इजरायलीहरू होइनन्, तिनीहरूले विश्वास र यहोवाको डरले काम गर्छन् जब जोनाहलाई जहाजमा फ्याँकेर लगभग निश्चित मृत्युमा पठाउँछन्। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-irony]], [[rc://*/tw/dict/bible/kt/prophet]] र [[rc://en /tw/dict/bible/kt/willofgod]] र [[rc://*/tw/dict/bible/kt/faith]])\n\n### सागर\n\nप्राचीन निकट पूर्वका मानिसहरूले पनि समुद्रलाई अराजकको रूपमा देखे र विश्वास गरेनन्। तिनीहरूले पूजा गर्ने केही देवताहरू समुद्रका देवताहरू थिए। योनाका मानिसहरू, हिब्रूहरू, समुद्रसँग धेरै डराए। यद्यपि, योनाको यहोवाप्रतिको डरले उहाँलाई यहोवाबाट टाढा जान जहाजमा चढ्नबाट जोगाउन पर्याप्त थिएन। उहाँका कार्यहरू अन्यजातिहरूका कार्यहरू भन्दा भिन्न छन्। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-irony]] र [[rc://*/tw/dict/bible/kt/fear]])\n\n## यस अध्यायमा अन्य सम्भावित अनुवाद कठिनाइहरू\n\n### अन्तर्निहित जानकारी\n\nतर्सिश कहाँ थियो भनेर कसैलाई पक्का थाहा नभए तापनि, योनालाई त्यहाँ जान निनवेबाट टाढा जानुपरेको कुरा पाठकलाई थाहा छ भनी लेखकको अनुमान छ। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-explicit]])
1:1	jdr1		rc://*/ta/man/translate/writing-newevent	וַֽ⁠יְהִי֙ דְּבַר־יְהוָ֔ה	1	यो वाक्यांशले योनाको कथाको पहिलो आधा परिचय दिन्छ। एउटै वाक्यांशले कथाको दोस्रो भागको परिचय दिन्छ (३:१)। यो एक अगमवक्ताको बारेमा ऐतिहासिक कथा सुरु गर्ने एक सामान्य तरिका हो। (हेर्नुहोस्: [[rc://*/ta/man/translate/writing-newevent]])
1:1	ll6c		rc://*/ta/man/translate/figs-idiom	וַֽ⁠יְהִי֙ דְּבַר־יְהוָ֔ה	1	यो एक मुहावरा हो जसको अर्थ यहोवाले आफ्नो सन्देश कुनै न कुनै तरिकाले बोल्नुभयो वा सञ्चार गर्नुभयो। वैकल्पिक अनुवाद: "यहोवेले आफ्नो सन्देश बोले" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-idiom]])
1:1	qa3z			דְּבַר־יְהוָ֔ה	1	वैकल्पिक अनुवाद: "यहोवाको सन्देश"
1:1	s6av			יְהוָ֔ה	1	यो परमेश्वरको नाम हो जुन उहाँले आफ्ना मानिसहरूलाई पुरानो नियममा प्रकट गर्नुभयो।
1:1	jv8c		rc://*/ta/man/translate/translate-names	אֲמִתַּ֖י	1	This is the name of Jonah’s father. (See: [[rc://*/ta/man/translate/translate-names]])
1:2	x5ua			ק֠וּם לֵ֧ךְ אֶל־נִֽינְוֵ֛ה הָ⁠עִ֥יר הַ⁠גְּדוֹלָ֖ה	1	वैकल्पिक अनुवाद: "निनवेको ठूलो र महत्त्वपूर्ण शहरमा जानुहोस्"
1:2	v2xt		rc://*/ta/man/translate/figs-idiom	ק֠וּם	1	यो एक मुहावरा हो जसको अर्थ योनाले कदम चाल्नु पर्छ र जानु पर्छ। यसको मतलब यो होइन कि परमेश्वरले उहाँसँग बोल्नुहुँदा उहाँ बसिरहनुभएको थियो वा सुतेको थियो। धेरै भाषाहरूले एउटा मात्र क्रिया प्रयोग गर्नेछन्, जस्तै "जानुहोस्।" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-idiom]])
1:2	jqz9		rc://*/ta/man/translate/figs-metonymy	וּ⁠קְרָ֣א עָלֶ֑י⁠הָ	1	यहाँ **it** शब्द, निनवे सहरको अर्थ हो, सहर र वरपर बस्ने मानिसहरूलाई जनाउने मेटोनिम हो। वैकल्पिक अनुवाद: "मानिसहरूलाई चेतावनी दिनुहोस्" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-metonymy]])
1:2	rki2			עָלְתָ֥ה רָעָתָ֖⁠ם לְ⁠פָנָֽ⁠י	1	वैकल्पिक अनुवाद: "मलाई थाहा छ तिनीहरूले लगातार पाप गरिरहेछन्" वा "मलाई थाहा छ कि तिनीहरूको पाप झन् झन् खराब हुँदै गइरहेको छ"
1:2	jd9r		rc://*/ta/man/translate/figs-metonymy	לְ⁠פָנָֽ⁠י	1	यो एउटा अभिव्यक्ति हो जसले यहोवाको अनुहारलाई उहाँको उपस्थितिलाई जनाउँछ। यहोवाको उपस्थितिको विचारमा उहाँको ज्ञान, सूचना, ध्यान वा निर्णय पनि समावेश छ। निनवेका मानिसहरू कत्ति दुष्ट भएका छन्‌ भनेर यहोवाले देख्नुभएको छ। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-metonymy]])
1:3	f5sr		rc://*/ta/man/translate/figs-idiom	וַ⁠יָּ֤קָם יוֹנָה֙ לִ⁠בְרֹ֣חַ	1	यहाँ **उठ्नुभयो** शब्दको अर्थ योनाले परमेश्वरको आज्ञाको जवाफमा कदम चालेको हो, तर उनको कार्य आज्ञा पालन गर्नुको सट्टा अनाज्ञाकारी हुनु थियो। हेर्नुहोस् कसरी तपाईंले यो मुहावरेलाई [1:2] (../01/02.md) मा अनुवाद गर्नुभयो। वैकल्पिक अनुवाद: "तर योना भागे" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-idiom]])
1:3	n96t		rc://*/ta/man/translate/figs-metaphor	מִ⁠לִּ⁠פְנֵ֖י יְהוָ֑ה	-1	यो एउटा अभिव्यक्ति हो जसले यहोवाको अनुहारलाई उहाँको उपस्थितिलाई जनाउँछ। यहोवाको उपस्थितिको विचारमा उहाँको ज्ञान, सूचना, ध्यान वा निर्णय पनि समावेश छ। भागेर, योनाले आफूले अनाज्ञाकारी भएको कुरा यहोवाले याद गर्नुहुनेछैन भनी आशा राख्छन्। वैकल्पिक अनुवाद: "यहोवाको उपस्थितिबाट" वा "यहोवाबाट" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-metaphor]])
1:3	g66v		rc://*/ta/man/translate/figs-explicit	לִ⁠בְרֹ֣חַ תַּרְשִׁ֔ישָׁ⁠ה	1	“तर्शीशमा भाग्न” तर्शीश नामको यो सहर निनवेको विपरीत दिशामा थियो। यो स्पष्ट गर्न सकिन्छ। वैकल्पिक अनुवाद: "र विपरीत दिशामा गए, तर्सिश तिर, टाढा" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-explicit]])
1:3	djv1			וַ⁠יֵּ֨רֶד יָפ֜וֹ	1	वैकल्पिक अनुवाद: "योना जोप्पा गए"
1:3	w3uc			אָנִיָּ֣ה	1	**जहाज** एक धेरै ठूलो प्रकारको डुङ्गा हो जसले समुद्रमा यात्रा गर्न सक्छ र धेरै यात्रुहरू वा भारी कार्गो बोक्न सक्छ।
1:3	pz67			וַ⁠יִּתֵּ֨ן שְׂכָרָ֜⁠הּ	1	वैकल्पिक अनुवाद: "त्यहाँ योनाले यात्राको लागि भुक्तान गरे"
1:3	g5xp			וַ⁠יֵּ֤רֶד בָּ⁠הּ֙	1	वैकल्पिक अनुवाद: "जहाजमा पुग्यो"
1:3	i6bi			עִמָּ⁠הֶם֙	1	**तिनीहरू** शब्दले जहाजमा जाँदै गरेका अरूलाई जनाउँछ।
