Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	xh5n				0	"# यहूदाको परिचय\n\n## भाग 1: सामान्य परिचय\n\n### यहूदाको पुस्तकको रूपरेखा\n\n1. परिचय (1:1–2)\n2। झूटा शिक्षकहरू विरुद्ध चेतावनी (1:3-4)\n3. पुरानो नियमका उदाहरणहरूसँग झूटा शिक्षकहरूको तुलना (1:5-116)\n4. ईश्‍वरीय जीवन बाँच्न आग्रह प्रतिक्रियामा (1:17-23)\n5। परमेश्वरको प्रशंसा (1:24-25)\n\n### यहूदाको पुस्तक कसले लेखेका हुन्?\n\nलेखकले आफूलाई जेम्सको भाइ जुड भनेर चिनाए। यहूदा र याकूब दुवै येशूका सौतेनी भाइहरू थिए। यो पत्र कुनै खास मण्डलीको लागि हो कि होइन भन्ने थाहा छैन।\n\n### जुडको पुस्तक के बारे छ?\n\nजुडले यो पत्र विश्वासीहरूलाई झूटा शिक्षकहरू विरुद्ध चेतावनी दिन लेखेका थिए। यहूदाले प्रायः पुरानो नियमलाई उल्लेख गरेको छ। यसले यहूदी यहूदी क्रिश्चियन श्रोताहरूलाई लेखिरहेको हुन सक्छ। यो पत्र र 2 पत्रुस समान सामग्री छ। तिनीहरू दुवै स्वर्गदूतहरू, सदोम र गमोराह र झूटा शिक्षकहरूको बारेमा बोल्छन्।\n\n### यस पुस्तकको शीर्षकलाई कसरी अनुवाद गर्नुपर्छ?\n\nअनुवादकहरूले यस पुस्तकलाई यसको परम्परागत शीर्षक, ""जुड"" भनेर बोलाउन रोज्न सक्छन्। वा तिनीहरूले ""यहूदाको पत्र"" वा ""जुडले लेखेको पत्र"" जस्ता स्पष्ट शीर्षक रोज्न सक्छन्। (हेर्नुहोस्: [[rc://*/ta/man/translate/translate-names]])\n\n## भाग २: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू\n\n### जुडले कसको विरुद्धमा बोलेका थिए?\n\nयो सम्भव छ कि जुडाले विरुद्ध बोलेका मानिसहरू तिनीहरू थिए पछि Gnostics भनेर चिनिन्छ। यी शिक्षकहरूले आफ्नो फाइदाको लागि धर्मशास्त्रको शिक्षालाई विकृत गरे। तिनीहरू अनैतिक तरिकामा बाँचे र अरूलाई पनि त्यसै गर्न सिकाए।\n\n## भाग ३: महत्त्वपूर्ण अनुवाद समस्याहरू\n\n### एकवचन र बहुवचन ""तपाईं""\n\nयस पुस्तकमा, ""म"" शब्द यहूदालाई जनाउँछ। साथै, शब्द ""तपाईं"" सधैं बहुवचन हो र यहूदाका दर्शकहरूलाई जनाउँछ। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-exclusive]] र [[rc://*/ta/man/translate/figs-you]])\n\n### २ पिटरको पुस्तकको पाठमा प्रमुख मुद्दाहरू के हुन्?\n\nनिम्न पदको लागि, केही पुरातन पाण्डुलिपिहरू बीच भिन्नताहरू छन्। ULT पाठले पढाइलाई पछ्याउँछ जुन धेरै विद्वानहरूले मौलिक मान्छन् र अर्को पढाइलाई फुटनोटमा राख्छन्। यदि यस क्षेत्रमा व्यापक सञ्चारको भाषामा बाइबलको अनुवाद अवस्थित छ भने, अनुवादकहरूले त्यो संस्करणमा फेला परेको पढाइ प्रयोग गर्न विचार गर्न चाहन्छन्। यदि होइन भने, अनुवादकहरूलाई ULT मा पढाइ पछ्याउन सल्लाह दिइन्छ।\n* ""येशूले मिश्रको भूमिबाट मानिसहरूलाई बचाउनु भयो"" [(v. 5)](../01/05.md)। केही पुरातन पाण्डुलिपिहरूमा, ""यहोवाले मिश्रको भूमिबाट मानिसहरूलाई बचाउनुभएको छ।""\n\n(हेर्नुहोस्: [[rc://*/ta/man/translate/translate-textvariants]])
क्षेत्र, अनुवादकहरूले त्यो संस्करणमा फेला परेको पढाइ प्रयोग गरेर विचार गर्न चाहन्छन्। यदि होइन भने, अनुवादकहरूलाई ULT मा पढाइ पछ्याउन सल्लाह दिइन्छ।\n* ""येशूले मिश्रको भूमिबाट मानिसहरूलाई बचाउनुभयो"" [(v. 5)](../01/05.md)। केही पुरातन पाण्डुलिपिहरूमा ""परमप्रभुले मिश्रको भूमिबाट मानिसहरूलाई बचाउनुभएको छ।"""
1:1	ek3q		rc://*/ta/man/translate/figs-123person	Ἰούδας	1	"यस संस्कृतिमा, पत्र लेखकहरूले पहिले आफ्नै नाम दिनेछन्, र तिनीहरूले तेस्रो व्यक्तिमा आफूलाई सन्दर्भ गर्नेछन्। यदि त्यो तपाईंको भाषामा भ्रमित हुन्छ भने, तपाईंले पहिलो व्यक्ति प्रयोग गर्न सक्नुहुन्छ। यदि तपाईंको भाषामा पत्रको लेखक परिचय गराउने एउटा विशेष तरिका छ भने, तपाईंले त्यो पनि प्रयोग गर्न सक्नुहुन्छ। वैकल्पिक अनुवाद: ""म, जुड, यो पत्र लेख्दै छु"" वा ""यहूदाबाट"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-123person]])"
1:1	npc3		rc://*/ta/man/translate/translate-names	Ἰούδας	1	**जुड** एक मानिसको नाम हो, जेम्सको भाइ। उहाँको बारेमा जानकारी जुडको परिचयको भाग १ मा हेर्नुहोस्। (हेर्नुहोस्: [[rc://*/ta/man/translate/translate-names]])
1:1	zov5		rc://*/ta/man/translate/figs-distinguish	Ἰησοῦ Χριστοῦ δοῦλος, ἀδελφὸς δὲ Ἰακώβου	1	"यी वाक्यांशहरूले यहूदाको बारेमा थप जानकारी दिन्छ। उसले आफूलाई **येशू ख्रीष्टको सेवक** र **याकूबको भाइ** दुवैको रूपमा वर्णन गर्दछ। यसले उहाँलाई नयाँ नियममा जुड नामका दुई अन्य पुरुषहरूबाट अलग पार्छ, जसलाई अंग्रेजी अनुवादहरूले सामान्यतया तिनीहरूको नाम ""जुडास"" को रूपमा अनुवाद गरेर जुडबाट भिन्न हुन्छन्। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-distinguish]])"
1:1	m3v1		rc://*/ta/man/translate/figs-explicit	ἀδελφὸς & Ἰακώβου	1	"**याकूब** र यहूदा येशूका सौतेनी भाइहरू थिए। जोसेफ तिनीहरूका भौतिक पिता थिए, तर उहाँ येशूको भौतिक पिता थिएनन्। यदि यो तपाईंको भाषामा उपयोगी छ भने, तपाईंले यो सम्बन्ध स्पष्ट रूपमा बताउन सक्नुहुन्छ। वैकल्पिक अनुवाद: ""याकूबको भाइ, दुवै येशूका सौतेनी भाइहरू"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-explicit]])"
1:1	p5yl		rc://*/ta/man/translate/figs-123person	τοῖς	1	"यस संस्कृतिमा, आफ्नै नाम दिएपछि, पत्र लेख्नेहरूले त्यसपछि ती व्यक्तिहरूलाई तेस्रो व्यक्तिमा नाम दिएर उनीहरूले कसलाई लेख्दै थिए भन्ने गर्छन्। यदि त्यो तपाईंको भाषामा भ्रमित हुन्छ भने, तपाईंले दोस्रो व्यक्ति प्रयोग गर्न सक्नुहुन्छ। वैकल्पिक अनुवाद: ""तपाईं जो हुनुहुन्छ"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-123person]])"
1:1	din3		rc://*/ta/man/translate/figs-explicit	κλητοῖς	1	"यी मानिसहरूलाई **बोलाइएको** भएकोले परमेश्वरले उनीहरूलाई बोलाउनुभयो र बचाउनुभएको हो भन्ने बुझाउँछ। वैकल्पिक अनुवाद: ""र जसलाई परमेश्वरले बोलाउनुभयो र बचाउनुभयो"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-explicit]])"
1:1	gorg		rc://*/ta/man/translate/figs-activepassive	ἐν Θεῷ Πατρὶ ἠγαπημένοις	1	"यदि तपाईंको भाषाले यो निष्क्रिय फारम प्रयोग गर्दैन भने, तपाईंले यसलाई सक्रिय फारमको साथ व्यक्त गर्न सक्नुहुन्छ। वैकल्पिक अनुवाद: ""जसलाई पिताले माया गर्नुहुन्छ"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-activepassive]])"
1:1	rih9		rc://*/ta/man/translate/guidelines-sonofgodprinciples	Θεῷ Πατρὶ	1	**बुबा** भगवानको लागि महत्त्वपूर्ण उपाधि हो। (हेर्नुहोस्: [[rc://*/ta/man/translate/guidelines-sonofgodprinciples]])
1:1	s3oh		rc://*/ta/man/translate/figs-activepassive	Ἰησοῦ Χριστῷ τετηρημένοις κλητοῖς	1	"यदि तपाईंको भाषाले निष्क्रिय फारम प्रयोग गर्दैन भने ** राखिएको {र} भनिन्छ**, तपाईंले यसलाई सक्रिय फारमसँग व्यक्त गर्न सक्नुहुन्छ। वैकल्पिक अनुवाद: ""जसलाई येशू ख्रीष्टले राख्नुहुन्छ र बोलाउनुहुन्छ"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-activepassive]])"
1:2	wjsn		rc://*/ta/man/translate/translate-blessing	ἔλεος ὑμῖν, καὶ εἰρήνη, καὶ ἀγάπη πληθυνθείη.	1	"यस संस्कृतिमा, पत्र लेखकहरूले पत्रको मुख्य व्यवसाय परिचय गर्नु अघि प्राप्तकर्ताको लागि शुभ कामना प्रस्ताव गर्दछ। तपाईंको भाषामा एउटा फारम प्रयोग गर्नुहोस् जसले यो अभिवादन र आशीर्वाद हो भनेर स्पष्ट पार्छ। वैकल्पिक अनुवाद: ""भगवानले उहाँको कृपा र शान्ति र प्रेम तपाईलाई बढाउन्"" (हेर्नुहोस्: [[rc://*/ta/man/translate/translate-blessing]])"
1:2	r5ae		rc://*/ta/man/translate/figs-abstractnouns	ἔλεος ὑμῖν, καὶ εἰρήνη, καὶ ἀγάπη πληθυνθείη	1	"यदि यो तपाईंको भाषामा उपयोगी हुन्छ भने, तपाईंले सार संज्ञाहरू **दया**, **शान्ति**, र **प्रेम** लाई समान अभिव्यक्तिका साथ तिनीहरूको पछाडिका विचारहरू व्यक्त गर्न सक्नुहुन्छ। वैकल्पिक अनुवाद: ""भगवानले उहाँको दयालु कार्यहरू तपाईलाई बढाउँनुहोस् र तपाईलाई थप शान्त आत्मा दिनुहोस् र तपाईलाई अझ धेरै माया गर्नुहोस्"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-abstractnouns]])"
1:2	q2qo		rc://*/ta/man/translate/figs-metaphor	ἔλεος & καὶ εἰρήνη, καὶ ἀγάπη πληθυνθείη.	1	"जुडले **दया र शान्ति र प्रेम** को कुरा गर्दछ मानौं तिनीहरू आकार वा संख्यामा बढ्न सक्ने वस्तुहरू हुन्। यदि यो तपाईंको भाषामा भ्रामक छ भने, तपाईंले फरक रूपक प्रयोग गर्न सक्नुहुन्छ जसको मतलब यी चीजहरू बढ्नेछन्, वा सादा भाषा प्रयोग गर्नुहोस्। वैकल्पिक अनुवाद: ""परमेश्वरले उहाँको कृपा र शान्ति र प्रेमलाई बढाओस्"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-metaphor]])"
1:2	etoo		rc://*/ta/man/translate/figs-you	ὑμῖν	1	यस पत्रमा **तपाईं** शब्दले ख्रीष्टियनहरूलाई जनाउँछ जसलाई यहूदाले लेखेको थियो र सधैं बहुवचन हुन्छ। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-you]])
1:3	htjd		rc://*/ta/man/translate/figs-exclusive	ἀγαπητοί	1	"**प्रियजनहरू** ले यहाँ ती व्यक्तिहरूलाई बुझाउँछ जसलाई जुडले लेखिरहेको छ; यो सबै विश्वासीहरूलाई विस्तार गर्न सकिन्छ। यदि यो तपाईंको भाषामा उपयोगी छ भने, तपाईंले यो शब्द स्पष्ट रूपमा बताउन सक्नुहुन्छ। वैकल्पिक अनुवाद: ""प्रिय सँगी विश्वासीहरू"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-exclusive]])"
1:3	yfa8			πᾶσαν σπουδὴν ποιούμενος γράφειν ὑμῖν	1	"यो खण्डले सम्बोधन गर्न सकिन्छ: (1) जुन तथ्य यो पत्रको तुलनामा भिन्न कुराको जुडले लेख्नको लागि हो। वैकल्पिक अनुवाद: ""यद्यप्तिलाई लेख्न को लागी हर प्रयास गर्नु"" (2) समय जब यहूदा लेख थियो। वैकल्पिक अनुवाद: ""जब तपलाई लेख्ने हर प्रयास गर"""
1:3	mi3w			περὶ τῆς κοινῆς ἡμῶν σωτηρίας	1	"वैकल्पिक अनुवाद: ""हामीले बाँड्ने मुक्तिको बारेमा"""
1:3	kvkg		rc://*/ta/man/translate/figs-abstractnouns	περὶ τῆς κοινῆς ἡμῶν σωτηρίας	1	"यदि यो तपाईंको भाषामा उपयोगी हुन्छ भने, तपाईंले अमूर्त संज्ञा **मुक्ति** पछाडिको विचारलाई मौखिक वाक्यांशसँग व्यक्त गर्न सक्नुहुन्छ। वैकल्पिक अनुवाद: ""कसरी परमेश्वरले हामी सबैलाई सँगै बचाउनुभयो"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-abstractnouns]])"
1:3	kjk6		rc://*/ta/man/translate/figs-exclusive	ἡμῶν	1	यहाँ, **हाम्रो** ले यहूदा र तिनका श्रोताहरू, सँगी विश्वासीहरूलाई जनाउँछ। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-exclusive]])
1:3	si1u		rc://*/ta/man/translate/figs-abstractnouns	ἀνάγκην ἔσχον γράψαι	1	"यदि यो तपाईको भाषामा उपयोगी हुन्छ भने, तपाईले सार संज्ञा **आवश्यकता** पछाडिको विचारलाई समान अभिव्यक्तिको साथ व्यक्त गर्न सक्नुहुन्छ। वैकल्पिक अनुवाद: ""मलाई लेख्न आवश्यक थियो"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-abstractnouns]])"
1:3	yyf4		rc://*/ta/man/translate/grammar-connect-logic-goal	παρακαλῶν ἐπαγωνίζεσθαι τῇ & πίστει	1	"यो एक उद्देश्य खण्ड हो। जुन उद्देश्यका लागि उनले यो पत्र लेखेका थिए, जुडेले बताए । तपाईंको अनुवादमा, तपाईंको कन्भेन्सनहरू पालना गर्नुहोस्
उद्देश्य खण्डहरूको लागि भाषा। वैकल्पिक अनुवाद (पूर्व अल्पविराम बिना): ""विश्वासको पक्षमा लड्न आग्रह गर्नको लागि"" (हेर्नुहोस्: [[rc://*/ta/man/translate/grammar-connect-logic-goal]])"
1:3	ls3z		rc://*/ta/man/translate/figs-ellipsis	παρακαλῶν ἐπαγωνίζεσθαι τῇ & πίστει	1	"जूडले ""तपाईं"" शब्द छोड्दैछ जुन वाक्य पूरा हुन धेरै भाषाहरूमा चाहिन्छ। यो शब्द अघिल्लो खण्डबाट आपूर्ति गर्न सकिन्छ। वैकल्पिक अनुवाद: ""विश्वासको लागि लड्न तपाईंलाई आग्रह गर्दै"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-ellipsis]])"
1:3	pvyp		rc://*/ta/man/translate/figs-activepassive	τῇ ἅπαξ παραδοθείσῃ τοῖς ἁγίοις πίστει	1	"यदि तपाईंको भाषाले निष्क्रिय फारम **डेलिभर गरिएको** प्रयोग गर्दैन भने, तपाईंले कार्य कसले गर्यो भन्नुहुन्छ। वैकल्पिक अनुवाद: ""परमेश्वरले सन्तहरूलाई एकैचोटि सदाको लागि सुम्पनुभएको विश्वासको लागि"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-activepassive]])"
1:3	j67u			ἅπαξ	1	"यहाँ, **सबैका लागि एक पटक**ले एक पटक मात्र गरेको र फेरि कहिल्यै नगरेको कुराको विचार व्यक्त गर्दछ। **सबैका लागि** को अर्थ ""सधैका लागि"" हो। यसको अर्थ ""सबै मानिसहरूको लागि"" होइन।"
1:4	he1b		rc://*/ta/man/translate/grammar-connect-logic-result	γάρ	1	"यहाँ, **का लागि** संकेत गर्दछ कि यहूदाले आफ्नो पाठकहरूले ""विश्वासको लागि लड्न"" चाहन्छन् भनेर अघिल्लो पदमा किन भनेका थिए भन्ने कारण दिइरहेको छ। वैकल्पिक अनुवाद: ""म तपाईंलाई यो गर्न चाहन्छु किनभने"" (हेर्नुहोस्: [[rc://*/ta/man/translate/grammar-connect-logic-result]])"
1:4	v94i			παρεισέδυσαν γάρ τινες ἄνθρωποι	1	"वैकल्पिक अनुवाद: ""केही मानिसहरूले ध्यान नदिई लुकेका छन्"" वा ""केही मानिसहरू आफैंमा ध्यान नदिई भित्र आएका छन्।"
1:4	qevn		rc://*/ta/man/translate/figs-ellipsis	παρεισέδυσαν γάρ τινες ἄνθρωποι	1	"यस वाक्यांशमा, जुडले यस वाक्यबाट शब्दहरू छोड्दैछ जुन पूर्ण हुनको लागि धेरै भाषाहरूमा आवश्यक पर्दछ। यदि यो वाक्यांश तपाईंको भाषामा आवश्यक छ भने, यो पद [12] (../01/12.md) बाट आपूर्ति गर्न सकिन्छ। वैकल्पिक अनुवाद: ""केही पुरुषहरू तपाईंको प्रेम भोजहरूमा गोप्य रूपमा प्रवेश गरेका छन्"" वा ""केही मानिसहरू तपाईंको भेलाहरूमा गोप्य रूपमा प्रवेश गरेका छन्"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-ellipsis]])"
1:4	wwz3		rc://*/ta/man/translate/figs-activepassive	οἱ πάλαι προγεγραμμένοι εἰς τοῦτο τὸ κρίμα	1	"यदि तपाईंको भाषाले यो निष्क्रिय रूप प्रयोग गर्दैन ** तोकिएको छ भने, तपाईंले कार्य कसले गर्यो बताउन सक्नुहुन्छ। वैकल्पिक अनुवाद: ""मानिसहरू जसलाई परमेश्वरले धेरै पहिले नै यस निन्दाको लागि पहिले नै नियुक्त गर्नुभएको थियो"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-activepassive]])"
1:4	c7a6		rc://*/ta/man/translate/figs-abstractnouns	εἰς τοῦτο τὸ κρίμα	1	"यदि यो तपाईंको भाषामा उपयोगी हुन्छ भने, तपाईंले सार संज्ञा **निंदा** पछाडिको विचारलाई समान अभिव्यक्तिको साथ व्यक्त गर्न सक्नुहुन्छ। वैकल्पिक अनुवाद: ""निंदा गर्न"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-abstractnouns]])"
