Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	uk55				0	# लुकाको सुसमाचारको परिचय\n\n## भाग 1: सामान्य परिचय\n\n### लुकाको पुस्तकको रूपरेखा \n\n1. थियोफिलसलाई समर्पण (1:1-4)\n2. प्रस्तावना\n* बप्तिस्मा दिने योहाना को जन्म (1:5-80)\n  * येशूको जन्म र युवावस्था (2:1-51)\n  * बप्तिस्मा दिने योहानाको सेवकाई (3:1-20)\n  * बप्तिस्मा, वंशावली, र येशूको परिक्षा\n3. गालीलमा येशूको शिक्षा र निको पार्ने सेवा (4:14-9:50)\n4. येशूले यरूशलेमको यात्रामा सिकाउनुहुन्छ (Bible verses are missing)\n\n* परमेश्वरको न्याय, र येशूको बारेमा मानिसहरूको न्याय (9:51-13:21)\n  * को परमेश्वरको राज्यको हिस्सा हुनेछन् (13:22-17:10)\n  * येशूलाई स्वागत वा अस्वीकार गरेर जवाफ दिँदै (17:11-19:27)\n\n5. यरूशलेममा येशू\n  * येरुसलेममा येशूको प्रवेश (19:28-44)\n  *येशूले मन्दिरमा सिकाउनुहुन्छ :आफ्नो पहिचानमा र अधिकार विवादको बारेमा   (19:45-21:38)\n  * येशूको मृत्यु,दफन र पुनरुत्थान (22:1-24:53)\n\n### लुकाको सुसमाचार के को बारेमा छ ? \n\n\nलुकाको सुसमाचार नयाँ नियमका चारवटा पुस्तकहरू मध्ये एक हो जसले येशू ख्रीष्टको जीवन र शिक्षाहरू वर्णन गर्दछ। यी पुस्तकहरूलाई “सुसमाचार” भनिन्छ, जसको अर्थ “सुसमाचार” हो। तिनीहरूका लेखकहरूले येशू को हुनुहुन्थ्यो र उहाँले के गर्नुभयो भनेर विभिन्न पक्षहरूबारे लेखे। लूकाले थियोफिलस नामक व्यक्तिको लागि आफ्नो सुसमाचार लेखे र उहाँलाई समर्पित गरे। लूकाले येशूको जीवन र शिक्षाहरूको सही विवरण लेखे ताकि थियोफिलसलाई येशूको बारेमा सिकाइएको कुरा सत्य हो भनी निश्चित हुन सकून्। यद्यपि, लूकाले आशा गरे कि उनले लेखेका कुराहरूले येशूका सबै अनुयायीहरूलाई प्रोत्साहन दिनेछन्\n\n### यो पुस्तकको शीर्षकलाई कसरी अनुवाद गर्नुपर्छ\n\nअनुवादकहरूले यस पुस्तकलाई यसको पारम्परिक शीर्षक “लूकाको सुसमाचार” वा “लूकाको अनुसार रहेको सुसमाचार” भनेर बोलाउनलाई छान्‍न सक्छन् ।वा तिनीहरूले फरक शीर्षक छान्‍न सक्छन्, उदाहरणको लागि, “येशूको बारेमा भएको सुसमाचार जुन लूकाले लेखे ।” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-names]])\n\n### लूकाको पुस्तक कसले लेखे ?\n\nयस पुस्तकले लेखकको नाम दिँदैन । उही व्यक्ति जसले यो पुस्तक लेखे, उनैले प्रेरितहरूको पुस्तक पनि लेखे । प्रेरितहरूको पुस्तकको खण्‍डहरूमा, लेखकले “हामी” शब्दको प्रयोग गर्छन् । यसले सङ्केत गर्छ कि लेखकले पावलसँगै यात्रा गरेका थिए । अधिकांश विद्वानहरूले विचार गर्छन् कि लूका नै ती व्यक्ति थिए जसले पावलसँग यात्रा गरेका थिए । त्यसैले सुरुका ख्रीष्‍टिएन समयहरूदेखि, अधिकांश ख्रीष्‍टिएनहरूले विचार गरेका छन् कि लूका नै लूकाको पुस्तक र प्रेरितहरूको पुस्तकको लेखक थिए ।\n\n लूका एक औषधोपचार गर्ने चिकित्सक थिए । उनको लेखन शैलीले देखाउँछ कि उनी एक शिक्षित मानिस थिए । उनी सम्भवतः एक अन्यजाति थिए । सम्भवतः येशूले के भन्नुभयो र के गर्नुभयो त्यसको साक्षी लूका आफैँले देखेनन् । तर उसले थियोफिलसलाई आफ्नो समर्पणमा बताउँछन् कि उनले त्यस्ता धेरै मानिसहरूसँग कुरा गरे जसले देखेका थिए ।\n\n## भाग 2: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू\n\n### परमेश्वरको राज्य\n\nलूकाको सुसमाचारमा "परमेश्‍वरको राज्य" एउटा प्रमुख अवधारणा हो। यो अर्थ मा धेरै धनी छ। यसमा परमेश्वरको उपस्थितिमा अनन्त जीवनको विचार समावेश छ, तर यसले भविष्यमा पृथ्वी कस्तो हुनेछ भन्ने विचार पनि समावेश गर्दछ जब परमेश्वरले सबैलाई शासन गर्नुहुन्छ, र पृथ्वीमा जीवनको विचार अहिले, कहिले र कहाँ परमेश्वरको इच्छाहरू छन्। पूर्ण रूपमा सञ्चालन गरियो। यी सबै विचारहरूको पछाडि एकताबद्ध अवधारणा भनेको परमेश्वरको शासन र मानिसहरूले आफ्नो जीवनमा परमेश्वरको शासनलाई अंगाल्ने हो। जहाँ जहाँ अभिव्यक्ति "परमेश्‍वरको राज्य" हुन्छ, अनुवाद नोटहरूले अमूर्त संज्ञा "राज्य" पछाडिको विचारलाई "नियम" भन्ने क्रिया प्रयोग गर्ने केही वाक्यांशको साथ संवाद गर्न सुझाव दिन्छ। UST यस दृष्टिकोणलाई निरन्तर रूपमा मोडेल गर्दछ। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-abstractnouns]])\n\n\n\n### लूकाले येशूको जीवनको अन्तिम हप्ताको बारेमा किन यति धेरै लेख्छन्?\n\n\nलूकाले येशूको अन्तिम हप्ताको बारेमा धेरै लेखे। उहाँ आफ्ना पाठकहरूले येशूको अन्तिम हप्ता र क्रूसमा उहाँको मृत्युको बारेमा गहिरो रूपमा सोच्न चाहनुहुन्थ्यो। उहाँ मानिसहरूले बुझ्न चाहनुहुन्थ्यो कि येशू स्वेच्छाले क्रूसमा मर्नुभयो ताकि परमेश्वरले उनीहरूलाई उहाँको विरुद्धमा पाप गरेकोमा क्षमा गर्न सकोस्। (हेर्नुहोस्: [[rc://*/tw/dict/bible/kt/sin]\n\n### लूकाको सुसमाचारमा भएका स्‍त्रीहरूको भूमिकाहरू के हुन् ?\n\nलूकाले उनको सुसमाचारमा स्‍त्रीहरूलाई धेरै सकारात्मक रूपमा वर्णन गरे । उदाहरणको लागि, लूकाले धेरैपटक स्‍त्रीहरू अधिकांश पुरुषहरूभन्दा परमेश्‍वरप्रति बढी विश्‍वासयोग्‍य रहेका देखाए । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/faithful]])\n\n## भाग 3: अनुवादका महत्त्वपूर्ण विषयहरू\n\n### सिनोप्‍टिक(उस्‍तै विचारधारा राख्‍ने) सुसमाचारहरू के-के हुन् ?\n\nमत्ती, मर्कूस, र लूकाको सुसमाचारहरूलाई सिनोप्‍टिक सुसमाचारहरू भनिन्छ किनभने तिनीहरूमा समान किसिमका पाठ्यखण्‍डहरू छन् । “सिनोप्‍टिक” शब्दको अर्थ एकसाथ देख्‍नु हो ।\n\nजब दुई वा तीन सुसमाचारहरूमा भएका पाठ्य खण्‍डहरू एउटै वा लगभग उस्तै हुन्छ, तिनीहरूलाई “समान” भएको भनिन्छ । जब यी खण्‍डहरूको अनुवाद हुन्छ, अनुवादकहरूले सम्भव भएसम्म एउटै शब्दहरको प्रयोग गर्नुपर्छ र तिनीहरूलाई समान बनाउनुपर्छ ।\n\n### किन येशूले आफैँलाई "मानिसको पुत्र" भनेर सम्बोधन गर्नुहुन्छ?\n\nसुसमाचारहरूमा, येशूले आफैँलाई “मानिसको पुत्र” भनी बोलाउनुभयो । यो दानिएल[ 7:13-14] (../dan/07/13.md) यो खण्‍डमा त्यहाँ “मानिसको पुत्र” भनी वर्णन गरिएको एकजना व्यक्ति छ । यसको अर्थ हो कि त्यो व्यक्ति मानिस झैँ देखिने कोही थियो । जातिहरूमाथि सदाको लागि शासन गर्न परमेश्‍वरले मानिसको पुत्रलाई अधिकार दिनुभयो ।। सबै मानिसहरूले उहाँलाई सदासर्वदा आराधना गर्नेछन् ।\n\nयेशूका समयका यहूदीहरूले “मानिसको पुत्र”लाई कसैको लागि पनि नामको रूपमा प्रयोग गर्दैनथे ।तर येशूले यसलाई उहाँ साँच्चै को हुनुहुन्छ भनेर बुझ्न मद्दत गर्नको लागि प्रयोग गर्नुभयो। (हेर्नुहोस्: [[rc://*/tw/dict/bible/kt/sonofman]]) \n\n“मानिसको पुत्र” शीर्षकको अनुवाद गर्न धेरै भाषाहरूमा कठिन हुन सक्छ ।पाठकहरूले शाब्दिक अनुवादलाई गलत बुझ्न सक्छ। अनुवादकहरूले विकल्पहरू विचार गर्न सक्छन्, जस्तै "मानव एक।" शीर्षकको व्याख्या गर्न फुटनोट( पादटिप्‍पणी ) समावेश गर्नु पनि उपयोगी हुन सक्छ। \n\n###### लुकाको पुस्तकको पाठमा भएका प्रमुख विषयहरू\n\nULT (यूएलटी) ले बाइबलको सबैभन्दा सटीक पुरातन पाण्डुलिपिहरूको पढाइलाई पछ्याउँछ। यद्यपि, अनुवादकहरूको क्षेत्रमा पहिले नै बाइबलका पुराना संस्करणहरू हुन सक्छन् जुन अन्य पाण्डुलिपिहरूको पढाइलाई पछ्याउँछन्।सबैभन्दा महत्त्वपूर्ण अवस्थाहरूमा, यी भिन्नताहरू हुने अध्यायहरूमा सामान्य टिप्पणीहरूले उनीहरूलाई छलफल गर्नेछ र दृष्टिकोणहरू सिफारिस गर्नेछ। (हेर्नुहोस्: [[rc://*/ta/man/translate/translate-textvariants]])
1:intro	f1b5				0	# लूक1 सामान्य टिपोटहरू\n\n## संरचना र ढाँचा\n1. थियोफिलसलाई समर्पण (1:1-4)\n\n2. स्वर्गदूत गेब्रियलले जकरियालाई घोषणा गर्दछ कि उनकी पत्नी एलिजाबेथले छोरा जन्माउनेछिन्, बप्तिस्मा दिने योहानाको (1:5-25)\n\n3. स्वर्गदूत गेब्रियल मरियमलाई घोषणा गर्छन् कि उनी येशूकी आमा बन्न गइरहेकी छिन् (1:26-38)\n4. मरियम एलिजाबेथलाई भेट्न जान्छिन् (1:39-56)\n5. बप्तिस्मा दिने योहानाको जन्म भयो (1:57-80)\n\n\nकेही अनुवादहरूले कविताको प्रत्येक पङ्क्तिलाई पढ्न सजिलो बनाउनको लागि बाँकी पाठको तुलनामा दायाँतिर राख्न्ने गर्दछ। ULT ले 1:46-55 मा येशूको आमा बन्ने बारे मरियमको गीतको कविता र 1:68-79 मा आफ्नो छोरा बप्तिस्मा दिने योहानाको जन्मको बारेमा जकरियाको गीतसँग यो गर्दछ ।\n\n## यस अध्यायमा भएका विशेष अवधारणाहरू\n\n### “उहाँलाई यूहन्‍ना भनिनेछ”\n\nप्राचीन मध्यपूर्व क्षेत्रमा भएका अधिकांश मानिसहरूले कुनै बालकलाई तिनीहरूकै घरानाहरूमा भएको उही नाम राख्थे । एलीशिबा र जकरियाले तिनीहरूको छोराको नाम यूहन्‍ना राखेकोमा मानिसहरू चकित भएका थिए किनभने त्यो नाम गरेको कोही व्यक्ति तिनीहरूको परिवारमा थिएन ।\n\n## यस अध्यायमा भएका महत्त्वपूर्ण भाषाका अलङ्कारहरू\n\nलूकाको भाषा सरल र सिधा खालको छ । उनले थुप्रै भाषाका अलङ्कारहरूको प्रयोग गर्दैनन् ।
1:1	br8r			सामान्य जानकारीः	0	
1:1	qhd9			περὶ τῶν πεπληροφορημένων ἐν ἡμῖν πραγμάτων	1	यदि तपाइँका पाठकहरूले यसलाई गलत बुझ्दछन् भने, तपाइँ यसलाई सक्रिय रूपसाथ व्यक्त गर्न सक्नुहुन्छ। वैकल्पिक अनुवाद: "हामी बीचमा भएका ती चीजहरूको बारेमा" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-activepassive]])
1:1	hyp6		rc://*/ta/man/translate/figs-inclusive	ἐν ἡμῖν	1	लुकाले यो पुस्तक थियोफिलस नाम गरेका मानिसलाई समर्पण गर्दछ। उहाँ को हुनुहुन्थ्यो भन्ने अहिले ठ्याक्कै थाहा छैन। तर लुकाले [१:४](../01/04.md) मा थिओफिलसले आफूले सिकेका कुराहरू भरपर्दो छन् भनी जान्न चाहेकोले उहाँ येशूको अनुयायी हुनुहुन्थ्यो भन्ने देखिन्छ। त्यसैले यहाँ **हामी** शब्दले उहाँलाई समावेश गर्दछ। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-exclusive]])
1:2	z9dq		rc://*/ta/man/translate/figs-synecdoche	ὑπηρέται & τοῦ λόγου	1	“वचन” शब्द धेरै शब्दहरूले बनेको सन्देशको लागि एउटा प्रतिस्थापकीय शब्द हो । वैकल्पिक अनुवादः “सन्देशका सेवकहरू” वा “परमेश्‍वरको सन्देशका सेवकहरू” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-synecdoche]])
1:2	hud2		rc://*/ta/man/translate/figs-explicit	αὐτόπται καὶ ὑπηρέται γενόμενοι τοῦ λόγου	1	**प्रत्यक्षदर्शी** शब्दले कुनै व्यक्तिलाई व्यक्तिगत रूपमा, "आफ्नो आँखाले" देखेको व्यक्तिलाई वर्णन गर्दछ। शब्दले त्यस्तो व्यक्तिलाई दृष्टि, आँखासँग सम्बन्धित चीजको सन्दर्भमा लाक्षणिक रूपमा वर्णन गर्दछ। वैकल्पिक अनुवाद: "कसले ... यी चीजहरू व्यक्तिगत रूपमा देखे" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-metonymy]])
1:3	nr63			κράτιστε Θεόφιλε	1	थियोफिलसलाई आदर र सम्मान देखाउनलाई लूकाले यसो भने । यसको अर्थ थियोफिलस एक प्रतिष्‍ठित सरकारी अधिकृत भएको हुन सक्छ । यो खण्‍डले तपाईंले संस्कारमा उच्‍च ओहदाका मानिसहरूलाई सम्बोधन गर्न प्रयोग गरिने शैलीको प्रयोग गर्नुपर्छ । केहीले यो सम्बोधनलाई यसरी सुरुमा पनि राख्‍न चाहन्छन्, “ ... थियोफिलसलाई” वा “प्रिय ... थियोफिलस ।”
1:3	fud1			παρηκολουθηκότι	1	लूकाले यो पृष्ठभूमि जानकारी प्रदान गर्दछ कि उनी वास्तवमा के भयो भनेर पत्ता लगाउन सावधान थिए। तिनले यी घटनाहरूको बारेमा लेखेका कुराहरू सहि छन् भनी सुनिश्चित गर्न के भयो भनेर देखेका विभिन्न व्यक्तिहरूसँग कुरा गर्नुभएको हुन सक्छ। वैकल्पिक अनुवाद: "किनभने मैले सावधानीपूर्वक अनुसन्धान र अन्तर्वार्ताहरू सञ्चालन गरेको छु" (हेर्नुहोस्: [[rc://*/ta/man/translate/writing-background]])
1:3	vhj8			κράτιστε	1	लूकाले ले थियोफिलसलाई आदर र सम्मान देखाउने तरिकामा सम्बोधन गर्न **सबैभन्दा उत्कृष्ट** शब्द प्रयोग गर्दछ। यसको मतलब थियोफिलस एक महत्त्वपूर्ण सरकारी अधिकारी थिए भन्ने हुन सक्छ। तपाईंको अनुवादमा, तपाईंको संस्कृतिले उच्च हैसियतका मानिसहरूका लागि प्रयोग गर्ने ठेगानाको रूप प्रयोग गर्नु उपयुक्त हुनेछ। वैकल्पिक अनुवाद: "माननीय"
