Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	sa9c				0	# मत्तीको सुसमाचारको परिचय\n\n## भाग १: सामान्‍य परिचय\n\n### मत्तीको पुस्‍तकको रूपरेखा\n\n१. येशू ख्रीष्‍टको जन्‍म र उहाँको सेवाकार्यको सुरुवात (१:१-४:२५)\n१. येशूको डाँडाको उपदेश (५:१-७:२८)\n१ निको पार्ने कार्यहरूद्वारा येशूले परमेश्‍वरको राज्‍यको उदाहरण दिनुहुन्‍छ (८:१-९:३४)\n१. कार्यलक्ष्य र राज्‍यको बारेमा येशूको शिक्षा (९:३५-१०:४२)\n१. परमेश्‍वरको राज्‍यको सुसमाचारको बारेमा येशूको शिक्षा । येशूको विरोधको सुरुवात (११:१-१२:५०)\n१. परमेश्‍वरको राज्‍यको बारेमा येशूका दृष्‍टान्‍तहरू (१३:१-५२)\n१. येशूको अझै विरोध गरेको र परमेश्‍वरको राज्‍यको बारेमा भएको गलत बुझाइ (१३:५३-१७:५७)\n१. परमेश्‍वरको राज्‍यमा भएको जीवनका बारेमा येशूको शिक्षा (१८:१-३५)\n१. येशूले यहूदियामा सेवकाइ गर्नुहुन्छ (१९:१-२२:४६)\n१. अन्‍तिम न्‍याय र उद्धारको सम्‍बन्‍धमा येशूको शिक्षा (२३:१-२५:४६)\n१. येशूको क्रुसीकरण, उहाँको मृत्‍यु र पुनरुत्‍थान (२६:१-२८:१९)\n\n### मत्तीको सुसमाचार केको बारेमा हो ?\n\nमत्तीको सुसमाचार नयाँ करारमा भएका चार पुस्तकहरूमध्ये एउटा हो जसले येशू ख्रीष्‍टको जीवनका केही अंशलाई वर्णन गर्छन् । येशू को हुनुहुन्‍थ्‍यो र उहाँले के गर्नुभयो भन्‍ने बारेमा सुसमाचारका लेखकहरूले भिन्‍नभिन्‍न पक्ष समेटेर लेखे । येशू नै मसिह हुनुहुन्‍थ्‍यो, र परमेश्‍वरले उहाँद्वारा इस्राएललाई बचाउनुहुने थियो भनेर मत्तीले देखाए । पुरानो करारका ख्रीष्‍टसम्‍बन्‍धी भएका भविष्‍यवाणीहरूलाई येशूले पूरा गर्नुभयो भनी मत्तीले धैरैपटक व्याख्या गरे । उनका पाठकहरू धेरैजसो यहूदीहरू हुन्छन् भन्‍ने उनको अपेक्षालाई यसले सङ्केत गर्न सक्‍छ । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/christ]])\n\n### यस पुस्‍तकको शीर्षकको कसरी अनुवाद गर्न सकिन्‍छ ?\n\nअनुवादकहरूले यस पुस्तकलाई यसको पारम्परिक नाम, “मत्तीको सुसमाचार,” वा “मत्तीको अनुसार रहेको सुसमाचार” भनेर अनुवाद गर्न छान्‍न सक्‍छन् । अथवा तिनीहरूले अझ बढी प्रस्‍ट हुने शीर्षक छान्‍न सक्छन्, जस्तै कि, “येशूको बारेमा भएको सुसमाचार जुन मत्तीले लेखे ।” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-names]])\n\n### मत्तीको पुस्तक कसले लेखे ?\n\nयस पुस्‍तकले लेखकको नाम दिएको छैन । तापनि, ख्रीष्‍टिएनहरूको सुरुको समयदेखि नै धेरैजसो ख्रीष्‍टिएनहरूले प्रेरित मत्ती नै यसका लेखक थए भनेर विचार गरेका छन् ।\n\n## भाग २: महत्‍वपूर्ण धार्मिक तथा सांस्‍कृतिक धारणाहरू\n\n### “स्‍वर्गको राज्‍य” भनेको के हो ?\n\nअन्‍य सुसमाचारका पुस्‍तकका लेखकहरूले परमेश्‍वरको राज्‍यको बारेमा जसरी लेखेका छन्, मत्तीले स्‍वर्गको राज्‍यको बारेमा ठीक त्‍यसरी नै बताएका छन् । स्‍वर्गको राज्‍यले परमेश्‍वरले सारा मानिसहरू र सारा सृष्‍टिलाई सबै ठाउँमा शासन गर्नुहुने कुराको प्रतिनिधित्‍व गर्दछ । परमेश्‍वरले आफ्‍नो राज्‍यमा स्‍वीकार गर्नुहुने मानिसहरू आशिषित् हुनेछन् । तिनीहरू सदासर्वदा परमेश्‍वरसँग वास गर्ने छन् ।\n\n### येशूका शिक्षा दिने शैलीहरू के थिए ?\n\nमानिसहरूले येशूलाई एक रब्‍बीको रूपमा मान्थे । रब्‍बी भनेको परमेश्‍वरको व्‍यवस्‍थाको शिक्षक हो । इस्राएलका अरू धर्मगुरुहरूले सिकाउने तरिकाले नै येशूले पनि सिकाउनुहुन्‍थ्‍यो । उहाँसँग विद्यार्थीहरू थिए जसले उहाँलाई उहाँ जता जानुभयो त्यता पछ्‍याउँथे । ती विद्यार्थीहरूलाई चेलाहरू भनियो । उहाँले धेरैपटक दृष्‍टान्‍तहरू भन्‍नुभयो । दृष्‍टान्‍तहरू नैतिक पाठहरू सिकाउने कथाहरू हुन् । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/lawofmoses]] अनि [[rc://ne/tw/dict/bible/kt/disciple]] अनि [[rc://ne/tw/dict/bible/kt/parable]])\n\n## भाग ३: अनुवादका महत्त्वपूर्ण विषयहरू\n\n### सिनोप्‍टिक अर्थात् समरूप सुसमाचार कुन-कुन हुन् ?\n\nमत्ती, मर्कूस र लूकाको सुसमाचारलाई सिनोप्‍टिक अर्थात् समरूप सुसमाचारहरू भनिन्‍छ, किनभने तिनमा धेरैवटा मिल्‍दाजुल्‍दा खण्‍डहरू छन् । “सिनप्‍टिक” शब्दको अर्थ “एकसाथ हेर्नु” हो ।\n\nजब दुई वा तीन सुसमाचारहरूमा भएका पाठ्य खण्‍डहरू दुरुस्तै एउटै वा लगभग उस्तै हुन्छ, तिनीहरूलाई “समानान्‍तर” प्रतिलिपि भएको मानिन्‍छ । समानान्‍तर खण्‍डहरूको अनुवाद गर्दा अनुवादकहरूले उही शब्‍दहरूका प्रयोग गर्नुपर्छ र तिनलाई सकेसम्‍म मिल्‍दोजुल्‍दो बनाउनुपर्छ ।\n\n### येशूले किन आफैँलाई “मानिसको पुत्र” भनेर जनाउनुहुन्छ ?\n\nसुसमाचारहरूमा, येशूले आफैँलाई “मानिसको पुत्र” भन्‍नुहुन्‍छ । यो दानिएल ७:१३-१४ लाई गरिएको उल्‍लेख हो । यस खण्‍डमा “मानिसको पुत्र” भनेर वर्णन गरिएका त्यहाँ एकजना व्‍यक्ति हुनुहुन्छ । त्‍यसको अर्थ ती व्यक्ति कुनै मानिस झैँ देखिनुहुने कोही हुनुहुन्‍थ्‍यो । जातिजातिमाथि सदासर्वदा शासन गर्ने अधिकार परमेश्‍वरले ती मानिसको पुत्रलाई दिनुभयो । अनि सबै मानिसहरूले सदासर्वदा उहाँकै आराधना गर्नेछन् ।\n\nयेशूको समयका यहूदीहरूले कसैको नामको रूपमा “मानिसको पुत्र” भन्‍ने प्रयोग गर्दैनथे । यसकारण, येशू साँचो रूपमा को हुनुहुन्‍थ्‍यो भनी तिनीहरूले बुझ्‍न सकून् भनेर उहाँले यो नाम आफ्‍नो लागि प्रयोग गर्नुभयो । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/sonofman]])\n\n“मानिसको पुत्र” भन्‍ने नामको अनुवाद गर्ने काम धेरैवटा भाषामा कठिन हुन सक्‍छ । शाब्‍दिक रूपमा गरिएको अनुवादलाई पाठकहरूले गलत बुझ्‍न सक्‍छन् । अनुवादकहरूले “मानव व्‍यक्ति” जस्‍ता विकल्‍पहरूलाई विचार गर्न सक्‍छन् । यस नामलाई व्याख्या गर्न एउटा पादटिप्‍पणी समावेश गर्दा पनि सहयोगी हुन सक्‍छ ।\n\n### मत्तीको पुस्तकको पाठ्यखण्‍डमा भएका प्रमुख विषयहरू के-के हुन् ?\n\nबाइबलका पुराना संस्करणहरूमा निम्‍न दिइएका पदहरू पाइन्‍छन् तर अधिकांश नयाँ संस्करणहरूमा समावेश गरिएका छैनन्ः\n\n* “तिमीहरूलाई सराप्‍नेहरूलाई आशिष् देओ, र तिमीहरूलाई घृणा गर्नेहरूका निम्‍ति असल काम गर ।” (५:४४)\n* “किनकि राज्‍य र पराक्रम र महिमा सदासर्वदा तपाईंकै हुन् । आमेन ।” (६:१३)\n* “तर यस्‍तो किसिमको भूतात्‍माचाहिँ प्रार्थना र उपवास बिना बाहिर निस्‍कँदैन ।” (१७:२१)\n* “किनकि मानिसको पुत्र हराएकाहरूलाई बचाउन आएको हो ।” (१८:११)\n* “किनकि धैरैलाई बोलाइएको छ, तर थोरैलाई चुनिएको छ” (२०:१६)\n* “धिक्‍कार तिमी शास्‍त्रीहरू र फरिसीहरू, ए पाखण्‍डीहरू! किनकि तिमीहरू विधवाहरूका घरहरू नष्‍ट गर्दछौ, जबकि लामोलामो प्रार्थना गरी देखाउँछौ । यसकारण, तिमीहरूले अझ बढी दण्‍ड पाउने छौ ।” (२३:१४)\n\nयी खण्‍डहरूलाई समावेश नगर्न अनुवादकहरूलाई सुझाव दिइन्‍छ । तापनि, यदि अनुवादकहरूको क्षेत्रमा, यी खण्‍डहरूमध्‍ये कुनै एउटा वा बढीलाई समावेश गर्ने बाइबलका पुराना संस्करणहरू पाइन्‍छन् भने, अनुवादकहरूले तिनलाई समावेश गर्न सक्‍छन् । यदि तिनीहरूलाई समावेश गरियो भने, तिनीहरू सम्भवतः मत्तीको सुसमाचारबाट लिइएका मौलिक कुरा होइनन् भनेर सङ्केत दिनको लागि तिनीहरूलाई ठूला कोष्‍ठकहरूभित्र([]) राखिनुपर्छ । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-textvariants]])
1:intro	y7kk				0	# मत्ती ०१ सामान्य टिपोटहरू\n\n## संरचना र ढाँचा\n\nकेही अनुवादहरूले पुरानो करारबाटको कुनै उद्धरणलाई पृष्‍ठमा बाँकीको खण्‍डभन्दा दायाँतिर पर सार्छन् । यूएलटीले १:२३ मा उद्‌धृत गरेर ल्याइएका सामग्रीको लागि यसै गर्छ ।\n\n## यस अध्यायमा भएका विशेष अवधारणाहरू\n\n### वंशावली\n\nकुनै व्‍यक्तिको पूर्खा वा सन्‍तानका अभिलेख राख्‍ने सूची नै वंशावली हो । ठीक व्‍यक्तिलाई राजा बनाउन छनोट गर्नका लागि यहूदीहरूले वंशावलीहरूको प्रयोग गर्थे । राजाको छोरा मात्र राजा बन्‍न सक्‍ने नियम भएको हुनाले तिनीहरूले त्‍यसो गर्थे । अधिकांश महत्त्वपूर्ण मानिसहरूसँग तिनीहरूका वंशावलीको अभिलेख हुन्थ्यो ।\n\n## यस अध्यायमा भएका महत्त्वपूर्ण भाषाका अलङ्कारहरू\n\n### कर्म वाच्‍यको प्रयोग\n\nमरियमको अरू पुरुषसँग यौन सम्‍पर्क भएको थिएन भनेर जनाउनका लागि मत्तीले यस अध्‍यायमा निकै उद्देश्‍यका साथै कर्म वाच्‍यको प्रयोग गर्दछन् । पवित्र आत्‍माले आश्‍चर्यपूर्ण कार्य गर्नुभएको हुनाले तिनले येशूलाई गर्भधारण गरिन् । धेरैवटा भाषामा कर्म वाच्‍य हुँदैन, त्यसैले ती भाषामा अनुवाद गर्नेहरूले सोही सत्‍यतालाई प्रस्‍तुत गर्नका लागि अन्‍य उपायहरू खोज्‍नुपर्दछ । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-activepassive]])
1:1	ava1			सामान्य जानकारीः	0	येशू राजा दाऊद र अब्राहामका सन्‍तान हुनुहुन्‍छ भनेर दर्शाउनका लागि लेखकले उहाँको वंशावलीसँग सुरु गर्दछन् । वंशावली [मत्ती १:१७](../01/17.md) भर अगाडि बढिरहन्छ ।
1:1	y31w			βίβλος γενέσεως Ἰησοῦ Χριστοῦ	1	यसलाई तपाईंले एउटा पूर्ण वाक्‍यमा अनुवाद गर्न सक्‍नुहुन्‍छ । वैकल्‍पिक अनुवादः “यो येशू ख्रीष्‍टको पूर्खाहरूका सूची हो”
1:1	vpg1			Ἰησοῦ Χριστοῦ, υἱοῦ Δαυεὶδ, υἱοῦ Ἀβραάμ	1	येशू, दाऊद, र अब्राहामका बीचमा त्यहाँ थुप्रै पुस्ताहरू थिए । यहाँ “पुत्र”को अर्थ “सन्‍तान” हुन्छ । वैकल्‍पिक अनुवादः “येशू ख्रीष्‍ट, दाऊदका सन्तान, जो अब्राहामका सन्तान थिए”
1:1	tka3			υἱοῦ Δαυεὶδ	1	कहिलेकाहीँ “दाउदका पुत्र” भन्‍ने वाक्यांशलाई नामको रूपमा प्रयोग गरिएको छ, तर यहाँ भने येशूको पुर्ख्‍यौली चिनाउनका लागि मात्र प्रयोग भएको जस्‍तो छ ।
1:2	ejp6			Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ	1	“अब्राहाम इसहाकका पिता भए” वा “अब्राहामसँग इसहाक छोरा थियो” वा “अब्राहामसँग इसहाक नाम गरेका एक छोरा थिए ।” तपाईंले यसलाई अनुवाद गर्नलाई विभिन्‍न तरिकाहरू छन् । तपाईंले यहाँ जुन तरिकाले अनुवाद गर्नुभए पनि, येशूका पूर्खाहरूका सुचीभर त्यही तरिकाले नै अनुवाद गरेको खण्‍डमा सर्वोत्तम हुनेछ ।
1:2	mxm2		rc://*/ta/man/translate/figs-ellipsis	Ἰσαὰκ & ἐγέννησεν & Ἰακὼβ & ἐγέννησεν	1	यहाँ “थिए” भन्‍ने बुझिएको छ । वैकल्‍पिक अनुवादः “इसहाक ... का पिता थिए, याकूब ... का पिता थिए” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-ellipsis]])
1:3	g8y6		rc://*/ta/man/translate/translate-names	Φαρὲς & Ζάρα & Ἑσρώμ & Ἀράμ	1	यिनीहरू पुरुषहरूका नाउँहरू हुन् । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-names]])
1:3	t7jg		rc://*/ta/man/translate/figs-ellipsis	Φαρὲς & ἐγέννησεν & Ἑσρὼμ & ἐγέννησεν	1	यहाँ “थिए” भन्‍ने बुझिएको छ । वैकल्‍पिक अनुवादः “फारेस ... का पिता थिए, हेस्रोन ... का पिता थिए” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-ellipsis]])
