Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	r2f2				0	# मर्कुसको सुसमाचारको परिचय\n\n## भाग १: सामान्य परिचय\n\n### मर्कुसको पुस्तकको रूपरेखा\n\n१. परिचय (१:१-१३)\n१. गालीलमा येशूको सेवकाइ\n- सुरुको सेवकाइ (१:१४-३:६)\n- येशू मानिसहरूको सामु अझ बढी लोकप्रिय बन्‍नुहुन्छ (३:७-५:४३)\n- गालीलबाट गएको र त्यसपछि फर्केको (६:१-८:२६)\n१. यरूशलेमतर्फको यात्रा, येशूले उहाँको आफ्नै मृत्युको भविष्‍यवाणी गर्नुहुँदा पनि बारम्बार त्यहाँ गएको; चेलाहरूले गलत बुझ्‍छन्, र येशूले तिनीहरूलाई उहाँलाई पछ्याउन कति गाह्रो हुनेछ भनेर सिकाउनुहुन्छ (८:२७-१०:५२)\n१. सेवकाइका अन्तिम दिनहरू र यरूशलेममा हुने अन्तिम द्वन्द्वको लागि तयारी (११:१-१३:३७)\n१. ख्रीष्‍टको मृत्यु र रित्तो चिहान (१४:१-१६:८)\n\n### मर्कुसको पुस्तक केको बारेमा हो ?\n\nमर्कुसको सुसमाचार नयाँ करारमा भएका चारवटा पुस्तकहरूमध्ये एक हो जसले येशू ख्रीष्‍टको जीवनका पक्षहरूलाई वर्णन गर्छन् । सुसमाचारहरूका लेखकहरूले येशू को हुनुहुन्थ्यो र उहाँले के गर्नुभयो भन्‍ने कुराको विभिन्‍न पक्षहरूको बारेमा लेखे । येशूले कसरी दुःखभोग गर्नुभयो र क्रूसमा मर्नुभयो भन्‍ने विषयमा मर्कुसले निकै लेखे । उनले सतावट खेपिरहेका उनका पाठकहरूलाई प्रोत्साहन गर्नलाई यसो गरे । मर्कुसले यहूदी परम्पराहरू र केही आरमेइक शब्दहरूलाई पनि व्याख्या गरे । यसले सङ्केत गर्न सक्छ कि मर्कुसले उनका अधिकांश पहिला पाठकहरू अन्यजातिहरू हुनेछन् भन्‍ने अपेक्षा गरे ।\n\n### यस पुस्तकको शीर्षकको अनुवाद कसरी हुनुपर्छ ?\n\nअनुवादकहरूले यस पुस्तकलाई यसको पारम्परिक शीर्षक “मर्कुसको सुसमाचार” वा “मर्कुसको अनुरूप भएको सुसमाचार” भनेर बोलाउनलाई छान्‍न सक्छन् । तिनीहरूले अझ बढी स्‍पष्‍ट शीर्षक छान्‍न सक्छन्, जस्तो कि, “येशूको बारेमा भएको सुसन्देश जुन मर्कुसले लेखे” । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-names]])\n\n### मर्कुसको पुस्तक कसले लेखे ?\n\nयस पुस्तकले लेखकको नाम दिँदैन । तापनि, सुरुका ख्रीष्‍टिएन समयहरूदेखि, अधिकांश ख्रीष्‍टिएनहरूले विश्‍वास गरेका छन् कि लेखक चाहिँ मर्कुस नै थिए । मर्कुसलाई यूहन्‍ना मर्कुस पनि भनेर चिनिन्थ्यो । उनी पत्रुसको नजिकका मित्र थिए । येशूले भन्‍नुभएको र गर्नुभएको कुराको साक्षी हुन मर्कुस आफैँले नपाएका हुन सक्छन् । तर धेरै विद्वानहरूले विचार गर्छन् कि मर्कुसले उनको सुसमाचारमा पत्रुसले उनलाई येशूको बारेमा भनेका कुराहरू लेखे ।\n\n## भाग २: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू\n\n### येशूका सिकाउने पद्धतिहरू के थिए ?\n\nमानिसहरूले येशूलाई एक रब्‍बीको रूपमा सम्‍मान गर्थे । रब्‍बी भनेको परमेश्‍वरको व्यवस्थाको शिक्षक हो । येशूले इस्राएलमा भएका अन्य धार्मिक शिक्षकहरूले झैँ गरेर सिकाउनुभयो । उहाँका विद्यार्थीहरू थिए जसले उहाँलाई उहाँ जहाँ जानुभए पनि पछ्याउँथे । यी विद्यार्थीहरूलाई चेलाहरू भनिन्थ्यो । उहाँले धेरैपटक दृष्‍टान्तहरू भन्‍नुभयो । दृष्‍टान्तहरू भनेका कथाहरू हुन् जसले नैतिक पाठहरू सिकाउँछन् । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/lawofmoses]] अनि [[rc://ne/tw/dict/bible/kt/disciple]] अनि [[rc://ne/tw/dict/bible/kt/parable]])\n\n## भाग ३: अनुवादका महत्त्वपूर्ण विषयहरू\n\n### सिनोप्‍टिक(उस्‍तै विचारधारा राख्‍ने) सुसमाचारहरू के-के हुन् ?\n\nमत्ती, मर्कुस, र लूकाको सुसमाचारहरूलाई सिनोप्‍टिक सुसमाचारहरू भनिन्छ किनभने तिनीहरूमा भएका थुप्रै खण्‍डहरू उस्तै खालका छन् । “सिनोप्‍टिक” शब्दको अर्थ “एकसाथ देख्‍नु” भन्‍ने हुन्छ ।\n\nजब दुई वा तीन सुसमाचारहरूमा भएका पाठ्यखण्‍डहरू दुरुस्तै एउटै वा लगभग उस्तै हुन्छ, तिनीहरूलाई “समान” भएको भनिन्छ । जब यी खण्‍डहरूको अनुवाद हुन्छ, अनुवादकले सम्भव भएसम्‍म एउटै शब्दहरूको प्रयोग गर्नुपर्छ र तिनीहरूलाई उस्तै खालका बनाउनुपर्छ ।\n\n### किन येशूले आफैँलाई “मानिसको पुत्र” भनेर बोलाउनुहुन्छ ?\n\nसुसमाचारहरूमा, येशूले आफैँलाई “मानिसको पुत्र” भनेर बोलाउनुहुन्छ । यो चाहिँ दानिएल ७:१३-१४ गरिएको उल्‍लेख हो । यस खण्‍डमा “मानिसको पुत्र” भनेर वर्णन गरिएको एकजना व्यक्ति छन् । त्यसको अर्थ हो कि ती व्यक्ति कोही थिए जो मानव प्राणी झैँ देखिन्थे । परमेश्‍वरले मानिसको पुत्रलाई जातिहरूमाथि सदासर्वदाको लागि राज गर्नलाई अधिकार दिनुभयो । अनि सारा मानिसहरूले उहाँलाई सदासर्वदा आराधना गर्नेछन् ।\n\nयेशूको समयका यहूदीहरूले नामको रूपमा कसैको लागि पनि “मानिको पुत्र” प्रयोग गर्दैनथे । त्यसैकारण, येशूले उहाँ साँचो रूपमा को हुनुहुन्थ्यो भनेर बुझ्‍न तिनीहरूलाई सहायता गर्नको लागि त्यो आफ्‍नै लागि प्रयोग गर्नुभयो । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/sonofman]])\n\n“मानिसको पुत्र” भन्‍ने नामलाई अनुवाद गर्न थुप्रै भाषाहरूमा गाह्रो हुन सक्‍छ । शाब्दिक अनुवादलाई पाठकहरूले गलत तवरमा बुझ्‍न सक्छन् । अनुवादकहरूले विकल्पहरूको बारेमा विचार गर्न सक्‍छन्, जस्तै, “मानव” । शीर्षकलाई व्याख्या गर्नका निमित्त पादटिप्‍पणी राख्‍नाले सहयोगी हुन सक्छ ।\n\n### किन मर्कुसले छोटो समयावधिहरूलाई सङ्केत गर्ने शब्दहरू बारम्बार प्रयोग गर्छन् ?\n\nमर्कुसको सुसमाचारले “तुरुन्तै” भन्‍ने शब्द केही बयालीस पटक प्रयोग गर्छ । घटनाको विवरणहरूलाई अझ रोचक र प्रस्‍ट बनाउनलाई मर्कुसले यसो गर्छन् । यसले पाठकलाई एउटा घटनाबाट अर्को घटनामा छिटोछिटो गरेर लैजान्छ ।\n\n### मर्कुसको पुस्तकको पाठ्यखण्‍डमा भएका प्रमुख विषयहरू के-के हुन् ?\n\nनिम्‍न दिइएका पदहरू बाइबलका पुराना संस्करणहरूमा पाइन्छन् तर अधिकांश नयाँ संस्करणहरूमा समावेश गरिएका छैनन् । अनुवादकहरूलाई यी पदहरू समावेश नगर्नलाई सुझाव दिइन्छ । तापनि, यदि अनुवादकहरूको क्षेत्रमा, त्यहाँ बाइबलका पुराना संस्करणहरू छन् जसले यी पदहरूमध्ये कुनै एउटा वा सोभन्दा बढीलाई समावेश गर्छन् भने, अनुवादकरूले तिनलाई समावेश गर्न सक्छन् । यदि तिनीहरूलाई समावेश गरिन्छ भने, तिनीहरू सम्भवतः मर्कुसको सुसमाचारबाट लिइएका मौलिक कुरा थिएनन् भनेर सङ्केत गर्नका लागि तिनीहरूलाई ठूला कोष्‍ठकहरूभित्र ([]) राखिनुपर्छ ।\n\n* “यदि कुनै मानिसको सुन्‍ने कान छ भने, त्यसले सुनोस् ।” (७:१६)\n* “जहाँ तिनीहरूको कीरा कहिल्यै मर्दैन र आगो कहिल्यै निभ्दैन” (९:४४)\n* “जहाँ तिनीहरूको कीरा कहिल्यै मर्दैन र आगो कहिल्यै निभ्दैन” (९:४६)\n* “अनि धर्मशास्‍त्र पूरा भयो जसले भन्छ, ‘उहाँ अपराधीहरूसँग गनिनुभयो’” (१५:२८)\n\nनिम्‍न दिइएको खण्‍ड सबैभन्दा सुरुका पाण्‍डुलिपिहरूमा पाइँदैन । अधिकांश बाइबलहरूले यसलाई समावेश गर्छन्, तर नयाँ बाइबलहरूले त्यसलाई ठूला कोष्‍ठकहरूभित्र ([]) राख्‍छन् वा यो खण्‍ड मर्कुसको सुसमाचारबाट लिइएको मौलिक कुरा नहुन सक्‍छ भनेर कुनै तरिकाले जनाउँछन् । अनुवादकहरूलाई बाइबलका नयाँ संस्करणहरूले जस्तै किसिमको केही गर्नलाई सुझाव दिइन्छ ।\n\n* “हप्‍ताको पहिलो दिन सबेरै, उहाँ जीवित हुनुभएपछि, उहाँ पहिले मरियम मग्‍दलिनीकहाँ देखा पर्नुभयो, जसबाट उहाँले सात भूतहरू निकाल्‍नुभएको थियो । तिनी गइन् र उहाँसँग भएकाहरूलाई बताइदिइन्, जब तिनीहरू शोक मनाइरहेका र रोइरहेका थिए । तिनीहरूले उहाँ जीवित हुनुहुन्थ्यो र उहाँ तिनीबाट देखिनुभएको थियो भनी सुने, तर तिनीहरूले विश्‍वास गरेनन् । यसपछि उहाँ तिनीहरूमध्येका अरू दुईजनाकहाँ फरक रूपमा देखा पर्नुभयो जसै तिनीहरू गाउँतिर बाहिर गइरहेका थिए । तिनीहरू गए र बाँकीका चेलाहरूलाई बताइदिए, तर तिनीहरूले उनीहरूलाई विश्‍वास गरेनन् । येशू पछि एघारजनाकहाँ देखा पर्नुभयो जसै तिनीहरू टेबुलमा ढल्‍किरहेका थिए, र उहाँले तिनीहरूलाई तिनीहरूका अविश्‍वास र हृदयको कठोरताको लागि हप्‍काउनुभयो, किनभने तिनीहरूले उहाँ मरेकाहरूबाट बौह्रिउठिसक्‍नुभएपछि उहाँलाई देखेकाहरूलाई विश्‍वास गरेनन् । उहाँले तिनीहरूलाई भन्‍नुभयो, ‘सारा संसारमा जाओ, र समस्त सृष्‍टिलाई सुसमाचार प्रचार गर । विश्‍वास गर्ने र बप्‍तिस्मा लिनेले मुक्ति पाउनेछ, र विश्‍वास नगर्ने दोषी ठहरिनेछ । विश्‍वास गर्नेहरूसँग यी चिन्हहरू हुनेछन्ः मेरो नाउँमा तिनीहरूले भूतहरू धपाउनेछन् । तिनीहरूले नयाँ भाषाहरूमा बोल्‍नेछन् । तिनीहरूले सर्पहरूलाई तिनीहरूका हातले उठाउनेछन्, र यदि तिनीहरूले केही प्राणघातक कुराहरू पिए भने पनि त्यसले तिनीहरूलाई हानी गर्नेछैन । तिनीहरूले बिरामीहरूमाथि हात राख्‍नेछन्, र तिनीहरू निको हुनेछन् ।’ प्रभुले तिनीहरूसँग बोलिसक्‍नुभएपछि, उहाँ माथि स्‍वर्गतिर लगिनुभयो र परमेश्‍वरको दाहिने हाततर्फ बस्‍नुभयो । चेलाहरू गए र सबैतिर प्रचार गरे, र प्रभुले तिनीहरूसँग काम गर्नुभयो र वचनलाई चिन्हहरूद्वारा समर्थन गर्नुभयो जुन तिनीहरूसँगै गए ।” (१६:९-२०)\n\n(हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-textvariants]])
1:intro	c6ep				0	# मर्कुस ०१ सामान्य टिपोटहरू\n\n## संरचना र ढाँचा\n\nकेही अनुवादहरूले पढ्नलाई सजिलो बनाउनलाई कविताको हरेक पङ्क्तिलाई बाँकीको खण्‍डभन्दा दायाँतिर केही पर सार्छन् । यूएलटीले १:२-३ मा भएको कवितासँग यसै गर्छ, जुन पुरानो करारबाट लिइएका शब्दहरू हुन् ।\n\n## यस अध्यायमा भएका विशेष अवधारणाहरू\n\n### “तपाईंले मलाई शुद्ध बनाउन सक्‍नुहुन्छ”\nकुष्‍ठरोग छालाको एउटा रोग थियो जसले एक व्यक्तिलाई अशुद्ध र परमेश्‍वरलाई उचित तवरले आराधना गर्नलाई असक्षम बनाउँथ्यो । येशू मानिसहरूलाई शारीरिक रूपमा “शुद्ध” वा स्वस्थ बनाउन र साथसाथै आत्मिक रूपमा “शुद्ध” वा परमेश्‍वरको सामु धर्मी बनाउन सक्षम हुनुहुन्छ । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/clean]])\n\n### “परमेश्‍वरको राज्य नजिकै छ”\n\n“परमेश्‍वरको राज्य” यस समयमा नै त्यहाँ थियो वा अझ आउँदै गरेको केही कुरा हो भन्‍ने विषयमा विद्वानहरू बहस गर्छन् । अङ्ग्रेजी अनुवादहरूले बारम्बार “हातैमा” भन्‍ने वाक्यांशलाई प्रयोग गर्छन्, तर यसले अनुवादकरूको लागि कठिनाइ पैदा गर्न सक्‍छ । अन्य संस्करणहरूले “आउँदैछ” र “नजिक आएको छ” भन्‍ने जस्ता वाक्यांशहरूलाई प्रयोग गर्छन् ।
1:1	s8qp				0	सामान्य जानकारीः मर्कुसको पुस्तक येशूलाई बप्‍तिस्मा दिने यूहन्‍नाको आगमनबारे यशैयाले गरेको अगमवाणीसँगै सुरु हुन्छ । यसका लेखक मर्कुस हुन्, जसलाई यूहन्‍ना मर्कुस पनि भनिन्छ, जो मरियम नाम गरेका थुप्रै स्‍त्रीहरूमध्ये एकजनाका छोरा हुन् । तिनी बारनाबासका भान्जा पनि हुन् ।
1:1	i3bc		rc://*/ta/man/translate/guidelines-sonofgodprinciples	Υἱοῦ Θεοῦ	1	यो येशूको निम्ति महत्त्वपूर्ण नाउँ हो । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/guidelines-sonofgodprinciples]])
1:2	gu7i		rc://*/ta/man/translate/figs-idiom	πρὸ προσώπου σου	1	यो एउटा वाक्‍पद्धति हो जसको अर्थ हुन्छ, “तिम्रो अगि ।” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-idiom]])
1:2	s28q		rc://*/ta/man/translate/figs-you	προσώπου σου & τὴν ὁδόν σου	1	यहाँ “तिम्रो” शब्दले येशूलाई जनाउँछ र यो एकवचन हो । तपार्इंले अनुवाद गर्नुहुँदा “तिम्रो” सर्वनाम प्रयोग गर्नुहोस्, किनभने एउटा अगमवक्ताबाट लिइएको उद्धरण हो र तिनले येशूको नाउँ प्रयोग गरेका थिएनन् । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-you]])
1:2	wry5			ὃς	1	यसले सन्देशवाहकलाई जनाउँछ ।
1:2	kl12		rc://*/ta/man/translate/figs-metaphor	κατασκευάσει τὴν ὁδόν σου	1	यसो गर्नुले प्रभुको आगमनको लागि मानिसहरूलाई तयार गर्ने कुरालाई प्रतिनिधित्व गर्छ । वैकल्‍पिक अनुवादः “तिम्रो आगमनको लागि मानिसहरूलाई तयार गर्नेछन्” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-metaphor]])
1:3	lkm3			φωνὴ βοῶντος ἐν τῇ ἐρήμῳ	1	यसलाई एउटा वाक्यको रूपमा व्यक्त गर्न सकिन्छ । वैकल्‍पिक अनुवादः “उजाडस्थानमा एकजना कराइरहनेको आवाज सुनिएको छ” वा “तिनीहरूले उजाडस्थानमा कसैले कराइरहेको आवाज सुने”
1:3	v3n3		rc://*/ta/man/translate/figs-parallelism	ἑτοιμάσατε τὴν ὁδὸν Κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ	1	यी दुई वाक्यांशहरूले एउटै अर्थ दिन्छन् । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-parallelism]])
