Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	jrz8				0	
1:1	xm1w		rc://*/ta/man/translate/figs-metaphor	חֲז֖וֹן עֹֽבַדְיָ֑ה	1	"यो पुस्तकको शीर्षक हो। यहाँ **दर्शन** लाई परमप्रभुबाट आएको सन्देशको सामान्य अर्थमा प्रयोग गरिएको छ, ओबदियाले त्यो सन्देश कसरी प्राप्त गरे भनेर संकेत गर्नको सट्टा **दर्शन** यहाँ परमेश्वरले आफ्ना मानिसहरूलाई ज्ञान दिने माध्यम रूपक हो। वैकल्पिक अनुवाद: ""परमेश्वरले ओबदियालाई दिएको सन्देश"" वा ""ओबदियाको भविष्यवाणी"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-metaphor]])"
1:1	jdr1		rc://*/ta/man/translate/translate-names	עֹֽבַדְיָ֑ה	1	केही अङ्ग्रेजी अनुवादहरूले अब्दियास अगमवक्ता भएको बताएका छन्, तर ओबदिया चाहिं उनको नामको रूप हो जुन अंग्रेजीमा प्राय: प्रयोग गरिन्छ। तपाईंको स्रोत भाषामा प्रयोग भएको नामको रुप वा तपाईंको भाषामा नाम जस्तो लाग्ने मिल्दोजुल्दो रुप प्रयोग गर्नुहोस्। (हेर्नुहोस्: [[rc://*/ta/man/translate/translate-names]])
1:1	sv9x		rc://*/ta/man/translate/writing-quotations	כֹּֽה־אָמַר֩ אֲדֹנָ֨⁠י יְהוִ֜ה	1	यसले बाँकी पुस्तकलाई परमेश्वरको सन्देशको रूपमा प्रस्तुत गर्दछ। कसैले भनेको कुरा परिचय गराउनको निम्ति तपाईंको आफ्नो भाषामा स्वाभाविक अर्थ दिने एउटा रुप प्रयोग गर्नुहोस्। (हेर्नुहोस्: [[rc://*/ta/man/translate/writing-quotations]])
1:1	s7if		rc://*/ta/man/translate/translate-names	יְהוִ֜ה	1	यो परमेश्वरको नाम हो जुन उहाँले आफ्ना मानिसहरूलाई पुरानो नियममा प्रकट गर्नुभयो। (हेर्नुहोस्: [[rc://*/ta/man/translate/translate-names]])
1:1	jdr3		rc://*/ta/man/translate/figs-metonymy	לֶ⁠אֱד֗וֹם	1	"मानिसहरूलाई यहाँ तिनीहरूसँग नजिकको सम्बन्धको नामबाट वर्णन गरिएको छ, **एदोम**, तिनीहरू बस्ने देश हो । यदि यो तपाईंको भाषामा स्पष्ट छैन भने, तपाईंले यो सन्देश मानिसहरूको बारेमा हो भनेर स्पष्ट रूपमा भन्न सक्नुहुन्छ। वैकल्पिक अनुवाद: ""एदोमका मानिसहरूको बारेमा।"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-metonymy]])"
1:1	jdr5		rc://*/ta/man/translate/figs-exclusive	שָׁמַ֜עְנוּ	1	ओबदियाले एदोम वरपरका देशहरूमा इस्राएलका मानिसहरू सहित परमप्रभुको सन्देश सुनेका धेरैमध्ये एक व्यक्तिको रूपमा बोलिरहेका छन्। यदि तपाईंको भाषामा **हामी** को लागि समावेशी रुप हो भने, यसलाई यहाँ प्रयोग गर्नुहोस्। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-exclusive]])
1:1	c8w8		rc://*/ta/man/translate/figs-exclusive	שָׁמַ֜עְנוּ	1	ओबदियाले यहूदाका मानिसहरूसँग एदोमका मानिसहरूको बारेमा बताइरहेका छन्। त्यसैले **हामी** यहाँ समावेशी शब्द हो; यहूदाका अरू मानिसहरूले पनि जाति-जातिहरूलाई एदोमको विरुद्धमा युद्ध गर्न आह्वान गरेको सन्देश सुनेका छन् वा अहिले सुनिरहेका छन्। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-exclusive]])
1:1	jdr7		rc://*/ta/man/translate/figs-activepassive	וְ⁠צִיר֙ & שֻׁלָּ֔ח	1	"यदि यो तपाईंको भाषामा अधिक प्राकृतिक छ भने, तपाईंले क्रियाको सक्रिय रूप प्रयोग गर्न सक्नुहुन्छ। वैकल्पिक अनुवाद: ""म, परमप्रभुले एउटा सन्देशवाहक पठाएको छु"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-activepassive]])"
1:1	r27r		rc://*/ta/man/translate/figs-explicit	וְ⁠צִיר֙ & שֻׁלָּ֔ח	1	"तपाईंले सन्देशवाहक कसले पठाउनुभयो भनेर निर्दिष्ट गर्न सक्नुहुन्छ। वैकल्पिक अनुवाद: ""र परमप्रभुले एउटा सन्देशवाहक पठाउनुभएको छ"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-explicit]])"
