Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	sz2w				0	# फिलेमोनको परिचय\n\n## भाग १: सामान्य परिचय\n\n### फिलेमोनको पुस्तकको रूपरेखा \n\n १. पावलले फिलेमोनलाई अभीवादन गर्छन् (१:१-३) \n२. पावलले ओनेसिमसकोबारे फिलेमोनलाई अनुरोध गर्छन् । (१:४-२१) \n३. निष्कर्ष (१:२२-२५)\n\n### फिलेमोनको पुस्तक कसले लेख्यो\n\n फिलेमोन पावलले लेखे । पावल टार्सस सहरका थिए । उनलाई उनको प्रारम्भिक जीवनकालमा शाऊल भनिन्थ्यो । ख्रीष्टियन हुनअघि साऊल फरिसी थिए । उनले ख्रीष्टियनहरूलाई सताए । उनी ख्रीष्टियन भएपछि, उनले मानिसहरूलाई येशूको बारे बताउँदै रोमी साम्राज्यभरि केही पटकसम्म यात्रा गरे । \n\n पावलले यो पत्र लेख्‍दा उनी कैदमा थिए ।\n\n### फिलेमोनको पुस्तकको केको बारेमा छ?\n\n पावलले यो पत्र फिलेमोन भन्‍ने व्यक्तिलाई लेखेका हुन् । फिलेमोन कलस्‍से सहरमा बस्‍ने येशूमा विश्‍वास गर्ने एक विश्‍वासी थिए । उनीसित ओनेसिमस नाम गरेको एउटा नोकर थियो । ओनेसिमस फुलेमोनको घरबाट भागेका थिए र सम्भवतः फिलेमोनको घरबाट केही चोरी गरेर भागेका हुन सक्छ । ओनेसिम रोममा गए, त्यहाँ पावललाई कैदमा भेटे जहाँ पावलले उनलाई येशूमा विश्‍वास गराए । \n\n पावलले ओनेसिमसलाई फिर्ता पठाउँदैछन् भनी उनले फिलेमोनलाई बताए । रोमी कानुनअनुसार फिलेमोनले ओनेसिमसलाई मृत्युदण्ड दिन सक्थे । तर फिलेमोनले ओनेसिमसलाई ख्रीष्टियन भाइको रूपमा ग्रहण गर्नुपर्छ भनी पावलले फिलेमोनलाई भने । फिलेमोनले ओनेसिमसलाई रोममा नै कैदमा पावलको सेवा गर्नको निम्ति फिर्ता पठाउन पनि सुझाव दिए । \n\n### यस पुस्तकको शीर्षकलाई कसरी अनुवाद गर्नुपर्छ?\n\n अनुवादकहरूले यो पुस्तकलाई यसको परम्परागत शिर्षकलाई चुन्‍न सक्छन् । वा उनीहरूले “पावलले फिलेमोनलाई लेखेका पत्र” वा पावलको तर्फबाट फिलेमोनलाई पत्र” भनी अझ स्इपष्ट पारेर अनुवाद गर्न सकिन्छ । (हेर्नुहोस्: [[rc://*/ta/man/translate/translate-names]])\n\n## भाग २: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू \n\n### के पुस्तकले दास प्रथाको समर्थन गर्छ?\n\n पावलल ओनेसिमासलाई उनका मालिककहाँ नै फिर्ता पाठए । तर उनको आशयचाहिँ दास प्रथा स्वीकार गर्न सकिने कुरा हो भन्‍ने होइन । बरु, मानिसहरू आपसमा पुनःमिलून् र उनीहरू जुन अवस्थाना छन् त्यही अवस्थामा रहेक परमेश्‍वरको सेवा गर्छन् । त्यस बेला मानिसहरू विभिन्‍न कारणले गर्दा दास हुन्थे र यसलाई स्थायी अवस्थाको रूपमा ठानिदैनथ्यो ।\n\n### “ख्रीष्टमा” “प्रभुमा” भनी पावलले उल्लेख गर्नुको आशय के हो?\n\n पावलको आशय ख्रीष्ट र विश्‍वासीसँगको अति घनिष्ठ एकताको धारणा गर्नु हो । यस किसिमको अभिव्यक्तिको बारे अझ विस्तृत कुराको निम्ति रोमीको पुस्तकको परिचय हेर्नु होला ।\n\n## भाग ३: महत्त्वपूर्ण अनुवाद विषयहरू \n\n### एकवचन र बहुवचन “तिमी” \n\n यस पुस्तककमा “म”ले पावललाई जनाउँछ । “तिमी” शब्द प्रायः सदैव एकवचन हो र यसले फिलेमोनलाईलाई जनाउँछ । १:२२ र १:२५ चाहिँ यसको अपवाद हो । त्यहाँ “तिमीहरू”ले फिलेमोन र उनको घरमा भेला हुने विश्‍वासीहरूलाई जनाउँछ । (हेर्नहोस्: [[rc://*/ta/man/translate/figs-exclusive]] र [[rc://*/ta/man/translate/figs-you]] )\n\n पावल तीन पटकसम्‍म आफैलाई यस पत्रको लेखकको रूपमा चिनाउँछन् (पद १, ९, र १९)। पक्‍कै पनि उनीसित तिमोथी थिए र पावलले भनेझैँ लेखेका हुन सक्छन् । “म”, “मलाई” र “मेरो”ले पावललाई नै जनाउँछ । यस पत्र लेखिएको मुख्य व्यक्ति फिलेमोन हुन् । अन्यथा नभएसम्म “तिमी” र “तिम्रो”ले तिनलाई नै जनाउँछ र एकवचन हो । (हेर्नुहोस्:[[rc://*/ta/man/translate/figs-you]])
1:1	ne8k		rc://*/ta/man/translate/figs-123person	Παῦλος	1	तपाईंको भाषामा पत्रको लेखकलाई चिनाउने कुनै खास तरिका हुन सक्छ । त्यसलाई यहाँ प्रयोग गर्नुहोस् । वैकल्पिक अनुवादः “मबाट, पावल” वा “म, पावल” (हेर्नुहोस्: rc://*/ta/man/translate/figs-123person)
1:1	cgs4			δέσμιος Χριστοῦ Ἰησοῦ	1	पावल कैदमा तिए किनभने आधिकारिक मानिसहरूले येशूबारे उनले प्रचार गरेको चाहेनन् । उनीहरूले उनलाई रोक्‍न र दण्ड दिन त्यहाँ राखेका थिए । येशूले पावललाई कैदमा राख्‍नुभएको थियो भन्‍ने यसको आशय होइन । वैकल्पिक अनुवादः “ख्रीष्टको येशूको खातिर कैदी”।
1:1	sv3p			ὁ ἀδελφὸς	1	पावलले उही विश्‍वासको कोहीलाई आलङ्कारिक रूपमा जनाउन **भाइ** शब्दावली प्रयोग गर्छन् । वैकल्पिक अनुवादः “हाम्रो सङ्गी ख्रीष्टियन” वा “विश्‍वासमा हाम्रो मित्र” (हेर्नुहोस्: rc://*/ta/man/translate/figs-metaphor)
1:1	y9zu		rc://*/ta/man/translate/figs-exclusive	ὁ ἀδελφὸς	1	यहाँ, “हाम्रो” शब्द मौलिक लेखनमा छैन, तर यो अंग्रेजीमा आवश्यक थियो,जसलाई सम्बन्ध शब्दले कुन व्यक्तिसँग सम्बन्धित छ भनी दर्शाउनुपर्छ । यस अवस्थामा **हाम्रो** तिमोथीदेखि पावल र ख्रीष्टमा भाइको रूपमा पाठकहरूलाई जनाउने समावेशी हुन्छ । यदि तपाईंको भाषामा यो आवश्यक पर्छ भने, तपाईंले पनि यसै गर्न सक्‍नुहुन्छ । होइन भने, तपाईंले मौलिक शब्दालीलाई नै प्रयोग गर्न सक्‍नुहुन्छ जसले “भाइहरू” भन्छ । (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-exclusive]])
1:1	gvmy		rc://*/ta/man/translate/translate-names	Φιλήμονι	1	यो मानिसको नाम हो । (हेर्नुहोस्: [[rc://*/ta/man/translate/translate-names]])
1:1	q84z		rc://*/ta/man/translate/figs-explicit	Φιλήμονι	1	यदि तपाईंको भाषामा यो स्वभाविक हुन्छ भने, पावले फिलेमोनसँग सोझै कुरा गरिरहेका पत्र हुन् भन्‍ने जानकारी यसमा समावेश गर्न सक्‍नुहुन्छ जस्तो युएसटीमा छ । (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-explicit]])
1:1	r3l9		rc://*/ta/man/translate/figs-exclusive	ἡμῶν	1	**हाम्रो** शब्दले यहाँ पावल र उनीसँग भएकाहरूलाई जनाउँछ, तर पाठकहरूलाई होइन । (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-exclusive]])
1:1	ww3l			καὶ συνεργῷ ἡμῶν	1	यदि तपाईंको भाषामा यो उपयुक्त हुन्छ भने, फिलेमोनले पावलसँग कसरी काम गरे भनी तपाईंले स्‍पष्ट रूपमा उल्‍लेख गर्न सक्‍नुहुन्छ । वैकल्पिक अनुवादः “जसले हामीले जस्तै सुसमाचार फैलाउने काम गर्छ” वा “जसले हामीले येशूको सेवा गरेजस्तै काम गर्छ”
1:2	b37l		rc://*/ta/man/translate/translate-names	Ἀπφίᾳ	1	यो एउटी महिलाको नाउँ हो । (हेर्नुहोस्: [[rc://*/ta/man/translate/translate-names]])
