Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	pv9j				0	"# फिलिपिन्सको परिचय\n\n## भाग 1: सामान्य परिचय\n\n### फिलिपिन्सको पुस्तकको रूपरेखा\n\n1. अभिवादन, धन्यवाद र प्रार्थना (1:1-11)\n2. आफ्नो सेवकाईमा पावलको रिपोर्ट (1:12-26)\n3. निर्देशनहरू\n * स्थिर हुन (1:27-30)\n * एकताबद्ध हुन (2:1-2)\n * नम्र हुन (2:3-11)\n * परमेश्वरसँग हाम्रो मुक्तिको लागि काम गर्न तपाईं मा काम गर्दै (2:12-13)\n * निर्दोष हुन, र उज्यालो जस्तै चम्किलो (2:14-18)\n4. तिमोथी र इपाफ्रोडाइटस (2:19-30)\n5. झूटा शिक्षकहरूको बारेमा चेतावनी (3:1-4:1)\n६। व्यक्तिगत निर्देशन (4:2-5)\n7. रमाउनुहोस् र चिन्तित नहुनुहोस् (4:4-6)\n8. अन्तिम टिप्पणीहरू\n * मानहरू (4:8-9)\n * सन्तुष्टि (4:10-20)\n * अन्तिम अभिवादन (4:21-23)\n\n### फिलिपिन्सको पुस्तक कसले लेखेका हुन्? \n\nपलले फिलिपिन्स लेखे। पावल टार्सस सहरका थिए। उहाँ आफ्नो प्रारम्भिक जीवनमा शाऊल भनेर चिनिनुहुन्थ्यो। क्रिस्चियन बन्नु अघि, पावल फरिसी थिए। उसले क्रिस्चियनहरूलाई सतायो। क्रिस्चियन बनेपछि, उहाँले रोमी साम्राज्यभरि मानिसहरूलाई येशूको बारेमा बताउन धेरै पटक यात्रा गर्नुभयो।\n\nरोममा जेलमा हुँदा पावलले यो पत्र लेखे।\n\n### फिलिप्पीहरूको पुस्तक के हो?\n\n पावलले यो पत्र म्यासेडोनियाको सहर फिलिप्पीका विश्वासीहरूलाई लेखेका थिए। फिलिप्पीहरूले उहाँलाई पठाएको उपहारको लागि धन्यवाद दिन तिनले यो लेखे। उहाँ तिनीहरूलाई झ्यालखानामा कस्तो व्यवहार गरिरहनुभएको थियो भनी बताउन चाहन्थे र तिनीहरूले दुःख पाए तापनि तिनीहरूलाई आनन्दित हुन प्रोत्साहन दिन चाहन्थे। पावललाई उपहार ल्याएका इपाफ्रोडाइटस नाउँ भएका मानिसको बारेमा पनि उहाँले तिनीहरूलाई लेख्नुभयो। पावललाई भेट्न जाँदा, इपाफ्रोडाइटस बिरामी परे, त्यसैले पावलले उनलाई फिलिप्पी फर्काउने निर्णय गरे। पावलले फिलिप्पीका विश्वासीहरूलाई उहाँलाई स्वागत गर्न र इपाफ्रोडाइटस फर्केर आउँदा दयालु हुन प्रोत्साहित गरे।\n\n### यस पुस्तकको शीर्षकलाई कसरी अनुवाद गर्नुपर्छ?\n\nअनुवादकहरूले यस पुस्तकलाई यसको परम्परागत शीर्षकद्वारा बोलाउन रोज्न सक्छन्। , ""फिलिप्पीहरू।"" वा तिनीहरूले “फिलिपिको मण्डलीलाई पावलको पत्र” वा “फिलिप्पीका ख्रीष्टियनहरूलाई पत्र” जस्ता स्पष्ट शीर्षक रोज्न सक्छन्। (हेर्नुहोस्:
[[rc://*/ta/man/translate/translate-names]])\n\n## भाग 2: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू\n\n### फिलिप्पी सहर कस्तो थियो?\n\nअलेक्ज्याण्डर द ग्रेटका पिता फिलिपले म्यासेडोनियाको क्षेत्रमा फिलिप्पीको स्थापना गरेका थिए। । यसको अर्थ फिलिप्पीका नागरिकहरूलाई रोमका नागरिकहरू पनि मानिन्थ्यो। फिलिप्पीका मानिसहरू रोमका नागरिक भएकोमा गर्व गर्थे। तर पावलले विश्वासीहरूलाई बताउँछन् कि यो धेरै महत्त्वपूर्ण छ कि तिनीहरू स्वर्गका नागरिक हुन् (3:20)।\n\n## भाग 3: महत्त्वपूर्ण अनुवाद मुद्दाहरू\n\n### एकवचन र बहुवचन ""तपाईं""\n \nयस पुस्तकमा, ""म"" शब्दले पावललाई जनाउँछ। ""तपाईं"" र ""तपाईंको"" शब्दहरूले सधैं फिलिप्पीका विश्वासीहरूलाई संकेत गर्दछ, 4:3 मा एक पटक बाहेक। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-you]])\n\n### यस पत्रमा ""ख्रीष्टको क्रुसका शत्रुहरू"" (3:18) को थिए?\n\n""ख्रीष्टको क्रूसका शत्रुहरू"" सायद आफूलाई बोलाउने मानिसहरू थिए। विश्वासीहरू, तर तिनीहरूले परमेश्वरको आज्ञा पालन गरेनन्। उनीहरूले सोचेका थिए कि ख्रीष्टमा स्वतन्त्रताको अर्थ विश्वासीहरूले आफूले चाहेको काम गर्न सक्छन् र परमेश्वरले उनीहरूलाई दण्ड दिनुहुनेछैन (3:19)।\n\n### यस पत्रमा किन बारम्बार ""आनन्द"" र ""आनन्द"" शब्दहरू प्रयोग गरियो। ?\n\nयो पत्र लेख्दा पावल जेलमा थिए (1:7)। तिनले दुःख भोगे तापनि पावलले धेरै चोटि भने कि उहाँ खुसी हुनुहुन्थ्यो किनभने परमेश्वरले उहाँलाई येशू ख्रीष्टद्वारा दयालु हुनुभएको थियो। उहाँ आफ्ना पाठकहरूलाई येशू ख्रीष्टमा उस्तै भरोसा राख्न प्रोत्साहित गर्न चाहनुहुन्थ्यो।\n\n### “ख्रीष्टमा” वा “प्रभुमा” आदि अभिव्यक्तिहरूबाट पावलले के बुझाउँछ?\n\nयी प्रकारका अभिव्यक्तिहरू 1:1, 8, 13, 14, 26, 27 मा हुन्छन्; 2:1, 5, 19, 24, 29; 3:1, 3, 9, 14; 4:1, 2, 4, 7, 10, 13, 19, 21। पावलले ख्रीष्ट र विश्वासीहरूसँग एकदमै घनिष्ठ मिलनको विचार व्यक्त गर्न खोजेका थिए। यस प्रकारको अभिव्यक्तिको बारेमा थप विवरणहरूको लागि रोमीहरूको पुस्तकको परिचय हेर्नुहोस्।\n\n### फिलिप्पीहरूको पुस्तकको पाठमा प्रमुख मुद्दाहरू के के छन्?\n\nकेही संस्करणहरूको अन्त्यमा ""आमेन"" छ पत्रको अन्तिम पदको (4:23)। ULT, UST, र केहि आधुनिक संस्करणहरूले यसलाई समावेश गर्दछ, तर धेरै अन्य संस्करणहरूले समावेश गर्दैनन्। (हेर्नुहोस्: [[rc://*/ta/man/translate/translate-textvariants]])"
1:intro	kd3g				0	"# फिलिपिन्स 1 सामान्य नोटहरू\n\n## संरचना र ढाँचा\n\nपलले प्रेषकहरू र प्राप्तकर्ताहरूको नामको कथनसहित पत्र सुरु गरेर समयको सामान्य अभ्यासलाई पछ्याउँछन्। त्यो संस्कृतिमा, प्रेषकले प्राप्तकर्ताहरूको लागि राम्रो इच्छा प्रस्ताव गर्दछ। पावलले यो क्रिस्चियन आशीर्वादको रूपमा गर्छ।\n\n## यस अध्यायमा विशेष अवधारणाहरू\n\n### ख्रीष्टको दिन\n\nयसले ख्रीष्ट फर्कने दिनलाई जनाउँछ। पावलले प्रायः ख्रीष्टको पुनरागमनलाई ईश्‍वरीय जीवनलाई उत्प्रेरित गर्ने कुरासँग जोडेका थिए। (हेर्नुहोस्: [[rc://*/tw/dict/bible/kt/godly]])\n\n## यसमा अन्य सम्भावित अनुवाद कठिनाइहरू
अध्याय\n\n### विरोधाभास\n\nएक विरोधाभास एक असम्भव कुरा वर्णन गर्न जस्तो देखिने एक सत्य कथन हो। पद 21 मा यो कथन एक विरोधाभास हो: ""मर्नु भनेको लाभ हो।"" पद 23 मा पावलले यो किन सत्य हो भनेर वर्णन गर्दछ। ([फिलिप्पी 1:21](../../php/01/21.md))"
1:1	xk9z		rc://*/ta/man/translate/translate-names	Παῦλος καὶ Τιμόθεος	1	**पल** र **तिमोथी** मानिसका नाम हुन्। (हेर्नुहोस्: [[rc://*/ta/man/translate/translate-names]])
1:1	bzfs			ἐν Χριστῷ Ἰησοῦ	1	"वैकल्पिक अनुवाद: ""ख्रीष्ट येशू संग एकतामा"""
1:2	uuep		rc://*/ta/man/translate/translate-blessing	χάρις ὑμῖν καὶ εἰρήνη	1	"यो एक अभिवादन र आशीर्वाद हो जुन पावलले प्रायः आफ्नो पत्रको सुरुमा प्रयोग गर्दछ। तपाईंको भाषामा एउटा फारम प्रयोग गर्नुहोस् जसले यो अभिवादन र आशीर्वाद हो भनेर स्पष्ट पार्छ। वैकल्पिक अनुवाद: ""तपाईँ भित्र दया, दया, र शान्तिको अनुभव गर्न सक्नुहुन्छ"" वा ""म प्रार्थना गर्दछु कि तपाइँ अनुग्रह, दया र शान्ति पाउनुहुनेछ"" (हेर्नुहोस्: [[rc://*/ta/man/translate/translate-blessing]])"
1:2	pyji		rc://*/ta/man/translate/figs-yousingular	ὑμῖν	1	"यहाँ, **तपाईं** ले फिलिप्पी क्रिस्चियनहरूलाई जनाउँछ र पावलले लेखेको मौलिक भाषामा बहुवचन हो। यस पत्रभरि, एउटा अपवादको साथ, शब्दहरू ""तपाईं"" र ""तपाईंको"" बहुवचन हुन् र फिलिप्पी क्रिश्चियनहरूलाई बुझाउँछन्। यदि तपाइँको भाषाले ""तपाईं"" र ""तपाईँ"" ले एक व्यक्तिलाई जनाउँछ र जब तिनीहरूले एक भन्दा बढी व्यक्तिलाई जनाउँछन् भने, यो घटना र अन्य सबै घटनाहरूमा तपाईंको भाषामा उपयुक्त हुने बहुवचन रूप प्रयोग गर्नुहोस्। तपाईं"" र ""तपाईंको"" यस पत्रमा, [4:3] (../04/03.md) बाहेक। एउटा टिप्पणीले [4:3](../04/03.md) मा एउटा अपवादबारे छलफल गर्नेछ। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-yousingular]])"
1:2	yh4s		rc://*/ta/man/translate/figs-exclusive	Πατρὸς ἡμῶν	1	यदि तपाईंको भाषामा श्रोताहरू समावेश वा बाहेकका लागि फरक रूपहरू छन् भने, **हाम्रो** यहाँ र सम्पूर्ण अक्षरमा समावेशी फारम प्रयोग गर्नुहोस्। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-exclusive]])
1:3	ntp5			ἐπὶ πάσῃ τῇ μνείᾳ ὑμῶν	1	"यहाँ, **तपाईंको मेरो सबै सम्झनामा** सन्दर्भ गर्न सक्छ: (1) प्रत्येक पटक जब पावलले फिलिप्पी विश्वासीहरूको बारेमा सोचेका थिए। वैकल्पिक अनुवाद: ""हरेक चोटि जब म तिम्रो बारेमा सोच्दछु"" (2) प्रत्येक पटक जब पावलले फिलिप्पी विश्वासीहरूको लागि प्रार्थना गरे। वैकल्पिक अनुवाद: ""हरेक समय जब म तिम्रो लागि प्रार्थना गर्छु"""
1:3	gjyv		rc://*/ta/man/translate/figs-possession	τῷ Θεῷ μου	1	"**मेरो भगवान** शब्दहरू प्रयोग गर्नुको अर्थ परमेश्वर पावलको हो भन्ने होइन, तर पावल परमेश्वरको हो। अर्थात्, पावलले विशेष रूपमा आराधना गर्ने परमेश्वर नै हुनुहुन्छ। वैकल्पिक अनुवाद: ""जो मेरो लागि भगवान हो"" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-possession]])"
1:3	w8dz		rc://*/ta/man/translate/figs-yousingular	ὑμῶν	1	तपाईंले [1:2](../01/02.md) मा **तपाईं** शब्दलाई कसरी अनुवाद गर्नुभयो हेर्नुहोस्। यस पत्रमा, **तपाईं** र **तपाईंको** शब्दहरूको प्रत्येक प्रयोग बहुवचन हो र यसले फिलिप्पी विश्वासीहरूलाई जनाउँछ, [4:3](../04/03.md), मा एउटा प्रयोग बाहेक। जसमा छलफल गर्न नोट छ। (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-yousingular]])
