Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	xx8l				0	# प्रकाशको परिचय\n\n## भाग १: सामान्य परिचय\n\n### प्रकाशको पुस्तकको रूपरेखा\n\n१. सुरुवात (१:१-२०)\n१. सात मण्‍डलीहरूलाई पत्रहरू (२:१-३:२२)\n१. स्वर्गमा हुनुभएको परमेश्‍वरको दर्शन, र थुमाको दर्शन (४:१-११)\n१. सात मोहोरहरू (६:१-८:१)\n१. सात तुरहीहरू (८:२-१३:१८)\n१. थुमाको आराधना गर्नेहरू, शहीदहरू, क्रोधको कटनी (१४:१-२०)\n१. सात कचौराहरू (१५:१-१८:२४)\n१. स्वर्गमा आराधना (१९:१-१०)\n१. थुमाको न्याय, पशुको विनाश, हजार वर्ष, शैतानको विनाश, र अन्तिम इन्साफ (२०:११-१५)\n१. नयाँ सृष्‍टि, नयाँ येरूशलेम (२१:१-२२:५)\n१. पुनरागमनको लागि येशूको प्रतिज्ञा, स्वर्गदूतहरूबाटको साक्षी, समापनका लागि यूहन्‍ना केही शब्दहरू, उहाँको मण्‍डलीको लागि ख्रीष्‍टको सन्देश, निमन्‍त्रणा र चेतावनी (२२:६-२१)\n\n### प्रकाशको पुस्तक कसले लेखे ?\n\nलेखकले आफैँलाई यूहन्‍नाको रूपमा परिचय गराए । यिनी सम्भवतः प्रेरित यूहन्‍ना थिए । उनले प्रकाशको पुस्तक पत्मोसको टापूमा हुँदाखेरी लेखे । मानिसहरूलाई येशूको बारेमा सिकाएका कारण रोमीहरूले यूहन्‍नालाई निर्वासनमा पठाएका थिए ।\n\n### प्रकाशको पुस्तक केको बारेमा हो ?\n\nविश्‍वासीहरूलाई कष्‍ट भोगिरहेका समयमा पनि विश्‍वासयोग्‍य रहनलाई प्रोत्साहन गर्नका लागि यूहन्‍नाले प्रकाशको पुस्तक लेखे । शैतान र त्यसका अनुयायीहरूले विश्‍वासीहरूको विरुद्धमा लडिरहेको र तिनीहरूलाई मारेको विषयमा उनले देखेका दर्शनहरूलाई यूहन्‍नाले वर्णन गरे । दर्शनहरूमा, परमेश्‍वरले दुष्‍ट मानिसहरूलाई सजाय दिनका लागि पृथ्‍वीमा धेरै भयानक कुराहरू हुन दिनुहुन्छ । आखिरमा, येशूले शैतान र त्यसका पक्षधरहरूलाई हराउनुहुन्छ । त्यसपछि येशूले विश्‍वासयोग्‍य रहेकाहरूलाई सान्तवना दिनुहुन्छ । साथै विश्‍वासीहरू सदाको लागि परमेश्‍वरसँग नयाँ स्वर्ग र पृथ्‍वीमा बस्‍नेछन् ।\n\n### यस पुस्तकको शीर्षकको अनुवाद कसरी हुनुपर्छ ?\n\nअनुवादकहरूले यस पुस्तकलाई यसको पारम्परिक शीर्षक “प्रकाश” वा “येशू ख्रीष्‍टको प्रकाश” वा “सन्त यूहन्‍नालाई भएको प्रकाश” वा “यूहन्‍नाले बताएको संसारको अन्तिम सर्वनाश” भनेर बोलाउनलाई छान्‍न सक्छन् । अथवा तिनीहरूले भन्‍न सम्भव भएको अझ बढी स्‍पष्‍ट शीर्षक छान्‍न सक्छन्, जस्तै, “येशू ख्रीष्‍टले यूहन्‍नालाई देखाउनुभएका कुराहरू ।” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-names]])\n\n### प्रकाशको पुस्तक कस्तो प्रकारको लेखन हो ?\n\nयूहन्‍नाले उनका दर्शनहरूलाई वर्णन गर्नको लागि एउटा विशेष किसिमको लेखनको प्रयोग गर्छन् । यूहन्‍नाले आफूले देखेका कुराहरूलाई थुप्रै प्रतीकहरूको प्रयोग गरेर वर्णन गरे । यस प्रकारको लेखन शैलीलाई प्रतीकात्मक अगमवाणी वा संसारको विनाशसँग सम्बन्धीत साहित्य भनिन्छ । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/writing-apocalypticwriting]])\n\n## भाग २: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू\n\n### प्रकाशको पुस्तकमा भएका घटनाहरू विगतका हुन् वा भविष्‍यका हुन् ?\n\nसुरुको ख्रीष्‍टिएन कालखण्‍डदेखि, विद्वानहरूले प्रकाशलाई फरक-फरक तरिकाले उल्था गरेका छन् । केही विद्वानहरूले सोच्‍छन् कि यूहन्‍नाले उनको समयमा घटेका घटनाहरूलाई वर्णन गरे । केही विद्वानहरूले सोच्‍छन् कि यूहन्‍नाले उनको समयदेखि लिएर येशूको पुनरागमनसम्‍मको घटनाहरूलाई वर्णन गरे । अन्य विद्वानहरूले सोच्‍छन् कि ख्रीष्‍ट आउनुभन्दा ठीक अगाडिको छोटो समय अवधिमा हुने घटनाहरूलाई यूहन्‍नाले वर्णन गरे ।\n\nअनुवादकहरूलाई यस पुस्तकको अनुवाद गर्नुभन्दा अगाडि त्यसको कसरी अर्थ लगाउने भनेर निर्णय गर्न जरुरी छैन । अनुवादकहरूले अगमवाणीहरूलाई यूएलटीमा प्रयोग गरिएका कालहरूमै छोड्नुपर्छ ।\n\n### के त्यहाँ बाइबलमा प्रकाशको पुस्तक झैँ अरू कुनै पुस्तकहरू छन् ?\n\nबाइबलको अन्य कुनै पनि पुस्तक प्रकाशको पुस्तक झैँ छैन । तर, इजकिएल, जकरिया, विशेषगरी दानिएलमा भएका खण्‍डहरू प्रकाशमा भएको सामग्री र शैलीसँग एकसमान छन् । प्रकाशको पुस्तकलाई दानिएलको पुस्तक अनुवाद गरेकै समयमा अनुवाद गर्दा लाभदायी हुनसक्‍छ किनकि तिनीहरूमा भएका केही चित्रणहरू र शैली एकसमान किसिमका छन् ।\n\n## भाग ३: अनुवादका महत्त्वपूर्ण विषयहरू\n\n### के कोही व्यक्तिले प्रकाशको पुस्तकलाई अनुवाद गर्न त्यसलाई बुझ्‍न आवश्‍यक छ ?\n\nप्रकाशको पुस्तकलाई ठीकसँग अनुवाद गर्नका निमित्त कोही व्यक्तिले प्रकाशको पुस्तकमा प्रयोग गरिएका सबै चिन्‍हहरूलाई बुझ्‍न आवश्‍यक पर्दैन । अनुवादकहरूले तिनीहरूको अनुवादमा चिन्हहरू वा सङ्ख्याहरूको लागि सम्भाव्य अर्थहरू दिनुहुँदैन । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/writing-apocalypticwriting]])\n\n### “पवित्र” र “शुद्ध पार्नु” जस्ता अवधारणाहरूलाई प्रकाशको पुस्तकको यूएलटीमा कसरी प्रतिनिधित्व गरिएको छ ?\n\nधर्मशास्‍त्रले विभिन्‍न अवधारणाहरूमध्ये कुनै एकलाई सङ्केत गर्न यस्ता शब्दहरूको प्रयोग गर्छ । यसैकारण, अनुवादकलाई कतिपटक ती कुराहरूलाई तिनीहरूका संस्करणहरूमा राम्ररी प्रतिनिधित्व गर्न कठिन हुन जान्छ । अङ्ग्रेजीमा अनुवाद गर्दा, प्रकाशको पुस्तकको यूएलटीले निम्‍न सिद्धान्तहरूको प्रयोग गर्छः\n* दुईवटा खण्‍डहरूमा भएका अर्थले नैतिक पवित्रतालाई सङ्केत गर्छ । यहाँ, यूएलबीले “पवित्र” शब्दलाई प्रयोग गर्छ । (हेर्नुहोस्ः १४:१२; २२:११)\n* सामान्यतया प्रकाशमा दिइएको सन्दर्भले ख्रीष्‍टिएनहरूले निभाएका कुनै खास भूमिकाको अर्थ नदिइकन विशेषगरी तिनीहरूको साधारण उल्‍लेखलाई सङ्केत गरेको हुन्छ । यस्ता खण्‍डहरूमा, प्रकाशको पुस्तकको यूएलटीले “विश्‍वासी” वा “विश्‍वासीहरू” जस्ता शब्दहरूको प्रयोग गर्छ । (हेर्नुहोस्ः ५:८; ८:३, ४; ११:१८; १३:७; १६:६; १७:६; १८:२०, २४; १९:८; २०:९)\n* कहिलेकाहीँ दिइएको अर्थले कोही व्यक्ति वा केही कुरालाई परमेश्‍वरको लागि मात्र अलग गरिएको कुराको आशय दिन्छ । यस्ता खण्‍डहरूमा, यूएलटीले “शुद्ध पार्नु”, “अलग गरिएको”, “ ... लाई समर्पित गरिएको”, र “ ... को लागि संरक्षित गरिएको” जस्ता शब्दहरूको प्रयोग गर्छ ।\n\nजसै अनुवादकहरूले यी अवधारणाहरूलाई तिनीहरूका आफ्नै संस्करणहरूमा कसरी प्रतिनिधित्व गर्ने भनेर विचार गरिरहँदा यूएसटी धेरैपटक सहयोगी हुन सक्छ ।\n\n### समयका अवधिहरू\n\nप्रकाशमा थुप्रै विभिन्‍न समयका अवधिहरूलाई उल्‍लेख गरिएको छ । उदाहरणको लागि, त्यहाँ बयालीस महिना, सात वर्ष, र साँढे तीन दिनको थुप्रै उल्‍लेख छ । यी समयका अवधिहरू प्रतीकात्मक हुन् वा होइनन् भन्‍ने कुरामा विद्वानहरू विभाजित छन् । अनुवादकले यी समयका अवधिहरूलाई वास्तविक समयका अवधिहरूलाई जनाएको जसरी लिनुपर्छ । यो पनि सम्भाव्य छ कि यी समयावधिहरूले प्रकाशको पुस्तकलाई केही समग्र संरचना प्रदान गर्छन्, तर यी घटनाहरूको ठ्याक्‍कै मिल्‍ने कालक्रमलाई निर्धारण गर्न धेरै कठिन छ ।यूहन्‍नाले प्रकाशको पुस्तकमा विभिन्‍न समय अवधिहरूलाई उल्‍लेख गरे । उदाहरणको लागि, बयालीस महिना, सात वर्ष, र साँढे तीन दिन । केही विद्वानहरूले यी समयावधिहरू प्रतीकात्‍मक छन् भनी ठान्छन् । अन्य विद्वानहरूले ती वास्तविक समयावधिहरू हुन् भनी ठान्छन् । अनुवादकले ती समयावधिहरूलाई तिनीहरूले वास्तविक समयावधिहरूलाई उल्‍लेख गरिरहेको झैँ गरेर लिनुपर्छ । त्यसपछि तिनको महत्त्व वा तिनीहरूले के कुरालाई प्रतिनिधित्व गर्छन् भन्‍ने कुरा निर्धारण गर्ने भाग उल्था गर्ने व्यक्तिमा जान्छ ।\n\n### प्रकाशको पुस्तकको पाठ्यसामग्रीमा भएका प्रमुख विषयहरू के-के हुन् ?\n\nनिम्‍न दिइएका पदहरूको लागि, बाइबलका केही नयाँ संस्करणहरू पुराना संस्करणहरूभन्दा भिन्‍न छन् । यूएलटीले नयाँ भनाइलाई प्रयोग गर्छ र पुरानो भनाइलाई पादटिप्‍पणीमा राख्छ । यदि बाइबलको कुनै अनुवाद सामान्य क्षेत्रमा पाइन्छ भने, अनुवादकहरूले ती संस्करणहरूमा पाइने भनाइलाई प्रयोग गर्ने बारेमा विचार गर्नुपर्छ । यदि छैन भने नयाँ भनाइलाई पछ्याउनको लागि अनुवादकहरूलाई सुझाव दिइन्छ ।\n\n* “‘अल्फा र ओमेगा म नै हुँ’, परमप्रभु परमेश्‍वर भन्‍नुहुन्छ, ‘सर्वशक्तिमान्, जो हुनुहुन्छ, र जो हुनुहुन्थ्यो, र जो हुन आउनुहुनेछ’” (१:८) । केही संस्करणहरूले “सुरु र अन्त” भन्‍ने वाक्यांशलाई थप्‍छन् ।\n* “धर्म-गुरूहरू घोप्‍टो परे र आराधना गरे” (५:१४) । केही पुराना संस्करणहरूमा यसरी छ, “धर्म-गुरूहरू घोप्‍टो परे र सदासर्वदा जीवित हुनुहुनेलाई आराधना गरे ।”\n* “त्यसैले त्यसको (पृथ्‍वीको) एक तिहाइ जलिहाल्यो” (८:७) । केही पुराना संस्करणहरूले यो वाक्यांशलाई समावेश गर्दैनन् ।\n* “उहाँ जो हुनुहुन्छ र जो हुनुहुन्थ्यो” (११:१७) । केही संस्करणहरूले “र जो आउनुहुनेछ” भन्‍ने वाक्यांशलाई थप्‍छन् ।\n* “तिनीहरू दोषरहित छन्” (१४:५) । केही संस्करणहरूले “परमेश्‍वरको सिंहासन अगाडि” भन्‍ने वाक्यांशलाई थप्‍छन् (१४:५) ।\n* “पवित्र जन, तपाईं जो हुनुहुन्छ र जो हुनुहुन्थ्यो” (१६:५) । केही पुराना संस्करणहरूमा यसरी भनिएको छ, “हे परमप्रभु, तपाईं जो हुनुहुन्छ र जो हुनुहुन्थ्यो र जो हुनुहुनेछ ।”\n* “जातिहरू त्यस सहरको ज्योतिद्वारा हिँड्नेछन्” (२१:२४) । केही पुराना संस्करणहरूमा यसरी भनिएको छ, “उद्धार पाएका जातिहरू त्यस सहरको ज्योतिद्वारा हिँड्नेछन् ।”\n* “आफ्‍ना वस्‍त्रहरू धुनेहरू धन्यका हुन्” (२२:१४) । केही पुराना संस्करणहरूमा यसरी भनिएको छ, “उहाँका आज्ञाहरूको पालना गर्नेहरू धन्यका हुन् ।”\n* “परमेश्‍वरले जीवनको रूखमा र पवित्र सहरमा भएको त्यसको भागलाई हटाउनुहुनेछ” (२२:१९) । केही पुराना संस्करणहरूमा यसरी भनिएको छ, “परमेश्‍वरले जीवनको पुस्तकमा र पवित्र सहरमा भएको त्यसको भागलाई हटाउनुहुनेछ ।”\n\n(हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-textvariants]])
1:intro	u1e2				0	# प्रकाश ०१ सामान्य टिपोटहरू\n\n## संरचना र ढाँचा\n\n यूहन्‍नाले पत्मोसको टापूमा हुँदा पाएका दर्शनको अभिलेख प्रकाशको पुस्तकले कसरी राख्‍छ भन्‍ने कुरालाई यस अध्यायले व्याख्या गर्छ ।\n\nकेही अनुवादहरूले पढ्नलाई सजिलो बनाउनको लागि पुरानो करारका उद्धरणहरूलाई पृष्‍ठमा दायाँतिर पर सार्छन् । यूएलटीले पद ७ मा भएका उद्धरण गरिएका शब्दहरूसँग यसै गर्छ ।\n\n## यस अध्यायमा भएका विशेष अवधारणाहरू\n\n### सात मण्‍डलीहरू\n\nयूहन्‍नाले यो पुस्तक सात वास्तविक मण्‍डलीहरूलाई लेखेका थिए, जुन मण्‍डलीहरू एसियाको पश्‍चिमी प्रायद्वीपमा अवस्थित थिए, जुन स्थान हालको टर्की देशमा पर्छ ।\n\n### सेतो\n\nबाइबलले धेरैपटक कोही व्यक्तिको स्‍वामित्वमा एउटा चीजलाई “सेतो” भनेर बताउँछ । यो एउटा अलङ्कार हो र त्यस व्यक्तिले धर्मी तरिकाले र परमेश्‍वरलाई प्रसन्‍न तुल्याउने गरेर जिइरहेको कुरालाई जनाउने प्रतिस्थापन शब्द हो । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-metaphor]] अनि [[rc://ne/ta/man/translate/figs-metonymy]] अनि [[rc://ne/tw/dict/bible/kt/righteous]])\n\n### “उहाँ जो हुनुहुन्छ, र जो हुनुहुन्थ्यो, र जो हुन आउनुहनेछ”\n\nपरमेश्‍वर अहिले हुनुहुन्छ । उहाँ सधैँ अस्तित्वमा हुनुभएको छ । उहाँ सधैँ अस्तित्वमा हुनुहुनेछ । यो कुरा बताउनलाई तपाईंको भाषामा फरक तरिका हुन सक्छ ।\n\n## यस अध्यायमा भएका महत्त्वपूर्ण भाषाका अलङ्कारहरू\n\n### रगत\n\nरगत भनेको मृत्युको लागि प्रतिस्थापन शब्द हो । येशले “हामीलाई हाम्रा पापहरूबाट उहाँको रगतद्वारा मुक्त पार्नुभएको छ” । यूहन्‍नाले भन्‍न खोजेका कुरा यो हो कि येशूले हाम्रो लागि मर्नुभएर हामीलाई हाम्रा पापहरूबाट बचाउनुभएको छ । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-metonymy]])\n\n## यस अध्यायमा भएका अनुवादका अन्य सम्भाव्य कठिनाइहरू\n\n### “उहाँ बादलहरूसँग आउँदै हुनुहुन्छ”\n\nपरमेश्‍वरले येशूलाई मृतकहरूबाट बिउँताउनुभएपछि उहाँ स्‍वर्गमा चढिजानुहुने बेलामा उहाँ बादलहरूभित्र जानुभयो । जब येशू फर्कनुहुन्छ, उहाँ त्यस समयमा पनि “बादलहरूमा हुनुहुनेछ” । उहाँ बादलहरूमा बसिरहनुभएको हुनेछ वा तिनमा सवार भइरहनुभएको हुनेछ अथवा कुनै अन्य तरिकाले बादलहरूमा वा “बादलहरूसँगै” आउँदै गर्नुभएको हुनेछ भन्‍ने कुरा अस्‍पष्‍ट छ । तपाईंको अनुवादले यसलाई त्यस किसिमले व्यक्त गर्नुपर्छ जुन तपाईंको भाषामा स्वभाविक छ ।\n\n### “मानिसको पुत्र झैँ हुनुहुने कोही व्यक्ति”\n\nयसले येशूलाई जनाउँछ । येशूले आफैँलाई सुसमाचारहरूमा “मानिसको पुत्र” भन्‍नुहुँदा प्रयोग गरिएका शब्दहरूलाई नै प्रयोग गरेर तपाईंले “मानिसको पुत्र”लाई अनुवाद गर्नुपर्छ ।\n\n### “सात मण्‍डलीहरूका स्वर्गदूतहरू”\n\nयहाँ भएको “स्वर्गदूतहरू” शब्दको अर्थ “सन्देशवाहकहरू” पनि हुन सक्‍छ । यसले स्‍वर्गीय प्राणीहरू, वा यी सात मण्‍डलीहरूका सन्देशवाहकहरू वा अगुवाहरूलाई पनि जनाउन सक्छ । यूहन्‍नाले त्यही शब्द “स्वर्गदूत”लाई (एकवचनमा) पद १ मा र यस पुस्तकभर अन्य थुप्रै स्थानहरूमा पनि प्रयोग गर्छन् । तपाईंको अनुवादले पनि त्यही एउटै शब्दलाई प्रयोग गर्नुपर्छ ।
1:1	kv41			सामान्य जानकारीः	0	यो प्रकाशको पुस्तकको परिचय हो । यसले व्याख्या गर्छ कि यो येशू ख्रीष्‍टबाटको प्रकाश हो र यसलाई पढ्नेहरूलाई यसले एउटा आशिष् दिन्छ ।
1:1	ik5v			τοῖς δούλοις αὐτοῦ	1	यसले ती मानिसहरूलाई जनाउँछ जसले ख्रीष्‍टमा विश्‍वास गर्छन् ।
1:1	x8bu			ἃ δεῖ γενέσθαι ἐν τάχει	1	“ती घटनाहरू जुन छिटै हुनुपर्छ”
1:1	kez4			ἐσήμανεν	1	“त्यसलाई सञ्‍चार गर्नुभयो”
1:1	pb4u		rc://*/ta/man/translate/figs-123person	τῷ δούλῳ αὐτοῦ, Ἰωάννῃ	1	यूहन्‍नाले यो पुस्तक लेखे र यहाँ उनले आफैँलाई जनाइरहेका थिए । वैकल्‍पिक अनुवादः “म, यूहन्‍ना, उहाँको दासलाई” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-123person]])
1:2	va4c			τὸν λόγον τοῦ Θεοῦ	1	“परमेश्‍वरले बोल्‍नुभएको सन्देश”
1:2	b5se			τὴν μαρτυρίαν Ἰησοῦ Χριστοῦ	1	सम्भावित अर्थहरू हुन् १) यसले त्यो गवाहीलाई जनाउँछ जुन यूहन्‍नाले येशू ख्रीष्‍टको बारेमा दिएका छन् । वैकल्‍पिक अनुवादः “उहाँले येशू ख्रीष्‍टको बारेमा गवाही पनि दिनुभएको छ” वा २) “त्यो गवाही जुन येशू ख्रीष्‍टले आफ्‍नै बारेमा दिनुभएको छ”
1:3	le65		rc://*/ta/man/translate/figs-genericnoun	ὁ ἀναγινώσκων	1	यसले कुनै खास व्यक्तिलाई जनाउँदैन । यसले ठूलो स्वरले पाठ गर्ने जो कोहीलाई पनि जनाउँछ । वैकल्‍पिक अनुवादः “जो कोही पनि जसले ठूलो स्वरले पाठ गर्छ” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-genericnoun]])
