Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	gtn1				0	# रोमीहरूको परिचय\n\n## भाग १: सामान्य परिचय\n\n### रोमीहरूको पुस्तकको रूपरेखा\n\n१. परिचय (१:१-१५)\n१. येशू ख्रीष्‍टमा विश्‍वासद्वारा हुने धार्मिकता (१:१६-१७)\n१. पापको कारण सारा मानवजातिको दण्‍डको भागीदार बनेको छ (१:१८-३:२०)\n१. येशू ख्रीष्‍टमा विश्‍वास गरेर उहाँद्वारा पाइने धार्मिकता (३:२१-४:२५)\n१. आत्माका फलहरू (५:१-११)\n१. आदम र ख्रीष्‍टको तुलना गरिएको (५:१२-२१)\n१.यस जीवनमा ख्रीष्‍टजस्तै हुनु (६:१-८:३९)\n१. इस्राएलको लागि भएको परमेश्‍वरको योजना (९:१-११:३६)\n१. ख्रीष्‍टिएनहरू जसरी जिउनको लागि व्यवहारिक सुझाव (१२:१-१५:१३)\n१. निष्‍कर्ष र अभिवादनहरू (१५:१४-१६:२७)\n\n### रोमीहरूको पुस्तक कसले लेखे ?\n\nप्रेरित पावलले रोमीहरूको पुस्तक लेखे । पावल टार्सस सहरबाटका थिए । उनलाई उनको पहिलेको जीवनमा शाऊल भनेर चिनिन्थ्यो । ख्रीष्‍टिएन हुनुभन्दा अगाडि, पावल एक फरिसी थिए । उनले ख्रीष्‍टिएनहरूलाई सताए । आफू ख्रीष्‍टिएन भइसकेपछि उनी मानिसहरूलाई येशूको बारेमा बताउँदै थुप्रै पटक रोमी साम्राज्यभर यात्रा गरे ।\n\nशायद रोमी साम्राज्यको पावलको तेस्रो यात्राको अवधिमा उनी कोरिन्थको सहरमा बसिरहेका बेलामा उनले यो पत्र लेखे ।\n\n### रोमीहरूको पुस्तक केको बारेमा हो ?\n\nपावलले रोममा भएका ख्रीष्‍टिएनहरूलाई यो पत्र लेखे । पावल तिनीहरूलाई भेट्न आउँदा तिनीहरू उनलाई स्वागत गर्नलाई तयार भएका उनले चाहन्थे । उनले बताए कि उनको उद्देश्‍य “विश्‍वासको आज्ञापालन ल्याउनु थियो” (१६:२६) ।\n\nपावलले येशू ख्रीष्‍टको सुसमाचारलाई यस पत्रमा सबैभन्दा पूर्ण रूपमा वर्णन गरे । उनले व्याख्या गरे कि दुवै यहूदीहरू र गैर-यहूदीहरूले पाप गरेका छन्, र तिनीहरूले येशूमा विश्‍वास गरे भने मात्रै परमेश्‍वरले तिनीहरूलाई क्षमा गर्नुहुनेछ र तिनीहरूलाई धर्मी घोषणा गर्नुहुनेछ (अध्यायहरू १-११) । त्यसपछि विश्‍वासीहरू कसरी जिउनुपर्छ भनेर उनले तिनीहरूलाई व्यवहारिक सल्‍लाह दिए (अध्यायहरू १२-१६) ।\n\n### यस पुस्तकको शीर्षकको अनुवाद कसरी हुनुपर्छ ?\n\nअनुवादकहरूले यस पुस्तकलाई यसको पारम्परिक शीर्षक, “रोमीहरू” भनेर बोलाउनलाई छान्‍न सक्छन् । अथवा तिनीहरूले एउटा अझ बढी प्रस्‍ट हुने शीर्षक छान्‍न सक्छन्, जस्तै कि, “रोममा भएको मण्‍डलीलाई पावलको पत्र” वा “रोममा भएका ख्रीष्‍टिएनहरूलाई एक पत्र” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-names]])\n\n## भाग २: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू\n\n### येशूलाई जनाउन प्रयोग गरिएका नामहरू के‍के हुन् ?\n\nरोमीहरूमा, पावलले येशू ख्रीष्‍टलाई धेरै नामहरू र विवरणहरूले वर्णन गरेः येशू ख्रीष्‍ट (१:१), दाऊदको बिउ (१:३), परमेश्‍वरको पुत्र (१:४), प्रभु येशू ख्रीष्‍ट (१:७), ख्रीष्‍ट येशू (३:२४), प्रायश्‍चित (३:२५), येशू (३:२६), येशू हाम्रा प्रभु (४:२४), सेनाहरूका प्रभु (९:२९), ठेस लगाउने ढुङ्गा र बाधा दिने चट्टान (९:३३), व्यवस्थाको अन्त्य (१०:४), छुटकारा दिनुहुने (११:२६), मृतकहरू र जीवितहरूका प्रभु (१४:९), र यिशैका जरा (१५:१२) ।\n\n### रोमीहरूमा भएका ईश्‍वरशास्‍त्रीय शब्दहरूको कसरी अनुवाद हुनुपर्छ ?\n\nपावलले थुप्रै ईश्‍वरशास्‍त्रीय शब्दहरूको प्रयोग गर्छन् जुन चार सुसमाचारका पुस्तकहरूमा प्रयोग गरिएका छैनन् । जसै सुरुका ख्रीष्‍टिएनहरूले येशू ख्रीष्‍ट र उहाँको सन्देशको अर्थको बारेमा धेरै सिके, नयाँ अवधारणाहरूका लागि तिनीहरूलाई शब्दहरू र अभिव्यक्तिहरूको खाँचो पर्‍यो । ती शब्दहरूका केही उदाहरणहरू हुन्, “धर्मी ठहराउने” (५:१), “व्यवस्थाका कामहरू” (३:२०), “पुनर्मिलाप गराउनु” (५:१०), “प्रायश्‍चित” (३:२५), “शुद्धिकरण” (६:१९), र “पुरानो मनुष्यत्व” (६:६) ।\n\n“प्रमुख शब्दहरू” भएको शब्दकोषले अनुवादकहरूलाई यस्ता थुप्रै शब्दहरू बुझ्‍नलाई सहायता गर्न सक्‍छ । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-abstractnouns]])\n\nमाथि दिइएका खालका शब्दहरू व्याख्या गर्नलाई कठिन हुन्छन् । धेरैपटक अनुवादकहरूलाई तिनीहरूका भाषाहरूमा उस्तै अर्थ बोकेका शब्दहरू भेट्टाउन गाह्रो वा असम्भव हुन्छ । यो कुरा जान्‍न सहयोगी हुन सक्छ कि यी शब्दहरूसँग मिल्ने उस्तै शब्दहरू हुनु जरुरी छैन । बरु, अनुवादकहरूले ती अवधारणाहरूलाई सञ्‍चार गर्नको लागि तिनीहरूले सक्‍ने कुनै पनि छोटो अभिव्यक्तिहरू बनाउन सक्छन् । उदाहरणको लागि, “सुसमाचार” भन्‍ने शब्दलाई “येशू ख्रीष्‍टको बारेमा भएको असल खबर” भनेर अनुवाद गर्न सकिन्छ ।\n\nअनुवादकहरूले सम्झनुपर्छ कि यी केही शब्दहरूको एउटाभन्दा बढी अर्थ छ । अर्थ चाहिँ लेखकले त्यस खास खण्‍डमा त्यस शब्दलाई कसरी प्रयोग गरिरहेका छन् भन्‍ने कुरामा भर पर्छ । उदाहरणको लागि, “धार्मिकता”ले कहिलेकाहीँ कुनै व्यक्तिले परमेश्‍वरको व्यवस्थाको पालना गर्छ भन्‍ने अर्थ दिन्छ । अरू समयहरूमा, येशू ख्रीष्‍टले हाम्रो लागि परमेश्‍वरको व्यवस्थाको सिद्ध रूपमा पालना गर्नुभएको छ भन्‍ने अर्थ “धार्मिकता”ले दिन्छ ।\n\n### इस्राएलको “बचेको अंश” भनेर पावलले के भन्‍न खोजे ? (११:५)?\n\n“बचेको अंश” (कुनै प्रकोपबाट बाँचेका थोरै मानिसहरू) को अवधारणा पुरानो करार र पावल दुवैको लागि महत्त्वपूर्ण छ । धेरैजसो इस्राएलीहरू अश्‍शुरीहरू र त्यसपछि बेबिलोनीहरूले तिनीहरूको भूमि कब्जा गर्दा कि त मारिएका थिए कि त अरू मानिसहरू माझमा छरपष्‍ट पारिएका थिए । तुलनात्मक रूपमा हेर्दा केही थोरै यहूदीहरू मात्र बाँचे । तिनीहरूलाई “बचेको अंश” भनेर जानिन्थ्यो ।\n\n११:१-९ मा, पावलले अर्को बचेको अंशको विषयमा कुरा गर्छन् । यो बचेको अंश ती यहूदीहरू हुन् जसलाई परमेश्‍वरले बचाउनुभयो किनभने तिनीहरूले येशूमा विश्‍वास गरे । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/remnant]])\n\n## भाग ३: अनुवादका महत्त्वपूर्ण विषयहरू\n\n### “ख्रीष्‍टमा” रहने भनेर पावलले के भन्‍न खोजेका हुन् ?\n\n“ख्रीष्‍टमा” भन्‍ने वाक्यांश र त्यस्तै समान वाक्यांशहरू ३:२४; ६:११, २३; ८:१,२,३९; ९:१; १२:५,१७; १५:१७; र १६:३,७,९,१० मा आउँछन् । ख्रीष्‍टिएन विश्‍वासीहरू येशू ख्रीष्‍टका हुन् भनेर व्यक्त गर्नका लागि एउटा अलङ्कारको रूपमा पावलले यस प्रकारका वाक्यांशहरूलाई प्रयोग गरे । ख्रीष्‍टको हुनुको अर्थ विश्‍वासी बचाइएको छ र परमेश्‍वरको मित्र बनाइएको छ भन्‍ने हुन्छ । त्यस विश्‍वासीलाई परमेश्‍वरसँग सदाको लागि जिउन पाउने प्रतिज्ञा पनि गरिएको हुन्छ । तापनि, यस अवधारणालाई धेरै भाषाहरूमा प्रतिनिधित्व गर्न कठिन हुन सक्छ ।\n\nयी वाक्यांशहरूको खास अर्थहरू पनि हुन्छन् जुन पावलले तिनलाई त्यस खास खण्‍डमा कसरी प्रयोग गरे भन्‍ने कुरामा भर पर्छ । उदाहरणको लागि, ३:२४ मा (“उद्धार जुन ख्रीष्‍ट येशूमा छ”), पावलले येशू ख्रीष्‍टको “कारण” हामीले मुक्ति पाएको कुरालाई जनाए । ८:९ मा (“तिमीहरू शरीरमा छैनौ तर आत्मामा छौ”), विश्‍वासीहरूले पवित्र आत्मा“लाई” सुम्पने कुराको विषयमा पावलले कुरा गरे । ९:१ मा (“म ख्रीष्‍टमा साँचो बताउँछु”), पावलले येशू ख्रीष्‍ट“सँग सहमतमा भएको” सत्यता बताइरहेका छन् भनेर उनले भन्‍न खोजेका हुन् ।\n\nजे भएतापनि, हामी येशू ख्रीष्‍टसँग (र पवित्र आत्मासँग) एकीकृत भएको मूलभूत धारणालाई यी खण्‍डहरूमा पनि देखिन्छ । त्यसकारण, “मा”को प्रयोग गर्ने वाक्यांशहरूमा अनुवादकसँग एउटा चुनाव हुन्छ । उनले धेरैपटक “ ... को माध्यमद्वारा”, “त्यस ढङ्गमा”, वा “ ... को विषयमा” जस्ता “मा”को तत्काल लाग्‍ने मतलबलाई प्रतिनिधित्व गर्ने निर्णय गर्नेछन् । तर, यदि सम्भव छ भने, अनुवादकले एउटा त्यस्तो शब्द वा वाक्यांशलाई छान्‍नुपर्छ जसले तत्काल लाग्‍ने अर्थ र “ ... सँगको समन्वयमा” भन्‍ने अर्थलाई प्रतिनिधित्व गर्छ । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/inchrist]])\n\n### यूएलटीमा रोमीहरूमा, “पवित्र”, “सन्तहरू” वा “पवित्र जनहरू” र “शुद्ध बनाउनु”का अवधारणाहरूलाई कसरी प्रतिनिधित्व गरिएको छ ?\n\nविभिन्‍न अवधारणाहरूमध्ये कुनै एकलाई सङ्केत गर्नको लागि धर्मशास्‍त्रले यस्ता शब्दहरूको प्रयोग गर्छ । यसैकारण, अनुवादकहरूको लागि ती कुराहरूलाई तिनीहरूका संस्करणहरूमा राम्ररी प्रतिनिधित्व गर्न धेरैपटक कठिन हुन्छ । अङ्ग्रेजीमा अनुवाद गर्दा, यूएलटीले निम्‍न सिद्धान्तहरूको प्रयोग गर्छः\n* कहिलेकाहीँ खण्‍डमा भएको अर्थले नैतिक पवित्रताको अर्थ दिन्छ । सुसमाचार बुझ्‍नको लागि विशेषगरी महत्त्वपूर्ण तथ्य चाहिँ के हो भने परमेश्‍वरले ख्रीष्‍टिएनहरूलाई पापरहित मान्‍नुहुन्छ किनभने तिनीहरू येशू ख्रीष्‍टसँग एकीकृत भएका हुन्छन् । अर्को सम्बन्धित तथ्य चाहिँ के हो भने परमेश्‍वर सिद्ध र खोटरहित हुनुहुन्छ । तेस्रो तथ्य चाहिँ के हो भने ख्रीष्‍टिएनहरूले आफूहरूलाई जीवनमा दोषरहित र खोटरहित ढङ्गमा चलाउनुपर्छ । यी कुराहरूमा, यूएलटीले “पवित्र”, “पवित्र परमेश्‍वर”, “पवित्र जनहरू” वा “पवित्र मानिसहरू” जस्ता शब्दहरूको प्रयोग गर्छ । (हेर्नुहोस्ः १:७)\n* कहिलेकाहीँ खण्‍डमा भएको अर्थले ख्रीष्‍टिएनहरूले निभाएका कुनै खास भूमिकाको अर्थ नदिइकन विशेषगरी तिनीहरूको साधारण उल्‍लेखलाई सङ्केत गर्छ । केही अरू अङ्ग्रेजी संस्करणहरूमा “सन्तहरू” वा “पवित्र जनहरू” जस्ता शब्दहरूको प्रयोग भएको खण्‍डमा, यूएलटीले “विश्‍वासीहरू” प्रयोग गर्छ । (हेर्नुहोस्ः ८:२७; १२:१३; १५:२५, २६, ३१; १६:२, १५)\n* कहिलेकाहीँ खण्‍डमा भएको अर्थले कोही व्यक्ति वा केही कुरा केवल परमेश्‍वरको लागि अलग राखिएको कुरालाई सङ्केत गर्छ । यी खण्‍डहरूमा, यूएलटीले “अलग राखिएको”, “ ... लाई समर्पित गरिएको”, “शुद्ध पारिएको”, वा “ ... का लागि संरक्षित गरिएको” जस्ता शब्दहरूको प्रयोग गर्छ । (हेर्नुहोस्ः १५:१६)\n\nअनुवादकहरूले यी अवधारणाहरूलाई तिनीहरूका आफ्नै संस्करणहरूमा कसरी प्रतिनिधित्व गर्ने भनेर सोच्‍दै गर्दा यूएलटी धेरैपटक सहयोग हुनेछ ।\n\n### रोमीहरूको पुस्तकको पाठ्यसामग्रीमा भएका प्रमुख विषयहरू के-के हुन् ?\n\nनिम्‍न दिइएका पदहरूको लागि, बाइबलका नयाँ संस्करणहरू पुराना संस्करणहरूबाट फरक पर्छन् । यूएलटीले नयाँ भनाइलाई समावेश गर्छ र पुरानो भनाइलाई पादटिप्‍पणीमा राख्छ ।\n\n* “उहाँले[परमेश्‍वरले] सबैकुराहरूलाई भलाइ गराउनको लागि काम गर्नुहुन्छ” (८:२८) । केही पुरानो संस्करणहरूले भन्छन्, “सबै कुराहरूले एकसाथ भलाइकै लागि काम गर्छन् ।”\n* “तर यदि यो अनुग्रहबाट हो भनेता यो अब कामहरूबाट होइन । नत्रभए अनुग्रह अझै अनुग्रह रहने थिएन ।” (११:६) केही पुरानो संस्करणहरूले भन्छन्ः “तर यदि यो कामहरूबाट हो भने, तब त्यो अझ अनुग्रह हुने थिएनः नत्रभए काम अझै काम हुने थिएन ।”\n\nनिम्‍न दिइएको पद बाइबलका सर्वोत्कृष्‍ट प्राचीन प्रतिहरूमा छैन । अनुवादकहरूलाई यो पदलाई समावेश नगर्नको लागि सुझाव दिइन्छ । तापनि, यदि अनुवादकहरूका क्षेत्रमा बाइबलका पुराना संस्करणहरू छन् जसमा यो पद छ भने, अनुवादकहरूले त्यसलाई समावेश गर्न सक्‍छन् । यदि यसको अनुवाद हुन्छ भने, यो सम्भवतः रोमीहरूको पुस्तकबाट लिइएको मौलिक कुरा होइन भनेर सङ्केत गर्नको लागि यसलाई ठूला कोष्‍ठकहरूभित्र ([]) राख्‍नुपर्छ ।\n\n* “हाम्रा प्रभु येशू ख्रीष्‍टको अनुग्रह तिमीहरू सबैको साथमा भएको होस् । आमेन्” (१६:२४) ।\n\n(हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-textvariants]])
1:intro	hn5n				0	# रोमीहरू ०१ सामान्य टिपोटहरू\n\n## संरचना र ढाँचा\n\nपहिलो पद एक प्रकारको परिचय हो । प्राचीन भू-मध्य क्षेत्रमा रहने मानिसहरूले धेरैपटक तिनीहरूका पत्रहरूलाई यसरी नै थालनी गर्थे । कहिलेकाहीँ यसलाई “अभिवादन” भनिन्छ ।\n\n## यस अध्यायमा भएका विशेष अवधारणाहरू\n\n### सुसमाचार\nयस अध्यायले रोमीहरूको पुस्तकको सामग्रीलाई “सुसमाचार”को रूपमा जनाउँछ ([रोमीहरू १:२](../../rom/01/02.md)) । रोमीहरू मत्ती, मर्कूस, लूका र यूहन्‍नाको सुसमाचार जस्तो होइन । बरु, १-८ का अध्यायहरूले बाइबलीय सुसमाचारलाई प्रस्तुत गर्छन्ः सबैले पाप गरेला छन् । येशू हाम्रा पापहरूका लागि मर्नुभयो । उहाँ फेरि बिउँताइनुभयो ताकि उहाँमा हामीसँग नयाँ जीवन भएको होस् ।\n\n### फल\nयस अध्यायले फलको चित्रणलाई प्रयोग गर्छ । फलको चित्रणले सामान्यतया कुनै व्यक्तिको विश्‍वासलाई जनाउँछ जसले तिनीहरूका जीवनमा असल कामहरू निकालिरहेको हुन्छ । यस अध्यायमा, यसले रोमी ख्रीष्‍टिएनहरूको माझमा पावलले गरेका कामहरूका परिणामहरूलाई जनाउँछ । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/other/fruit]] अनि [[rc://ne/tw/dict/bible/kt/faith]] अनि [[rc://ne/tw/dict/bible/kt/righteous]])\n\n### सम्पूर्ण विश्‍व दोषी ठहरिएको र परमेश्‍वरको क्रोध\nयस अध्यायले व्याख्या गर्छ कि सबैजनासँग कुनै बहाना छैन । साँचो परमेश्‍वर, यहवेको बारेमा हाम्रा वरिपरि भएको उहाँको सृष्‍टिबाट हामी सबैलाई थाहा छ । हाम्रो पाप र हाम्रो पापी स्वभावको कारण, हरेक व्यक्ति परमेश्‍वरको क्रोधको भागीदार न्यायोचित रूपले बनेको छ । यो क्रोध येशू क्रूसमा मर्नुभएर तिनीहरूको लागि शान्त बनाइएको थियो जसले उहाँमा विश्‍वास गर्छन् । (हेर्नुहोस्ः [[rc://ne/tw/dict/bible/kt/believe]] अनि [[rc://ne/tw/dict/bible/kt/sin]])\n\n## यस अध्यायमा भएका महत्त्वपूर्ण भाषाका अलङ्कारहरू\n\n### “परमेश्‍वरले तिनीहरूलाई सुम्पिदिनुभयो”\nधेरै विद्वानहरूले “परमेश्‍वरले तिनीहरूलाई सुम्पिदिनुभयो” र “परमेश्‍वरले तिनीहरूलाई छोडिदिनुभयो” भन्‍ने वाक्यांशहरूलाई ईश्‍वरशास्‍त्रीय हिसाबले महत्त्वपूर्ण भएको भनेर हेर्छन् । यसकारण, परमेश्‍वरले त्यस कार्यमा निष्‍क्रिय भूमिका निभाउनुभएको रूपमा यी वाक्यांशहरूलाई अनुवाद गर्न महत्त्वपूर्ण छ । परमेश्‍वरले मानिसहरूलाई केवल तिनीहरूका अभिलाषाहरूको पछि लाग्‍न दिनुहुन्छ, उहाँले तिनीहरूलाई कर लगाउनुहुन्‍न । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-activepassive]])\n\n## यस अध्यायमा भएका अनुवादका अन्य सम्भाव्य कठिनाइहरू\n\n### अप्‍ठेरा वाक्यांशहरू र अवधारणाहरू\n\nयद अध्यायमा यसभित्र थुप्रै कठिन अवधारणाहरू छन् । यस अध्यायमा धेरैजसो वाक्यांशहरूलाई पावलले कसरी लेख्छन् भन्‍ने कुराले अनुवाद गर्नलाई कठिन बनाउँछ । वाक्यांशहरूको अर्थ बुझ्‍नको लागि अनुवादकले यूएलटीको प्रयोग गर्नुपर्ने हुन सक्छ । साथै यी वाक्यांशहरूलाई केही स्वतन्‍त्र भएर अनुवाद गर्न पनि आवश्‍यक हुन सक्छ । केही अप्ठेरा वाक्यांशहरूमा निम्न कुराहरू पर्छन्ः “विश्‍वासको आज्ञापालन”, “जसलाई म मेरो आत्मामा सेवा गर्छु”, “विश्‍वासदेखि विश्‍वाससम्‍म” र “अविनाशी परमेश्‍वरको महिमालाई विनाशी मानिसको प्रतिरूपको लागि साटफेर गरे ।”
1:1	x3em		rc://*/ta/man/translate/figs-explicit	Παῦλος	1	तपार्इंको भाषामा कुनै पत्रको लेखकको परिचय दिने कुनै खास तरिका हुन सक्छ । ती मानिसहरू को हुन् जसलाई पावलले यो पत्र लेखे ([रोमीहरू १:७](./07.md)) भनेर पनि तपाईंले यसै पदमा बताउनुपर्ने हुन सक्‍छ । वैकल्‍पिक अनुवादः “म, पावलले यो पत्र लेखेँ” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-explicit]])
1:1	v5b9		rc://*/ta/man/translate/figs-activepassive	κλητὸς ἀπόστολος, ἀφωρισμένος εἰς εὐαγγέλιον Θεοῦ	1	तपाईंले यसलाई कर्तृ वाच्यमा पनि अनुवाद गर्न सक्‍नुहुन्छ । वैकल्पिक अनुवादः “परमेश्‍वरले मलाई एक प्रेरित हुनको निम्ति बोलाउनुभयो र सुसमाचारको बारेमा मानिसहरूलाई बताउनको लागि मलाई चुन्‍नुभयो” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-activepassive]])
1:1	sg88			κλητὸς	1	यसको अर्थ हुन्छ कि परमेश्‍वरले मानिसहरूलाई उहाँका सन्तान हुनलाई, उहाँका सेवकहरू हुनलाई र येशूद्वारा मुक्तिको विषयमा भएको उहाँको सन्देशको घोषना गर्नेहरू हुनलाई नियुक्त गर्नुभयो वा चुन्‍नुभयो ।
1:2	r5x7			ὃ προεπηγγείλατο διὰ τῶν προφητῶν αὐτοῦ ἐν Γραφαῖς ἁγίαις	1	परमेश्‍वरले उहाँको राज्य खडा गर्नुहुने थियो भनेर उहाँका मानिसहरूलाई प्रतिज्ञा गर्नुभयो । यी प्रतिज्ञाहरूलाई धर्मशास्‍त्रमा लेख्‍नको लागि उहाँले अगमवक्ताहरूलाई भन्‍नुभयो ।
1:3	lab1			περὶ τοῦ Υἱοῦ αὐτοῦ	1	यसले “परमेश्‍वरको सुसमाचार”लाई जनाउँछ, परमेश्‍वरले उहाँको पुत्रलाई संसारमा पठाउनलाई प्रतिज्ञा गर्नुभयो भन्‍ने सुसन्देश ।
1:3	lk5q		rc://*/ta/man/translate/guidelines-sonofgodprinciples	τοῦ Υἱοῦ	1	यो येशू, परमेश्‍वरको पुत्रको लागि एउटा महत्त्वपूर्ण उपाधि हो । (हेर्नुहोस्ः [[rc://ne/ta/man/translate/guidelines-sonofgodprinciples]])
1:3	rj9f		rc://*/ta/man/translate/figs-explicit	τοῦ γενομένου ἐκ σπέρματος Δαυεὶδ κατὰ σάρκα	1	यहाँ “शरीर” भन्‍ने शब्दले भौतिक देहलाई जनाउँछ । वैकल्पिक अनुवादः “जो शारीरिक तवरमा दाऊदको एक सन्तान हुनुहुन्छ” वा “जो दाऊदको परिवारमा जन्मनुभएको थियो” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-explicit]])
1:4	z3yq			जोड्ने कथनः	0	पावलले यहाँ उनको प्रचार गर्नुपर्ने दायित्वको बारेमा कुरा गर्छन् ।
