Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:1	sb2j		rc://*/ta/man/translate/writing-newevent	וַ⁠יְהִ֗י	1	**It was** or **This is what happened**. This is a common way of beginning a historical story. (See: [[rc://*/ta/man/translate/writing-newevent]])
1:intro	irf4				0	# Ruth 1 General Notes\n\n## Structure and formatting\n\n### **It happened in the days when the judges ruled**\n\nThe events of this book occur during the period of Judges. The book is concurrent with the book of Judges. To understand the historical context of the book, the translator may wish to review the book of Judges.\n\n## Special concepts in this chapter\n\n### Women without a husband or children\n\nIn the ancient Near East, if a woman lacked a husband or sons, she was considered to be in a dire circumstance. She would not have been able to provide for herself. This is why Naomi told her daughters to remarry.\n\n## Other possible translation difficulties in this chapter\n\n### Contrast\n\nThe actions of Ruth the Moabite are intended to contrast with the actions of Naomi the Jew. Ruth shows great faith in Naomi’s God, while Naomi does not trust in Yahweh. (See: [[rc://*/tw/dict/bible/kt/faith]] and [[rc://*/tw/dict/bible/kt/trust]])
1:1	m9nl		rc://*/ta/man/translate/grammar-connect-time-simultaneous	בִּ⁠ימֵי֙ שְׁפֹ֣ט הַ⁠שֹּׁפְטִ֔ים	1	**during the time when judges led and governed Israel** (See: [[rc://*/ta/man/translate/grammar-connect-time-simultaneous]])
1:1	nm13		rc://*/ta/man/translate/figs-explicit	בָּ⁠אָ֑רֶץ	1	This refers to the land of Israel. Alternate translation: “in the land of Israel” (See: [[rc://*/ta/man/translate/figs-explicit]])
1:1	mmb4		rc://*/ta/man/translate/writing-participants	אִ֜ישׁ	1	**a man**. This is a common way of introducing a character into a story. (See: [[rc://*/ta/man/translate/writing-participants]])
1:2	e53a			אֶפְרָתִ֔ים מִ⁠בֵּ֥ית לֶ֖חֶם יְהוּדָ֑ה	1	The name **Ephrathites** refers to the people from the clan of Ephrathah, who lived in the area around Bethlehem. Alternate translation: “from the clan of Ephrathah, from Bethlehem, in Judah.”
front:intro	f68r				0	# रूथको परिचय\n\n## भाग १ः सामान्य परिचय\n\n### रूथको रूपरेखा\n\n१. रूथ नाओमीसँगै बेथलेहेम आइन् (१ः१-२२)\n२. रूथले शिला-बाला बटुल्दा बोअजले तिनलाई सहायता गर्छन् (२ः१-२३) \n३. बोअज र रूथ खलामा (३ः१-१८)\n४. रूथ कसरी बोअजकी पत्‍नी भइन् (४ः१-१६)\n५. रूथ र बोअजले ओबेद जन्माए; दाऊदको वंशावली (४ः१३-२२)\n\n### रूथको पुस्तकको केको बारे हो?\n\nयो पुस्तक रूथ नाम गरेकी गैरयहूदी स्‍त्रीको बारे हो । तिनी कसरी परमप्रभुका मानिसहरूसँग जोडिन आइन् भनी यसले बताउँछ । रूथ कसरी राजा दाऊदको पुर्खा बनिन् भनी यसले वर्णन गर्छ ।\n### यो पुस्तकको शीर्षकलाई कसरी अनुवाद गर्नुपर्छ?\n\nयो पुस्तकको शीर्षक परम्परागत रूपमा **रूथ** छ किनकि तिनी यसका मुख्य पात्र हुन् । अनुवादकले यसको शीर्षकलाई **रूथबारेको पुस्तक** भनी प्रयोग गर्न सक्छन् । (हेर्नहोस्: [[rc://*/ta/man/translate/translate-names]])\n\n### रूथको पुस्तकको घटनाहरू कहिले भएको थिए?\n\nरूथको कथालाई इस्राएलमा **न्यायकर्ताहरू** भएको समयलाई उल्लेख गरिन्छ । यो इस्राएलका मानिसहरू कनानको भूमिमा प्रवेश गरेपछि, तर तिनीहरूले राजा पाउनुभन्दा अघि थियो । "न्यायकर्ताहरू" इस्राएलीहरूका शत्रुहरूलाई पराजित गर्न उनीहरूलाई सहायता गर्न परमेश्‍वरले चुन्‍नुभएका पुरुष र स्‍त्रीहरू थिए । यी अगुवाहरूले सामान्यतयाः मानिसहरू बिचका कलहहरूमा निर्णय गर्न उनीहरूलाई निरन्तर सहायता गरिरहन्थे । उनीहरूले ती मानिसहरूलाई महत्त्वपूर्ण निर्णयहरू गर्न सहायता गर्थे । यिनीहरूमध्ये धेरैले इस्राएलका सबै मानिसहरूमाथि र केहीले कुनै खास कुलहरूको मात्र सेवा गरे ।\n## भगा २ः महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू\n\n### धर्मशास्‍त्रले विदेशी भूमि मोआबको महिलाबारेको पुस्तकलाई किन समावेश गर्छ?\n\nइस्राएल परमप्रभुप्रति अविश्‍वासयोग्य भएको समयमा मोआबकी स्‍त्रीले उहाँप्रति ठुलो विश्‍वास देखाउँछिन् । परमप्रभुप्रति इस्राएलीहरूको बारम्बार हुने विश्‍वासको कमीलाई विदेशी भूमिको महिलाको विश्‍वासलाई परस्पर तुलना गरिन्छ । (हेर्नुहोस्: [[rc://*/tw/dict/bible/kt/faithful]])\n\n### रूथको पुस्तकमा कस्तो महत्त्वपूर्ण वैवाहिक रीति भेट्टाइन्छ?\n\nइस्राएलीहरूले **सन्तानहीन दाजुको विधवालाई विवाह गरिने प्रचलन (लेविरेट म्यारिज)**लाई अनुशरण गरेका थिए । यस प्रचलनअनुासर, सन्तानविहीन मर्ने पुरुषको सबैभन्दा नजिकको नातेदार पुरूषले मृतकको विधवालाई विवाह गरेर उसलाई आवश्यकपर्ने सबैथोक दिनुपर्थ्यो । सामान्यतयाः यो व्यक्ति त्यो मानिसका दाजुभाइहरूमध्ये एक जना हुन्थ्यो । उनीहरूबाट जन्मेको कुनै पनि बालबालिकाहरू उक्त मृतकको सन्तान गनिन्थ्यो । त्यो मृतकका सन्तानहरू होऊन् भनेर उनीहरूले यसो गर्थे । यदि सबैभन्दा नजिकको नातेदारले उक्त काम गरेन भने, उक्त काम अर्को नातेदारले गर्न सक्थ्यो ।\n\n### **नजिकका कुटुम्ब** के थियो?\n\nकुनै व्यक्तिको नजिकको नातेदार वा नातेददारहरूले उसको निम्ति **नजिकको कुटुमम्ब**को (२ः२० यूएलटी) रूपमा काम गर्ने अपेक्षा गरिन्थ्यो । उनीहरू नातेदार खाँचोमा पर्दा दिन, **सन्तानहविहीन भएर मरेका व्यक्तिको विधवालाई विवाह गर्ने** कर्त्तव्य पूरा गर्न, र आफ्नो परिवारभन्दा बाहिर बेचिएका जग्‍गाजमिन किनेर फिर्ता लिन जिम्मेवार थिए । रूथको पुस्तकमा बोअज यस्ता एक जना नजिकका कुटुम्ब हुन् ।\n\n### रूथको पुस्तकमा **शिला-बाला** के थियो?\n\nइस्राएलमा गरिबहरूलाई खेताबरीमा कटानी गर्ने मानिसहरूको पछिपछि आउन दिइन्थ्यो । यी "शिला-बाला बटुल्नेहरू**ले कटनी गर्नेहरूले छोडेका वा खसाइराखेका अन्नका बोटहरू टिप्‍थे । यसरी गरिबहरूले आफ्ना निम्‍ति केही खानेकुराहरू प्राप्‍त गर्न सक्थे । रूथ बोअजको खेतबारीमा एक जना शिला-बाला बटुल्ने व्यक्ति बनिन् ।\n\n### करारीय विश्‍वासयोग्यता वा करारीय बफदारीता भनेको के हो?\n\nकरार भनेको दुवै पाटीले वा एक पाटीले पूरा गर्नेपर्ने दुई पाटीहरू बिचको बाध्यकारी औपचारिक सहमति हो । करारीय विश्‍वासयोग्यता वा कारीय बफदारीता भनेको उनीहरूले बाँधेका करारअनुसार उनीहरूले जे गर्छु भनेका थिए सो गर्नु हो । परमेश्‍वरले इस्राएलसँग करार बाँध्नुभयो जसमा उहाँले इस्राएलीहरूलाई प्रेम गर्ने र विश्‍वासयोग्य हुने प्रतिज्ञा गर्नुभयो । इस्राएलीहरूले उहाँप्रति साथै एक अर्काप्रति त्यसै गर्नुपर्थ्यो ।\nनजिकोको कुटुम्बले आफ्नो नातेदारहरूका निम्ति जे गर्छन् सो परमेश्‍वरले उनीहरूसँग बाँध्नुभएको करारको हिस्सा हो भन्‍ने कुरा रूथको पुस्तकले देखाउँछ । बोअज, रूथ र नाओमीको कथाले सारा इस्राएलीहरूलाई करारीय विश्‍वासयोग्यताको असल असरहरूको उदाहरण पेश गर्छ । (हेर्नुहोस्: [[rc://*/tw/dict/bible/kt/covenantfaith]])\n\n### प्राचीन निकट पूर्वमा सहरको मूल ढोकाको के काम थियो?\n\nबोअजको समयमा सहरका मूल ढोकाहरू सहरका धर्म-गुरुहरू भेट्ने ठाउँहरू थिए । धर्म-गुरुहरू व्यपारिक विषयहरू र कानुनी मामलाहरूबारे निर्णय गर्ने आदरनीय व्यक्तिहरू थिए । विशेष गरी प्रवेश गर्ने ठाउँहरूमा सहरका पर्खालहरू मोटो हुन्थे, प्रवेशद्वारहरूमाथि वा त्यसको नजिकै पहरेदारहरू बस्‍ने धरहराहरू हुन्थे । यसकारण, मूल ढोकामा सार्वनजिक बैठक गर्ने खुल्ला ठाउँहरू हुन्थ्यो र त्यहाँ महत्त्वपूर्ण मानिसहरू बस्‍ने ठाउँहरू हुन्थे । यसैले, बोअज र अन्य धर्म-गुरुहरू मूल ढोकामा बसे ।\n\nकेही अंग्रेजी संस्करणहरूले बोअज सहरको मूल ढोका**मा** बसे भनी उल्लेख गर्छन्, तर बोअज सहरको मूल ढोका**भित्र बसे भनी स्पष्ट पार्न अनुवादकरूका निम्ति उत्तम हुन सक्छ ।\n\n## भाग ३ः महत्त्वपूर्ण अनुवादका विषयहरू\n\n### रूथको पुस्तकले एउटा घटनाबाट अर्को घटना(मा कसरी जान्छ) कसरी परिवर्तन गर्छ?\n\nरूथको पुस्तकले नयाँ शीर्षक वा कथाको नयाँ भागलाई प्रायः परिवर्तन गर्छ । यी परिवर्तनहरू देखाउन यूएलटीले **त्यसैले,** **त्यसपछि,** र **अब** जस्ता शब्दहरू प्रयोग गर्छ । यस्ता परिवर्तनहरू देखाउन अनुवादकहरूले उनीहरूका भाषामा जे सबैभन्दा बढी स्वभाविक हुन्छ त्यही नै प्रयोग गर्नुपर्छ ।
1:3	rxb1			הִ֖יא וּ⁠שְׁנֵ֥י בָנֶֽי⁠הָ׃	1	**नाओमीसँग उनका दुई जना छोराहरू मात्र थिए**
1:4	pk7g		rc://*/ta/man/translate/figs-idiom	וַ⁠יִּשְׂא֣וּ לָ⁠הֶ֗ם נָשִׁים֙	1	**विवाहित स्‍त्रीहरू**। यो विवाह गर्ने स्‍त्रीहरूका निम्ति प्रयोग गरिने वाक्पद्धति हो । उनीहरूले पहिला नै विवाह गरिसकेका स्‍त्रीहरू लाँदैनथे । (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-idiom]])
1:4	k7y9			מֹֽאֲבִיּ֔וֹת	1	नाओमीका छोराहरूले मोआब कुलका स्‍त्रीहरू विवाह गरे । मोआबीहरूले अरू देवाताहरू पुज्थे ।
