Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	m2jl				0	# तीतसको परिचय\n\n## भाग १: सामान्य परिचय\n\n### तीतसको पुस्तकको रूपरेखा\n\n१. पावलले तीतसलाई धर्मी अगुवाहरू चुन्‍नलाई निेर्देशन दिन्छन् (१:१-१६) \n\n२. पावलले मानिसहरूलाई धर्मी जीवन जिउनलाई तालिम दिनको लागि निर्देशन दिन्छन् (२:१-३:११)\n\n ३. पावलले उनका केही योजनाहरू बाँडेर र विभिन्‍न विश्‍वासीहरूलाई अभिवादन पठाएर अन्त गर्छन् (३:१२-१५)\n\n### तीतसको पुस्तक कसले लेखे?\n\nपावलले तीतसको पुस्तक लेखे। पावल टार्सस शहरबाट थिए। अघिल्लो जीवनमा उनी शाउल भनि चिनिन्थे। ख्रीष्टीयन हुनुभन्दा पहिले पावल एक फरिसी थिए। उनले ख्रीष्टीयनहरुलाई सताए। ख्रीष्टीयन भइसकेपछि, उनले रोमी साम्राज्यभरि मानिसहरूलाई येशूको बारेमा सुनाउँदै थुप्रै यात्रहरु यात्रा गरेका थिए। \n\n### तीतसको पुस्तक केको बारेमा हो?\n\nपावलले यो पत्र उनको सङ्गी सेवक, तीतसलाई लेखे, जसले क्रेटको टापूमा भएका मण्‍डलीहरूलाई अगुवाइ गरिरहेका थिए। पावलले उनलाई मण्‍डलीका अगुवाहरू छान्‍ने विषयमा निर्देशन दिए। विश्‍वासीहरूले एक अर्कासँग कसरी व्यवहार गर्नुपर्छ भन्‍ने विषयमा पनि पावलले वर्णन गरे। उनले तिनीहरू सबैलाई परमेश्‍वरलाई प्रसन्‍न तुल्याउने किसिमले जीवन जिउनलाई पनि प्रोत्साहन गरे।\n\n### यस पुस्‍तकको शीर्षकको कसरी अनुवाद हुनुपर्छ?\n\nअनुवादकहरूले यस पुस्तकलाई यसको परम्परागत नाम, “तीतस” भनेर बोलाउन सक्छन्। अथवा तिनीहरूले अझ स्‍पष्‍ट शीर्षक पनि छान्न सक्छन् जस्तै, “तीतसलाई पावलको पत्र” वा “तीतसको लागि एक पत्र”। (हेर्नुहोस्ः [[rc://ne/ta/man/translate/translate-names]])\n\n## भाग २: महत्त्वपूर्ण धार्मिक र सांस्कृतिक अवधारणाहरू\n\n### मानिसहरूले के-के भूमिकाहरूमा मण्‍डलीभित्र सेवा गर्न सक्छन्?\n\nकुनै महिला वा सम्बन्धविच्छेद भएको मानिसले मण्डली भित्र नेतृत्वपनको पदमा रहेर सेवा गर्न मिल्छ कि मिल्दैन भन्ने विषयमा तीतसको पुस्तकमा केही शिक्षाहरू छन्। यस्ता प्रकारका शिक्षाहरूसित बाइबलका विद्दानहरू असहमत छन्। यो पुस्तक अनुवाद गर्नुभन्दा पहिले यस्ता प्रकारका विषयहरूमा थप अध्ययन गर्नु आवश्यक छ। \n\n## भाग ३: अनुवादका महत्त्वपूर्ण विषयहरू\n\n### “तिमी” शब्दको एकवचन र बहुवचन\n\nयस पुस्तकमा, “म” शब्दले पावललाई जनाउँछ। साथै, “तिमी” शब्द ‍प्राय सधैं एकवचन देखिन्छ र त्यसले तीतसलाई जनाउँछ। यसको अपवाद ३:१५ हो। (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-exclusive]] अनि [[rc://ne/ta/man/translate/figs-you]])\n\n###  परमेश्‍वर हाम्रा मुक्तिदाताको अर्थ के हो?\n\nयस पत्रमा यो एउटा सामान्य वाक्यांश हो। परमेश्‍वरले कसरी उहाँको विरुद्धमा पाप गरेको कुराको लागि तिनीहरूलाई ख्रीष्‍टमा क्षमा गर्नुभयो, र उहाँले सबै मानिसहरूको न्याय गर्दा तिनीहरूलाई क्षमा दिएर उहाँले कसरी बचाउनुभयो भन्‍ने कुरा पाठकहरूलाई विचार गर्न लगाउन पावलले खोजेका हुन्। यस पत्रमा भएको त्यस्तै समान वाक्यांश चाहिँ “हाम्रा महान् परमेश्‍वर र उद्धारकर्ता येशू ख्रीष्‍ट” भन्‍ने हो।
1:intro	c7me				0	# तीतस १ सामान्य टिपोटहरू\n\n## संरचना र ढाँचा\n\nपावल औपचारिक रूपमा यो पत्रलाई १-२ पदहरूमा परिचय गराउँछन्। प्राचिन समयमा लेखकहरूले प्राय यहि पत्र लेखन शैलीलाई पछ्याउथे। \n\n६-९ पदहरूमा, कुनै मानिस मण्‍डलीमा एक एल्‍डर हुने हो भने उसमा हुनुपर्ने विभिन्‍न गुणहरूको पावलले सूची बनाउँछन्। (हेर्नुहोस्ः rc://ne/ta/man/translate/figs-abstractnouns) पावलले १ तिमोथी ३ मा त्यस्तै खालको सूची तयार पारेका छन्।\n\n## यस अध्यायमा भएका विशेष अवधारणाहरू\n\n### एल्‍डरहरू\n\nमण्‍डलीले मण्‍डलीका अगुवाहरूका लागि विभिन्‍न शीर्षकहरूको प्रयोग गरेको छ। ती केही शीर्षकहरूमा निरीक्षक, एल्‍डर, पास्‍टर, र बिशप पर्छन् ।\n\n## यस अध्यायमा भएका अनुवादका अन्य सम्भावित कठिनाइहरू\n\n### गर्नुपर्छ, हुनसक्छ, गर्नैपर्छ\n\nयूएलटीले आवश्यकताहरू वा दायित्वहरू सङ्केत गर्ने विभिन्‍न शब्दहरू प्रयोग गर्दछ। यी क्रियापदहरूमा फरक-फरक मात्राको जोड दिइएको हुन्छ। सूक्ष्म भिन्‍नताहरूलाई अनुवाद गर्न कठिन हुन सक्छ। यूएसटीले यी क्रियापदहरूलाई बढी सामान्य किसिमले अनुवाद गर्छ।
1:1	rtc9			κατὰ πίστιν	1	विश्‍वास एक भाववाचक नाम हो। यहाँ यसले येशूमा विश्‍वास गर्नु वा भरोसा गर्नु भन्‍ने बुझाउँछ। यदि यो तपाईंहरूको भाषामा स्पष्ट छ भने, तपाईंहरूले यूसटीमा भएझैं यसलाई यी क्रियाहरूको प्रयोग गरि अनुवाद गर्न सक्नुहुन्छ। वैकल्पिक अनुवाद: "विश्‍वासलाई बलियो बनाउन" वा "तिनिहरूलाई \[परमेश्‍वरका चुनिएका मानिसहरू\] उहाँमाथि थप भरोसा गर्न मदत गर्न" (हेर्नुहोस्: [[rc://*/ta/man/translate/figs-abstractnouns]])
1:1	xyz8		rc://*/ta/man/translate/figs-abstractnouns	ἐπίγνωσιν	1	यहाँ, ज्ञान एक भाववाचक नाम हो। यदि यो तपाईंको भाषामा स्पष्ट छ भने, तपाईं "जान्‍नु" भन्‍ने जस्तो क्रियाको प्रयोग गर्न सक्नुहुन्छ जसरी यूयसटीमा देख्न सकिन्छ। पावल मानिसहरूले परमेश्‍वर र ख्रीष्टको बारेमा सत्य सन्देश जानेको चाहन्छन् ताकि उनीहरूको जीवन जियाई परमेश्‍वरलाई प्रसन्‍न तुल्याओस्। (हेर्नुहोसः [[rc://*/ta/man/translate/figs-abstractnouns]])
1:1	fyf8			τῆς κατ’ εὐσέβειαν	1	यहाँ, धर्मी एक भाववाचक नाम हो जसले परमेश्‍वरलाई प्रसन्‍न तुल्याउने जीवन भनि बुझाउँछ। वैकल्पिक अनुवादः "त्यो परमेश्‍वरलाई आदर गर्ने कुरामा उपयुक्त्त छ।" (हेर्नुहोसः [[rc://*/ta/man/translate/figs-abstractnouns]])
1:2	xyz9			ἐπ’ ἐλπίδι ζωῆς αἰωνίου	1	“जसले हामीलाई अनन्त जीवनको निश्‍चित आशा दिन्छ” वा “अनन्त जीवनको लागि हाम्रो निश्‍चित आशाको आधारमा”
1:2	r2gj			πρὸ χρόνων αἰωνίων	1	“समय सुरू हुनभन्दा अगाडि”
1:3	b22h			καιροῖς ἰδίοις	1	“उचित समयमा”
1:3	swi9		rc://*/ta/man/translate/figs-metaphor	ἐφανέρωσεν & τὸν λόγον αὐτοῦ	1	पावलले परमेश्‍वरको सन्देशको विषयमा यसरी कुरा गर्छन् मानौँ त्यो कुनै वस्तु हो जुन मानिसहरूले देख्‍ने किसिमले प्रदर्शित गराउन मिल्छ। वैकल्‍पिक अनुवादः “उहाँले मलाई उहाँको सन्देश बुझ्‍ने तुल्याउनुभयो” (हेर्नुहोस्ः [[rc://ne/ta/man/translate/figs-metaphor]])
1:3	abc9			ἐν κηρύγματι	1	“सन्देशको घोषणाद्वारा”
