Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	nqla				पावललाई कसले बोलाउनु भयो र उनी के हुन बोलाइएका थिए ?	येशू ख्रीष्टले पावललाई एक प्रेरित हुन बोलाउनु भयो ।
1:3	jx7v				कोरिन्थीका मण्डलीले परमेश्वर हाम्रा पिता र प्रभु येशू ख्रीष्ट द्वारा के पाउने चाहना गर्छन् ?	पावलले चाहना गर्छन् कि तिनीहरूले परमेश्वर हाम्रा पिता र प्रभु येशू ख्रीष्ट द्वारा अनुग्रह र शान्ति पाऊन् ।
1:5	b752				कोरिन्थीका मण्डलीलाई परमेश्वरले कसरी धनी बनाउनुभयो ?	परमेश्वरले तिनीहरूलाई सबै कुरामा, सबै बोलीमा र सबै ज्ञानद्वारा धनी बनाउनुभयो ।
1:7	i6ea				कोरिन्थीको मण्डलीलाई के कुराको खाँचो थिएन ?	तिनीहरूलाई कुनै आत्मिक वरदानको खाँचो थिएन ।
1:8	ytnm				परमेश्वरले किन कोरिन्थीको मण्डलीलाई अन्त्यमा सामर्थ दिनुहुनेछ ?	उहाँले यसो गर्नुहुनेछ जसकारण हाम्रो प्रभु येशू ख्रीष्टको दिनमा उनीहरू दोषरहित हुनेछन् ।
1:10	lj0l				पावलले कोरिन्थीको मण्डलीलाई के गर्ने आग्रह गर्छन् ?	पावलले उनीहरू सबैलाई सहमत हुन र त्यहाँ उनीहरू माझ विभाजन नहुन र एकै विचार र एकै उद्वेश्यले एकसाथ रहिरहन आग्रह गर्छन् 
1:11	u5dr				क्लोयका परिवारले पावललाई के उजुरी गरे ?	कोरिन्थीको मन्डलीका मानिसहरू माझ गुटवन्दीहरू विकास भएको छ भनी क्लोयका परिवारले पावललाई उजुरी गरे ।
1:12	rp73				पावलले गुटवन्दीको अर्थ के भन्छन् ?	पावलले यसो भन्छन् : तिमीहरू प्रत्येकले भन्छौ, "म पावलको हुँ", वा "म अपोल्लोसको हुँ", वा "म केफासको हुँ", वा "म ख्रीष्टको हुँ" ।
1:14-15	ingp				क्रिसपस र गायस वाहेक अरू कसैलाई पनि पावलले बप्तिष्मा नदिएकोमा उनी किन परमेश्वरलाई धन्यवाद चढाउँछन् ?	पावलले यसको निम्ति परमेश्वरलाई धन्यवाद चढाउँछन् किनभने यसले उनीहरूलाई पावलको नाममा बप्तिष्मा भएका भनि भन्ने अवसर दिदैन । 
1:17	cu5v				ख्रीष्टले पावललाई के गर्न पठाउनुभयो ?	ख्रीष्टले पावललाई सुसमाचार प्रचार गर्न पठाउनुभयो ।
1:18	s2sd				मरिरहेकाहरूका लागी क्रुशको सन्देश के हो ?	मरिरहेकाहरूका लागी क्रुशको सन्देश मुर्खता हो ।
1:18	eiti				परमेश्वरले बचाउनुभएकाहरुका लागी क्रुशको सन्देश के हो ?	परमेश्वरले बचाउनुभएकाहरूका लागी यो परमेश्वरको शक्ति हो ।
1:20	rq2l				परमेश्वरले संसारको ज्ञानलाई के मा परिवर्तन गर्नुभयो ?	परमेश्वरले संसारको ज्ञानलाई मुर्खतामा परिव्रतन गर्नुभयो ।.
1:21	kdhv				प्रचारको मुर्खताद्वारा विश्वास गर्नेहरुलाई बचाउदा परमेश्वर किन खुसी हुनुहुन्छ ?	परमेश्वर यसमा खुसी हुनुहुन्छ किनभने संसारले आफ्नो ज्ञानमा परमेश्वरलाई जान्दैन ।
1:26	pics				मानिसको स्तरमा बुद्धिमान वा शक्तिशाली वा महान जन्म भएका कति जनालाई परमेश्वरले बोलाउनुभयो ?	परमेश्वरले त्यस्तोहरु धेरैलाई बोलाउनुभएन ।
1:27	d8pg				परमेश्वरले संसारको मुर्ख कुरा र संसारमा भएको कमजोर मानिएका कुरालाई किन छान्नुभयो ?	बुद्धिमानलाई लज्जित पार्न र बलियोलाई लज्जित पार्न उहाँले यसो गर्नुभयो ।
1:28-29	clpq				परमेश्वरको अघि धमण्ड गर्ने कारण कोहिलाई पनि नदिन उहाँले के गर्नुभयो ?	परमेश्वरले संसारको सबैभन्दा तल्लो र अपमानित र अझ केहि नसम्झिएका कुरालाई छान्नुभयो ।
1:30	w8jn				विश्वासीहरू येशू ख्रिष्टमा किन थिए ?	परमेश्वरले जे गर्नुभयो त्यसकारणले गर्दा उनीहरू येशू ख्रीष्टमा थिए ।
1:30	j8ev				येशू ख्रीष्ट हाम्रो निम्ति के बन्नुभयो ?	उहाँ हाम्रो निम्ति परमेश्वरको ज्ञान-हाम्रो धार्मिकता, पवित्रता र उद्वार बन्नुभयो ।
1:31	inpx				यदि हामी घमण्ड गर्दछौ भने के मा घमण्ड गर्ने ?	घमण्ड गर्नेले प्रभुमा घमण्ड गरोस् ।
2:1	q17d				कोरिन्थीहरूको सामु पावल कस्तो व्यवहारमा आए जब उनले परमेश्वरको रहस्यको घोषणा गरे ?	जब उनले परमेश्वरको रहस्यको घोषणा गरे, पावल रमणिय बोली वा बुद्धिमा प्रस्तुत भएनन् ।
