Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	zmb4				यूहन्‍नालाई जीवनको वचनको बारेमा के थाहा थियो?	यूहन्‍नाले जीवनको वचन सुनेका, देखेका, मनन गरेका र सम्हालेका थिए।
1:2	n05u				यूहन्‍नामा प्रकट हुनु अघि अनन्त जीवन कहाँ थियो?	अनन्त जीवन यूहन्‍नामा प्रकट हुनु अघि पितासँग थियो।
1:3	dkvx				यूहन्‍नाले आफूले देखेका र सुनेका कुराहरू किन घोषणा गरिरहेका छन्?	यूहन्‍नाले आफूले देखेका र सुनेका कुराहरू घोषणा गर्दैछन् ताकि अरूले पनि उनीसँग सङ्गति गर्न सकून्।
1:3	wbwe				यूहन्‍नाको पहिले नै कोसँग सङ्गति छ?	यूहन्‍नासँग पहिले नै पिता र उहाँको पुत्र, येशू ख्रीष्‍टसँग सङ्गति छ।
1:5	e5d4				यूहन्‍नाले आफ्ना पाठकहरूलाई घोषणा गरिरहेकोभएको परमेश्‍वरको सन्देश के हो?	यूहन्‍नाले परमेश्‍वर ज्योति हुनुहुन्छ र उहाँमा कुनै पनि अन्धकार छैन भनी सन्देश घोषणा गर्दैछन्।
1:6	wnfh				परमेश्‍वरसँग सङ्गति छ भन्‍ने तर अन्धकारमा हिँड्ने व्यक्‍तिको बारेमा यूहन्‍नाले के भन्‍छन्?	यूहन्‍ना भन्छन् कि यस्तो व्यक्ति झूटो हो र सत्य व्यवहार गर्दैन।
1:7	q6um				ज्‍योतिमा हिँड्नेहरूका सबै पापहरू केले शुद्ध पार्छ?	येशूको रगतले तिनीहरूलाई सबै पापबाट शुद्ध पार्छ।
1:8	s0mr				यदि हामीमा पाप छैन भनी हामी भन्छौँ भने हामी आफैलाई के गर्छौँ?	यदि हामीमा पाप छैन भनी भन्‍छौँ भने, हामी आफैलाई धोका दिन्छौँ र सत्यता हामीमा हुँदैन।
1:9	ldre				आफ्ना पापहरू स्वीकार गर्नेहरूलाई परमेश्‍वरले के गर्नुहुन्छ?	आफ्ना पापहरू स्वीकार गर्नेहरूका लागि, परमेश्‍वरले तिनीहरूका पापहरू क्षमा गर्नुहुनेछ र तिनीहरूलाई सबै अधर्मबाट शुद्ध पार्नुहुनेछ।
2:2	cwjq				येशू ख्रीष्‍ट कसको लागि तिनीहरूको पापको प्रायश्‍चित हुनुहुन्छ?	येशू ख्रीष्‍ट सारा संसारको पापको लागि प्रायश्‍चित हुनुहुन्छ।
