Reference	ID	Tags	Quote	Occurrence	Question	Response
1:3	jsvo				पावलले थिस्सलोनिकीहरूको बारेमा परमेश्वरको अगाडि के सम्झन्छन्?	पावलले तिनीहरूको विश्वासको काम, तिनीहरूको प्रेमको परिश्रम, र तिनीहरूको आशाको धैर्य सम्झन्छ।
1:5	vb48				थेसलोनिकीहरूमा सुसमाचार कुन चार तरिकामा आयो?	सुसमाचार थिस्सलोनिकीहरूलाई शब्दमा, शक्तिमा, पवित्र आत्मामा र धेरै आश्वासनमा आयो।
1:6	bs88				सुसमाचारको वचन पाएपछि थेसलोनिकीहरूलाई के भइरहेको थियो?	थिस्सलोनिकीहरूले धेरै कठिनाइमा वचन पाए।
1:6	ry9n				सुसमाचारको वचन पाएपछि थिस्सलोनिकीहरूको मनोवृत्ति कस्तो थियो?	थिस्सलोनिकीहरूले पवित्र आत्मामा खुशीसाथ वचन ग्रहण गरे।
1:8	kr5u				थिस्सलोनिकीहरूले यसलाई प्राप्त गरेपछि प्रभुको वचनलाई के भयो?	तिनीहरूको विश्‍वास बाहिर गएको हरेक ठाउँमा परमप्रभुको वचन सुनियो।
1:9	rpj1				थिस्सलोनिकीहरूले साँचो परमेश्‍वरमा विश्‍वासी हुनुअघि केको उपासना गरिरहेका थिए?	थिस्सलोनिकीहरूले साँचो परमेश्‍वरमा विश्‍वास गर्न अघि मूर्तिपूजा गरिरहेका थिए।
1:10	pbgo				पावल र थेसलोनिकीहरू केको लागि पर्खिरहेका थिए?	पावल र थिस्सलोनिकीहरू येशू स्वर्गबाट ​​आउनको लागि पर्खिरहेका थिए।
1:10	cbw4				येशूले हामीलाई केबाट छुटकारा दिनुहुन्छ?	येशूले हामीलाई आउने क्रोधबाट छुटकारा दिनुहुन्छ।
2:2	kue3				थेसलोनिकीहरूमा आउनुअघि पावल र तिनका साथीहरूलाई कस्तो व्यवहार गरिएको थियो?	पावल र तिनका साथीहरूले दुःख भोगेका थिए र लाजमर्दो व्यवहार गरेका थिए।
2:4	xmfg				पावलले आफ्नो सुसमाचार प्रचार गरेर खुसी पार्न चाहने को हो?	पावलले आफ्नो सुसमाचार प्रचार गरेर परमेश्वरलाई खुशी पार्न चाहन्छन्।
2:5-6	lzjy				पावलले सुसमाचार प्रचार गर्दा के गरेनन्?	पावलले चापलुसी प्रयोग गरेनन्, न त मानिसहरूबाट महिमा खोजे।
2:7-8	a4vk				पावलले थिस्सलोनिकीहरूसँग कस्तो व्यवहार गरे?	पावल थिस्सलोनिकीहरूसँग नम्र थिए, जस्तै आमा वा बुबा आफ्ना छोराछोरीहरूसँग।
2:9	pmdp				पावल र तिनका साथीहरूले थेसलोनिकीहरूलाई बोझ नबनाउन के गरे?	पावल र तिनका साथीहरूले दिनरात काम गरे ताकि तिनीहरू थेसलोनिकीहरूका लागि बोझ नबनोस्।
2:11	cqdq				पावलले थिस्सलोनिकीहरूसँग कस्तो व्यवहार गरे?	पावल थिस्सलोनिकीहरूसँग आफ्नो छोराछोरीहरूसँग आमा वा बुबा जस्तै कोमल थिए।
2:12	zklm				पावलले थिस्सलोनिकीहरूलाई कसरी हिँड्नुपर्छ भन्‍नुभयो?	पावलले थिस्सलोनिकीहरूलाई भने कि तिनीहरूले परमेश्वरको लागि योग्यको तरिकामा हिंड्नु पर्छ जसले तिनीहरूलाई आफ्नै राज्य र महिमामा बोलाउनुहुन्छ।
2:13	r3kn				पावलले तिनीहरूलाई प्रचार गरेको सन्देश थेसलोनिकीहरूले कस्तो प्रकारको वचन पाए?	थिस्सलोनिकीहरूले सन्देशलाई परमेश्वरको वचनको रूपमा प्राप्त गरे, मानिसको वचनको रूपमा होइन।
2:14-16	s0f1				अविश्‍वासी यहूदीहरूले परमेश्‍वरलाई मन नपर्ने के गरे?	अविश्वासी यहूदीहरूले यहूदियाका मण्डलीहरूलाई सताए, येशू र अगमवक्ताहरूलाई मारे, पावललाई बाहिर निकाले र पावललाई अन्यजातिहरूसँग बोल्न निषेध गरे।
2:17-18	nj2y				पावलले आफ्नो इच्छा भए पनि किन थिस्सलोनिकीहरूकहाँ आउन सकेनन्?	पावल आउन सकेनन् किनभने शैतानले उनलाई रोकेको थियो।
2:19-20	rv3r				प्रभुको आगमनमा पावलको लागि थेसलोनिकीहरू के हुनेछन्?	थिस्सलोनिकीहरू पावलको आशा, आनन्द र प्रभुको आगमनमा महिमाको मुकुट हुनेछन्।
3:1-2	dx8i				एथेन्समा पछाडी पर्दा पनि पावलले के गरे?	विश्वासीहरूलाई बलियो बनाउन र सान्त्वना दिन पावलले तिमोथीलाई पठाए
