Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	juip				पावल कसरी ख्रीष्‍टको प्रेरित बने?	पावल परमेश्‍वरको इच्छाद्वारा ख्रीष्‍टको प्रेरित बने।
1:2	cu2e				तिमोथीसँगको आफ्नो सम्बन्ध पावलले के हो भन्छन्?	पावलले तिमोथीलाई आफ्नो “प्रिय बालक” भन्छन्।
1:4	adur				पावलले तिमोथीलाई आफ्नो प्रार्थनामा सम्झँदा, पावलले के गर्न खोज्छन्?	पावल तिमोथीलाई हेर्न चाहन्छन्।
1:5	r3x0				तिमोथीको परिवारमा, तिमोथीले गर्नुअघि साँचो विश्‍वास कसलाई थियो?	तिमोथीकी हजुरआमा र आमा दुवैको साँचो विश्‍वास थियो।
1:7	yxac				परमेश्‍वरले तिमोथीलाई कस्तो आत्मा दिनुभयो?	परमेश्‍वरले तिमोथीलाई शक्ति, प्रेम र अनुशासनको आत्मा दिनुभयो।
1:8	ck21				पावलले तिमोथीलाई के नगर्न भन्छन्?	पावलले तिमोथीलाई प्रभुको गवाहीमा लाज नमान्‍न भन्छन्।
1:8	l3hp				पावलले तिमोथीलाई के गर्न भन्छन्?	पावलले तिमोथीलाई पावलसँगै सुसमाचारको लागि कष्‍ट भोग्‍न भन्छन्।
1:9	csqu				परमेश्‍वरको योजना र अनुग्रह हामीलाई कहिले दिइयो?	परमेश्‍वरको योजना र अनुग्रह अनन्त समय भन्दा पहिले हामीलाई दिइएको थियो।
1:10	mokt				परमेश्‍वरले आफ्नो मुक्तिको योजना कसरी प्रकट गर्नुभयो?	परमेश्‍वरको मुक्तिको योजना हाम्रा मुक्तिदाता ख्रीष्‍ट येशूको आगमनद्वारा प्रकट भएको थियो।
1:10	yuw0				जब येशू देखा पर्नुभयो, उहाँले मृत्यु, जीवन र अमरत्वको बारेमा के गर्नुभयो?	येशूले मृत्युको अन्त्य गर्नुभयो, र सुसमाचार मार्फत प्रकाश जीवन र अमरत्वमा ल्याउनुभयो।
1:12	pc5b				पावललाई सुसमाचारको लागि लाज नमान्‍न परमेश्‍वरले उसको लागि के गर्न सक्षम हुनुहुन्छ भनी पावललाई विश्‍वास छ?	पावलले परमेश्‍वरलाई सुम्पेको निक्षेप त्यस दिनसम्म राख्‍न परमेश्‍वर सक्षम हुनुहुन्छ भन्‍ने कुरामा पावल विश्‍वस्त छन्।
1:14	q37c				तिमोथीलाई परमेश्‍वरले दिनुभएको राम्रो निक्षेपलाई के गर्नु पर्छ?	तिमोथीले परमेश्‍वरले उनलाई दिनुभएको राम्रो भण्डारलाई पवित्र आत्माद्वारा सुरक्षित राख्नुपर्छ  ।
1:15	ap2i				पावलका सबै एसियाली साथीहरूले उनलाई के गरे?	एसियामा भएका सबै पावलबाट फर्के।
1:16	pdcf				किन पावलले ओनेसिफोरसको घरानालाई कृपा दिनुहोस् भनेर प्रभुलाई सोध्छन्?	ओनेसिफरसको परिवारलाई कृपा दिनुहोस् भनेर पावलले प्रभुलाई सोध्छन् किनभने ओनेसिफरसले पावललाई स्फूर्ति दिएका थिए र पावलको साङ्‌लाबाट लज्जित भएनन्।
1:17	l6ky				पावल रोममा हुँदा ओनेसिफरसले पावलको लागि के गरे?	ओनेसिफरसले लगनशीलताका साथ पावललाई रोममा खोजे र उनलाई भेट्टाए।
1:18	dvlm				पावलले ओनेसिफरसलाई के प्रदान गर्न प्रभुलाई सोध्छन्?	पावलले ओनेसिफरसलाई कृपा दिनुहोस् भनी प्रभुलाई आग्रह गर्छन्।
2:1	i2hn				तिमोथीलाई बलियो बनाउन के सक्षम छ?	ख्रीष्‍ट येशूमा भएको अनुग्रहले तिमोथीलाई बलियो बनाउन सक्छ।
2:2	ngkd				पावलले सिकाएको सन्देश तिमोथीले कसलाई सुम्पनुपर्ने छ?	तिमोथीले विश्‍वासी मानिसहरूलाई सन्देश सुम्पनुपर्ने छ जसले अरूलाई पनि सिकाउन सक्षम हुनेछन्।
2:4	ai13				तिमोथीलाई द‍ृष्‍टान्तको रूपमा, असल सिपाहीले आफू के कुरामा अल्झाउँनु हुँदैन भनी पावल भन्छन्?	असल सिपाहीले जीवनको मामिलामा आफूलाई अल्झाउँदैन।
2:9	e6ws				तिनले तिमोथीलाई लेख्दा, पावलले परमेश्‍वरको वचन प्रचार गर्दा कस्तो अवस्थामा दुःख भोगिरहेका छन्?	पावलले अपराधीझैँ साङ्लले बाँधेर पीडा भोगिरहेका छन्।
2:9	mcp7				पावलले के बन्धनमा छैन भन्छन्?	परमेश्‍वरको वचन बन्धनमा छैन।
2:10	muxt				पावलले यी सबै कुराहरू किन सहन्छन्?	पावलले परमेश्‍वरले चुनेकाहरूका लागि सबै कुरा सहन्छन्, ताकि तिनीहरूले ख्रीष्‍ट येशूमा भएको मुक्ति प्राप्त गर्न सकून्।
2:12	sof7				सहनेहरूलाई ख्रीष्‍टको प्रतिज्ञा के हो?	सहनेहरूले ख्रीष्‍टसँग राज्य गर्नेछन्।
2:12	z7x8				ख्रीष्‍टलाई इन्कार गर्नेहरूलाई उहाँको चेतावनी के हो?	ख्रीष्‍टलाई अस्वीकार गर्नेहरूलाई ख्रीष्‍टले अस्वीकार गर्नुहुनेछ।
2:14	m99z				तिमोथीले कुन विषयमा मानिसहरूलाई झगडा नगर्न चेतावनी दिन्‍छन्?	तिमोथीले मानिसहरूलाई शब्दहरूको बारेमा झगडा नगर्न चेतावनी दिन्‍छन्, जुन कुनै पनि कामको लागि उपयोगी छैन।
2:18	c1xa				सत्यबाट तर्केर गएका दुई जनाले के झूटो सिद्धान्त बोलेका थिए?	तिनीहरूले पुनरुत्थान पहिले नै भइसकेको थियो भनेका थिए।
2:21	zgf4				विश्‍वासीहरूले हरेक असल कामको लागि आफूलाई कसरी तयार गर्नुपर्छ?	विश्‍वासीहरूले हरेक असल कामको लागि तयार हुनको लागि आफूलाई अनादरजनक प्रयोगबाट सफा गर्नुपर्छ।
2:22	zlbj				तिमोथी केबाट भाग्‍नुपर्छ?	तिमोथी युवावस्थाको अभिलाषाबाट भाग्‍नुपर्छ।
2:24	qfn0				प्रभुको सेवक कस्तो हुनुपर्छ भनी पावलले भन्छन्?	प्रभुको सेवक धैर्यवान, सबैप्रति दयालु र सिकाउन सक्षम हुनुपर्छ।
2:25	cinr				प्रभुको सेवकले उनको विरोध गर्नेहरूलाई कस्तो व्यवहार गर्नुपर्छ?	प्रभुको सेवकले उनको विरोध गर्नेहरूलाई नम्रतामा शिक्षा दिनुपर्छ।
2:26	wwj0				शैतानले अविश्‍वासीहरूसँग के गरेको छ?	शैतानले आफ्नो इच्छाको लागि अविश्‍वासीहरूलाई पासोमा पारेको छ।
3:1	as3z				आखिरी दिनहरूमा के आउनेछ भनेर पावलले भन्छन्?	अन्तिम दिनहरूमा कठिन समय आउनेछ भनी पावलले भन्छन्।
3:2	acgd				आखिरी दिनहरूमा, मानिसहरूले परमेश्‍वरको सट्टामा केलाई प्रेम गर्नेछन्?	आखिरी दिनहरूमा, मानिसहरूले आफैलाई प्रेम गर्नेछन् र परमेश्‍वरको सट्टामा पैसालाई प्रेम गर्नेछन्।
3:4	enkk				आखिरी दिनहरूमा, मानिसहरूले परमेश्‍वरको सट्टामा अरू के कुरालाई प्रेम गर्नेछन्?	आखिरी दिनहरूमा मानिसहरूले  परमेश्‍वरको सट्टामा सुख-विलास प्रेम गर्नेछन्।
3:5	ctco				पावलले तिमोथीलाई भक्तिको एक रूप मात्र भएकाहरूलाई के गर्न भन्छन्?	पावलले तिमोथीलाई भक्तिको मात्र रूप भएकाहरूबाट टाढा रहन भन्छन्।
3:6	voh1				यी केही अधर्मी पुरुषहरूले के गर्छन्?	यी मध्ये केही अधर्मी पुरुषहरू घर-घरमा प्रवेश गर्छन् र विभिन्‍न अभिलाषाहरूले डोऱ्याइएका मूर्ख महिलाहरूलाई मोहित बनाउँछन्।
3:8	rc0e				पुरानो नियममा यान्‍नेस र याम्‍ब्रेस जस्ता अधर्मी मानिसहरू कस्ता छन्?	यी अधर्मी मानिसहरू यान्‍नेस र याम्‍ब्रेसले मोशालाई गरे जस्तै सत्यको विरोध गर्छन्।
3:10	ognl				झूटा शिक्षकहरूको सट्टामा, तिमोथीले कसलाई पछ्याएका छन्?	तिमोथीले पावललाई पछ्याएका छन्।
3:11	sw9a				प्रभुले पावललाई केबाट बचाउनुभयो?	प्रभुले पावललाई तिनका सबै सतावट र कष्‍टहरूबाट  बचाउनुभयो।
3:12	ryy4				ईश्‍वरीय ढंगमा जीवन बिताउन चाहनेहरू सबैलाई के हुनेछ भनी पावल भन्छन्?	पावलले यो भन्छन् कि ईश्‍वरीय ढंगमा जीवन बिताउन चाहनेहरू सबैलाई सताइनेछ।
3:13	hov5				आखिरी दिनहरूमा को खराब हुनेछ?	दुष्‍ट मानिसहरू र ठगहरू आखिरी दिनहरूमा अझ खराब हुनेछन्।
3:15	vwq3				तिमोथीको जीवनमा कुन समयदेखि तिनले पवित्र लेखहरू थाहा पाएका थिए?	तिमोथीलाई बाल्यकालदेखि नै पवित्र लेखहरू थाहा थियो।
3:16	jsbg				सबै धर्मशास्त्र कसरी अस्तित्वमा आयो?	सम्‍पूर्ण धर्मशास्‍त्र परमेश्‍वरको प्रेरणाबाट भएको हो
3:16	gikd				सम्पूर्ण धर्मशास्त्र केको लागि लाभदायक छ?	सम्पूर्ण धर्मशास्त्र सिकाउनलाई, अर्ती दिनलाई, सच्‍याउनलाई, धार्मिकतामा तालीम दिनलाई लाभदायक हुन्‍छ।
3:17	mese				धर्मशास्त्रमा व्यक्तिलाई तालिम दिनुको उद्देश्य के हो?	एक व्यक्तिलाई धर्मशास्त्रमा प्रशिक्षित गरिन्छ ताकि ऊ निपुण होस्, हरेक राम्रो कामको लागि सुसज्जित होस्।
4:1	dkeg				येशू ख्रीष्‍ट कसलाई न्याय गर्न जाँदै हुनुहुन्छ?	येशू ख्रीष्‍टले जीवित र मरेकाहरूको न्याय गर्नुहुनेछ।
4:2	csqn				पावलले तिमोथीलाई के गर्न गम्भीर रूपमा आज्ञा दिए?	पावलले तिमोथीलाई वचन प्रचार गर्न गम्भीरतापूर्वक आज्ञा दिए।
4:3	lcli				पावलले चेतावनी दिए कि समय आउनेछ जब मानिसहरूले शिक्षाको सन्दर्भमा के गर्नेछन्?	मानिसहरूले राम्रो शिक्षा सहने छैनन्, तर तिनीहरूको आफ्नै इच्छाहरूसँग सहमत हुने शिक्षाहरू सुन्‍नेछन्।
4:5	qnoo				तिमोथीलाई के काम र सेवकाई सुम्पिएको थियो?	तिमोथीलाई प्रचारकको काम र सेवकाई दिइएको थियो।
4:6	ez3i				पावलले आफ्नो जीवनमा कुन समय आएको छ भन्‍नुभयो?	पावलले आफ्नो प्रस्थानको समय आएको बताए।
4:8	hop1				ख्रीष्‍टको पुनरागमनलाई प्रिय मान्‍नेहरू सबैले के इनाम पाउनेछन् भनी पावलले बताए?	पावलले भने कि ख्रीष्‍टको पुनरागमनलाई प्रिय मान्‍नेहरू सबैले धार्मिकताको मुकुट पाउनेछन्।
4:10	hz3r				पावलका साथी डेमासले उनलाई किन त्यागे?	डेमासले यस वर्तमान युगलाई प्रेम गरेको कारणले पावललाई छोडे।
4:11	sz0v				पावलको साथमा रहने एक मात्र साथी को थियो?	लूका मात्र पावलसँग थिए।
4:14	jznk				प्रभुले अलेक्ज्याण्डरलाई के अनुसार बदला दिनुहुनेछ भनी पावलले भनेका थिए?	पावलले भने कि प्रभुले अलेक्ज्याण्डरलाई त्सयको काम अनुसार बदला दिनुहुनेछ।
4:16	mw5u				पावलको पहिलो बचावमा कुन-कुन मानिसहरू देखापरे?	पावलको पहिलो बचावमा, कोही पनि पावलसँग देखा परेनन्।
