Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	s9rj				पावलले यस पत्रमा आफूले लेखेका मानिसहरूलाई कसरी वर्णन गर्छन्?	पावलले आफूले लेखेका मानिसहरूलाई सन्तहरूको रूपमा र ख्रीष्‍ट येशूमा विश्‍वास गर्ने व्यक्तिहरूको रूपमा वर्णन गर्छन्।
1:3	c6di				परमेश्‍वर पिताले विश्‍वासीहरूलाई के कुराले आशिष् दिनुभएको छ?	परमेश्‍वर पिताले विश्‍वासीहरूलाई ख्रीष्‍टमा स्वर्गीय स्थानहरूमा हरेक आत्मिक आशिष् दिनुभएको छ।
1:4	eph8				ख्रीष्‍टमा विश्‍वास गर्नेहरूलाई परमेश्‍वर पिताले कहिले चुन्‍नुभयो?	परमेश्‍वर पिताले संसारको उत्पत्ति हुनु अघि ख्रीष्‍टमा विश्‍वास गर्नेहरूलाई चुन्‍नुभयो।
1:4	cgvj				परमेश्‍वर पिताले विश्‍वासीहरूलाई कुन उद्देश्यको लागि चुन्‍नुभयो?	परमेश्‍वर पिताले विश्‍वासीहरूलाई चुन्‍नुभयो ताकि तिनीहरू उहाँको अगाडि पवित्र र निर्दोष हुन सकून्।
1:5	x0f2				किन परमेश्‍वरले विश्‍वासीहरूलाई धर्मपुत्रको लागि अग्रिम नियति दिनुभयो?	परमेश्‍वरले विश्‍वासीहरूलाई पहिले नै नियति दिनुभयो किनभने उहाँ यो गर्न खुशी हुनुहुन्थ्यो।
1:6	a777				किन परमेश्‍वरले विश्‍वासीहरूलाई धर्मपुत्रको लागि अग्रिम नियति दिनुभयो?	उहाँको महिमित अनुग्रहको लागि उहाँको प्रशंसा होस् भनेर परमेश्‍वरले विश्‍वासीहरूलाई अग्रिम नियति दिनुभयो।
1:7	dptl				विश्‍वासीहरूलाई परमेश्‍वरको प्रिय ख्रीष्‍टको रगतद्वारा के पाउँछन्?	विश्‍वासीहरूले छुटकारा पाउँछन्, ख्रीष्‍टको रगतद्वारा तिनीहरूका अपराधहरूको क्षमा।
1:10	q6gc				आफ्नो योजना पूरा गर्ने समय आउँदा परमेश्‍वरले के गर्नुहुन्छ?	परमेश्‍वरले स्वर्ग र पृथ्वीमा भएका सबै थोकलाई ख्रीष्‍टको अधीनमा ल्याउनुहुनेछ।
1:13	m2sm				सत्यको वचन सुनेपछि विश्‍वासीहरूले कस्तो छाप पाए?	विश्‍वासीहरूलाई प्रतिज्ञा गरिएको पवित्र आत्माले छाप लगाइयो।
1:14	e9da				आत्मा के को बैना हुनुहुन्छ?	आत्मा विश्‍वासीहरूको उत्तराधिकारको बैना हुनुहुन्छ।
1:18	wdw4				पावलले एफिसीहरूलाई के बुझ्‍नको लागि आँखा उज्यालो पारिनेछन् भनेर प्रार्थना गर्छन्?	पावलले प्रार्थना गर्छन् कि एफिसीहरू तिनीहरूको बोलावटको आशा र सन्तहरूमा ख्रीष्‍टको उत्तराधिकारको महिमित धन बुझ्‍नको लागि उनीहरूको आँखा उज्यालो पारिनेछन्।
1:20	u36i				अहिले विश्‍वासीहरूमा काम गर्ने शक्तिले ख्रीष्‍टमा के गर्‍यो?	त्यही शक्तिले ख्रीष्‍टलाई मृत्युबाट बौरी उठाएर स्वर्गीय स्थानहरूमा परमेश्‍वरको दाहिने हातमा बसाल्यो।
1:22	nc6y				परमेश्‍वरले ख्रीष्‍टको पाउमुनि के राखिदिनुभएको छ?	परमेश्‍वरले सबै कुरा ख्रीष्‍टको पाउमुनि राखिदिनुभएको छ।
1:22	ybk9				मण्डलीमा ख्रीष्‍टको अख्तियारको स्थान के हो?	ख्रीष्‍ट मण्डलीमा भएका सबै कुराहरूको शिर हुनुहुन्छ।
1:23	zi2i				मण्डली के हो?	मण्डली ख्रीष्‍टको शरीर हो।
2:1	rv6g				सबै अविश्‍वासीहरूको आत्मिक अवस्था कस्तो छ?	सबै अविश्‍वासीहरू आफ्ना अपराध र पापहरूमा मरेका छन्।
2:2	u66r				अनाज्ञाकारिताका सन्तानमा कसले काम गरिरहेको छ?	आकाशको शक्तिको अधिकारीहरूको शासक अनाज्ञाकारिताका छोराहरूमा काम गर्दैछ।
2:3	p8m8				प्रकृति अनुसार, सबै अविश्‍वासीहरू के हुन्?	सबै अविश्‍वासीहरू स्वभावैले क्रोधका सन्तान हुन्।
2:4	cxpy				किन परमेश्‍वर विश्‍वासीहरूप्रति कृपामा धनी हुनुहुन्छ?	उहाँको महान् प्रेमको कारणले गर्दा परमेश्‍वर कृपामा धनी हुनुहुन्छ।
2:5	n3sw				विश्‍वासीहरूले केद्वारा उद्धार पाएका छन्?	विश्‍वासीहरू परमेश्‍वरको कृपाले उद्धार पाएका छन्।
2:6	e4zl				विश्‍वासीहरू कहाँ बसालिएका छन् ?	विश्‍वासीहरू ख्रीष्‍ट येशूसँग स्वर्गीय स्थानहरूमा बसालिएका छन् ।
2:7	i4ud				कुन उद्देश्यको लागि परमेश्‍वरले विश्‍वासीहरूलाई बचाउनुभयो र उठाउनुभयो?	परमेश्‍वरले विश्‍वासीहरूलाई बचाउनुभयो र उठाउनुभयो ताकि आउने युगहरूमा उहाँले विश्‍वासीहरूलाई आफ्नो अनुग्रहको ठूलो धन देखाउनलाई।
2:8	ae42				हामीले कसरी उद्धार पाएका छौँ?	हामीले परमेश्‍वरको वरदानको रूपमा विश्‍वासद्वारा अनुग्रहबाट उद्धार पाएका छौँ।
2:9	rffw				विश्‍वासीले किन घमण्ड गर्नुहुँदैन?	कुनै पनि विश्‍वासीले घमण्ड गर्नुहुँदैन किनभने उसले आफ्नै कामद्वारा उद्धार पाएको छैन।
2:10	fa4e				ख्रीष्‍ट येशूमा विश्‍वास गर्नेहरूलाई परमेश्‍वरले कुन उद्देश्यको लागि सृष्‍टि गर्नुभयो?	ख्रीष्‍ट येशूमा विश्‍वास गर्नेहरूका लागि परमेश्‍वरको उद्देश्य भनेको तिनीहरू असल कामहरूमा हिँड्नु हो।
2:12	cvho				अविश्‍वासी अन्यजातिहरूको आत्मिक अवस्था कस्तो छ?	अविश्‍वासी अन्यजातिहरू ख्रीष्‍टबाट अलग भएका, इस्राएलबाट अलग भएका, करारहरूमा अपरिचित, आशा बिना र परमेश्‍वर बिना छन्।
2:13	bqaq				के कुराले केही अन्यजाति अविश्‍वासीलाई परमेश्‍वरको नजिक ल्याएको छ?	केही अन्यजाति अविश्‍वासीहरूलाई ख्रीष्‍टको रगतले परमेश्‍वरको नजिक ल्याएको छ।
2:14	rg90				ख्रीष्‍टले अन्यजातिहरू र यहूदीहरू बीचको सम्बन्धलाई कसरी परिवर्तन गर्नुभयो?	ख्रीष्‍टलौ विश्‍वास गर्ने अन्यजातिहरू र यहूदीहरूलाई एउटै समूहमा बनाउनुभयो, तिनीहरूलाई विभाजित गर्ने शत्रुतालाई नष्‍ट गर्नुभयो।
2:15	dpj6				यहूदी र अन्यजातिहरूबीच शान्ति स्थापना गर्न ख्रीष्‍टले के खारेज गर्नुभयो?	यहूदीहरू र अन्यजातिहरूबीच शान्ति स्थापना गर्न ख्रीष्‍टले आज्ञा र नियमहरूको व्यवस्था खारेज गर्नुभयो।
2:18	ep5a				कुन माध्यमबाट सबै विश्‍वासीहरूको पहुँच पितामा हुन्छ?	सबै विश्‍वासीहरूले पवित्र आत्माद्वारा पितामा पहुँच पाउन सक्छन्।
2:20	lv8o				परमेश्‍वरको परिवार केको जगमाथि निर्माण गरिएको छ?	परमेश्‍वरको परिवार प्रेरितहरू र अगमवक्ताहरूको जगमाथि निर्माण गरिएको छ, ख्रीष्‍ट येशू कुने-ढुङ्गो भईकन।
2:21	u5xp				विश्‍वासीहरू कस्तो मन्दिर बनिरहेका छन्?	तिनीहरू परमप्रभुको पवित्र मन्दिर बनिरहेका छन्।
2:22	d49d				आत्मामा परमेश्‍वर कहाँ वास गर्नुहुन्छ?	परमेश्‍वर विश्‍वासीहरूमा आत्मामा वास गर्नुहुन्छ।
3:2	vu26				कसको फाइदाको लागि परमेश्‍वरले पावललाई आफ्नो जिम्मेवारीको पद दिनुभयो?	परमेश्‍वरले पावललाई अन्यजातिहरूको फाइदाको लागि आफ्नो जिम्मेवारीको पद दिनुभयो।
3:3	jffu				पावललाई के थाहा गराइयो?	रहस्यको बारेमा पावललाई प्रकट गराइएको थियो
