Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	bh82				पावल कसरी प्रेरित भए?	पावल येशू ख्रीष्ट र परमेश्वर पिता मार्फत प्रेरित हुनुभयो।
1:4	q9lg				येशू ख्रीष्टमा विश्वास गर्नेहरू केबाट छुटकारा पाएका छन्?	येशू ख्रीष्टमा विश्वास गर्नेहरू यस वर्तमान दुष्ट युगबाट छुटकारा पाएका छन्।
1:6	et4q				गलातियाको मण्डलीसँग पावल के छक्क पर्छन्?	पावल छक्क पर्छन् कि तिनीहरू यति चाँडै फरक सुसमाचारमा फर्किरहेका छन्।
1:7	nnd7				त्यहाँ कतिवटा साँचो सुसमाचारहरू छन्?	त्यहाँ एउटा मात्र साँचो सुसमाचार छ, ख्रीष्टको सुसमाचार।
1:8-9	duup				ख्रीष्टको सुसमाचार भन्दा फरक सुसमाचार घोषणा गर्ने जो कोहीलाई के हुनुपर्छ भनी पावल भन्छन्?	पावल भन्छन् कि जो कोहीले पनि फरक सुसमाचारको घोषणा गर्छ उसलाई श्राप दिनुपर्छ।
1:10	hguy				ख्रीष्टका सेवकहरूले पहिले कसको अनुमोदन खोज्नुपर्छ?	ख्रीष्टका सेवकहरूले पहिले परमेश्वरको अनुमोदन खोज्नुपर्छ।
1:12	etbx				पावलले ख्रीष्टको सुसमाचारको ज्ञान कसरी पाए?	पावलले ख्रीष्टको सुसमाचार येशू ख्रीष्टबाट सीधै आफैंमा प्रकट गरे।
1:13-14	fmu8				ख्रीष्टको सुसमाचारको प्रकाश प्राप्त गर्नु अघि पावलले आफ्नो जीवनमा के गर्दै थिए?	पावल जोसका साथ यहूदी धर्म पछ्याउँदै थिए, परमेश्वरको मण्डलीलाई सताउँदै र यसलाई नष्ट गर्दै।
1:15	ws4e				परमेश्‍वरले पावललाई आफ्नो प्रेरितको रूपमा कहिले रोज्नुभयो?	आफ्नी आमाको गर्भबाट पावललाई उहाँको प्रेरितको रूपमा छान्न परमेश्वर खुसी हुनुभयो।
1:16	gv0o				कुन उद्देश्यको लागि परमेश्वरले पावललाई आफ्नो प्रेरितको रूपमा छान्नुभयो?	परमेश्वरले पावललाई आफ्नो प्रेरितको रूपमा चुन्नुभयो ताकि पावलले अन्यजातिहरूका बीचमा ख्रीष्टको घोषणा गरोस्।
