Reference	ID	Tags	Quote	Occurrence	Question	Response
1:2	blwz				यहोवाले योनालाई के गर्न भन्‍नुभयो?	यहोवाले योनालाई निनवेमा गएर यसको विरुद्धमा बोल्न भन्‍नुभयो।
1:3	dxw8				यहोवाले योनालाई निनवे जान भन्‍नुभएपछि तिनले के गरे?	योना परमप्रभुको सामुन्‍नेबाट टार्सिशमा भाग्‍नलाई उठे।
1:4	giq9				योना चढेको जहाजलाई यहोवाले के गर्नुभयो?	परमप्रभुले समुद्रमा ठुलो बतास र ठुलो आँधी पठाउनुभयो त्यसैले जहाज भाँचिनै लागेको थियो।
1:5	ha1u				आँधीबेहरीको बीचमा नावीकहरूले कसलाई पुकारा गरे?	नावीकहरू धेरै डराए र प्रत्येकले आ-आफ्नो देवतालाई पुकारा गरे।
1:7	d5p0				दुष्‍टताको कारण को हो भनेर नावीकहरूले कसरी निर्धारण गरे?	नाविकहरूले दुष्‍टताको कारण निर्धारण गर्न चिट्‍ठा हाले र चिट्‌ठाले योनालाई संकेत गर्‍यो।
1:7	nq7x				चिट्‍ठा हाल्दा को नतिजा के आयो ?	नतिजा यो थियो कि चिट्ठाले संकेत गर्यो कि तिनीहरूले भोगिरहेका दुष्‍टताको कारण योना थिए।
1:10	lrxa				योना यहोवाको सामुबाट भाग्दै थिए भनेर नावीकहरूले कसरी थाहा पाए?	योनाले तिनीहरूलाई भनेकाो कारणले योना यहोवाको सामुबाट भाग्दै थिए भनी नावीकहरूलाई थाहा भयो।
1:12	gzco				आँधी रोक्न योनाले मानिसहरूलाई के गर्न भने?	योनाले मानिसहरूलाई उनलाई उठाएर समुद्रमा फालिदिनु भने।
1:14	oj0q				नावीकहरूले यहोवालाई कुन दुईवटा बिन्ती गरे?	नावीकहरूले योनाको जीवनको कारणले तिनीहरूलाई नाश हुन नदिनुहोस् र योनाको मृत्युको लागि तिनीहरूलाई दोषी ठहराउन नदिनुहोस् भनी यहोवालाई बिन्ती गरे।
1:15	d8hq				नावीकहरूले योनालाई समुद्रमा फालेपछि के भयो?	जब नावीकहरूले योनालाई समुद्रमा फ्याँकिदिए, तब समुद्र उग्र हुन बन्द भयो।
1:17	mcoe				योनालाई नावीकहरूले समुद्रमा फ्याँक्दा योनालाई के भयो?	योनालाई निल्न परमप्रभुले एउटा ठूलो माछा नियुक्त गर्नुभयो, र योना तीन दिन र तीन रात माछाको पेटमा रहे।
2:1	lrhn				योनाले माछाको पेटमा के गरे?	योनाले प्रार्थनामा यहोवालाई पुकारे किनभने तिनी दुःखी थिए।
2:4	fmx8				योनाले फेरि के गर्न सक्ने आशा गरे?	योनाले आशा गरे कि तिनले फेरि यहोवाको पवित्र मन्दिरतिर हेर्न सक्ने छन्।
2:6	be1v				यहोवाले योनाको जीवन कहाँबाट ल्याउनुभयो?	यहोवाले योनाको जीवन खाल्डोबाट माथि ल्याउनुभयो।
2:8	r1yj				योनाले ​खाली व्यर्थका कुराहरूमा ध्यान दिनेहरूलाई के हुन्छ भने?	योनाले भने कि खाली व्यर्थका कुराहरूमा ध्यान दिनेहरूले आफ्नो करारको विश्‍वासयोग्यता त्याग्छन्।
2:9	hegm				जब योनाले माछाको पेटमा प्रार्थना गरे, उहाँले के गर्नुहुन्छ भनेर योनाले भने?	योनाले धन्यवादको स्वरमा यहोवालाई बलिदान दिने र आफूले गरेको भाकल पूरा गर्ने बताए।
2:9	vfdn				योनाले उद्धार कसको हो भने?	योनाले भने कि उद्धार यहोवाको हो।
2:10	vegq				योनाको प्रार्थनालाई यहोवाले कसरी जवाफ दिनुभयो?	यहोवाले माछासँग बोल्नुभयो र त्यसले योनालाई सुख्खा जमिनमा उकेलिदियो।
3:2	mo64				यहोवाले योनालाई दोस्रो पटक के गर्न आज्ञा दिनुभयो?	यहोवाले योनालाई निनवेमा गएर यहोवाको सन्देश बोल्न आज्ञा दिनुभयो।
3:3	ywq3				योनालाई दोस्रो पटक यहोवाले निनवे जान भन्‍नुभएपछि कस्तो प्रतिक्रिया दिए?	योनाले यहोवाको आज्ञा पालन गरे र निनवे गए।
3:4	j4sh				योनाले निनवेमा के सन्देश बोले?	योनाले भने कि ४० दिनमा निनवेलाई नष्‍ट गरिनेछ।
3:8	cr31				योनाले प्रचार गरेको यहोवाको सन्देशलाई निनवेवासीहरूले कस्तो प्रतिक्रिया दिए?	निनवेवासीहरूले परमेश्‍वरमा विश्‍वास गरे, उपवास बसे र भाङ्‌ग्रा लगाए। निनवेका राजाले कुनै पनि व्यक्ति वा जनावरले खानु वा पानी पिउनु हुँदैन र प्रत्येक व्यक्ति र जनावर भाङ्‌ग्राले ढाकिनुपर्छ र प्रत्येक व्यक्तिले परमेश्‍वरलाई पुकारा गर्नुपर्छ र हिंसात्मक कार्यहरूलगायत दुष्‍ट कामहरू गर्न बन्द गर्नुपर्छ भनी आदेश दिनुभयो।
3:9	ic9v				निनवेका राजाले निनवे र सहरका मानिसहरूको लागि कस्तो आशा राखेका थिए?	निनवेका राजाले आशा गरे कि परमेश्‍वरले आफ्नो क्रोधबाट फर्केर तिनीहरूमाथि दया देखाउनुहुन्छ ताकि निनवेका मानिसहरू नष्‍ट नहोस्।
3:10	cr91				निनवेवासीहरूको पश्‍चत्तापप्रति परमेश्‍वरले कस्तो प्रतिक्रिया दिनुभयो?	परमेश्‍वरले तिनीहरूका कामहरू देख्नुभयो, कि तिनीहरू तिनीहरूका दुष्‍ट मार्गहरूबाट फर्किए। अनि परमेश्‍वरले तिनीहरूलाई गर्नुहुनेछ भनी भन्‍नु भएको दुष्‍टताको सम्बन्धमा पश्‍चत्ताप गर्नुभयो र उहाँले त्यसो गर्नुभएन।
4:1	jock				योना किन रिसाए?	योना रिसाए किनभने योनालाई यो ठूलो दुष्‍ट जस्तो लाग्थ्यो कि यहोवाले निनवेवासीहरूलाई दया गर्नुभयो र तिनीहरूलाई दण्ड दिनुभएन।
4:2	hsra				योनाले तर्शीशमा भाग्‍न खोजेको कुरा किन भने?	योनाले भने कि उनी तर्शीशमा भाग्‍न खोजेका थिए किनभने उनलाई थाहा थियो कि यहोवा एक अनुग्रहकारी र करुणामय परमेश्‍वर हुनुहुन्छ, क्रोध गर्नमा ढिलो र करारको विश्‍वासयोग्यतामा प्रचुर  हुनुहुन्छ, र दुष्‍टताबाट शान्त हुनुहुन्छ।
4:3	j567				योनाले यहोवालाई उनालाई के गर्न आग्रह गरे?	योनाले आफ्नो ज्यान लिन यहोवालाई आग्रह गरे।
4:4	iine				यहोवाले योनालाई कस्तो प्रश्‍न सोध्नुभयो?	यहोवाले योनालाई सोध्नुभयो कि योनालाई क्रोधित हुनु ठीक थियो।
4:5	xyqt				योना किन सहरबाट बाहिर गएर सहरतिर फर्केर बसे?	योना निनवे सहरमा के हुन्छ भनी हेर्न चाहन्थे।
4:6	fm3z				योना सहरबाहिर बस्दा यहोवाले के गर्नुभयो?	यहोवाले योनाको टाउकोको लागि छायाको रूपमा एउटा बोट हुर्काउनुभयो।
4:7	fv7d				योनालाई छाया दिने बोटलाई यहोवाले के गर्नुभयो?	भोलिपल्ट बिहानको उदयमा परमेश्‍वरले एक कीरा नियुक्त गर्नुभयो; अनि त्यसले बिरुवालाई आक्रमण गर्यो, र त्यो ओइलियो।
4:9	hugp				यहोवाले त्यो बोट ओइलाएपछि र योनामा पूर्वको तातो बतास चलाइएपछि यहोवाले योनालाई के प्रश्‍न सोध्नुभयो?	यहोवाले योनालाई सो बोटको बारेमा रिसाउनु उचित हो कि भनेर सोध्नुभयो।
4:10	hw50				छाया दिने बोट ओइलाएर मर्दा योनालाई कस्तो लाग्यो?	योनाले सुकेको र मरेको बोटको लागि दया महसुस गरे।
4:11	sibk				यहोवाले कसको लागि दया देखाउनुभयो?	यहोवाले निनवेका मानिसहरू र जनावरहरूप्रति दया देखाउनुभयो।
