Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	zlc0				यहूदा कसको सेवक थियो?	यहूदा येशू ख्रीष्टको सेवक थियो।
1:1	dbbd				यहूदाको भाइ को थियो?	याकूब यहूदाका भाइ थिए।
1:1	i090				यहूदाले कसलाई लेखे?	उहाँले बोलाइएकाहरूलाई लेख्नुभयो, जो परमेश्वर पितामा प्रिय थिए, र येशू ख्रीष्टको लागि राखिएका थिए।
1:2	t12h				यहूदाले आफूले लेखेकाहरूलाई के गुणा गर्न चाहन्थे?	यहूदा दया, शान्ति र प्रेम बढेको चाहन्थे।
1:3	t5qi				यहूदाले पहिलो पटक के लेख्न चाहन्थे?	यहूदा पहिले तिनीहरूको साझा मुक्तिको बारेमा लेख्न चाहन्थे।
1:3	coa8				यहूदाले वास्तवमा के लेखे?	यहूदाले वास्तवमा सन्तहरूको विश्वासको लागि संघर्ष गर्नुपर्ने आवश्यकताको बारेमा लेखेका थिए।
1:4	xc1t				केही दोषी र अधर्मी मानिसहरू कसरी आए?	केही निन्दित र अधर्मी मानिसहरू लुकेर आए।
1:4	ctd5				दोषी र अधर्मी मानिसहरूले के गरे?	तिनीहरूले परमेश्वरको अनुग्रहलाई यौन अनैतिकतामा परिवर्तन गरे र येशू ख्रीष्टलाई अस्वीकार गरे।
1:5	m9sd				एक पटक प्रभुले मानिसहरूलाई कहाँबाट बचाउनुभयो?	परमप्रभुले तिनीहरूलाई मिश्र देशबाट बचाउनु भयो।
1:5	hcc5				विश्वास नगर्ने मानिसहरूलाई परमप्रभुले के गर्नुभयो?	विश्वास नगर्ने मानिसहरूलाई परमप्रभुले नष्ट गर्नुभयो।
1:6	ch4p				आफ्नो उचित स्थान छोड्ने स्वर्गदूतहरूलाई प्रभुले के गर्नुभयो?	न्यायको लागि परमप्रभुले तिनीहरूलाई अन्धकारमा साङ्लोमा बाँध्नुभयो।
1:7	j0lf				सदोम, गमोरा र वरपरका सहरहरूले के गरे?	तिनीहरूले व्यभिचार गरे र अप्राकृतिक इच्छाहरूको पछि लागे।
1:8	zdpy				सदोम, गमोरा र वरपरका सहरहरू जस्तै, दोषी र अधर्मी मानिसहरूले के गर्छन्?	तिनीहरू सपनामा आफ्नो शरीरलाई अपवित्र बनाउँछन्, अख्तियारलाई अस्वीकार गर्छन् र खराब कुराहरू बोल्छन्।
1:9	qhrw				प्रधान दूत माइकलले शैतानलाई के भने?	प्रधान दूत माइकलले भने, "परमप्रभुले तिमीलाई हप्काऊन्।"
1:12	tntd				दोषी र अधर्मी मानिसहरूले निर्लज्ज रूपमा कसको हेरचाह गर्छन्?	तिनीहरू निर्लज्ज रूपमा आफ्नो हेरचाह गर्छन्।
1:14	rzvf				हनोक आदमको लाइनमा कुन कुन थियो ?	हनोक आदमको पङ्क्तिमा सातौं थिए।
1:15	f0ib				प्रभुले कसलाई न्याय गर्नुहुनेछ?	परमप्रभुले सबै मानिसहरूमाथि न्याय गर्नुहुनेछ।
1:16	olau				दोषी ठहरिने अधर्मी पुरुषहरू को हुन्?	बडबड गर्नेहरू, गुनासो गर्नेहरू, आफ्ना खराब इच्छाहरू पछ्याउनेहरू, चर्को घमण्ड गर्नेहरू र व्यक्तिगत फाइदाको लागि प्रशंसा गर्नेहरू अधर्मी मानिसहरू हुन् जो दोषी ठहरिनेछन्।
1:17	un2i				विगतमा ठट्टा गर्नेहरूको बारेमा कसले बोल्यो?	प्रभु येशू ख्रीष्टका प्रेरितहरूले विगतमा गिल्ला गर्नेहरूको बारेमा शब्दहरू बोलेका थिए।
1:19	s41h				आफ्नै अधर्मी अभिलाषाको पछि लाग्ने, विभाजन ल्याउने र कामुक हुने गिल्ला गर्नेहरूको बारेमा के हो?	तिनीहरूसँग पवित्र आत्मा छैन।
1:20	ph3n				प्रेमीहरूले कसरी आफूलाई निर्माण र प्रार्थना गरिरहेका थिए?	प्रियजनहरूले आफ्नो सबैभन्दा पवित्र विश्वासमा आफूलाई निर्माण गरिरहेका थिए, र पवित्र आत्मामा प्रार्थना गरिरहेका थिए।
1:21	xqvv				आफूलाई भित्र राख्न र खोज्ने प्रिय के थियो?	प्रियहरूले आफूलाई भित्र राख्नुपर्ने थियो र परमेश्वरको प्रेम र प्रभु येशू ख्रीष्टको कृपा खोज्नुपर्छ।
1:22-23	co8y				कसलाई बचाउनु थियो प्रिय?	मायालुले मासुले देखेको लुगा लगाएर आगोमा परेकाहरूलाई बचाउनु पर्ने थियो।
1:24-25	k9o9				प्रभु येशू ख्रीष्टद्वारा तिनीहरूका मुक्तिदाता परमेश्‍वरले के गर्न सक्नुहुन्थ्यो?	परमेश्‍वरले तिनीहरूलाई ठेस लाग्नबाट जोगाउन र उहाँको महिमाको उपस्थितिको सामु निर्दोष राख्न सक्षम हुनुहुन्थ्यो।
1:25	lrs1				हाम्रा प्रभु येशू ख्रीष्ट मार्फत हाम्रा मुक्तिदाता एकमात्र परमेश्वरलाई के-के कुराहरू दिनुपर्छ?	हाम्रा प्रभु येशू ख्रीष्टद्वारा हाम्रा मुक्तिदाता एकमात्र परमेश्वरलाई महिमा, महिमा, शक्ति र अधिकार होस्।
1:25	boa6				परमेश्वरको महिमा कहिले भयो ?	परमेश्‍वरको महिमा पहिलेदेखि, अहिले र सदासर्वदा थियो।
