Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	jbuh				कुन उद्देश्यको निम्ति परमप्रभुले जाति-जातिहरूका बिचमा आफ्नो संदेशवाहक पठाउनुभयो?	एदोमको विरुद्धमा लडाइँ गर्न जाति-जातिहरूलाई खडा गराउन  परमप्रभुले जातिहरूका बीचमा संदेशवाहक पठाउनुभयो।
1:3	en3z				एदोमीहरूको पापहरू मध्येको एउटा पाप के थियो?	एदोमीहरूको हृदयमा घमण्ड थियो र तिनीहरूलाई जमिनमा खसाल्न कसैले सक्दैन भनी विश्वास गरेका थिए ।
1:7	j69d				एदोमको विरुद्धमा कसले धोका दिनेछ र  विजयी हुनेछ?	एदोमसँग शान्तिको गठबन्धन गरेका मानिसहरूले धोका दिनेछन् र एदोममाथि विजयी हुनेछन्।
1:10	czzd				एदोम किन शर्मले ढाकिनेछ र सदाको निम्ति नष्ट हुनेछ?	एदोमले आफ्नो भाइ याकूबको विरुद्धमा गरेको हिंसाको कारणले गर्दा एदोम शर्मले ढाकिनेछ र सदाको निम्ति नष्ट हुनेछ।
1:11	uac1				एदोम याकूबबाट टाढिएको दिनमा के भयो?	त्यस दिन, अपरिचितहरू याकूबको मूलढोकाभित्र पसे र त्यसको सम्पत्ति कब्जामा लिए।
1:12	qrkh				यहूदाको संकटको दिनमा परमप्रभुले एदोमलाई यहूदाको विषयमा के नगर्न भन्नुभयो?	एदोमले तिनीहरूको हेंला गर्नु हुँदैनथ्यो, रमाउनु हुँदैनथ्यो, वा घमण्डसित बोल्नु हुँदैनथ्यो भनी परमप्रभुले भन्नुभयो।
1:13	gyzl				यहूदाको विपत्तिको दिनमा परमप्रभुले एदोमलाई यहूदाको विषयमा के नगर्न भन्नुभयो?	यहूदाको विपत्तिको दिनमा एदोमले यहूदाका ढोकाहरूबाट भित्र पस्नु हुँदैनथ्यो, रमाउनु हुँदैनथ्यो, वा यहूदाको सम्पत्ति लुट्नुहुँदैनथ्यो भनी परमप्रभुले भन्नुभयो।
1:15	kln2				एदोमको थाप्लोमा के फर्की आउनेछ भनी परमप्रभुले भन्नुभयो?	एदोमको बदला एदोमको थाप्लोमा नै फर्कि आउनेछ भनी परमप्रभुले भन्नुभयो ।
1:17	jfvi				यहूदाको सङ्कटको बाबजुद सियोन पर्वतका कोही-कोहीले के गर्न सक्थे?	सियोन पर्वतका कोही-कोही यहूदाको संकटको बाबजुद पनि बाँच्न सक्षम हुनेछन्।
1:18	jrzm				एदोमका कति जना मानिसहरू परमप्रभुको न्यायबाट बाँच्नेछन्?	परमप्रभुको न्याय पछि एदोममा बाँचेको कोही पनि हुने छैनन्।
1:19	i018				एसावको डाँडालाई कसले अधिकार गर्नेछ?	नेगेवका मानिसहरूले एसावको डाँडालाई अधिकार गर्नेछन्।
1:21	wjre				एसावको डाँडालाई कहाँबाट न्याय गरिन्छ?	एसावको डाँडालाई सियोन पर्वतबाट न्याय गरिनेछ।
