Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	j4tb				पावलले यो पत्र लेख्दा कहाँ छन् ?	पावलले यो पत्र लेख्दा जेलमा छन्।
1:1	uc8d				यो पत्र कसलाई लेखिएको हो?	यो पत्र पावलका प्रिय मित्र र सहकर्मी फिलेमोनलाई लेखिएको हो।
1:2	l9of				मण्डली सभा कुन ठाउँमा हुन्छ?	मण्डली घरमा भेला हुन्छ।
1:5	w3it				पावलले फिलेमोनबारे कस्ता राम्रा गुणहरू सुनेका छन्?	पावलले फिलेमोनको प्रेम, प्रभुमा विश्वास र सबै सन्तहरूप्रतिको विश्वासको बारेमा सुनेका छन्।
1:7	nrj7				पावलका अनुसार फिलेमोनले सन्तहरूको लागि के गरेका छन्?	फिलेमोनले सन्तहरूको हृदयलाई ताजा पारेको छ।
1:9	rljm				किन पावलले फिलेमोनलाई आज्ञा दिनुको सट्टा केही मागेको छ?	पावलले फिलेमोनलाई प्रेमको कारण सोधिरहेका छन्।
1:10	chck				पावलले ओनेसिमसलाई के बोलाए?	पावलले ओनेसिमसलाई आफ्नो बच्चा भने।
1:10	uld7				ओनेसिमसको बुबा हुँदा पावल कहाँ थिए?	पावल साङ्लोले बाँधेर जेलमा थिए।
1:12	n1m6				पावलले ओनेसिमसलाई के गरे?	पावलले ओनेसिमसलाई फिलेमोनकहाँ फिर्ता पठाए।
1:13	ur59				पावलले यो पत्र लेख्दा कहाँ छ?	पावलले यो पत्र लेख्दा जेलमा छन्।
1:13	vfsf				ओनेसिमसले के गर्न पाएको पावल चाहन्छन्?	पावलले ओनेसिमसले उनलाई मद्दत गर्न सक्षम भएको चाहन्छ।
1:14	ev0c				किन पावल फिलेमोनको सहमति बिना काम गर्न चाहँदैनन्?	पावलले फिलेमोनको असल कामलाई उसको आफ्नै रोजाइ होस् र पावलको कार्यले उसलाई जबरजस्ती नगरेको चाहन्थे।
1:15	lrs0				ओनेसिमस फिलेमोनबाट अलग भएको हुनसक्छ भनी पावलले किन भने?	पावलले भने कि ओनेसिमस फिलेमोनबाट अलग भएको हुन सक्छ ताकि फिलेमोनले उनलाई सदाको लागि फिर्ता पाउन सकोस्, जसको अर्थ ख्रीष्टमा अनन्त भाइको रूपमा हो।
1:16-17	bf75				फिलेमोनले ओनेसिमसलाई कसरी विचार गरेको पावल अब चाहन्छन्?	पावल फिलेमोनले ओनेसिमसलाई प्रिय भाइको रूपमा मान्न चाहन्छन्।
1:18	rxt0				ओनेसिमसले फिलेमोनलाई दिने कुनै पनि कुरामा पावल फिलेमोनले के गरोस् भन्ने चाहन्छन्?	पावलले फिलेमोनलाई पावलको खातामा ओनेसिमसको कुनै पनि ऋण तिर्न चाहन्छन्।
1:19	gkdl				फिलेमोनले पावललाई के दिनु हुन्छ?	फिलेमोनले पावललाई आफ्नो जीवनको ऋणी छ।
1:22	ku0t				फिलेमोनले आफ्नो लागि के गरेको पावल चाहन्छन्?	पावल फिलेमोनले आफ्नो लागि अतिथि कोठा तयार गरोस् भन्ने चाहन्छन्।
1:22	th25				फिलेमोनले किन यसो गरेको पावल चाहन्छन्?	परमेश्वरले उनलाई फिलेमोनमा फिर्ता पठाउनुहुनेछ भनी पावलले आशा राख्छन्।
