Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	v5pt				पावलले यो पत्र कसलाई सम्बोधन गरे?	पावलले यो पत्र फिलिप्पीमा ख्रीष्ट येशूमा अलग भएका सबै मानिसहरूलाई सम्बोधन गरे, जसमा निरीक्षकहरू र डिकनहरू पनि थिए।
1:5	g0p6				फिलिप्पीवासीहरूका लागि पावलले परमेश्वरलाई केको लागि धन्यवाद दिए?	पहिलो दिनदेखि अहिलेसम्म सुसमाचारमा फिलिप्पीहरूको संगतिको लागि पावलले परमेश्वरलाई धन्यवाद दिए।
1:6	qyug				फिलिप्पीहरूको सन्दर्भमा पावल कुन कुरामा विश्वस्त थिए?	तिनीहरूमा असल काम सुरु गर्नुहुनेले पूरा गर्नुहुनेछ भनी पावल विश्वस्त थिए।
1:7	nn5a				फिलिप्पीहरू पावलका साझेदारहरू केमा थिए?	पावलको कैदमा, र उनको रक्षा र सुसमाचारको पुष्टिमा, फिलिप्पीहरू उनका साझेदार थिए।
1:9	i559				पावलले फिलिप्पीवासीहरूमाझ झन्‌-झन्‌ बढ्‌ने कुरा के होस्‌ भनेर प्रार्थना गरे?	फिलिप्पीहरूबीच प्रेम झन्‌-झन्‌ बढ्दै जाओस्‌ भनी पावलले प्रार्थना गरे।
1:11	pzs8				फिलिप्पीवासीहरूके संग भरिपूर्ण होस् भनी पावल  चाहन्थे?	फिलिप्पीहरू धार्मिकताका फलहरूले भरिपूर्ण होस् भनी पावलले चाहन्थे।
1:12-14	gdhi				पावलको कैदले सुसमाचारलाई कसरी अगाडि बढाएको थियो?	ख्रीष्टको लागि पावलको कैदको बारेमा व्यापक रूपमा परिचित भएको थियो, र धेरैजसो भाइहरू अहिले धेरै साहसका साथ बोलिरहेका थिए।
1:17	qqp5				किन कसै-कसैले स्वार्थी र निष्ठाहीन मनसायले ख्रीष्टको घोषणा गरिरहेका थिए?	कसै-कसैले झ्यालखानामा पावलको पीडा थप्दैछन् भनी सोचेर स्वार्थी र निष्कपट मनसायले ख्रीष्टको घोषणा गरिरहेका थिए।
1:18	m7cv				ख्रीष्टको निष्कपट र निष्कपट प्रचारप्रति पावलको प्रतिक्रिया कस्तो थियो?	कुनै पनि तरिकाले, ख्रीष्टको घोषणा गरिँदै थियो भन्ने कुरामा पावल आनन्दित भए।
1:20	mwia				पावल जीवनमा वा मृत्युद्वारा के गर्न चाहन्थे?	पावलले जीवनमा वा मृत्युद्वारा ख्रीष्टलाई महिमा ल्याउन चाहन्थे।
1:21	ssns				पावलले भनेका थिए कि बाँच्नु के हो र मर्नु के हो?	पावलले भने कि बाँच्नु ख्रीष्ट हो, र मर्नु लाभ हो।
1:22-24	vjr2				कुन छनौटहरूले पावललाई विभिन्न दिशामा ताने?	मृत्युमा ख्रीष्टसँगै बस्ने वा आफ्नो परिश्रम जारी राख्न शरीरमा रहने छनौटहरूद्वारा पावल तानिए।
1:25	wciu				पावल कुन उद्देश्यका लागि फिलिप्पीहरूसँग रहनेछन् भनेर विश्वस्त थिए?	पावल विश्‍वस्त थिए कि उहाँ फिलिप्पीहरूको प्रगति र विश्‍वासमा आनन्दको लागि तिनीहरूसँगै रहनेछन्।
1:27	zd8v				फिलिप्पीहरूसँग होस् वा तिनीहरूबाट टाढा, पावल फिलिप्पीहरूको बारेमा के सुन्न चाहन्थे?	पावल सुन्न चाहन्थे कि फिलिप्पीहरू एउटै आत्मामा अडिग छन्, एउटै आत्माले सुसमाचारको विश्वासको लागि एकसाथ प्रयास गरिरहेका छन्।
1:28	qv5m				फिलिप्पीहरू तिनीहरूको विरोध गर्नेहरूसित डराउँदैनन्‌, त्यो के संकेत थियो?	जब फिलिप्पीहरू तिनीहरूको विरोध गर्नेहरूबाट डराउँदैनन्, यो तिनीहरूका विरोधीहरूको विनाशको चिन्ह थियो, तर विश्वासीहरूको मुक्तिको चिन्ह थियो।
1:29	sd8l				फिलिप्पीहरूलाई परमेश्‍वरले कुन दुइटा कुराहरू दिनुभएको थियो?	यो फिलिप्पीहरूलाई दिइएको थियो कि तिनीहरूले ख्रीष्टमा विश्वास गर्छन्, तर तिनीहरूले उहाँको तर्फबाट दुःख पनि भोग्छन्।
2:2	mm4l				आफ्नो आनन्द पूर्ण बनाउन फिलिप्पीहरूले के गर्नुपर्छ भनी पावल भन्छन्?	फिलिप्पीहरू एउटै मनको हुनुपर्छ, एउटै प्रेम हुनुपर्छ, र आत्मा र दिमागमा एकताबद्ध हुनुपर्छ।
2:3	etup				फिलिप्पीहरूले एकअर्कालाई विचार गर्नुपर्छ भनेर पावलले कसरी भन्छन्?	पावलले हामीसँग कसको दिमाग हुनुपर्छ भन्‍नुहुन्छ?फिलिप्पीहरूले एकअर्कालाई आफूभन्दा राम्रो ठान्नुपर्छ।
2:5-6	vyrj				पावलले हामीसँग कसको दिमाग हुनुपर्छ भन्‍नुहुन्छ?	पावल भन्छन् कि हामीले ख्रीष्ट येशूको दिमाग हुनु आवश्यक छ।
2:6	pasu				ख्रीष्ट येशू कुन रूपमा अस्तित्वमा हुनुहुन्थ्यो?	ख्रीष्ट येशू परमेश्वरको रूपमा अस्तित्वमा हुनुहुन्छ।
2:7	d1nd				त्यसपछि ख्रीष्ट येशूले कस्तो रूप धारण गर्नुभयो?	त्यसपछि ख्रीष्ट येशुले सेवकको रूप लिनुभयो, मानिसको रूप मा।
2:8	onkd				येशूले आफूलाई कसरी नम्र बनाउनुभयो?	क्रुसमा मृत्युको बिन्दुसम्म आज्ञाकारी भएर येशूले आफूलाई नम्र बनाउनुभयो।
2:9	qzz9				त्यसपछि परमेश्वरले येशूको लागि के गर्नुभयो?	परमेश्‍वरले येशूलाई उच्च पार्नुभयो र उहाँलाई हरेक नामभन्दा माथिको नाम दिनुभयो।\r\n\r\n\n
2:11	r2q5				हरेक जिब्रोले के स्वीकार गर्नेछ?	हरेक जिब्रोले येशू ख्रीष्ट प्रभु हुनुहुन्छ भनी स्वीकार गर्नेछ।
2:12	dwej				कसरी फिलिप्पीहरूलाई तिनीहरूको मुक्तिको काम गर्न बोलाइन्छ?	फिलिप्पीहरूले डर र काँप्दै आफ्नो मुक्तिको काम गर्नुपर्छ।
2:13	g0xe				परमेश्वरले विश्वासीहरूलाई के गर्न काम गर्नुहुन्छ?	परमेश्वरले विश्वासीहरूमा इच्छा गर्न र उहाँको असल खुशीको लागि काम गर्न दुवै काम गर्नुहुन्छ।
2:14	v65j				सबै कुरा के बिना गर्नुपर्छ?	गुनासो र बहस नगरी सबै कुरा गर्नुपर्छ।
2:17	rrv1				पावलले आफ्नो जीवन कुन उद्देश्यको लागि खन्याउँदै हुनुहुन्छ?	पावलले फिलिप्पीको विश्वासको बलिदान र सेवामा आफ्नो जीवन खन्याइरहेका छन्।
2:20	dglx				तिमोथी पावलको लागि किन अद्वितीय सहयोगी हुनुहुन्छ?	तिमोथी अनौठो छ किनभने तिनले फिलिप्पीहरूको साँच्चै ख्याल राख्छन्।
2:24	fy7y				के पावल फिलिप्पीहरूलाई भेट्ने आशा गर्दै हुनुहुन्छ?	हो, पावलले फिलिप्पीहरूलाई चाँडै भेट्ने आशा राख्छन्।
2:30	k689				इपाफ्रोडाइटस के को लागि लगभग मरेको थियो?	इपाफ्रोडाइटस ख्रीष्टको काम गर्दै, पावलको सेवा गर्दै र पावलका आवश्यकताहरू पूरा गर्दै लगभग मरे।
