Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	y5pp				परमेश्‍वरको सेवा गर्नुमा पावलको उद्देश्‍य के थियो?	उनको उद्देश्‍य परमेश्‍वरका चुनिएकाहरूका विश्‍वास स्थापित गर्नु, र सत्यताको ज्ञान स्थापित गर्नु थियो।
1:2	ymzh				परमेश्‍वरले उहाँका चुनिएकाहरूका निम्ति अनन्‍त जीवन कहिले प्रतिज्ञा गर्नुभयो?	उहाँले यो समयको सबै युगहरूभन्दा पहिला नै प्रतिज्ञा गर्नुभयो।
1:2	eauf				के परमेश्‍वरले ढाँट्न सक्‍नुहुन्छ ?	सक्‍नुहुन्‍न।
1:3	sens				परमेश्‍वले सही समयमा आफ्नो घोषणा कसलाई सुम्पनुभयो?	परमेश्‍वरले यो प्रेरित पावललाई सुम्पनुभयो।
1:4	mzu9				तीतस र पावल बीच कस्तो सम्बन्ध थियो?	तितस पावलको साँचो छोरा जस्तै थिए किनभने तिनीहरूको साझा विश्‍वास थियो।
1:6	r6iy				एल्डरको श्रीमती र छोराछोरी कस्तो हुनुपर्छ?	उहाँ एउटै पत्‍नीको पति हुनुपर्दछ र उहाँका विश्‍वासी छोराछोरीहरू हुनुपर्दछ जो लापरवाह व्यवहार वा विद्रोहको आरोपमा छैनन्।
1:7	m2kk				एल्डरले निर्दोष हुन बेवास्ता गर्नुपर्ने केही चरित्र विशेषताहरू के हुन्?	ऊ घमण्डी वा सजिलै रिसाउने वा रक्सीको लत वा झगडा गर्ने वा लोभी हुनुहुँदैन।
1:7	utuv				परमेश्‍वरको परिवारमा निरीक्षकको कस्तो ओहदा र जिम्मेवारी हुन्छ?	उहाँ परमेश्‍वरको घरको व्यवस्थापक जस्तै हुनुहुन्छ।
1:8	b1wn				एल्डरमा कस्ता असल गुणहरू हुनुपर्छ?	एल्डर अतिथि सत्कार गर्ने, असल, समझदार, धर्मी, पवित्र र आत्मसंयमी हुनु पर्छ।
1:9	bb4z				आफूलाई सिकाइएको सन्देशप्रति एल्डरको मनोवृत्ति कस्तो हुनुपर्छ?	उसले यसलाई बलियोसँग समात्‍नुपर्दछ, र यसरी, अरूलाई प्रोत्साहन र हप्काउन सक्षम हुनुपर्दछ।
1:11	fu01				झूटा शिक्षकहरूले तिनीहरूको शिक्षाद्वारा के गर्दै थिए?	तिनीहरूले सम्पूर्ण घरपरिवारलाई त्रसित बनाए।
1:11	zqwf				झूटा शिक्षकहरूले के चाहेका थिए?	तिनीहरू लाजमर्दो लाभ चाहन्थे।
1:13	ncbn				मण्डलीलाई हानि पुर्‍याउने यी झूटा शिक्षकहरूलाई एल्डरले कस्तो व्यवहार गर्नुपर्छ?	उहाँले तिनीहरूलाई कडा रूपमा हप्काउनुपर्छ ताकि तिनीहरू विश्‍वासमा स्थिर हुन सकून्।
1:14	l4re				पावलले कुन कुरामा ध्यान दिनु हुँदैन भन्‍नुभयो?	तिनीहरूले यहूदी पौराणिक कथाहरू र मानिसहरूका आज्ञाहरूमा ध्यान दिनु हुँदैन।
