Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	bs9v				0	# Introduction to 2 Samuel\n\n## Part 1: General Introduction\n\n### Outline of 2 Samuel\n\n  1. The early part of David’s reign ([1:1–10:19](../01/01.md))\n    1. David becomes king of Judah ([1:1–2:7](../01/01.md))\n    2. David becomes king of all Israel ([2:8–5:3](../02/01.md))\n    3. David defeats the Jebusites and Philistines and brings the Box to Jerusalem ([5:4–6:23](../05/01.md))\n    4. Yahweh promises David a dynasty ([7:1–7:29](../07/01.md))\n    5. David helps Mephibosheth and defeats surrounding enemies ([8:1–10:19](../08/01.md))\n  2. The later part of David’s reign ([15:1–24:25](../15/01.md))\n    1. David’s sin with Bathsheba ([11:1–12:31](../11/01.md))\n    2. Amnon and Tamar; Absalom kills Amnon ([13:1–14:33](../13/01.md))\n    3. Absalom rebels and is killed ([15:1–18:33](../15/01.md))\n    4. David’s kingdom restored ([19:1–20:26](../19/01.md))\n    5. Famine and warfare ([21:1–14](../21/01.md))\n    6. David’s song of praise ([22:1–23:7](../22/01.md))\n    7. David’s mighty men ([23:8–39](../23/08.md))\n    8. The census and the plague ([24:1–25](../24/01.md))\n\n### What is the book of 2 Samuel about?\n\nThis book is about David ruling as king over Israel. He first ruled over the tribe of Judah for seven and a half years. Then the other 11 tribes agreed to have him become their king. He ruled over all Israel for 33 years.\n\nThroughout most of this time, David led his army to fight foreign enemies who attacked Israel. However, he struggled the most against someone in his own family. Absalom, his son, rebelled and fought against him.\n\nThe book of 2 Samuel also tells about when David sinned greatly. He made Bathsheba, the wife of Uriah the Hittite, have sexual relations with him. When she became pregnant, David arranged for Uriah to be killed in battle. David and all Israel suffered much because of David’s sin. However, the writer also tells how Yahweh repeatedly showed David mercy after David repented of his sin.\n\n### What is the purpose of the book of 2 Samuel?\n\nThe book of 2 Samuel continues to tell the story of the Israelites once they had kings. It is part of a long history that also includes the preceding book of 1 Samuel and the following books of 1 Kings and 2 Kings. The entire history shows that Yahweh was not at fault for the Israelites being conquered and exiled from their land. Instead, this happened because the people disobeyed Yahweh and broke their covenant with him.\n\n### Who wrote the book of 2 Samuel?\n\nThe author or authors who wrote 2 Samuel do not identify themselves by name in the book. However, many interpreters believe that the prophets in Israel recorded the events in this book, as well as in the entire history of which it is a part, in order to demonstrate that the people had disobeyed Yahweh and to encourage them to obey Yahweh once more so that they could be restored to their land.\n\n### What title should translators use for this book?\n\nTranslators can use the traditional title 2 Samuel or Second Samuel. Translators may also consider a different title such as “The Book about King David’s Reign.”\n\n### Can I translate this book before 1 Samuel?\n\nThe book of 1 Samuel should be translated before 2 Samuel, since 2 Samuel continues from where 1 Samuel ends.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What covenant had its beginning in the book of 2 Samuel?\n\nIn [2 Samuel 7](../07/01.md), Yahweh made a covenant with David. God promised to make a descendant of David rule forever over Israel. Christians believe that Jesus Christ fulfills this covenant. Jesus was a descendant of David. Jesus is the true “anointed one,” the person God chose to be king forever. (See: [[rc://*/tw/dict/bible/kt/covenant]])\n\n## Part 3: Translation Issues in This Book\n\n### “And it happened”\n\nThe author often uses the phrase “And it happened” to introduce a new event in the story or a new development within an episode. To translate this phrase in its various occurrences, use a word, phrase, or other method in your language that is natural for introducing a new event or development. (See: [[rc://*/ta/man/translate/writing-newevent]])\n\n### “behold”\n\nThe author and characters often use the word “behold” to focus their listeners’ attention on what they are about to say. While the word literally means “look,” the speakers do not want their listeners to look at something, but to pay careful attention. For example, the author says “behold, a man came from the camp” in [1:2](../01/02.md) in order to call the readers’ attention to this new development in the story. Characters may use the equivalent expression “look,” which similarly means “pay attention.” For example, David says “Look” to Nathan in [7:2](../07/02.md) to mean “Listen.” (See: [[rc://*/ta/man/translate/figs-metaphor]])\n\n### “to this day”\n\nIn [2 Samuel 4:3](../04/03.md), [6:8](../06/08.md), and [7:6](../07/06.md), and [18:18](../18/18.md), the author uses the phrase “to this day.” By that phrase, he is referring to the time at which he was writing. The translator should be aware that “to this day” refers to a time that is now in the past. He must avoid giving the impression that “to this day” means the present day of the translation’s readers. The translator might decide to say “at the time when this is being written” or “at the time of this writing.”\n\n### “in the eyes of”\n\nThe author and characters often speak of something being good or bad “in the eyes of” someone. This means that that person considered this to be a good or bad thing to do. For example, the author says in [3:18](../03/18.md) that Abner went to speak to David about “all that {had been} good in the eyes of Israel and in the eyes of all of the house of Benjamin.” He means that Abner went to tell David that all of the Israelite tribes, including Benjamin (Saul’s tribe) considered it right to make David the next king. (See: [[rc://*/ta/man/translate/figs-idiom]])\n\n### “to the face of”\n\nThe expression “to the face of” can have different shades of meaning, depending on the context.\n  * The author and characters often use the word “face” to represent the presence of a person or group, by association with the way people can see the face of someone who is present. For example, David tells Abner in [3:13](../03/13.md), “You will not see my face unless you bring Michal,” meaning, “You will not come into my presence unless you bring Michal.”\n  * The focus may also be on something being in front of or before a person or thing, either in space or in time. For example, David says in [3:35](../03/35.md) that he will not eat “to the face of the going of the sun.” He means that he will not eat before a certain time, sundown.\n  * Sometimes the idea of “in front of” has a further association. For example, the author says in [10:16](../10/16.md) that when the Arameans gathered a large army, “Shobach, the commander of the army of Hadadezer, was to their faces.” By saying that Shobach was in front of these troops, he means that Shobach was commanding them.\n  * The focus may also be on the relationship or interaction between people or groups, as in [2:17](../02/17.md), where the author says that “Abner and the men of Israel were struck to the face of the servants of David.” He means that they were defeated in front of David’s soldiers, that is, they were defeated as they opposed David’s soldiers. In other words, David’s soldiers defeated them in battle. (See: [[rc://*/ta/man/translate/figs-metonymy]])\n\nIn other contexts, the author or a character may use the word “face,” describing part of a person, in order to represent the whole person. For example, in [1 Samuel 21:10](../../1sa/21/10.md), the author says that David fled “from the face of Saul.” He is using one part of Saul, his “face,” to mean all of him in his determination to kill David. (See: [[rc://*/ta/man/translate/figs-synecdoche]])\n\n### “into the hand of”/“into your hand”\n\nThe author and characters often use the word “hand” by association to represent power, capability, or control. For example, when Abner tells Ishbosheth in [3:8](../03/08.md), “I have not delivered you into the hand of David,” he means that he has not allowed David to overpower Ishbosheth and replace him as king.\n\nThe word “hand” may also represent possession or conveyance, as when the author says in [8:10](../08/10.md) that a king sent an ambassador to David and “in his hand were vessels of silver and vessels of gold and vessels of bronze.” The word “hand” may also represent agency, as when Abner remarks in [3:18](../03/18.md) that Yahweh had said, “By the hand of David my servant, I will save my people Israel.” Translation notes will help distinguish the difference between these shades of meaning when that may not be clear from the context. (See: [[rc://*/ta/man/translate/figs-metonymy]])\n\nIn other contexts, the author or a character may use the word “hand,” describing part of a person, in order to represent the whole person. For example, in [2 Samuel 12:25](../12/25.md), the author says that Yahweh “sent by the hand of Nathan the prophet.” He is using one part of Nathan, his “hand,” to mean all of him in the act of bringing a message from Yahweh, as if he were carrying that message in his hand. (See: [[rc://*/ta/man/translate/figs-synecdoche]])\n\n### “listen”\n\nThe author and characters often use the terms “listen” or “hear” to mean complying with what someone has said. For example, David’s servants say in [12:18](../12/18.md), “he did not listen to our voice,” meaning that David was not willing to do what they were urging him to do. (See: [[rc://*/ta/man/translate/figs-explicit]])\n\n### name of a person representing him and associated or accompanying people\n\nThe author and characters often use the name of a person to represent that person and others who are associated with or accompanying that person. For example, in [1:1](../01/01.md), when the author says that “David returned from striking the Amalekites,” he is using David, one person who was involved in this action, to represent everyone who accompanied him. The text makes clear that David’s men returned with him. So the author means that David and his men returned together to Ziklag. (See: [[rc://*/ta/man/translate/figs-synecdoche]])\n\n### name of nation, tribe, or city representing its people\n\nThe author and characters often use the name of a nation, tribe, or city by association to represent its people or its army. For example, in [2:28](../02/28.md), when the author says that Joab’s soldiers “did not still pursue after Israel,” he is using the name of the nation of Israel to refer by association to soldiers from the tribes of Israel other than Judah. When a nation has the same name as its ancestor, this is the same thing as using the name of the ancestor by association to mean his descendants. (See: [[rc://*/ta/man/translate/figs-metonymy]])\n\n### “saying”\n\nThe author frequently uses the term “saying” to introduce a direct quotation. In your translation, use a natural way of introducing direct quotations in your language. It may not be necessary to represent this term explicitly. (See: [[rc://*/ta/man/translate/writing-quotations]])\n\n### “sons of”\n\nThe author and characters often speak of “the sons of” a person to mean the nation or tribe that consists of his descendants. For example, in [7:6](../07/06.md) Yahweh speaks of the “sons of Israel” to mean the Israelites. In [12:12](../12/12.md), Samuel speaks of the “sons of Ammon” to mean the Ammonites. In this case, “sons” does not mean first-generation offspring but later descendants. (See: [[rc://*/ta/man/translate/figs-metaphor]])\n\n### “strike/struck”\n\nIn many places, the author says that soldiers “struck” an opposing army, city, or king as if they had only hit them. But in various contexts, he means that they either attacked, defeated, or killed those opponents. For example, when the author says in [8:1](../08/01.md) that “David struck the Philistines, and he subdued them,” he means that David attacked them in order to keep them from being a continual threat to Israel. When he says in [2:17](../02/17.md) that “Abner and the men of Israel were struck to the face of the servants of David,” he means that David’s soldiers defeated Abner and the Israelite soldiers. And when he says in [2:31](../02/31.md) that “the servants of David had struck from Benjamin and among the men of Abner 360 men,” he means that they had killed those men. Consider carefully how to translate the term “struck” in each context where it does not actually mean “hit.” (See: [[rc://*/ta/man/translate/figs-explicit]])\n\n### travel descriptions marked for change in elevation (“went up,” “went down”)\n\nIn Hebrew, writers and speakers generally indicated whether people were going up to a higher elevation or going down to a lower elevation when they traveled. For example, in [2:1](../02/01.md) David asks Yahweh, “Shall I go up into one of the cities of Judah?” David says “go up” because he is in Ziklag, near the seacoast, so he would be going up in elevation if he went to a city in the hilly territory of Judah. If your language does not mark travel for change in elevation, you can translate instances such as these simply as “went” or “go.” (See: [[rc://*/ta/man/translate/figs-explicitinfo]])
1:intro	la44				0	# 2 Samuel 1 Introduction\n\n## Structure and Formatting\n\nThis chapter continues the story from the last section of 1 Samuel about how David became king of Israel. It tells how he learned that Saul and Jonathan had died and how he composed a song to celebrate their lives and grieve their deaths.\n\nSome translations set each line of poetry farther to the right than the rest of the text to make it easier to read. The ULT does this with the poetic song in [1:19–27](../01/19.md).\n\n## Religious and Cultural Concepts in This Chapter\n\n### Why is the young Amalekite’s account of Saul’s death different from the account in [1 Samuel 31](../../1sa/31/01.md)?\n\nIn [1 Samuel 31:4](../../1sa/31/04.md), the author says that Saul died by falling on his own sword after Philistine archers wounded him badly. In this chapter, a young Amalekite man says that he killed Saul himself when Philistine chariots and horsemen, not archers, were threatening him. The reason for the difference in the accounts is that the young man is probably lying. \nHe is not an Israelite but an Amalekite living in Israel, as he says in [1:13](../01/13.md). He may have been working for a soldier or group of soldiers in the Israelite military camp on Mount Gilboa, or he may have been someone who followed the army at a distance, hoping to get plunder after a battle. Either way, he would not have gone into the battle with the Israelite army. He probably hid as Philistines pursued the fleeing Israelites onto Mount Gilboa, and once the battle had moved on from there, he went out to take whatever valuables he could find from the bodies of dead soldiers. (The Philistines did not return to do that themselves until the next day, according to [1 Samuel 31:8](../../1sa/31/08.md).) \nHe recognized Saul’s body from his royal crown and armband, and he took those things for himself. He believed that David considered Saul to be his enemy and that David would reward him if he had killed Saul. (David suggests in [2 Samuel 4:10](../04/10.md) that this was the young man’s motive.) So rather than keeping the golden crown and armband for their value, he brought them to David as supposed proof that he had killed Saul. But his story is improbable. He certainly would not have been in the thick of the battle, as he claims. Moreover, Saul would not have been standing alone on the battlefield, leaning on his spear. The author says in [1 Samuel 31:6](../../1sa/31/06.md) that Saul’s entire bodyguard died with him, reflecting the way that Israelite soldiers would have surrounded and defended Saul to the last man. If the Philistines had already killed his entire bodyguard, they would have killed Saul too. So the Amalekite has made up a story in the hopes that David will think he has killed Saul and reward him. As the story describes, however, this false claim only got the Amalekite himself killed. David had no way of knowing that his story was not true, and he had him executed for killing “the anointed one of Yahweh” ([1:14](../01/14.md)).\n\n### Why was Saul’s shield still on Mount Gilboa?\n\n1 Samuel [31:10](../31/10.md) says that when the Philistines found Saul dead on Mount Gilboa the day after their battle with the Israelites, they took Saul’s equipment and put it in one of their idol temples as a trophy of victory. But David speaks in [2 Samuel 1:21](../01/21.md) as if Saul’s shield was still on Mount Gilboa. It is possible that the Philistines simply did not consider the shield something they should put in their temple along with Saul’s armor and weapons. \nHowever, David uses a strong word for how the shield was treated. He does not say that it was simply disregarded. He says that it was “loathed.” Elsewhere in the Bible, this word describes people deliberately rejecting something or someone else with a feeling of strong antipathy. So it is possible that the Philistines intentionally left Saul’s shield behind as an insult to him. This would have been a symbolic action suggesting that the shield was worthless, since it had not protected Saul from their weapons. This would be a way of asserting their military superiority over the Israelites. You may have a term in your language that you can use to translate “loathed” that would convey this meaning.\n\n## Translation Issues in This Chapter\n\n### Parallelism\n\nIn the song that David composed as a memorial tribute to Saul and Jonathan ([1:19–27](../01/19.md)), in many cases, a phrase means basically the same thing as the phrase before it. The second phrase emphasizes the meaning of the first phrase by repeating the same idea with different words. Hebrew poetry was based on this kind of repetition, and it would be good to show this to your readers by including both phrases in your translation rather than combining them. However, it may be clearer in your language to connect the phrases with a word that shows that the second phrase is repeating the first one, not saying something additional. For example, in [1:20](../01/20.md), for “lest the daughters of the Philistines rejoice, lest the daughters of the uncircumcised triumph,” you might say, “otherwise, the daughters of the Philistines would rejoice, yes, the daughters of the uncircumcised would triumph.” In [1:22](../01/22.md), for “the bow of Jonathan did not turn back, and the sword of Saul did not return empty,” you might say, “the bow of Jonathan did not turn back, no, the sword of Saul did not return empty.”\n\n### David’s love for Jonathan\n\nDavid speaks in [1:26](../01/26.md) of the love that he and Jonathan had for each other. If your language has more than one term for “love,” be sure not to use a term that describes sexual desire. Biblical Hebrew has specific language for sexual desire, and David does not use that language here. David speaks of Jonathan as his “brother,” meaning that he is his dear friend. When David says that this love “was more wonderful to me than the love of women,” he means that a deep, abiding friendship is better than romance. If your language has a word for friendship-love, it would be appropriate to use that word here in your translation. You could also use a word for unselfish love. If you have already translated the book of 1 Samuel, see how you translated the similar expression in [1 Samuel 18:1](../../1sa/18/01.md).
1:1	uw43		rc://*/ta/man/translate/writing-newevent	וַ⁠יְהִ֗י	1	See the discussion of this phrase in the Introduction to 2 Samuel. The author is using it to introduce a new development in the story. Use a word, phrase, or other method here that is natural in your language for introducing a new development.
1:1	gljk		rc://*/ta/man/translate/figs-synecdoche	וְ⁠דָוִ֣ד שָׁ֔ב	1	The author is using **David** to represent him and his men. See the discussion of this usage in the Introduction to 2 Samuel. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [that David and his men returned]
1:1	afo9		rc://*/ta/man/translate/figs-metonymy	אֶת־הָ⁠עֲמָלֵ֑ק	1	Here the name of a person, **Amalek**, represents his descendants. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: [the Amalekites]
1:1	rdbp		rc://*/ta/man/translate/figs-explicit	מֵ⁠הַכּ֖וֹת אֶת־הָ⁠עֲמָלֵ֑ק	1	See the discussion of the term “strike” in the Introduction to 2 Samuel. Alternate translation: [from slaughtering the Amalekites]
1:1	htrj		rc://*/ta/man/translate/figs-idiom	יָמִ֥ים שְׁנָֽיִם	1	The author is expressing this in the way his culture reckoned time. He does not mean that David and his men arrived in Ziklag and stayed there for two subsequent days before something further happened. He is reckoning the day of their arrival as the first of these **two days**. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [that day and the next one]
1:2	wsxj		rc://*/ta/man/translate/writing-newevent	וַ⁠יְהִ֣י	1	In this case, the author is using this phrase to introduce a new development in the story. Use a word, phrase, or other method here that is natural in your language for introducing a new development.
1:2	g6od		rc://*/ta/man/translate/figs-idiom	בַּ⁠יּ֣וֹם הַ⁠שְּׁלִישִׁ֗י	1	In this culture, the current day was considered the first day, the next day was considered the second day, and the day after that was considered **the third day**. So this phrase is referring to the day after the day after David returned to Ziklag. Express this in terms that your language and culture would naturally use. Alternate translation: [on the next day]
1:2	w5vs		rc://*/ta/man/translate/figs-metaphor	וְ⁠הִנֵּה֩	1	See the discussion of the expression “behold” in the Introduction to 2 Samuel to decide how to represent it in your translation here and throughout the book.
