Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	d9wn				0	# Introduction to Genesis\n\n## Part 1: General Introduction\n\nIn the book of Genesis, God communicates to all people the early history of the universe. He begins with how he created everything from nothing, including the earth and all the heavenly bodies (sun, moon, stars), all the plants and animals, and especially how he created human beings in his image to be in a relationship with him. This book also explains how sin and death came into the world and what God’s plan is to save people from that. In fact, all the important teachings in the Bible begin in Genesis. That makes this book foundational and important for everyone so that they can know and understand the truth about God and his plan for their lives.\n\nBeginning with [verse 1](../01/01.md), the book of Genesis is a narrative that tells the history of events that actually happened. This is confirmed by the fact that the conjunctions and the forms of the verbs that are used in the Hebrew text reflect the Hebrew narrative style, which is used to narrate historical accounts. In the same way, those who translate the book of Genesis should also use grammatical structures in their languages that are used for true, historical narratives. God uses narrative, which is one of the most interesting styles of communication, to not only tell people about the events in the early history of the world, but also to teach them about himself and about the way he interacts with people as their loving Creator.\n\nGenesis provides the vital context for the rest of God’s Word, especially the gospel message about Jesus, and so it helps people to understand their need for him to be their Savior. In fact, without Genesis, it would not be clear why everyone needs to trust in Jesus as the only one who can save them from sin and its consequences, so that they can associate with God and be part of his eternal family.\n\nIn light of all that, Genesis should be one of the first books of the Bible that is translated into every language that needs a translation. May God guide and bless you and your translation team as you undertake this important task together by his power.\n\n### Author and date of writing\n\nMoses was the human author of the first five books of the Bible, including the book of Genesis ([Exodus 24:3–4](../../exo/24/03.md); [Deuteronomy 31:9](../../deu/31/09.md), [24](../../deu/31/24.md); [John 1:45](../../jhn/01/45.md)). The Holy Spirit is the one who inspired what Moses wrote in those books ([2 Peter 1:21](../../2pe/01/21.md)), so ultimately God is the author, and these books are part of his Message to mankind. Those five books are sometimes referred to as the Torah (a Hebrew word that means “teaching,” “instruction,” or “law”) or the Pentateuch (a Greek word that means “five books”). In the New Testament this set of books is also referred to as “the Law” ([John 1:45](../../jhn/01/45.md)) or “the Law of Moses” ([Acts 28:23](../../act/28/23.md)), and Jesus himself affirmed that Moses wrote them ([John 5:46–47](../../jhn/05/46.md); [7:23](../../jhn/07/23.md)).\n\nMoses was born in the country of Egypt around 1526 B.C. ([Exodus 2:1–10](../../exo/02/01.md)). According to the genealogies in Genesis, his birth was about 1,000 years after the Flood (which was about 1,650 years after creation). Moses may have written much of the Pentateuch during the forty years that he led the people of Israel as they wandered in the wilderness (around 1446 B.C.—1406 B.C.).\n\nThe very first verse in Genesis assumes that God (the author guiding the human author) has always existed and that he has no beginning and no end (also see [21:33](../21/33.md); [Deuteronomy 33:27](../../deu/33/27.md); [Psalm 90:2](../../psa/090/002.md)). He uses his personal name “Yahweh” for the first time in Genesis [2:4](../02/04.md). The name “Yahweh” means “he is” and indicates that God is eternal. His name also means that he is unchanging and that he is always present.\n\n### Book outline\n\nIn all, Genesis covers a span of about 2200 years of history. After the world’s early history, the rest of Genesis tells about the ancestors of God’s people, with special focus on Abraham, Isaac, Jacob, and Joseph (and their families). Genealogies are an important part of what ties the book together from beginning to end.\n\nThe following outline shows these two main divisions in the book of Genesis: (1) Early World History, and (2) The History about the Ancestors of God’s Chosen People. Those two divisions each have roughly four main subdivisions, which are based on four key events (in the first division) and four key ancestors (in the second division). Some scholars prefer to divide the book up into ten divisions that are introduced by the Hebrew phrase that means “these are the generations of …” In the outline below, **asterisks** mark the sections that contain that phrase. The phrase is found in Genesis [2:4](../02/04.md) (heavens and earth), [5:1](../05/01.md) (Adam), [6:9](../06/09.md) (Noah), [10:1](../10/01.md), [10:32](../10/32.md) (sons of Noah), [11:10](../11/10.md) (Shem), [11:27](../11/27.md) (Terah), [25:12](../25/12.md) (Ishmael), [25:19](../25/19.md) (Isaac), [36:1](../36/01.md), [36:9](../36/09.md) (Esau), and [37:2](../37/02.md) (Jacob).\n\n**Bolded words** in the outline show which sections contain promises and covenants from God and also mark who the main ancestors were in the various sub-divisions.\n\n#### Division 1: Early World History\n\nCreation\n  - God creates the universe and everything in it ([1:1–2:3](../01/01.md))\n  - Adam and Eve and the Garden of Eden ([2:4–25](../02/04.md))*\n\nThe Fall\n  - The first sin and God’s judgment; prophecy of Christ ([3:1–24](../03/01.md)) - **promise**\n  - Cain and Abel: the first murder; Cain’s descendants ([4:1–26](../04/01.md))\n  - The descendants of Adam to Noah ([5:1–32](../05/01.md))*\n\nThe Flood\n  - God destroys the world with a flood, puts rainbow in the sky - **covenant** ([6:1–9:17](../06/01.md))*\n  - Noah curses his son Ham and his grandson Canaan, blesses other sons ([9:18–27](../09/18.md))\n  - The descendants of Noah’s sons Shem, Ham, and Japheth ([10:1–32](../10/01.md))**\n\nTower of Babel\n  - Mankind rebels against God at Babel, so God creates many different languages and scatters the people over the earth ([11:1–9](../11/01.md))\n\n#### Division 2: The History about the Ancestors of God’s Chosen People\n\nThe history about **Abraham** [Genesis 11:10–25:11](../11/10.md)\n  - The descendants of Shem to Abram ([11:10–26](../11/10.md))*\n  - Terah and his three sons’ families in Haran; Terah dies ([11:27–32](../11/27.md))*\n  - Abram travels to Canaan with Sarai and his nephew Lot ([12:1–9](../12/01.md)) - **promise**\n  - Abram lies about Sarai to Pharaoh, king of Egypt ([12:10–20](../12/10.md))\n  - Back in the Negev Desert, Abram and Lot part ways ([13:1–18](../13/01.md)) - **promise**\n  - War of the kings; Abram rescues Lot and the other citizens of Sodom ([14:1–17](../14/01.md))\n  - Melchizedek blesses Abram; Abram refuses bounty from king of Sodom ([14:18–24](../14/18.md))\n  - God’s **covenant** with Abram ([15:1–21](../15/01.md)) - **promise**\n  - Hagar and Ishmael ([16:1–16](../16/01.md))\n  - New names: Abraham and Sarah; **covenant** of circumcision ([17:1–27](../17/01.md)) - **promise**\n  - Three men visit Abram, Yahweh renews promise, Sarah laughs ([18:1–15](../18/01.md)) - **promise**\n  - Abram pleads with Yahweh to spare Sodom ([18:16–33](../18/16.md))\n  - Lot and two daughters escape destruction of Sodom and Gomorrah ([19:1–29](../19/01.md))\n  - Lot’s grandsons: the ancestors of the Moabites and Ammonites ([19:30–38](../19/30.md))\n  - Abraham lies about Sarah to Abimelech, king of the Philistines ([20:1–18](../20/01.md))\n  - Isaac is born to Sarah; Ishmael grows up in the desert ([21:1–21](../21/01.md))\n  - Abraham makes a treaty with King Abimelech at Beersheba ([21:22–34](../21/22.md))\n  - God tests Abraham by commanding him to sacrifice Isaac ([22:1–19](../22/01.md)) - **promise**\n  - Sarah dies and Abraham buys burial property in the land of Canaan ([23:1–20](../23/01.md))\n  - God provides Rebekah as a wife for Isaac ([24:1–67](../24/01.md))\n  - Abraham’s descendants by second wife Keturah ([25:1–6](../25/01.md))\n  - Abraham dies and is buried by Isaac and Ishmael ([25:7–11](../25/07.md))\n\nThe history about **Ishmael** and **Isaac** [Genesis 25:12–35:29](../25/12.md)\n  - Ishmael’s descendants and his death ([25:12–18](../25/12.md))*\n  - Isaac’s sons Esau and Jacob; Esau sells his birthright ([25:19–34](../25/19.md))*\n  - Isaac lies about Rebekah to Abimelech, king of the Philistines ([26:1–22](../26/01.md)) - **promise**\n  - God’s **covenant** with Isaac in Beersheba; treaty with Abimelech ([26:23–33](../26/23.md))\n\nThe history about **Esau** and **Jacob** [Genesis 26:34–36:43](../26/34.md)\n  - Jacob steals Esau’s blessing; Esau plans revenge ([26:34–27:46](../26/34.md))\n  - Jacob flees and heads to Haran; stairway to heaven at Bethel ([28:1–22](../28/01.md)) - **promise**\n  - Jacob works for Laban to marry his wives Leah and Rachel ([29:1–30](../29/01.md))\n  - Jacob’s wives have his first eleven sons ([29:31–30:24](../29/31.md))\n  - Jacob becomes wealthy while working for Laban ([30:25–43](../30/25.md))\n  - Jacob and his family flee from Laban; Jacob’s treaty with Laban ([31:1–55](../31/01.md))\n  - Jacob wrestles with God, who names him **Israel** ([32:1–32](../32/01.md))\n  - Jacob and Esau reconcile, and Jacob settles in the city of Shechem ([33:1–20](../33/01.md))\n  - Shechem rapes Dinah, and Jacob’s sons take revenge ([34:1–31](../34/01.md))\n  - God blesses Jacob at Bethel ([35:1–15](../35/01.md)) - **promise**\n  - Rachel dies giving birth to Benjamin ([35:16–20](../35/16.md))\n  - List of Jacob’s twelve sons; Isaac dies and is buried by Esau and Jacob ([35:16–29](../35/16.md))\n  - Esau’s descendants, the Edomites ([36:1–43](../36/01.md))**\n\nThe history about **Jacob** and **Joseph** [Genesis 37-50](../37/01.md)\n  - Jacob’s family; Joseph’s dreams anger his brothers ([37:1–11](../37/01.md))*\n  - Joseph sold as a slave and taken to the country of Egypt ([37:12–36](../37/12.md))\n  - **Judah** and his daughter-in-law Tamar have children ([38:1–30](../38/01.md))\n  - Potiphar’s wife falsely accuses Joseph, and he is imprisoned ([39:1–23](../39/01.md))\n  - In the prison, Joseph interprets dreams for Pharaoh’s officials ([40:1–23](../40/01.md))\n  - Joseph interprets Pharaoh’s dreams about famine ([41:1–40](../41/01.md))\n  - As governor over Egypt, Joseph stores up grain; he has two sons ([41:41–57](../41/41.md))\n  - Joseph’s brothers come to Egypt to buy grain, then return to Jacob ([42:1–38](../42/01.md))\n  - All Joseph’s brothers return to Egypt and have a meal with him ([43:1–34](../43/01.md))\n  - Joseph tests his brothers with his silver cup ([44:1–17](../44/01.md))\n  - Judah pleads with Joseph for Benjamin’s freedom ([44:18–34](../44/18.md))\n  - Joseph reveals his identity to his brothers; they give the news to Jacob ([45:1–28](../45/01.md))\n  - Jacob and his family move to Egypt; list of his descendants ([46:1–27](../46/01.md))\n  - Joseph settles Jacob and his family in the land of Goshen ([47:1–12](../47/01.md))\n  - Joseph sells grain to all the people of Egypt ([37:13–31](../37/13.md))\n  - Jacob blesses Joseph’s sons Ephraim and Manasseh ([48:1–22](../48/01.md))\n  - Jacob blesses each of his 12 sons ([49:1–28](../49/01.md))\n  - Jacob’s death ([49:29–33](../49/29.md))\n  - Joseph has his father Jacob embalmed and buries him in Canaan ([50:1–14](../50/01.md))\n  - Joseph reassures his brothers that he has forgiven them ([50:15–21](../50/15.md))\n  - Joseph’s death Genesis ([50:22–26](../50/22.md))\n\n### Special formatting\n\nThe book of Genesis sometimes uses poetic language to emphasize what is being said. Many translations use a special format to identify these passages as poetry by indenting each clause on a new line. Many other translations do not do this, but rather use regular paragraph formatting everywhere, including for poetry. It may be helpful to look at a translation in the national language of your country that uses poetry formatting, to help you decide whether or not you want to do something similar in your translation. Some translations put some of the following passages in poetry format since these verses have certain features of poetry such as parallelisms and metaphors: Genesis [1:27](../01/27.md); [2:23](../02/23.md); [3:14–16](../03/14.md), [17](../03/17.md)b-19; [4:23–24](../04/23.md); [8:22](../08/22.md); [9:6](../09/06.md), [9:25–27](../09/25.md); [12:2–3](../12/02.md); [14:19–20](../14/19.md); [15:1](../15/01.md); [16:11–12](../16/11.md); [24:60](../24/60.md); [25:23](../25/23.md); [27:27–29](../27/27.md), [27:39–40](../27/39.md); [48:15–16](../48/15.md), [48:20](../48/20.md); [49:1–27](../49/01.md). You may not want to put all these passages in poetry format since some of them have parallelisms that are not necessarily poetry but may just be emphasizing certain events in the narrative or certain points in a prophecy.
1:intro	zb6f				0	# Genesis 1 Chapter Introduction\n\n### Possible titles for this book:\n\n  - “Genesis”\n  - “The Book of Genesis”\n  - “Genesis: The First Book By Moses”\n  - “Genesis: The Book About Beginnings”\n  - “The First Book That God’s Spokesman Moses Wrote: Genesis”\n\nThe English title “Genesis” is a transliteration of a Greek word that means “origin” or “beginning” or “birth”; the ancient Greek translation of the Hebrew scriptures (the Septuagint) uses this word for the first time in Genesis [2:4](../02/04.md). The Hebrew title of this book בְּרֵאשִׁית (pronounced “bereshith”) is the first Hebrew word in [verse 1](../01/01.md) and literally means “In the beginning.” The Latin translation of the Bible (the Latin Vulgate) was the first translation to use the title “The Book of Genesis.” Since that time, many other translations include “Genesis” in the book title because people are familiar with that name. Sometimes, as part of the title, translators also include the fact that Moses was the author and that he was inspired by God.
1:1	uiu4		rc://*/ta/man/translate/figs-abstractnouns	בְּ⁠רֵאשִׁ֖ית	1	The first chapter of Genesis is a true, historical narrative (which is indicated by the Hebrew language structures that are used throughout the chapter), and [verse 1](../01/01.md) records the first event in that history. This is confirmed by the wider context of the Scriptures, which teach us that God created everything out of nothing at the very beginning of the world. [Psalm 33:6](../../psa/033/006.md), [Psalm 33:9](../../psa/033/009.md); [Hebrews 11:3](../../heb/11/03.md)). Some languages must use a verb (“began”) in [verse 1](../01/01.md) rather than an abstract noun (**beginning**). Alternate translation: [At the beginning of time]
1:1	hmtj			בָּרָ֣א	1	In the Hebrew Bible, the verb “create” refers to an activity that only God does, and it often implies (as it does here) that he made something out of nothing. Also, the forms of the verbs in the Hebrew text (and the conjunctions) show that [chapter 1](../01/01.md) is a narrative that tells about true history and events in the order that things actually happened. Make sure that your translation does the same thing. Alternate translation: [made]
1:1	bcu7			אֵ֥ת הַ⁠שָּׁמַ֖יִם	1	Alternate translation: [the sky]
1:1	wgq2			וְ⁠אֵ֥ת הָ⁠אָֽרֶץ	1	This phrase refers to the planet earth.
1:2	qfra			וְ⁠הָ⁠אָ֗רֶץ	1	The author pauses here to describe what the earth and the heavens were like after God first created them ([verse 1](../01/01.md)). Some languages use a conjunction like **Now** to introduce that information, while other languages do not use a conjunction here. Do what is natural in your language. Also, be consistent here with how you translated **the earth** in [verse 1](../01/01.md). Alternate translation: [Now at first after that, the earth]
1:2	btmf			הָיְתָ֥ה תֹ֨הוּ֙ וָ⁠בֹ֔הוּ	1	It is not clear what the earth looked like at that time, but it did not have its present shape and order. The phrase **was formless and empty could mean: (1) “did not have its present form, and there was nothing living on it yet” (2) “completely desolate,” which treats the text as a hendiadys. However, it is best to keep both terms separate in your translation (as they are in the Hebrew text).
1:2	f7a1			וְ⁠חֹ֖שֶׁךְ עַל־פְּנֵ֣י תְה֑וֹם	1	Alternate translation: [It was completely dark, there was deep water everywhere] or [and everywhere there was deep water that was surrounded by total darkness]
1:2	rp8q			וְ⁠ר֣וּחַ אֱלֹהִ֔ים מְרַחֶ֖פֶת	1	The clause **and the Spirit of God was hovering** could mean: (1) “and God’s Spirit was hovering” or (2) “and a wind from God was blowing”
