Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	aq5w				0	# Introduction to Joel\n\n## Part 1: General Introduction\n\n### Outline of Joel\n\n1:1–20 Joel describes the effects of the locust attack and calls the people to mourn\n2:1–11 Joel depicts the locust swarm as an army and the attack as the “day of Yahweh”\n2:12–17 Joel and Yahweh call the people of Judah to repentance\n2:18–27 Yahweh promises to have mercy on his people and restore them\n2:28–32 Yahweh says that in the future he will pour out his Spirit\n3:1–21 Yahweh declares that he will judge the nations\n\n### What is the book of Joel about?\n\nThe main idea in the book of Joel is how the people of Judah should understand the spiritual significance of an unprecedented locust attack. The prophet Joel told them to understand it as an expression of the “day of Yahweh,” the occasion on which Yahweh would judge people and punish them for disobedience or reward them for obedience. Joel did not mean that the end of the world had come, but that the people should recognize that Yahweh was acting in judgment as he would at the end of the world. As the book progresses, Joel moves from his spiritual interpretation of the current locust plague to talking about the actual end of the world and final judgment. The apostles of Jesus understood some of Joel’s prophecies to have been fulfilled in their own day. In [Acts 2:17](../../act/02/17.md) and [2:21](../02/21.md), Peter quoted [Joel 2:28](../02/28.md) and [2:32](../02/32.md), where Yahweh says, “I will pour out my Spirit on all flesh” and “everyone who calls on the name of Yahweh will be saved.”\n\n### How should the title of this book be translated?\n\nThe traditional title of this book is “The Book of Joel” or just “Joel.” Translators may also call it the “The Message from Joel” or “The Sayings of Joel.”\n\n### Who wrote the book of Joel?\n\nThis book contains the prophecies of an Israelite named Joel. The title of the book states that he was the “son of Pethuel,” but it gives no further information about him. The book also does not tell when Joel prophesied.\n\n## Part 2: Religious and Cultural Concepts\n\n### The locust attack\n\nLocust attacks occurred often in the ancient Near East. Certain kinds of grasshoppers would come in countless numbers. There would be so many that they would darken the sky like a black cloud that blocked the sunlight. They often came after a long period of no rain. They came down on whatever crops were surviving in the fields and stripped them bare, eating all their leaves. The locusts could not be stopped, and they caused terrible damage. There are various names for locusts in the original language of the Old Testament. It is uncertain whether these refer to different kinds of locusts or to the same kind of locust in different stages of growth. For this reason, versions of the Bible differ in how they translate these terms. See the note to [1:4](../01/04.md) for a suggestion of how you might do this in your translation.\n\n## Part 3: Translation Issues\n\n### Representing the poetry of the book of Joel in your translation\n\nThe poetry in the book of Joel consists almost entirely of paired phrases that both mean basically the same thing. The second phrase emphasizes the meaning of the first phrase by repeating the same idea in different words. Hebrew poetry was based on this kind of repetition, and it would be good to show this to your readers by including both phrases in your translation rather than combining them. It may be clearer in your language to connect the phrases with a word other than “and” in order to show that the second phrase is repeating the first one, not saying something additional. For example, in [1:2](../01/02.md), you might say, “Hear this, you elders! Yes, listen, all of the dwellers of the land!” In [1:5](../01/05.md), you might say, “Wake up, drunkards, and weep! Indeed, wail, all of the drinkers of wine.” (See: [[rc://*/ta/man/translate/figs-parallelism]])\n\n### Litanies\n\nIn two places in the book, [1:4](../01/04.md) and [2:9](../02/09.md), Joel uses a repetitive series of similarly structured sentences for emphasis. This repetitive style of speaking or writing is called a “litany.” While in each case these brief litanies consist of two lines of poetry, in your translation you may wish to represent them as separate, shorter lines, as illustrated here. This would show the rhetorical device that Joel is employing. (See: [[rc://*/ta/man/translate/figs-litany]])\n\n[1:4](../01/04.md) The residue of the cutting locust,\n\n the swarming locust has eaten,\n\n and the residue of the swarming locust,\n\n the hopping locust has eaten,\n\n and the residue of the hopping locust,\n\n the destroying locust has eaten.\n\n[2:9](../02/09.md) Upon the city they rush,\n\n on the wall they run,\n\n into the houses they climb,\n\n through the windows they enter like thieves.\n\n### Speakers describe results before giving reasons\n\nThroughout their speeches in the book, both Joel and Yahweh typically describe a result before giving the reason for it. If it would be more natural in your language, in all or some of these cases, you could reverse the order and first present the phrase or clause that gives the reason, and then present the phrase or clause that gives the result. For example, in [1:17](../01/17.md), instead of saying, “The storehouses are desolate, the granaries have been broken down, for the grain has dried up,” you could say, “Because the grain has dried up, the storehouses are desolate, the granaries have been broken down.” In [2:21](../02/21.md), rather than saying, “Do not fear, land! Be glad and rejoice, for Yahweh has been great in doing,” you could say, “Yahweh has been great in doing! So do not fear, land. Be glad and rejoice.” (See: [[rc://*/ta/man/translate/grammar-connect-logic-result]])\n\n### Travel descriptions marked for change in elevation\n\nIn several places in the book ([1:6](../01/06.md), [3:2](../03/02.md), [3:9](../03/09.md), [3:11](../03/11.md), [3:12](../03/12.md)), the ULT includes the terms “up” or “down” in descriptions of travel. That shows how Hebrew marked such descriptions for changes in elevation. If your language does not do that, you could use expressions without “up” and “down.” For example, in [1:6](../01/06.md), you could use “a nation has come against my land” rather than “a nation has come up against my land.” (See: [[rc://*/ta/man/translate/figs-metonymy]])
1:intro	q2ev				0	# Joel 1 Chapter Introduction\n\n## Structure and Formatting\n\nIn this chapter, Joel describes the effects of the locust attack and calls the people to mourn.\n\nBecause it is poetry, after the book title in [1:1](../01/01.md), the ULT sets the lines of this chapter farther to the right on the page than its usual text.\n\n## Religious and Cultural Concepts in This Chapter\n\n### Locusts\n\nThis book starts very dramatically with the imagery of the locusts and the devastation that they produce. Five different kinds of locusts appear to come, and they progressively destroy the vegetation, including the crops, vineyards, and even the trees. It was common for farmers in the ancient Near East to experience large locust swarms that would come and eat all the crops in their fields. Translators should translate simply, presenting the scenes of locusts as Joel describes them.\n\n## Translation Issues in This Chapter\n\n### “House” meaning “temple”\n\nSeveral times in this chapter ([1:9](../01/09.md), [1:13](../01/13.md), [1:14](../01/14.md), [1:16](../01/16.md)), Joel uses the term “house” to mean Yahweh’s “temple.” He speaks of this temple as if it were a house in which God lived, since God’s presence was there. (See: [[rc://*/ta/man/translate/figs-metaphor]])
1:1	a3b2		rc://*/ta/man/translate/translate-names	פְּתוּאֵֽל	1	The word **Pethuel** is the name of a man.
1:1	ltl4		rc://*/ta/man/translate/figs-idiom	דְּבַר־יְהוָה֙ אֲשֶׁ֣ר הָיָ֔ה	1	This is a common expression of this culture that means that Yahweh spoke a message to Joel. If this phrase does not have that meaning in your language, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [The message that Yahweh spoke]
1:2	d6e9		rc://*/ta/man/translate/figs-parallelism	שִׁמְעוּ־זֹאת֙ הַ⁠זְּקֵנִ֔ים וְ⁠הַֽאֲזִ֔ינוּ כֹּ֖ל יוֹשְׁבֵ֣י הָ⁠אָ֑רֶץ	1	See the discussion in the introduction to Joel of how Hebrew poetry consisted of paired phrases that meant basically the same thing. Decide as a translation team how you will represent this poetry in your translation throughout the book of Joel. Alternate translation: [Hear this, you elders! Yes, listen, all of the dwellers of the land!]
1:2	q3r8		rc://*/ta/man/translate/figs-rquestion	הֶ⁠הָ֤יְתָה זֹּאת֙ בִּֽ⁠ימֵי⁠כֶ֔ם וְ⁠אִ֖ם בִּ⁠ימֵ֥י אֲבֹֽתֵי⁠כֶֽם	1	Joel is using the question form for emphasis. If a speaker of your language would not use the question form for that purpose, you could translate this as a statement or as an exclamation. Alternate translation: [This has not happened in your days or in the days of your fathers!]
1:2	c9d2		rc://*/ta/man/translate/figs-metonymy	בִּֽ⁠ימֵי⁠כֶ֔ם וְ⁠אִ֖ם בִּ⁠ימֵ֥י	1	Joel is using the term **days** to mean a period of time by association with the way days make up longer periods of time. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [in your time or in the time of]
1:2	j001		rc://*/ta/man/translate/figs-metaphor	אֲבֹֽתֵי⁠כֶֽם	1	Joel is not referring to the literal **fathers** of the Israelites whom he is addressing. He is using that term to mean their ancestors. If it would be clearer in your language, you could state the meaning plainly. Alternate translation: [your ancestors]
1:3	d4e9		rc://*/ta/man/translate/figs-ellipsis	וּ⁠בְנֵי⁠כֶם֙ לִ⁠בְנֵי⁠הֶ֔ם וּ⁠בְנֵי⁠הֶ֖ם לְ⁠ד֥וֹר אַחֵֽר	1	Joel is leaving out some of the words that in many languages a sentence would need to be complete. You could supply these words from the context if that would be clearer in your language. Alternate translation: [and let your sons recount about it to their sons, and let their sons recount about it to the generation after]
1:3	f7g5		rc://*/ta/man/translate/figs-gendernotations	לִ⁠בְנֵי⁠כֶ֣ם & וּ⁠בְנֵי⁠כֶם֙ לִ⁠בְנֵי⁠הֶ֔ם וּ⁠בְנֵי⁠הֶ֖ם	1	Here the masculine term **sons** has a generic sense that includes both male and female children. If it would be helpful to your readers, you could use language in your translation that is clearly inclusive of both men and women. Alternate translation: [to your children, and your children to their children, and their children]
