Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	syt5				0	# Introduction to Joshua\n\n## Part 1: General Introduction\n\n### Outline of Joshua\n\n**The conquest of the land of Canaan**\n\n1. Preparations\n    * Yahweh encourages Joshua ([1:1–9](../01/01.md))\n    * The eastern tribes send their armies ([1:10–16](../01/10.md))\n    * Joshua sends spies to Jericho ([2:1–24](../02/01.md))\n    * The Israelites cross the Jordan River ([3:1–5:1](../03/01.md))\n    * The Israelites are circumcised and celebrate Passover ([5:2–12](../05/02.md))\n\n2. Fight against kings in the center of the land\n    * The fight against Jericho ([5:13–6:27](../05/01.md))\n    * The fight against Ai ([7:1–8:29](../07/01.md))\n\n3. The Israelites affirm the covenant at Mount Ebal ([8:30–35](../08/30.md))\n\n4. Fight against the kings in the south of the land\n    * The fight at Gibeon ([9:1–10:27](../09/01.md))\n    * The fights against Makkedah, Libnah, Lachish, Eglon, Hebron, and Debir ([10:28–43](../10/28.md))\n\n5. Fight against the kings in the north of the land\n    * The fight at Merom ([11:1–23](../11/01.md))\n\n**The division of the land of Canaan**\n\n1. Summary of kings defeated and land remaining to conquer ([12:1–13:7](../12/01.md))\n\n2. Assignment of land east of the Jordan River\n    * Reuben, Gad, east Manasseh ([13:8–32](../13/08.md))\n\n3. Assignment of land west of the Jordan River\n    * Major tribes: Judah, Ephraim, west Manasseh ([14:1–17:18](../14/01.md))\n    * Remaining tribes: Benjamin, Simeon, Zebulun, Issachar, Asher, Naphtali, Dan ([18:1–19:51](../18/01.md))\n\n4. Cities of refuge and Levite cities ([20:1–21:45](../20/01.md))\n\n**Concluding episodes**\n\n1. The eastern tribes return home and build an altar ([22:1–34](../22/01.md))\n2. The Israelites renew the covenant at Shechem ([23:1–24:28](../23/01.md))\n3. The death of Joshua ([24:29–33](../24/29.md))\n\n### What is the book of Joshua about?\n\nThe book of Joshua is about the Israelites entering and occupying the land of Canaan. Joshua was the leader who replaced Moses. He led the Israelites as they fought against the people groups that had been living in Canaan. This book then tells how the Israelites divided the land among the 12 tribes. (See: [[rc://*/tw/dict/bible/kt/promisedland]])\n\n### Who wrote the book of Joshua?\n\nThe book does not tell us who wrote it. However, some verses in the book indicate that Joshua may have written at least part of it. Since ancient times the Jewish people have thought that Joshua recorded much of what is in this book.\n\n### How should the title of this book be translated?\n\nThis book has traditionally had the title “Joshua” because it tells how Joshua led the people of Israel. Translators may create a title such as “The Book About When Joshua Led Israel.” Translators should avoid a title that suggests that Joshua was the writer of the book, as it is not certain how much of it he may have written.\n\n### When should Joshua be translated?\n\nThe book of Joshua should probably be translated after Genesis, Exodus, Leviticus, Numbers, and Deuteronomy. This is because the historical events described in the book of Joshua may be more difficult to understand without the information in those previous books.\n\n## Part 2: Religious and Cultural Concepts in This Book\n\n### “devoted”\n\nThe word that the ULT translates as “devoted” was a specialized term that described the cultural practice of giving something over to Yahweh so that humans would no longer be able to use it. Depending on the context, the term can indicate either “destroyed” or “preserved, but set apart.” The context must determine the meaning, so be sensitive to the context as you translate this term.\n\n## Part 3: Translation Issues in This Book\n\n### “struck,” “struck to the mouth of the sword,” “to the mouth of the sword”\n\nThe author often uses the expression “to the mouth of the sword” in connection with the term “devoted.” It was a common expression of his culture that referred to destroying something completely. When it appears, as it does about a dozen times in the book, it helps clarify what the term “devoted” means in a specific context. (See: [[rc://*/ta/man/translate/figs-idiom]])\n\nIn many places, the author says that soldiers “struck” an opposing army, city, king, or kings, as if they had only hit them. But he means that they attacked those opponents, and in some contexts the meaning is clearly that they killed them. (See: [[rc://*/ta/man/translate/figs-metonymy]])\n\nIn several contexts the author uses a longer form of this expression and says Joshua and his soldiers “struck them (or it) to the mouth of the sword.” This means that they completely destroyed a city, killing everyone who lived there. For example, speaking in [11:11](../11/11.md) of what Joshua and his army did to the inhabitants of the city of Hazor, the author says that “they struck every soul that was in it (the city of Hazor) to the mouth of the sword.” (See: [[rc://*/ta/man/translate/figs-idiom]])\n\n### “And it happened”\n\nThe author often uses the phrase “And it happened” to introduce a new event in the story or a new development within an episode. To translate this phrase in its various occurrences, use a word, phrase, or other method in your language that is natural for introducing a new event or development. (See: [[rc://*/ta/man/translate/writing-newevent]])\n\n### “to this day”\n\nThe author used this phrase to refer to the time when he was writing. The translator should be aware that “to this day” refers to a time that is now in the past. He must avoid giving the impression to his readers that “to this day” means “to the present day.” The translator might decide to use an equivalent phrase such as “at the time of this writing.”\n\n### “And now”\n\nCharacters in the story who are making a speech or delivering a message often use the phrase “And now” to introduce their main point. That point typically relates to what they want their listeners to do in response to what they have said so far. Your language may have a comparable expression that you can use in your translation. For example, you might say something such as “Now here is my main point” or “Now here is what I want you to do.”\n\n### “hear” and “listen”\n\nThe author and characters sometimes use the words “hear” and “listen” in a specialized sense to mean someone complying with what they have heard or listened to someone saying. When these words refer to a person, they have the sense of “obey.” When they apply to God, they indicate that God did what someone asked him to do, so you might say that God “answered” that person’s prayer. At other times, these words have a more literal sense of sound registering in the ears, that is, of a person taking in and understanding information. Be sensitive to the meaning of these words in the context as you translate them.\n\n### The name of tribe or nation representing its people or army\n\nThe author and characters often use the name of a nation or Israelite tribe to mean its people or its army. It may sound as if an individual with that name is doing an action, but it is actually a group of people descended from that individual. Once you are aware of this usage, the meaning should be evident from the context. (See: [[rc://*/ta/man/translate/figs-metonymy]])\n\n### “the sons of”\n\nSimilarly, the author and characters often use the expression “the sons of” to mean the people or army of a nation or Israelite tribe descended from the individual who is then named. They do not mean only the literal, first-generation male descendants of that person. Once you are aware of this usage, the meaning should be evident from the context. (See: [[rc://*/ta/man/translate/figs-metaphor]])\n\n### “to the face of”\n\nThe author and characters often use the expression “to the face of” to mean “before,” “in front of,” or “in the presence of” a person or thing. This is by association with the way one can see the face of a person who is present and the way people typically face forward, toward what is before or in front of them. This usage occurs very frequently in the book, about 60 times, and accounts for almost every instance of the word “face.” Only in [5:14](../05/14.md) and [7:6](../07/06.md) does the word refer literally to part of the body, where Joshua bows down with his face to the ground. (See: [[rc://*/ta/man/translate/figs-metonymy]])\n\n### “all of Israel”\n\nThis phrase appears 16 times in the book of Joshua, but it does not always mean every single person in the nation of Israel. Often it means the Israelite army. At other times it refers to representatives of the 12 tribes of Israel. In still other passages, it probably means a large number of the people in the nation of Israel. However, in a few contexts it does seem to indicate every Israelite, as when Yahweh tells Joshua in [3:7](../03/07.md), “This day I will begin to make you great in the eyes of all of Israel, who will know that just as I was with Moses, I am with you.” (See: [[rc://*/ta/man/translate/figs-hyperbole]])\n\n### “shall” \n\nThe ULT represents the Hebrew instructional verb form with the English helping verb “shall.” For example, when Yahweh tells Joshua in [1:15](../01/15.md) “Then you shall return to the land” he is instructing Joshua about what to do next. Another way to say this would be, “Then you are to return to the land.” Translate this form with the most natural way in your language for giving instructions. \n\n## Part 4: Specific Translation Issues in Chapters 13–21\n\nThere are some specific translation issues in the section of the book that describes the territories of the Israelite tribes and their borders.\n\n### “inheritance”\n\nThe author uses the idea of “inheritance” by association to mean a lasting possession that would be passed down to future generations. (See: [[rc://*/ta/man/translate/figs-metonymy]])\n\n### “went up,” “went down”\n\nIn Hebrew, writers and speakers generally indicated whether people were going up to a higher elevation or going down to a lower elevation when they traveled. Such expressions occur frequently in the descriptions of tribal borders. If your language does not mark travel for change in elevation, you can translate such expressions more simply. For example, you could just say “went” instead of “went up” or “went down.” (See: [[rc://*/ta/man/translate/figs-explicitinfo]])\n\n### “from” a direction “to” a place\n\nThe author describes the location of one place relative to another in the way that is characteristic of his culture. For example, speaking of the territory of Naphtali, he describes the territory of Asher as being “from the west” relative to it, meaning that someone would be coming from the west to go from Asher to Naphtali. In your translation, express this in the way that your culture describes the relative location of places. For example, you might say instead that Asher was “to the west” of Naphtali. (See: [[rc://*/ta/man/translate/figs-idiom]])\n\n### “the sea”\n\nWhen the author says “the sea,” he means the Mediterranean Sea. He calls it the Great Sea when he gives it a name. (See: [[rc://*/ta/man/translate/figs-explicit]])\n\n### “seaward”\n\nThe author uses the term **seaward** by association to mean toward the direction of the Mediterranean Sea, that is, from his perspective, to the west. (See: [[rc://*/ta/man/translate/figs-metonymy]])\n\n### “toward the sunrise,” “from the sunrise”\n\nThe author uses the term **sunrise** by association to mean the direction where the sun rises, that is, the east. (See: [[rc://*/ta/man/translate/figs-metonymy]])\n\n### Names in border descriptions\n\nAll names in border descriptions are the names of cities and towns unless otherwise indicated in the biblical text, in a note, or in the UST. (See: [[rc://*/ta/man/translate/translate-names]])
1:intro	r7gc				0	# Joshua 1 Chapter Introduction\n\n## Structure and Formatting\n\nThis chapter describes the Israelites’ preparations for the conquest of the land of Canaan.\n  * Yahweh encourages Joshua ([1:1–9](../01/01.md))\n  * The eastern tribes send their armies ([1:10–16](../01/10.md))\n\nAt the start of the book of Joshua, the biblical narrative continues naturally from the end of the book of Deuteronomy.\n\n## Translation Issues in This Chapter\n\n### “be strong and courageous”\n\nYahweh tells Joshua in [verses 6](../01/06.md), [7](../01/07.md), and [9](../01/09.md) to “be strong and courageous,” and the leaders of the eastern tribes tell him the same thing in [verse 18](../01/18.md). The words “strong” and “courageous” mean similar things. Yahweh and the tribal leaders are using the two terms together for emphasis. Joshua needs to act with great courage, and if he does, Yahweh will give him victory and honor him. If it would be clearer for your readers, you could express the emphasis with a single word or phrase, but you should translate this expression the same way each time so that your readers will recognize its importance in this part of the story. (See: [[rc://*/ta/man/translate/figs-doublet]])\n\n### “you” and “your”\n\nThe words “you” and “your” are plural in vv. 2–3 because Yahweh is speaking about the Israelites. They are singular in vv. 2–9 because Yahweh is speaking to Joshua. They are plural in vv. 11–15 because groups are being addressed. They are singular in vv. 16–18 because the tribal leaders are speaking to Joshua.
1:1	s8u5		rc://*/ta/man/translate/writing-newevent	וַ⁠יְהִ֗י	1	As the Introduction to Joshua discusses, the author is using this phrase, **Now it happened**, to introduce a new event in the story. Use a word, phrase, or other method in your language that is natural for introducing a new event.
1:1	eka2		rc://*/ta/man/translate/translate-names	נ֔וּן	1	The word **Nun** is the name of a man, Joshua’s father.
1:2	le23		rc://*/ta/man/translate/grammar-connect-words-phrases	וְ⁠עַתָּה֩	1	As the Introduction to Joshua discusses, the phrase translated as **And now** is an expression that people of this time used to introduce the main point of a message. If your language has a comparable expression that it uses for this same purpose, you can use it in your translation, here and for the other instances of this expression in the book. Alternate translation: [So here is what I want you to do:]
1:2	xugz		rc://*/ta/man/translate/figs-idiom	ק֨וּם	1	Yahweh is using the expression **arise** to tell Joshua to take action and lead the Israelites across the Jordan River to begin the conquest of Canaan. He is not telling him to get out of bed or stand up from a seated position. Alternate translation: [get going]
1:2	ragw		rc://*/ta/man/translate/figs-123person	לָ⁠הֶ֖ם לִ⁠בְנֵ֥י יִשְׂרָאֵֽל	1	Since Joshua is one of the **sons of Israel**, Yahweh is referring to him in the third person when he says **them**. If it would be helpful to your readers, you could have Yahweh refer to him in the second person. This would indicate explicitly that Joshua is included in this promise. Alternate translation: [to you and the rest of the sons of Israel] or [to you and all of the other people of Israel]
1:2	o0hj		rc://*/ta/man/translate/figs-metaphor	לִ⁠בְנֵ֥י יִשְׂרָאֵֽל	1	As the Introduction to Joshua discusses, here and in many places throughout the book, **sons** means “descendants,” so the phrase **sons of** is describing a people group. Alternate translation: [to the people of Israel]
1:3	t94e		rc://*/ta/man/translate/figs-synecdoche	כָּל־מָק֗וֹם אֲשֶׁ֨ר תִּדְרֹ֧ךְ כַּֽף־רַגְלְ⁠כֶ֛ם בּ֖⁠וֹ	1	Yahweh is using part of each of the Israelites, **the sole of your foot**, to represent the people of Israel themselves. If it would be helpful in your language, you could use an equivalent expression from your culture or state the meaning plainly. Alternate translation: [Every place upon which you will tread]
1:3	xjc9		rc://*/ta/man/translate/figs-yousingular	רַגְלְ⁠כֶ֛ם & לָ⁠כֶ֣ם	1	Here, the words **your** and **you** are plural and refer to Joshua and all the other Israelite people. It may be more natural in your language to use a plural form of **foot** and to indicate specifically that **you** is plural. Alternate translation: [your feet … to all of you]
