Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	an3g				0	# Introduction to the Song of Songs\n\n## Part 1: General Introduction\n\n### Outline of the Song of Songs\n\n1. The title of the book ([1:1](../01/01.md))\n2. The woman longs for the man she loves ([1:2–1:7](../01/01.md))\n3. The man responds to the woman he loves ([1:8–1:11](../01/01.md))\n4. The woman speaks to herself ([1:12–1:14](../01/01.md))\n5. The man praises the woman he loves ([1:15](../01/15.md))\n6. The woman responds to the man she loves ([1:16–2:1](../01/01.md))\n7. The man responds to what the woman said in [2:1](../02/01.md) ([2:2](../02/02.md))\n8. The woman speaks to the man she loves, herself, and the women of Jerusalem ([2:3–3:11](../02/01.md))\n9. The man praises the woman he loves ([4:1–4:11](../04/01.md))\n10. The garden metaphor ([4:12–5:1](../04/01.md))\n11. The woman and the women of Jerusalem speak to each other ([5:2–6:1](../05/01.md))\n12. The woman speaks to herself ([6:2–6:3](../06/01.md))\n13. The man praises the woman he loves ([6:4–10](../06/04.md))\n14. The man goes to the walnut-tree orchard and imagines he is among chariots ([6:11–6:12](../06/01.md))\n15. The women of Jerusalem speak to the woman, and the man replies to them ([6:13](../06/13.md))\n16. The man praises the woman he loves and expresses his desire to be intimate with her ([7:1–9a](../07/01.md))\n17. The woman responds to the man she loves ([7:9](../07/09.md)b-[8:3](../08/03.md))\n18. The woman speaks to the women of Jerusalem ([8:4](../08/04.md))\n19. The women of Jerusalem see the woman and man coming from the wilderness ([8:5](../08/05.md)a)\n20. The woman expresses her thoughts on their love to the man she loves ([8:5](../08/05.md)b-7)\n21. The woman’s brothers speak about their sister ([8:8–9](../08/08.md))\n22. The woman responds to her brothers ([8:10–12](../08/10.md))\n23. The man and the woman speak their concluding thoughts to each other ([8:13–14](../08/13.md))\n\nThere are different views among biblical scholars regarding how this book is structured and, therefore, how it should be outlined. The outline above offers one possible way of outlining this book.\n\n### What is the Song of Songs about?\n\nThe Song of Songs is a poem or a series of poems that celebrate love and intimacy between a man and a woman. Jews traditionally have interpreted the book as a picture of God’s love for his people Israel. Until the 1800’s the main view among Christians was that this book is primarily a picture of the love between Christ and his bride, the Church. Since the 1800’s the more common view has been that it is a poem or a series of poems that give a beautiful picture of love between a man and a woman. Many Christians also think that, even though the main meaning of this poem is to give a beautiful portrayal of romantic love between a man and a woman, this book also contains lessons about God’s love for his bride, the Church.\n\n### Who wrote the Song of Songs?\n\nThe first verse of the book (“The Song of Songs, which is of Solomon”) gives the idea that King Solomon of Israel wrote it. However, there are several possible ways to interpret the meaning of this title. A translation note for this verse discusses the possible meanings.\n\n### How should the title of this book be translated?\n\nThis book is traditionally titled “Song of Songs,” which means the very best song, or “Song of Solomon.” It may also be called “Songs of Love,” “Great Poems of Love,” or “The Love Songs of Solomon.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What place do the descriptions of sexual behavior have in the Song of Songs?\n\nThe Song of Songs approves of sexual behavior which expresses love between a husband and his wife.\n\n## Part 3: Important Translation Issues\n\n### How many characters are in the Song of Songs?\n\nThe two main characters in this book are the man and the woman, two people who love each other. In [8:8–9](../08/08.md) the woman’s brothers speak among themselves. In different places throughout the book, a group of women called the “daughters of Jerusalem” speak or are spoken to. However, it is possible that the group of women is not real but imagined. They may have been written into the poem for poetic effect.\n\nSome interpreters believe there may be more characters than these, but this is not certain. The ULT and UST versions recognize only the man, the woman, the group of women (and possibly a group of friends in some parts), and the woman’s brothers.\n\n### What are the lines in the UST about people speaking?\n\nThe Song of Songs is a poem that shows the words and thoughts of a man, a woman, the woman’s friends, and the woman’s brothers. Throughout the poem, the author does not identify the speakers and their audience. To help readers understand the poem, some translations attempt to identify the speaker and the audience. Since it is not always certain who is speaking, translations sometimes disagree about the identity of the speaker.\n\nThe UST places a header before each speech to identify the speaker and the audience. For example: “The woman speaking to the women of Jerusalem,” “The woman speaking to the man,” “The man speaking to the woman,” or “The woman speaking to herself.” Translators are encouraged to include these ways of identifying the speaker and the audience. Be careful to format them differently from the scripture text. The translators should also include an initial note to their readers indicating that these explanations are not part of the scripture text.\n\nThere are different views among Bible scholars about who the man is―a shepherd boy or King Solomon. Some think that both speak at various times in this book and compete for the woman’s love. The headers in the UST indicate when a man is speaking or being spoken to, as in “The man speaking to the woman he loves” and “The woman speaking to the man she loves.” The headers do not indicate the identity of the man.\n\n### How should one translate the Song of Songs if the readers would view certain terms as coarse, vulgar, or improper?\n\nReaders might consider many images or forms in the Song of Songs as socially improper when translated. Whenever possible, the translator should try to avoid offensive language by using expressions that will not cause offense. (See: [[rc://*/ta/man/translate/figs-euphemism]])\n\n### How do I translate metaphors and similes in this book?\n\nBecause the author uses images throughout this book to express things in a beautiful and captivating way, it is recommended that you maintain these images or select images from your culture and language that communicate the same concepts.\n\nThe many metaphors and similes in this book are used to add poetic beauty and emotional effect; however, their meaning is sometimes unclear. Sometimes the reader does not know whether a sexual meaning is intended. At times the wording carries both a literal and a sexual meaning. However, though meanings are often unclear, it is not always necessary to clarify the meaning; often ambiguity in translation is best. You could translate the words as they are written to avoid committing to a specific meaning. (See: [[rc://*/ta/man/translate/figs-metaphor]])\n\n### Translating terms of endearment\n\nThe word which the ULT translates as “my beloved” occurs 26 times in this book. Each time it occurs the woman uses it to refer to the man she loves. You should translate this term consistently throughout this book. The word which the ULT translates as “my darling” appears nine times in this book. Each time it occurs the man uses it to refer to the woman he loves. Be sure to translate this term consistently throughout the book.
1:intro	xrm2				0	# Song of Songs 1 Chapter Introduction\n\n## Translation Issues in This Chapter\n\n### Metaphors\n\nIn the ancient Near East, it was common to describe a woman by using metaphors involving animals. In many cultures today, such metaphors could be considered offensive. Cultures vary in the metaphors of beauty they use to describe women. (See: [[rc://*/ta/man/translate/figs-metaphor]])\n\n### The lines indicating who is speaking and who is being spoken to\n\nThroughout the poem, the author does not identify the speakers or their audience. To help readers understand the poem, some translations attempt to identify the speaker and the audience. It is not always certain who the speaker is, so sometimes translations disagree about the identity of the speaker. Before each speech, the UST places a header to identify the speaker and the audience. You may wish to do the same in your translation.\n\n### “I am black”\n\nIn the ancient Near East, wealthy people usually had lighter skin because they did not need to work outside, where the sun darkened their skin. Because this young woman had to work outside in the sun, her skin became dark. This is why she says “I am black” in [1:5–6](../01/05.md).
1:1	dsf1		rc://*/ta/man/translate/writing-poetry	שִׁ֥יר הַ⁠שִּׁירִ֖ים אֲשֶׁ֥ר לִ⁠שְׁלֹמֹֽה	1	This verse is the title of this book. Use whatever formatting convention is most natural in your language for indicating the title of a poem or song. The ULT places this line further to the left than the other lines in this book to indicate that this verse is the title.
1:1	qbe2		rc://*/ta/man/translate/figs-possession	שִׁ֥יר הַ⁠שִּׁירִ֖ים	1	The possessive form in **Song of Songs** is used here to indicate a comparison with other **Songs** and to show that this **Song** is the best or greatest of all songs. If it would be helpful in your language, you could use another form to indicate this. Alternate translation: [The best song] or [The most excellent song] or [The greatest song]
1:1	r5ns		rc://*/ta/man/translate/figs-possession	לִ⁠שְׁלֹמֹֽה	1	The phrase **of Solomon** could mean: (1) Solomon wrote this song. Alternate translation: [Solomon wrote]; (2) this song was dedicated to Solomon. Alternate translation: [is dedicated to Solomon]; (3) this song was about Solomon. Alternate translation: [is about Solomon]
1:2	tulv		rc://*/ta/man/translate/writing-poetry	יִשָּׁקֵ֨⁠נִי֙ מִ⁠נְּשִׁיק֣וֹת פִּ֔י⁠הוּ	1	Here, **kiss me with the kisses of his mouth** is an emphatic construction that uses a verb and its object that come from the same root. You may be able to use the same construction in your language to express the meaning here. Alternatively, your language may have another way of showing the emphasis. Alternate translation: [Let him kiss me again and again with the kisses of his mouth] or [Let him cover my face with the kisses of his mouth] or [I wish he would kiss me passionately with his mouth]
1:2	d9mu		rc://*/ta/man/translate/figs-yousingular	דֹּדֶ֖י⁠ךָ	1	In this book every occurrence of the words **you** and **your** is singular. Your language may require you to mark these forms.
1:2	th64		rc://*/ta/man/translate/figs-abstractnouns	טוֹבִ֥ים דֹּדֶ֖י⁠ךָ מִ⁠יָּֽיִן	1	If your language does not use an abstract noun for the idea of **love**, you could express the same idea in another way. Alternate translation: [the way you love me is better than wine] or [your loving is better than wine]
1:2	nze7			טוֹבִ֥ים דֹּדֶ֖י⁠ךָ מִ⁠יָּֽיִן	1	Alternate translation: [I enjoy your love more than I enjoy drinking wine] or [your love is more pleasant than wine]
1:2-4	fna4		rc://*/ta/man/translate/writing-poetry	יִשָּׁקֵ֨⁠נִי֙ מִ⁠נְּשִׁיק֣וֹת פִּ֔י⁠הוּ כִּֽי־טוֹבִ֥ים דֹּדֶ֖י⁠ךָ מִ⁠יָּֽיִן׃ לְ⁠רֵ֨יחַ֙ שְׁמָנֶ֣י⁠ךָ טוֹבִ֔ים שֶׁ֖מֶן תּוּרַ֣ק שְׁמֶ֑⁠ךָ עַל־כֵּ֖ן עֲלָמ֥וֹת אֲהֵבֽוּ⁠ךָ׃ מָשְׁכֵ֖⁠נִי אַחֲרֶ֣י⁠ךָ נָּר֑וּצָה הֱבִיאַ֨⁠נִי הַ⁠מֶּ֜לֶךְ חֲדָרָ֗י⁠ו	1	These lines of poetry most likely indicate internal words or thoughts, things that the woman is thinking while she is alone. Your language may have a way of indicating speech that is expressed toward a person who is not present to hear what is being said. If your language has a way to indicate that, you could use it here.
